Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-05T13:28:00Z,NVDA,0.80443900805,2533,Market On Open,Filled,2037.6440073906,"" 
2016-01-05T15:05:00Z,MCD,92.170832662,21,Market,Filled,1935.587485902,"" 
2016-01-06T12:20:00Z,ORCL,30.56318185,65,Market On Open,Filled,1986.60682025,"" 
2016-01-06T13:24:00Z,LMT,166.767424116,11,Market On Open,Filled,1834.441665276,"" 
2016-01-06T23:06:00Z,MSFT,46.074518388,42,Market On Open,Filled,1935.129772296,"" 
2016-01-07T14:17:00Z,JPM,46.95108184,41,Market On Open,Filled,1924.99435544,"" 
2016-01-08T15:30:00Z,NVDA,0.7385813573,-2533,Market,Filled,-1870.8265780409,"Liquidated" 
2016-01-08T15:30:00Z,MSFT,45.576557154,-42,Market,Filled,-1914.215400468,"Liquidated" 
2016-01-08T15:30:00Z,JPM,46.086998412,-41,Market,Filled,-1889.566934892,"Liquidated" 
2016-01-08T20:50:00Z,MCD,90.665746774,-21,Market,Filled,-1903.980682254,"Liquidated" 
2016-01-11T20:50:00Z,ORCL,29.831387355,-65,Market,Filled,-1939.040178075,"Liquidated" 
2016-01-11T20:50:00Z,LMT,163.000744932,-11,Market,Filled,-1793.008194252,"Liquidated" 
2016-01-11T22:21:00Z,AAPL,22.60765484575,89,Market On Open,Filled,2012.0812812717,"" 
2016-01-11T22:21:00Z,META,98.352979328,20,Market On Open,Filled,1967.05958656,"" 
2016-01-11T22:21:00Z,JPM,45.4981982,44,Market On Open,Filled,2001.9207208,"" 
2016-01-12T03:47:57Z,KO,30.833253334,65,Market On Open,Filled,2004.16146671,"" 
2016-01-12T03:52:14Z,NVDA,0.736873936725,2752,Market On Open,Filled,2027.8770738672,"" 
2016-01-12T03:52:14Z,AMD,2.38,851,Market On Open,Filled,2025.38,"" 
2016-01-12T04:42:21Z,NKE,53.1625398,38,Market On Open,Filled,2020.1765124,"" 
2016-01-12T12:27:09Z,XOM,47.506918575,42,Market On Open,Filled,1995.29058015,"" 
2016-01-12T12:27:09Z,CVX,53.062644805,38,Market On Open,Filled,2016.38050259,"" 
2016-01-12T14:42:28Z,NFLX,11.497,173,Market,Filled,1988.981,"" 
2016-01-14T15:30:00Z,AMD,2.25,-851,Market,Filled,-1914.75,"Liquidated" 
2016-01-14T15:30:00Z,NFLX,10.656,-173,Market,Filled,-1843.488,"Liquidated" 
2016-01-14T16:28:00Z,GS,129.571062764,15,Market,Filled,1943.56594146,"" 
2016-01-14T18:59:59Z,MS,20.146748987,98,Market,Filled,1974.381400726,"" 
2016-01-15T15:30:00Z,NVDA,0.699310684075,-2752,Market,Filled,-1924.5030025744,"Liquidated" 
2016-01-15T20:50:00Z,AAPL,22.389429896,-89,Market,Filled,-1992.659260744,"Liquidated" 
2016-01-15T20:50:00Z,META,97.687626984,-20,Market,Filled,-1953.75253968,"Liquidated" 
2016-01-15T20:50:00Z,JPM,44.50411992,-44,Market,Filled,-1958.18127648,"Liquidated" 
2016-01-15T20:50:00Z,KO,30.584951436,-65,Market,Filled,-1988.02184334,"Liquidated" 
2016-01-19T11:30:22Z,UNH,95.303165544,21,Market On Open,Filled,2001.366476424,"" 
2016-01-19T12:10:30Z,JPM,44.205896436,45,Market On Open,Filled,1989.26533962,"" 
2016-01-19T15:30:00Z,NKE,50.66284422,-38,Market,Filled,-1925.18808036,"Liquidated" 
2016-01-19T15:30:00Z,MS,19.457458951,-98,Market,Filled,-1906.830977198,"Liquidated" 
2016-01-19T21:18:47Z,NFLX,10.838,183,Market On Open,Filled,1983.354,"" 
2016-01-20T05:30:44Z,TMO,128.912275404,15,Market On Open,Filled,1933.68413106,"" 
2016-01-20T15:40:12Z,AMZN,28.656613496,69,Market,Filled,1977.306331224,"" 
2016-01-20T20:15:34Z,AAPL,21.7460037555,91,Market,Filled,1978.8863417505,"" 
2016-01-21T14:21:22Z,MCD,91.237992971,21,Market On Open,Filled,1915.997852391,"" 
2016-01-21T15:30:00Z,GS,125.3006535,-15,Market,Filled,-1879.5098025,"Liquidated" 
2016-01-21T21:45:44Z,ISRG,63.2088199912,31,Market On Open,Filled,1959.4734197272,"" 
2016-01-22T15:30:00Z,JPM,42.2483269,-45,Market,Filled,-1901.1747105,"Liquidated" 
2016-01-22T15:30:00Z,NFLX,10.235,-183,Market,Filled,-1873.005,"Liquidated" 
2016-01-22T16:15:16Z,AXP,54.558752064,36,Market,Filled,1964.115074304,"" 
2016-01-22T17:35:42Z,GS,123.58922994,15,Market,Filled,1853.8384491,"" 
2016-01-25T15:30:00Z,AXP,47.954546688,-36,Market,Filled,-1726.363680768,"Liquidated" 
2016-01-25T16:00:31Z,GE,124.37624805896,15,Market,Filled,1865.6437208843,"" 
2016-01-27T20:50:00Z,XOM,49.1800134,-42,Market,Filled,-2065.5605628,"Liquidated" 
2016-01-27T20:50:00Z,CVX,54.30867114,-38,Market,Filled,-2063.72950332,"Liquidated" 
2016-01-27T21:12:18Z,META,106.317346192,21,Market On Open,Filled,2232.664270032,"" 
2016-01-27T21:15:07Z,GOOGL,36.6327156595,55,Market On Open,Filled,2014.7993612725,"" 
2016-01-28T15:30:00Z,AAPL,21.0170874285,-91,Market,Filled,-1912.5549559935,"Liquidated" 
2016-01-28T15:30:00Z,ISRG,59.3354908798,-31,Market,Filled,-1839.4002172738,"Liquidated" 
2016-01-28T15:42:50Z,LMT,159.134539672,12,Market,Filled,1909.614476064,"" 
2016-01-28T15:45:39Z,CAT,46.11645629,42,Market,Filled,1936.89116418,"" 
2016-01-29T15:30:00Z,TMO,124.549120598,-15,Market,Filled,-1868.23680897,"Liquidated" 
