Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-05T15:05:00Z,"MCD",2016-01-08T20:50:00Z,Buy,92.170832662,90.665746774,21,-31.61,2,-31.61,26.67,58.28,0,"	2,10" 
2016-01-05T21:00:00Z,"NVDA",2016-01-08T15:30:00Z,Buy,0.80443900805,0.7385813573,2533,-166.82,19.514550022266,-166.82,0,166.82,0,"	1,7" 
2016-01-06T21:00:00Z,"ORCL",2016-01-11T20:50:00Z,Buy,30.56318185,29.831387355,65,-47.57,2,-47.57,17.91,65.47,0,"	3,11" 
2016-01-06T21:00:00Z,"LMT",2016-01-11T20:50:00Z,Buy,166.767424116,163.000744932,11,-41.43,2,-41.43,0,41.43,0,"	4,12" 
2016-01-07T21:00:00Z,"MSFT",2016-01-08T15:30:00Z,Buy,46.074518388,45.576557154,42,-20.91,2,-20.91,0,20.91,0,"	5,8" 
2016-01-07T21:00:00Z,"JPM",2016-01-08T15:30:00Z,Buy,46.95108184,46.086998412,41,-35.43,2,-35.43,0,35.43,0,"	6,9" 
2016-01-12T14:42:28Z,"NFLX",2016-01-14T15:30:00Z,Buy,11.497,10.656,173,-145.49,2,-145.49,27.85,173.35,0,"	22,24" 
2016-01-12T21:00:00Z,"AMD",2016-01-14T15:30:00Z,Buy,2.38,2.25,851,-110.63,8.51,-110.63,8.51,119.14,0,"	18,23" 
2016-01-12T21:00:00Z,"NVDA",2016-01-15T15:30:00Z,Buy,0.736873936725,0.699310684075,2752,-103.37,19.75183147916,-103.37,0,103.37,0,"	17,27" 
2016-01-12T21:00:00Z,"AAPL",2016-01-15T20:50:00Z,Buy,22.60765484575,22.389429896,89,-19.42,2,-62.07,0,62.07,0,"	13,28" 
2016-01-12T21:00:00Z,"META",2016-01-15T20:50:00Z,Buy,98.352979328,97.687626984,20,-13.31,2,-71.5,6.55,78.05,0,"	14,29" 
2016-01-12T21:00:00Z,"JPM",2016-01-15T20:50:00Z,Buy,45.4981982,44.50411992,44,-43.74,2,-72.67,0,72.67,0,"	15,30" 
2016-01-12T21:00:00Z,"KO",2016-01-15T20:50:00Z,Buy,30.833253334,30.584951436,65,-16.14,2,-17.56,0,17.56,0,"	16,31" 
2016-01-12T21:00:00Z,"NKE",2016-01-19T15:30:00Z,Buy,53.1625398,50.66284422,38,-94.99,2,-94.99,0,94.99,0,"	19,34" 
2016-01-12T21:00:00Z,"XOM",2016-01-27T20:50:00Z,Buy,47.506918575,49.1800134,42,70.27,2,-25.04,134.89,159.92,1,"	20,49" 
2016-01-12T21:00:00Z,"CVX",2016-01-27T20:50:00Z,Buy,53.062644805,54.30867114,38,47.35,2,-78.26,80.47,158.73,1,"	21,50" 
2016-01-14T16:28:00Z,"GS",2016-01-21T15:30:00Z,Buy,129.571062764,125.3006535,15,-64.06,2,-64.06,29.34,93.39,0,"	25,41" 
2016-01-14T18:59:59Z,"MS",2016-01-19T15:30:00Z,Buy,20.146748987,19.457458951,98,-67.55,2,-67.55,19.09,86.64,0,"	26,35" 
2016-01-19T21:00:00Z,"JPM",2016-01-22T15:30:00Z,Buy,44.205896436,42.2483269,45,-88.09,2,-88.09,0,88.09,0,"	33,43" 
2016-01-19T21:00:00Z,"UNH",2016-02-03T20:50:00Z,Buy,95.303165544,97.006833144,21,35.78,2,-9.12,71.73,61.18,1,"	32,67" 
2016-01-20T15:40:12Z,"AMZN",2016-02-03T15:30:00Z,Buy,28.656613496,27.54023867,69,-77.03,2,-77.03,209.51,286.54,0,"	38,65" 
2016-01-20T20:15:34Z,"AAPL",2016-01-28T15:30:00Z,Buy,21.7460037555,21.0170874285,91,-66.33,2,-66.33,97.45,163.78,0,"	39,53" 
2016-01-20T21:00:00Z,"NFLX",2016-01-22T15:30:00Z,Buy,10.838,10.235,183,-110.35,2,-110.35,0,110.35,0,"	36,44" 
2016-01-20T21:00:00Z,"TMO",2016-01-29T15:30:00Z,Buy,128.912275404,124.549120598,15,-65.45,2,-65.45,46.21,111.65,0,"	37,57" 
2016-01-21T21:00:00Z,"MCD",2016-02-05T20:50:00Z,Buy,91.237992971,94.585241274,21,70.29,2,0,135.32,65.02,1,"	40,69" 
2016-01-22T16:15:16Z,"AXP",2016-01-25T15:30:00Z,Buy,54.558752064,47.954546688,36,-237.75,2,-237.75,0,237.75,0,"	45,47" 
2016-01-22T17:35:42Z,"GS",2016-02-08T20:50:00Z,Buy,123.58922994,127.517354492,15,58.92,2,-6.48,121.14,120.29,1,"	46,71" 
2016-01-22T21:00:00Z,"ISRG",2016-01-28T15:30:00Z,Buy,63.2088199912,59.3354908798,31,-120.07,2,-120.07,0,120.07,0,"	42,54" 
2016-01-25T16:00:31Z,"GE",2016-02-09T20:50:00Z,Buy,124.37624805896,124.06794999365,15,-4.62,2,-15.86,62.1,66.72,0,"	48,75" 
2016-01-28T15:42:50Z,"LMT",2016-02-12T20:50:00Z,Buy,159.134539672,158.51441566,12,-7.44,2,-11.02,74.6,82.04,0,"	55,83" 
2016-01-28T15:45:39Z,"CAT",2016-02-12T20:50:00Z,Buy,46.11645629,48.5436382,42,101.94,2,0,258.34,156.4,1,"	56,84" 
2016-01-28T21:00:00Z,"META",2016-02-12T20:50:00Z,Buy,106.317346192,101.203070712,21,-107.4,2,-156.82,167.46,324.28,0,"	51,81" 
2016-01-28T21:00:00Z,"GOOGL",2016-02-12T20:50:00Z,Buy,36.6327156595,35.053150318,55,-86.88,2,-101.45,116.6,218.05,0,"	52,82" 
