Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-01-03T13:10:10Z,MSFT,79.017145133,25,Market On Open,Filled,1975.428628325,"" 
2018-01-03T13:10:10Z,NVDA,5.04826303,405,Market On Open,Filled,2044.54652715,"" 
2018-01-03T13:10:10Z,AMZN,59.339462266,33,Market On Open,Filled,1958.202254778,"" 
2018-01-03T13:10:10Z,AMD,11.6,182,Market On Open,Filled,2111.2,"" 
2018-01-03T16:06:55Z,MA,145.280723555,13,Market,Filled,1888.649406215,"" 
2018-01-03T16:16:12Z,MRK,41.901539661793,47,Market,Filled,1969.3723641043,"" 
2018-01-04T14:11:54Z,ISRG,128.576653809,15,Market On Open,Filled,1928.649807135,"" 
2018-01-05T01:44:51Z,AAPL,40.5454611045,49,Market On Open,Filled,1986.7275941205,"" 
2018-01-05T14:25:45Z,META,184.302599288,10,Market On Open,Filled,1843.02599288,"" 
2018-01-05T22:50:18Z,V,111.92608988,17,Market On Open,Filled,1902.74352796,"" 
2018-01-17T15:30:00Z,META,177.152544248,-10,Market,Filled,-1771.52544248,"Liquidated" 
2018-01-17T16:05:12Z,UNH,205.25514048,9,Market,Filled,1847.29626432,"" 
2018-01-18T20:50:00Z,MSFT,82.715195242,-25,Market,Filled,-2067.87988105,"Liquidated" 
2018-01-18T20:50:00Z,NVDA,5.555561548,-405,Market,Filled,-2250.00242694,"Liquidated" 
2018-01-18T20:50:00Z,AMZN,64.5980965,-33,Market,Filled,-2131.7371845,"Liquidated" 
2018-01-18T20:50:00Z,AMD,12.18,-182,Market,Filled,-2216.76,"Liquidated" 
2018-01-18T20:50:00Z,MA,157.396573984,-13,Market,Filled,-2046.155461792,"Liquidated" 
2018-01-18T20:50:00Z,MRK,46.231812615101,-47,Market,Filled,-2172.8951929098,"Liquidated" 
2018-01-18T21:17:30Z,GS,210.327115096,9,Market On Open,Filled,1892.944035864,"" 
2018-01-18T21:17:30Z,MS,43.578611197,46,Market On Open,Filled,2004.616115062,"" 
2018-01-18T21:25:22Z,AXP,87.57596904,22,Market On Open,Filled,1926.67131888,"" 
2018-01-18T23:10:21Z,HON,121.13310016785,16,Market On Open,Filled,1938.1296026855,"" 
2018-01-18T23:10:21Z,GE,78.362238544533,25,Market On Open,Filled,1959.0559636133,"" 
2018-01-19T13:03:04Z,NKE,58.965296613,35,Market On Open,Filled,2063.785381455,"" 
2018-01-19T20:50:00Z,ISRG,144.023318931,-15,Market,Filled,-2160.349783965,"Liquidated" 
2018-01-20T15:37:35Z,CMCSA,30.427536686103,66,Market On Open,Filled,2008.2174212828,"" 
2018-01-22T15:30:00Z,GE,76.343319277058,-25,Market,Filled,-1908.5829819265,"Liquidated" 
2018-01-22T20:50:00Z,AAPL,41.702166957,-49,Market,Filled,-2043.406180893,"Liquidated" 
2018-01-22T20:50:00Z,V,115.84421112,-17,Market,Filled,-1969.35158904,"Liquidated" 
2018-01-22T20:50:00Z,NKE,60.662139681,-35,Market,Filled,-2123.174888835,"Liquidated" 
2018-01-22T22:00:57Z,NFLX,25.52,89,Market On Open,Filled,2271.28,"" 
2018-01-22T22:44:20Z,ADBE,202.29,10,Market On Open,Filled,2022.9,"" 
2018-01-23T10:16:13Z,MSFT,84.33022457,24,Market On Open,Filled,2023.92538968,"" 
2018-01-23T13:13:41Z,PG,72.49457565,27,Market On Open,Filled,1957.35354255,"" 
2018-01-24T15:30:00Z,PG,72.08980415,-27,Market,Filled,-1946.42471205,"Liquidated" 
2018-01-24T17:09:22Z,RTX,60.014353786137,33,Market,Filled,1980.4736749425,"" 
2018-01-29T20:50:00Z,ADBE,201.3,-10,Market,Filled,-2013,"Liquidated" 
2018-01-29T23:24:30Z,LMT,279.848019095,7,Market On Open,Filled,1958.936133665,"" 
2018-02-01T15:15:00Z,SQ,46.91,108,Market,Filled,5066.28,"" 
2018-02-01T15:15:00Z,CAT,136.980314124,37,Market,Filled,5068.271622588,"" 
2018-02-01T15:15:00Z,NVDA,6.07670447,836,Market,Filled,5080.12493692,"" 
2018-02-01T15:15:00Z,PYPL,85.123217952,59,Market,Filled,5022.269859168,"" 
2018-02-01T15:15:00Z,ABBV,79.641950456,63,Market,Filled,5017.442878728,"" 
2018-02-01T15:15:00Z,ADBE,199.76,25,Market,Filled,4994,"" 
2018-02-01T15:15:00Z,MA,161.8793878,31,Market,Filled,5018.2610218,"" 
2018-02-01T15:15:00Z,AMZN,72.374310603,70,Market,Filled,5066.20174221,"" 
2018-02-01T20:50:00Z,UNH,208.33467148,-9,Market,Filled,-1875.01204332,"Liquidated" 
