Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-03T10:11:55Z,MS,42.158756874,46,Market On Open,Filled,1939.302816204,"" 
2020-01-03T10:18:40Z,BLK,433.917960576,4,Market On Open,Filled,1735.671842304,"" 
2020-01-03T11:35:10Z,AAPL,71.49069022875,27,Market On Open,Filled,1930.2486361763,"" 
2020-01-03T13:56:52Z,JPM,116.58208904,16,Market On Open,Filled,1865.31342464,"" 
2020-01-03T14:39:01Z,KO,45.745103196,43,Market,Filled,1967.039437428,"" 
2020-01-03T14:55:37Z,XOM,53.30629971,37,Market,Filled,1972.33308927,"" 
2020-01-03T19:19:24Z,MSFT,152.158329594,13,Market,Filled,1978.058284722,"" 
2020-01-03T19:19:24Z,PG,105.531778415,18,Market,Filled,1899.57201147,"" 
2020-01-05T15:19:27Z,GOOGL,67.051382558,29,Market On Open,Filled,1944.490094182,"" 
2020-01-06T10:20:37Z,GS,199.37598188,9,Market On Open,Filled,1794.38383692,"" 
2020-01-06T20:50:00Z,MS,42.14229504,-46,Market,Filled,-1938.54557184,"Liquidated" 
2020-01-06T20:50:00Z,BLK,435.517953056,-4,Market,Filled,-1742.071812224,"Liquidated" 
2020-01-06T20:50:00Z,AAPL,71.60625019275,-27,Market,Filled,-1933.3687552042,"Liquidated" 
2020-01-06T20:50:00Z,JPM,117.465158032,-16,Market,Filled,-1879.442528512,"Liquidated" 
2020-01-06T20:50:00Z,KO,45.495539076,-43,Market,Filled,-1956.308180268,"Liquidated" 
2020-01-06T20:50:00Z,XOM,52.862707089,-37,Market,Filled,-1955.920162293,"Liquidated" 
2020-01-07T10:43:22Z,MS,42.010600368,47,Market On Open,Filled,1974.498217296,"" 
2020-01-07T10:56:11Z,JPM,116.726436856,17,Market On Open,Filled,1984.349426552,"" 
2020-01-07T12:14:10Z,MA,291.752526696,6,Market On Open,Filled,1750.515160176,"" 
2020-01-07T12:41:38Z,PYPL,111.2428364,18,Market On Open,Filled,2002.3710552,"" 
2020-01-07T14:05:19Z,BLK,435.8898432,4,Market On Open,Filled,1743.5593728,"" 
2020-01-07T15:16:20Z,SQ,62.57,31,Market,Filled,1939.67,"" 
2020-01-08T20:50:00Z,GOOGL,69.2324035055,-29,Market,Filled,-2007.7397016595,"Liquidated" 
2020-01-09T10:43:44Z,KO,45.753422,44,Market On Open,Filled,2013.150568,"" 
2020-01-09T20:50:00Z,GS,206.16550016,-9,Market,Filled,-1855.48950144,"Liquidated" 
2020-01-10T08:26:50Z,GS,210.492409,9,Market On Open,Filled,1894.431681,"" 
2020-01-10T20:50:00Z,MS,42.858384819,-47,Market,Filled,-2014.344086493,"Liquidated" 
2020-01-10T20:50:00Z,JPM,116.700963712,-17,Market,Filled,-1983.916383104,"Liquidated" 
2020-01-10T20:50:00Z,MA,299.26765264,-6,Market,Filled,-1795.60591584,"Liquidated" 
2020-01-10T20:50:00Z,PYPL,112.310368552,-18,Market,Filled,-2021.586633936,"Liquidated" 
2020-01-10T20:50:00Z,BLK,443.76007648,-4,Market,Filled,-1775.04030592,"Liquidated" 
2020-01-10T20:50:00Z,SQ,67.92,-31,Market,Filled,-2105.52,"Liquidated" 
2020-01-11T06:09:47Z,JPM,115.588636424,17,Market On Open,Filled,1965.006819208,"" 
2020-01-11T09:13:50Z,MS,42.973617657,46,Market On Open,Filled,1976.786412222,"" 
2020-01-12T10:28:46Z,BLK,443.907102816,4,Market On Open,Filled,1775.628411264,"" 
2020-01-13T11:54:47Z,AXP,118.663184576,17,Market On Open,Filled,2017.274137792,"" 
2020-01-13T12:55:32Z,GOOGL,71.2243530125,28,Market On Open,Filled,1994.28188435,"" 
2020-01-13T13:01:01Z,AMZN,94.425456965,21,Market On Open,Filled,1982.934596265,"" 
2020-01-13T20:50:00Z,KO,46.194318612,-44,Market,Filled,-2032.550018928,"Liquidated" 
2020-01-13T20:50:00Z,GS,209.93745476,-9,Market,Filled,-1889.43709284,"Liquidated" 
2020-01-14T09:53:49Z,GS,212.72089712,9,Market On Open,Filled,1914.48807408,"" 
2020-01-14T12:22:06Z,NVDA,6.2346803545,320,Market On Open,Filled,1995.09771344,"" 
2020-01-14T20:50:00Z,JPM,116.49717856,-17,Market,Filled,-1980.45203552,"Liquidated" 
2020-01-14T21:15:21Z,JPM,117.066078776,17,Market On Open,Filled,1990.123339192,"" 
2020-01-15T20:50:00Z,BLK,448.274649856,-4,Market,Filled,-1793.098599424,"Liquidated" 
2020-01-16T08:01:36Z,AAPL,75.49676898075,26,Market On Open,Filled,1962.9159934995,"" 
2020-01-16T20:50:00Z,AXP,120.501053048,-17,Market,Filled,-2048.517901816,"Liquidated" 
2020-01-16T20:50:00Z,GOOGL,71.42037196,-28,Market,Filled,-1999.77041488,"Liquidated" 
2020-01-17T08:36:54Z,CVX,88.668586664,22,Market On Open,Filled,1950.708906608,"" 
2020-01-17T11:11:10Z,BLK,464.482141248,4,Market On Open,Filled,1857.928564992,"" 
2020-01-17T20:50:00Z,AMZN,93.676717638,-21,Market,Filled,-1967.211070398,"Liquidated" 
2020-01-17T20:50:00Z,GS,216.53620752,-9,Market,Filled,-1948.82586768,"Liquidated" 
2020-01-17T20:50:00Z,NVDA,6.1953573935,-320,Market,Filled,-1982.51436592,"Liquidated" 
2020-01-17T21:33:10Z,CMCSA,35.501546597481,56,Market On Open,Filled,1988.0866094589,"" 
2020-01-18T07:14:56Z,V,195.253549841,10,Market On Open,Filled,1952.53549841,"" 
2020-01-18T07:17:36Z,UNH,269.223325613,7,Market On Open,Filled,1884.563279291,"" 
2020-01-21T20:50:00Z,MSFT,158.29695477,-13,Market,Filled,-2057.86041201,"Liquidated" 
2020-01-21T20:50:00Z,PG,108.07151897,-18,Market,Filled,-1945.28734146,"Liquidated" 
2020-01-21T20:50:00Z,CVX,87.569796384,-22,Market,Filled,-1926.535520448,"Liquidated" 
