Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-01-04T00:35:06Z,AMD,151,13,Market On Open,Filled,1963,"" 
2022-01-04T00:35:06Z,QCOM,171.0014207,11,Market On Open,Filled,1881.0156277,"" 
2022-01-04T00:35:06Z,JPM,147.457038528,13,Market On Open,Filled,1916.941500864,"" 
2022-01-04T00:35:06Z,GS,363.450523024,5,Market On Open,Filled,1817.25261512,"" 
2022-01-04T00:35:06Z,PYPL,195.5479456,10,Market On Open,Filled,1955.479456,"" 
2022-01-04T07:10:43Z,AVGO,61.4447113056,32,Market On Open,Filled,1966.2307617792,"" 
2022-01-04T07:11:58Z,BLK,830.055990036,2,Market On Open,Filled,1660.111980072,"" 
2022-01-04T07:41:37Z,MS,88.5428952,22,Market On Open,Filled,1947.9436944,"" 
2022-01-04T10:13:05Z,GE,60.532314950795,34,Market On Open,Filled,2058.098708327,"" 
2022-01-04T10:29:38Z,KO,53.07078972,38,Market On Open,Filled,2016.69000936,"" 
2022-01-05T15:30:00Z,AMD,144.42,-13,Market,Filled,-1877.46,"Liquidated" 
2022-01-06T09:05:46Z,LLY,250.15281363,7,Market On Open,Filled,1751.06969541,"" 
2022-01-06T15:30:00Z,PYPL,186.728334176,-10,Market,Filled,-1867.28334176,"Liquidated" 
2022-01-06T15:30:00Z,AVGO,59.56242744,-32,Market,Filled,-1905.99767808,"Liquidated" 
2022-01-06T15:42:39Z,META,321.921297544,6,Market,Filled,1931.527785264,"" 
2022-01-07T11:49:51Z,HON,183.65142269055,10,Market On Open,Filled,1836.5142269055,"" 
2022-01-07T20:50:00Z,BLK,809.949481887,-2,Market,Filled,-1619.898963774,"Liquidated" 
2022-01-07T20:50:00Z,MS,89.75818984,-22,Market,Filled,-1974.68017648,"Liquidated" 
2022-01-07T20:50:00Z,GE,61.063836085304,-34,Market,Filled,-2076.1704269003,"Liquidated" 
2022-01-07T20:50:00Z,KO,53.665395558,-38,Market,Filled,-2039.285031204,"Liquidated" 
2022-01-07T21:05:46Z,BLK,803.80808781,2,Market On Open,Filled,1607.61617562,"" 
2022-01-07T21:55:26Z,MS,90.904039072,22,Market On Open,Filled,1999.888859584,"" 
2022-01-09T11:20:37Z,HD,350.14230862,5,Market On Open,Filled,1750.7115431,"" 
2022-01-10T08:30:29Z,ISRG,321.18,6,Market On Open,Filled,1927.08,"" 
2022-01-10T15:30:00Z,QCOM,164.975220901,-11,Market,Filled,-1814.727429911,"Liquidated" 
2022-01-10T16:38:47Z,LMT,323.447510934,6,Market,Filled,1940.685065604,"" 
2022-01-10T20:50:00Z,LLY,249.57575985,-7,Market,Filled,-1747.03031895,"Liquidated" 
2022-01-10T20:50:00Z,META,329.488439128,-6,Market,Filled,-1976.930634768,"Liquidated" 
2022-01-10T20:50:00Z,HON,186.75917007428,-10,Market,Filled,-1867.5917007428,"Liquidated" 
2022-01-11T11:34:55Z,UNH,436.69076544,4,Market On Open,Filled,1746.76306176,"" 
2022-01-11T12:16:57Z,MA,355.591268213,5,Market On Open,Filled,1777.956341065,"" 
2022-01-11T13:23:42Z,AMZN,161.121121,12,Market On Open,Filled,1933.453452,"" 
2022-01-12T20:50:00Z,HD,349.482515421,-5,Market,Filled,-1747.412577105,"Liquidated" 
2022-01-12T21:17:26Z,PG,143.31444728,13,Market On Open,Filled,1863.08781464,"" 
2022-01-13T20:50:00Z,ISRG,323.16,-6,Market,Filled,-1938.96,"Liquidated" 
2022-01-13T20:50:00Z,LMT,324.435328864,-6,Market,Filled,-1946.611973184,"Liquidated" 
2022-01-13T21:07:16Z,NFLX,51.76,38,Market On Open,Filled,1966.88,"" 
2022-01-13T21:07:21Z,ISRG,310.39,6,Market On Open,Filled,1862.34,"" 
2022-01-14T20:50:00Z,UNH,436.905745911,-4,Market,Filled,-1747.622983644,"Liquidated" 
2022-01-14T20:50:00Z,MA,361.450459192,-5,Market,Filled,-1807.25229596,"Liquidated" 
2022-01-14T20:50:00Z,AMZN,160.835791956,-12,Market,Filled,-1930.029503472,"Liquidated" 
2022-01-15T12:46:13Z,QCOM,169.968096607,11,Market On Open,Filled,1869.649062677,"" 
2022-01-15T13:50:21Z,CVX,109.035762612,18,Market On Open,Filled,1962.643727016,"" 
2022-01-17T07:50:35Z,CAT,211.52902844,9,Market On Open,Filled,1903.76125596,"" 
2022-01-18T15:30:00Z,GS,344.213117472,-5,Market,Filled,-1721.06558736,"Liquidated" 
2022-01-18T15:30:00Z,BLK,767.53858818,-2,Market,Filled,-1535.07717636,"Liquidated" 
2022-01-18T15:30:00Z,MS,85.825843612,-22,Market,Filled,-1888.168559464,"Liquidated" 
2022-01-18T21:09:31Z,MS,85.079305476,24,Market On Open,Filled,2041.903331424,"" 
2022-01-19T08:02:10Z,GS,323.792010592,6,Market On Open,Filled,1942.752063552,"" 
2022-01-19T11:12:23Z,UNH,437.980648266,4,Market On Open,Filled,1751.922593064,"" 
2022-01-19T14:55:19Z,GOOGL,134.978150998,14,Market,Filled,1889.694113972,"" 
2022-01-19T15:30:00Z,JPM,136.393941803,-13,Market,Filled,-1773.121243439,"Liquidated" 
2022-01-19T15:30:00Z,ISRG,295.49,-6,Market,Filled,-1772.94,"Liquidated" 
2022-01-19T15:44:30Z,BLK,752.5242816,2,Market,Filled,1505.0485632,"" 
2022-01-19T15:45:54Z,JPM,136.393941803,14,Market,Filled,1909.515185242,"" 
2022-01-19T21:10:58Z,ABT,116.941502448,16,Market On Open,Filled,1871.064039168,"" 
2022-01-20T20:50:00Z,CAT,206.28300248,-9,Market,Filled,-1856.54702232,"Liquidated" 
2022-01-20T21:07:20Z,AAPL,160.776313942,12,Market On Open,Filled,1929.315767304,"" 
2022-01-24T15:30:00Z,NFLX,39.75,-38,Market,Filled,-1510.5,"Liquidated" 
2022-01-24T15:30:00Z,GOOGL,129.3739941015,-14,Market,Filled,-1811.235917421,"Liquidated" 
2022-01-24T15:30:00Z,BLK,724.413158196,-2,Market,Filled,-1448.826316392,"Liquidated" 
2022-01-24T15:30:00Z,JPM,130.812673212,-14,Market,Filled,-1831.377424968,"Liquidated" 
2022-01-24T18:10:17Z,JPM,130.812673212,15,Market,Filled,1962.19009818,"" 
2022-01-24T20:50:00Z,GS,310.753224208,-6,Market,Filled,-1864.519345248,"Liquidated" 
2022-01-24T21:25:19Z,GE,55.656983165295,33,Market On Open,Filled,1836.6804444547,"" 
2022-01-25T06:56:47Z,GS,305.286511968,6,Market On Open,Filled,1831.719071808,"" 
