Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2022-01-04T21:00:00Z,"AMD",2022-01-05T15:30:00Z,Buy,151,144.42,13,-85.54,2,-85.54,0,85.54,0,"	1,11" 
2022-01-04T21:00:00Z,"PYPL",2022-01-06T15:30:00Z,Buy,195.5479456,186.728334176,10,-88.2,2,-88.2,0,88.2,0,"	5,13" 
2022-01-04T21:00:00Z,"AVGO",2022-01-06T15:30:00Z,Buy,61.4447113056,59.56242744,32,-60.23,2,-60.23,22.53,82.76,0,"	6,14" 
2022-01-04T21:00:00Z,"BLK",2022-01-07T20:50:00Z,Buy,830.055990036,809.949481887,2,-40.21,2,-46.94,0,46.94,0,"	7,17" 
2022-01-04T21:00:00Z,"MS",2022-01-07T20:50:00Z,Buy,88.5428952,89.75818984,22,26.74,2,-5.73,43.16,48.89,1,"	8,18" 
2022-01-04T21:00:00Z,"GE",2022-01-07T20:50:00Z,Buy,60.532314950795,61.063836085304,34,18.07,2,0,18.07,0,1,"	9,19" 
2022-01-04T21:00:00Z,"KO",2022-01-07T20:50:00Z,Buy,53.07078972,53.665395558,38,22.6,2,0,33.39,10.79,1,"	10,20" 
2022-01-04T21:00:00Z,"QCOM",2022-01-10T15:30:00Z,Buy,171.0014207,164.975220901,11,-66.29,2,-66.29,2.31,68.6,0,"	2,25" 
2022-01-04T21:00:00Z,"GS",2022-01-18T15:30:00Z,Buy,363.450523024,344.213117472,5,-96.19,2,-96.19,23.72,119.91,0,"	4,45" 
2022-01-04T21:00:00Z,"JPM",2022-01-19T15:30:00Z,Buy,147.457038528,136.393941803,13,-143.82,2,-143.82,57.44,201.26,0,"	3,52" 
2022-01-06T15:42:39Z,"META",2022-01-10T20:50:00Z,Buy,321.921297544,329.488439128,6,45.4,2,0,49.39,3.99,1,"	15,28" 
2022-01-06T21:00:00Z,"LLY",2022-01-10T20:50:00Z,Buy,250.15281363,249.57575985,7,-4.04,2,-4.38,0,4.38,0,"	12,27" 
2022-01-07T21:00:00Z,"HON",2022-01-10T20:50:00Z,Buy,183.65142269055,186.75917007428,10,31.08,2,0,31.08,0,1,"	16,29" 
2022-01-10T16:38:47Z,"LMT",2022-01-13T20:50:00Z,Buy,323.447510934,324.435328864,6,5.93,2,0,21.39,15.46,1,"	26,36" 
