Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-17T20:00:00Z,"EURUSD",2020-02-18T13:35:00Z,Sell,1.08332,1.07976,310559,1105.59,13.4352792344,-131.99,1127.33,427.02,1,"	1,2" 
2020-04-06T19:30:00Z,"EURUSD",2020-04-07T04:39:00Z,Buy,1.07924,1.08219,264985,781.71,11.4550100665,-206.69,808.2,384.23,1,"	3,4" 
2020-04-15T17:00:00Z,"EURUSD",2020-04-16T00:39:00Z,Sell,1.0916,1.08841,274192,874.67,11.9548808768,-585.4,895.24,697.82,1,"	5,6" 
2020-04-20T20:00:00Z,"EURUSD",2020-04-21T02:21:00Z,Sell,1.08563,1.08273,278765,808.42,12.0891181255,-402.82,833.51,427.9,1,"	7,8" 
2020-05-13T17:30:00Z,"EURUSD",2020-05-14T11:09:00Z,Buy,1.08219,1.07832,288762,-1117.51,12.4774348962,-1117.51,46.2,1163.71,0,"	9,10" 
2020-06-08T18:45:00Z,"EURUSD",2020-06-09T06:56:00Z,Sell,1.13014,1.12704,310277,961.86,14.0069897495,-412.67,982.03,732.25,1,"	11,12" 
2020-06-29T17:15:00Z,"EURUSD",2020-06-30T15:17:00Z,Buy,1.1228,1.12571,276308,804.06,12.4256536524,-1014.05,824.78,1675.81,1,"	13,14" 
2020-07-09T20:00:00Z,"EURUSD",2020-07-10T14:50:00Z,Sell,1.12842,1.1323,287654,-1116.1,13.0062180792,-1116.1,801.12,1917.21,0,"	15,16" 
2020-09-17T18:30:00Z,"EURUSD",2020-09-21T04:06:00Z,Sell,1.18392,1.18711,341065,-1088,16.1734728325,-1088,295.02,1383.02,0,"	17,18" 
2020-10-26T17:15:00Z,"EURUSD",2020-10-27T21:13:00Z,Buy,1.18266,1.1787,270644,-1071.75,12.7819477676,-1071.75,292.3,1364.05,0,"	19,20" 
2021-01-13T20:30:00Z,"EURUSD",2021-01-14T13:04:00Z,Buy,1.21582,1.21193,284381,-1106.24,13.8082332074,-1106.24,358.32,1464.56,0,"	21,22" 
2021-01-14T18:30:00Z,"EURUSD",2021-01-15T08:06:00Z,Sell,1.21544,1.21232,287714,897.67,13.9701834412,-290.59,914.93,490.55,1,"	23,24" 
2021-03-29T17:15:00Z,"EURUSD",2021-03-30T07:05:00Z,Sell,1.17712,1.17418,271462,798.1,12.7658263044,-158.81,811.67,283.68,1,"	25,26" 
2021-04-21T17:45:00Z,"EURUSD",2021-04-22T12:59:00Z,Sell,1.20287,1.20608,345945,-1110.48,16.667353344,-1110.48,205.84,1316.32,0,"	27,28" 
2021-05-04T17:00:00Z,"EURUSD",2021-05-05T07:26:00Z,Sell,1.20168,1.19875,302824,887.27,14.5381562864,-293.74,905.44,496.63,1,"	29,30" 
2021-05-19T20:00:00Z,"EURUSD",2021-05-20T07:59:00Z,Buy,1.2174,1.22041,264679,796.68,12.9047157919,-117.78,813.89,378.49,1,"	31,32" 
2021-05-20T17:00:00Z,"EURUSD",2021-05-21T12:00:00Z,Sell,1.22176,1.2187,331354,1013.94,16.1731236568,-717.38,1037.14,893,1,"	33,34" 
2021-06-24T20:00:00Z,"EURUSD",2021-06-25T13:11:00Z,Buy,1.19336,1.19625,282662,816.89,13.5090388364,-169.6,835.27,326.47,1,"	35,36" 
2021-12-24T21:30:00Z,"EURUSD",2021-12-29T08:19:00Z,Sell,1.13171,1.12899,273595,744.18,12.3712819125,-448.7,764.7,827.62,1,"	37,38" 
2022-01-21T20:30:00Z,"EURUSD",2022-01-24T11:52:00Z,Buy,1.13437,1.13056,294568,-1122.3,13.343488548,-1122.3,69.22,1191.53,0,"	39,40" 
2022-04-14T20:30:00Z,"EURUSD",2022-04-18T03:45:00Z,Buy,1.08309,1.0793,286118,-1084.39,12.3739454286,-1084.39,78.68,1163.07,0,"	41,42" 
2022-08-26T18:15:00Z,"EURUSD",2022-08-29T00:41:00Z,Buy,0.99716,0.99324,278073,-1090.05,11.0695577913,-1090.05,29.2,1119.24,0,"	43,44" 
2022-09-15T20:00:00Z,"EURUSD",2022-09-16T07:46:00Z,Sell,0.99939,0.99636,282376,855.6,11.2711227528,-518.16,872.54,737,1,"	45,46" 
2022-12-21T20:00:00Z,"EURUSD",2022-12-22T04:13:00Z,Buy,1.06151,1.06444,289588,848.49,12.3129632132,-286.69,870.21,304.07,1,"	47,48" 
2023-02-27T18:30:00Z,"EURUSD",2023-02-28T14:01:00Z,Buy,1.0604,1.0635,266938,827.51,11.3390724454,-584.59,848.86,862.21,1,"	49,50" 
2023-05-16T17:00:00Z,"EURUSD",2023-05-17T07:48:00Z,Sell,1.08661,1.08344,264591,838.75,11.4835404501,-182.57,857.27,394.24,1,"	51,52" 
2023-05-30T17:00:00Z,"EURUSD",2023-05-31T05:31:00Z,Sell,1.07201,1.06897,349798,1063.39,14.9781404812,-547.43,1091.37,748.57,1,"	53,54" 
2023-06-30T19:30:00Z,"EURUSD",2023-07-03T07:16:00Z,Sell,1.09115,1.08828,303928,872.27,13.2477352352,-200.59,895.07,521.24,1,"	55,56" 
2024-01-15T20:45:00Z,"EURUSD",2024-01-16T04:48:00Z,Buy,1.09513,1.09142,302051,-1120.61,13.2089620759,-1120.61,19.63,1140.24,0,"	57,58" 
2024-04-22T18:15:00Z,"EURUSD",2024-04-23T07:31:00Z,Buy,1.06586,1.06916,334995,1105.48,14.3045879955,-653.24,1137.31,721.91,1,"	59,60" 
2024-12-09T18:00:00Z,"EURUSD",2024-12-10T09:01:00Z,Sell,1.05662,1.05377,281535,802.37,11.8829448195,-53.49,824.9,629.23,1,"	61,62" 
