Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,XLF,25.573241612,782,Market,Filled,19998.274940584,"" 
2018-02-01T15:00:00Z,XLB,26.7732109925,747,Market,Filled,19999.588611397,"" 
2018-02-01T15:00:00Z,XLK,31.623194965,632,Market,Filled,19985.85921788,"" 
2018-02-01T15:00:00Z,XLY,49.8879832285,400,Market,Filled,19955.1932914,"" 
2018-02-01T15:00:00Z,XLP,46.60280436,-143,Market,Filled,-6664.20102348,"" 
2018-02-01T15:00:00Z,XLRE,24.960004884,-267,Market,Filled,-6664.321304028,"" 
2018-02-01T15:00:00Z,XLU,19.82726636,-336,Market,Filled,-6661.96149696,"" 
2018-03-01T15:00:00Z,XLB,25.3611846145,-747,Market,Filled,-18944.804907031,"Liquidated" 
2018-03-01T15:00:00Z,XLI,66.906259665,295,Market,Filled,19737.346601175,"" 
2018-03-01T15:00:00Z,XLF,24.825134006,13,Market,Filled,322.726742078,"" 
2018-03-01T15:00:00Z,XLK,31.493837849,-5,Market,Filled,-157.469189245,"" 
2018-03-01T15:00:00Z,XLY,48.1573361895,10,Market,Filled,481.573361895,"" 
2018-03-01T15:00:00Z,XLP,43.04835318,-9,Market,Filled,-387.43517862,"" 
2018-03-01T15:00:00Z,XLRE,23.260468804,-16,Market,Filled,-372.167500864,"" 
2018-03-01T15:00:00Z,XLU,19.058105165,-9,Market,Filled,-171.522946485,"" 
2018-03-28T14:30:00Z,XLK,29.929494443,-627,Market,Filled,-18765.793015761,"Liquidated" 
2018-03-28T14:30:00Z,XLI,64.391503122,-295,Market,Filled,-18995.49342099,"Liquidated" 
2018-03-28T14:30:00Z,XLF,23.427037245,-795,Market,Filled,-18624.494609775,"Liquidated" 
2018-04-02T14:00:00Z,XLY,47.0089169025,-410,Market,Filled,-19273.655930025,"Liquidated" 
2018-04-02T14:00:00Z,XLRE,24.148774608,1856,Market,Filled,44820.125672448,"" 
2018-04-02T14:00:00Z,XLU,19.7828411305,2266,Market,Filled,44827.918001713,"" 
2018-04-02T14:00:00Z,XLP,42.658751778,4,Market,Filled,170.635007112,"" 
2018-04-02T14:00:00Z,XLB,24.311267526,-260,Market,Filled,-6320.92955676,"" 
2018-04-02T14:00:00Z,XLV,71.33815414,-88,Market,Filled,-6277.75756432,"" 
2018-05-01T14:00:00Z,XLRE,24.001146964,-1573,Market,Filled,-37753.804174372,"Liquidated" 
2018-05-01T14:00:00Z,XLU,20.186093186,-1921,Market,Filled,-38777.485010306,"Liquidated" 
2018-05-01T14:00:00Z,XLE,26.2295607695,1459,Market,Filled,38268.929162701,"" 
2018-05-01T14:00:00Z,XLY,48.127403325,795,Market,Filled,38261.285643375,"" 
2018-05-01T14:00:00Z,XLP,40.89177327,-8,Market,Filled,-327.13418616,"" 
2018-05-01T14:00:00Z,XLB,24.341154929,-2,Market,Filled,-48.682309858,"" 
2018-06-01T14:00:00Z,XLV,72.223308141,88,Market,Filled,6355.651116408,"Liquidated" 
2018-06-01T14:00:00Z,XLB,24.840701522,262,Market,Filled,6508.263798764,"Liquidated" 
2018-06-01T14:00:00Z,XLI,65.241642744,299,Market,Filled,19507.251180456,"" 
