Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:00:00Z,"XLB",2018-03-01T15:00:00Z,Buy,26.7732109925,25.3611846145,747,-1054.78,7.47,-1756.91,0,1756.91,0,"	2,8" 
2018-02-01T15:00:00Z,"XLK",2018-03-01T15:00:00Z,Buy,31.623194965,31.493837849,5,-0.65,4.16,-14.88,2.1,15.01,0,"	3,11" 
2018-02-01T15:00:00Z,"XLK",2018-03-28T14:30:00Z,Buy,31.623194965,29.929494443,627,-1061.95,3.135,-1865.46,660.44,1882.84,0,"	3,16" 
2018-02-01T15:00:00Z,"XLF",2018-03-28T14:30:00Z,Buy,25.573241612,23.427037245,782,-1678.33,7.885,-1901.01,188.28,2089.29,0,"	1,18" 
2018-02-01T15:00:00Z,"XLY",2018-04-02T14:00:00Z,Buy,49.8879832285,47.0089169025,400,-1151.63,4.05,-1415.98,0,1415.98,0,"	4,19" 
2018-02-01T15:00:00Z,"XLRE",2018-04-02T14:00:00Z,Sell,24.960004884,24.148774608,267,216.6,10.615,0,600.22,420.97,1,"	6,20" 
2018-02-01T15:00:00Z,"XLU",2018-04-02T14:00:00Z,Sell,19.82726636,19.7828411305,336,14.93,13.01,0,454.22,439.3,1,"	7,21" 
2018-02-01T15:00:00Z,"XLP",2018-04-02T14:00:00Z,Sell,46.60280436,42.658751778,4,15.78,2,0,21.51,6.45,1,"	5,22" 
2018-02-01T15:00:00Z,"XLP",2018-07-02T14:00:00Z,Sell,46.60280436,42.087240866,139,627.66,1,0,959.45,372.66,1,"	5,40" 
2018-03-01T15:00:00Z,"XLI",2018-03-28T14:30:00Z,Buy,66.906259665,64.391503122,295,-741.85,2.95,-930.59,463.5,1394.09,0,"	9,17" 
2018-03-01T15:00:00Z,"XLF",2018-03-28T14:30:00Z,Buy,24.825134006,23.427037245,13,-18.18,1,-21.88,12.86,31.16,0,"	10,18" 
2018-03-01T15:00:00Z,"XLY",2018-04-02T14:00:00Z,Buy,48.1573361895,47.0089169025,10,-11.48,1,-18.09,17.31,29.64,0,"	12,19" 
2018-03-01T15:00:00Z,"XLRE",2018-04-02T14:00:00Z,Sell,23.260468804,24.148774608,16,-14.21,1,-27.19,8.78,19.54,0,"	14,20" 
2018-03-01T15:00:00Z,"XLU",2018-04-02T14:00:00Z,Sell,19.058105165,19.7828411305,9,-6.52,1,-6.92,5.24,7.08,0,"	15,21" 
2018-03-01T15:00:00Z,"XLP",2018-07-02T14:00:00Z,Sell,43.04835318,42.087240866,9,8.65,1,-31.99,30.13,24.13,1,"	13,40" 
2018-04-02T14:00:00Z,"XLRE",2018-05-01T14:00:00Z,Buy,24.148774608,24.001146964,1573,-232.22,7.865,-1063.32,146.66,1209.98,0,"	20,25" 
2018-04-02T14:00:00Z,"XLU",2018-05-01T14:00:00Z,Buy,19.7828411305,20.186093186,1921,774.65,9.605,-849.86,887.46,1067.96,1,"	21,26" 
2018-04-02T14:00:00Z,"XLV",2018-06-01T14:00:00Z,Sell,71.33815414,72.223308141,88,-77.89,2,-168.13,142.68,310.8,0,"	24,31" 
2018-04-02T14:00:00Z,"XLB",2018-06-01T14:00:00Z,Sell,24.311267526,24.840701522,260,-137.65,2.61,-359.67,137.65,497.33,0,"	23,32" 
2018-05-01T14:00:00Z,"XLB",2018-06-01T14:00:00Z,Sell,24.341154929,24.840701522,2,-1,1,-2.71,1.12,2.86,0,"	30,32" 
2018-05-01T14:00:00Z,"XLE",2018-06-01T14:00:00Z,Buy,26.2295607695,27.014919519,737,578.81,10.98,-117.86,1335.71,1194.29,1,"	27,34" 
2018-05-01T14:00:00Z,"XLY",2018-06-01T14:00:00Z,Buy,48.127403325,49.08345396,398,380.51,5.965,-190.25,474.71,216.11,1,"	28,36" 
2018-05-01T14:00:00Z,"XLP",2018-07-02T14:00:00Z,Sell,40.89177327,42.087240866,8,-9.56,1,-45.69,9.53,21.45,0,"	29,40" 
2018-05-01T14:00:00Z,"XLE",2018-07-02T14:00:00Z,Buy,26.2295607695,27.168062783,6,5.63,1,-0.96,10.87,10.18,1,"	27,42" 
2018-05-01T14:00:00Z,"XLY",2018-07-02T14:00:00Z,Buy,48.127403325,50.86235059,15,41.02,1,-7.17,62.03,28.27,1,"	28,43" 
2018-05-01T14:00:00Z,"XLE",2018-08-01T14:00:00Z,Buy,26.2295607695,27.590215984,2,2.72,1,-0.32,3.62,3.39,1,"	27,51" 
2018-05-01T14:00:00Z,"XLY",2018-08-01T14:00:00Z,Buy,48.127403325,51.779082801,2,7.3,1,-0.96,8.89,3.77,1,"	28,53" 
2018-05-01T14:00:00Z,"XLY",2018-09-04T14:00:00Z,Buy,48.127403325,54.422249785,14,88.13,1,-6.69,89.5,26.39,1,"	28,59" 
2018-05-01T14:00:00Z,"XLE",2018-09-04T14:00:00Z,Buy,26.2295607695,26.631427358,714,286.93,4.815,-359.33,1294.03,1653.36,1,"	27,65" 
2018-05-01T14:00:00Z,"XLY",2018-10-01T14:00:00Z,Buy,48.127403325,54.715119338,5,32.94,1,-2.39,33.43,9.42,1,"	28,70" 
2018-05-01T14:00:00Z,"XLY",2018-10-17T14:30:00Z,Buy,48.127403325,51.53172816,361,1228.96,1.805,-172.57,2413.55,1840.07,1,"	28,77" 
2018-06-01T14:00:00Z,"XLP",2018-07-02T14:00:00Z,Sell,40.251446196,42.087240866,5,-9.18,1,-31.76,2.76,10.65,0,"	38,40" 
2018-06-01T14:00:00Z,"XLU",2018-07-02T14:00:00Z,Sell,19.9629342815,20.524657248,325,-182.56,3.25,-182.56,333.37,515.93,0,"	39,41" 
2018-06-01T14:00:00Z,"XLI",2018-07-02T14:00:00Z,Buy,65.241642744,63.028948957,299,-661.6,3.5,-727.37,563.41,1290.78,0,"	33,45" 
2018-06-01T14:00:00Z,"XLF",2018-08-01T14:00:00Z,Sell,23.452923474,24.222691415,277,-213.23,2.79,-261.24,168.47,429.71,0,"	37,49" 
2018-06-01T14:00:00Z,"XLK",2018-08-01T14:00:00Z,Buy,32.395039665,32.986459332,602,356.03,7.015,-276.77,1285.65,982.81,1,"	35,56" 
2018-07-02T14:00:00Z,"XLI",2018-08-01T14:00:00Z,Sell,63.028948957,67.683746388,102,-474.79,1,-474.79,6.28,481.07,0,"	45,48" 
2018-07-02T14:00:00Z,"XLF",2018-08-01T14:00:00Z,Sell,23.044055983,24.222691415,4,-4.71,1,-5.41,0.8,5.79,0,"	46,49" 
2018-07-02T14:00:00Z,"XLB",2018-08-01T14:00:00Z,Sell,24.9091526315,25.6212103785,260,-185.14,2.6,-185.14,45.73,230.86,0,"	47,50" 
2018-07-02T14:00:00Z,"XLV",2018-08-01T14:00:00Z,Buy,73.417942572,78.229782326,13,62.55,2.325,0,62.55,10.18,1,"	44,54" 
2018-07-02T14:00:00Z,"XLV",2018-09-04T14:00:00Z,Buy,73.417942572,81.616543396,252,2066.05,1.26,0,2086,197.29,1,"	44,58" 
2018-08-01T14:00:00Z,"XLRE",2018-09-04T14:00:00Z,Buy,25.89926895,26.52618015,10,6.27,4.805,-1.02,7.13,4.86,1,"	52,60" 
2018-08-01T14:00:00Z,"XLU",2018-09-04T14:00:00Z,Sell,20.852514552,21.121120536,315,-84.61,7.87,-215.26,42.31,257.57,0,"	57,61" 
2018-08-01T14:00:00Z,"XLK",2018-09-04T14:00:00Z,Sell,32.986459332,35.16323076,199,-433.18,3.83,-448.91,0,448.91,0,"	56,62" 
2018-08-01T14:00:00Z,"XLRE",2018-10-01T14:00:00Z,Buy,25.89926895,25.824273147,751,-56.32,3.755,-353.69,535.55,889.23,0,"	52,66" 
