Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:00:00Z,XLC,50.886883539,393,Market,Filled,19998.545230827,"" 
2020-02-03T15:00:00Z,XLP,53.884573002,371,Market,Filled,19991.176583742,"" 
2020-02-03T15:00:00Z,XLK,45.271416228,441,Market,Filled,19964.694556548,"" 
2020-02-03T15:00:00Z,XLU,28.591871998,699,Market,Filled,19985.718526602,"" 
2020-02-03T15:00:00Z,XLB,25.5251482275,-261,Market,Filled,-6662.0636873775,"" 
2020-02-03T15:00:00Z,XLE,20.738225664,-321,Market,Filled,-6656.970438144,"" 
2020-02-03T15:00:00Z,XLI,73.637400588,-90,Market,Filled,-6627.36605292,"" 
2020-03-02T15:00:00Z,XLP,49.458157461,-371,Market,Filled,-18348.976418031,"Liquidated" 
2020-03-02T15:00:00Z,XLI,66.347198064,90,Market,Filled,5971.24782576,"Liquidated" 
2020-03-02T15:00:00Z,XLK,41.966170692,16,Market,Filled,671.458731072,"" 
2020-03-02T15:00:00Z,XLC,47.913526404,7,Market,Filled,335.394684828,"" 
2020-03-02T15:00:00Z,XLV,84.046899699,228,Market,Filled,19162.693131372,"" 
2020-03-02T15:00:00Z,XLU,25.773305318,45,Market,Filled,1159.79873931,"" 
2020-03-02T15:00:00Z,XLB,23.35043926,-13,Market,Filled,-303.55571038,"" 
2020-03-02T15:00:00Z,XLE,17.567729712,-43,Market,Filled,-755.412377616,"" 
2020-03-02T15:00:00Z,XLY,55.0133716275,-116,Market,Filled,-6381.55110879,"" 
2020-03-18T14:30:00Z,XLC,40.362143204,-400,Market,Filled,-16144.8572816,"Liquidated" 
2020-03-18T14:30:00Z,XLU,23.899787466,-744,Market,Filled,-17781.441874704,"Liquidated" 
2020-04-01T14:00:00Z,XLY,46.808866352,116,Market,Filled,5429.828496832,"Liquidated" 
2020-04-01T14:00:00Z,XLK,38.366596602,514,Market,Filled,19720.430653428,"" 
2020-04-01T14:00:00Z,XLV,80.779662916,233,Market,Filled,18821.661459428,"" 
2020-04-01T14:00:00Z,XLB,20.082117668,-35,Market,Filled,-702.87411838,"" 
2020-04-01T14:00:00Z,XLE,11.529425683,-174,Market,Filled,-2006.120068842,"" 
2020-04-01T14:00:00Z,XLI,53.989157754,-115,Market,Filled,-6208.75314171,"" 
2020-05-01T14:00:00Z,XLB,23.131888646,309,Market,Filled,7147.753591614,"Liquidated" 
2020-05-01T14:00:00Z,XLI,58.746717834,115,Market,Filled,6755.87255091,"Liquidated" 
2020-05-01T14:00:00Z,XLC,47.594163072,418,Market,Filled,19894.360164096,"" 
2020-05-01T14:00:00Z,XLP,49.973383074,398,Market,Filled,19889.406463452,"" 
2020-05-01T14:00:00Z,XLK,43.636812186,-515,Market,Filled,-22472.95827579,"" 
2020-05-01T14:00:00Z,XLV,90.947796146,-242,Market,Filled,-22009.366667332,"" 
2020-05-01T14:00:00Z,XLE,15.0763309,98,Market,Filled,1477.4804282,"" 
2020-05-01T14:00:00Z,XLF,20.547142661,-323,Market,Filled,-6636.727079503,"" 
2020-05-01T14:00:00Z,XLU,23.971578344,-277,Market,Filled,-6640.127201288,"" 
2020-06-01T14:00:00Z,XLP,50.805415027,-398,Market,Filled,-20220.555180746,"Liquidated" 
2020-06-01T14:00:00Z,XLU,24.988884236,277,Market,Filled,6921.920933372,"Liquidated" 
2020-06-01T14:00:00Z,XLC,51.134381248,-16,Market,Filled,-818.150099968,"" 
2020-06-01T14:00:00Z,XLK,46.768389562,-16,Market,Filled,-748.294232992,"" 
2020-06-01T14:00:00Z,XLY,59.269913461,347,Market,Filled,20566.659970967,"" 
2020-06-01T14:00:00Z,XLRE,28.51860627,-240,Market,Filled,-6844.4655048,"" 
2020-06-01T14:00:00Z,XLE,15.377857518,-6,Market,Filled,-92.267145108,"" 
2020-06-01T14:00:00Z,XLF,21.106125919,-2,Market,Filled,-42.212251838,"" 
2020-07-01T14:00:00Z,XLRE,28.871173811,240,Market,Filled,6929.08171464,"Liquidated" 
2020-07-01T14:00:00Z,XLC,51.256313136,5,Market,Filled,256.28156568,"" 
2020-07-01T14:00:00Z,XLK,50.01810912,-23,Market,Filled,-1150.41650976,"" 
2020-07-01T14:00:00Z,XLY,61.0918217415,-5,Market,Filled,-305.4591087075,"" 
2020-07-01T14:00:00Z,XLV,91.644276119,9,Market,Filled,824.798485071,"" 
2020-07-01T14:00:00Z,XLE,15.20940176,-12,Market,Filled,-182.51282112,"" 
2020-07-01T14:00:00Z,XLF,20.995428766,-6,Market,Filled,-125.972572596,"" 
2020-07-01T14:00:00Z,XLU,23.821236054,-292,Market,Filled,-6955.800927768,"" 
2020-08-03T14:00:00Z,XLU,25.678642374,292,Market,Filled,7498.163573208,"Liquidated" 
2020-08-03T14:00:00Z,XLC,55.135630692,-10,Market,Filled,-551.35630692,"" 
2020-08-03T14:00:00Z,XLK,52.86151584,-3,Market,Filled,-158.58454752,"" 
2020-08-03T14:00:00Z,XLY,65.53582005,-8,Market,Filled,-524.2865604,"" 
2020-08-03T14:00:00Z,XLV,96.644553401,-2,Market,Filled,-193.289106802,"" 
2020-08-03T14:00:00Z,XLE,14.478064608,-46,Market,Filled,-665.990971968,"" 
2020-08-03T14:00:00Z,XLI,65.918571687,-110,Market,Filled,-7251.04288557,"" 
2020-08-03T14:00:00Z,XLF,21.802945257,-3,Market,Filled,-65.408835771,"" 
2020-09-01T14:00:00Z,XLC,60.001376184,-12,Market,Filled,-720.016514208,"" 
