Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"XLP",2020-03-02T15:00:00Z,Buy,53.884573002,49.458157461,371,-1642.2,3.71,-1642.2,509.43,2151.63,0,"	2,8" 
2020-02-03T15:00:00Z,"XLI",2020-03-02T15:00:00Z,Sell,73.637400588,66.347198064,90,656.12,2,-336.64,656.12,339.09,1,"	7,9" 
2020-02-03T15:00:00Z,"XLC",2020-03-18T14:30:00Z,Buy,50.886883539,40.362143204,393,-4136.22,3.965,-4796.53,1361.43,6157.96,0,"	1,17" 
2020-02-03T15:00:00Z,"XLU",2020-03-18T14:30:00Z,Buy,28.591871998,23.899787466,699,-3279.77,7.215,-5174.61,579.46,5754.08,0,"	4,18" 
2020-02-03T15:00:00Z,"XLB",2020-05-01T14:00:00Z,Sell,25.5251482275,23.131888646,261,624.64,2.85,-388.42,2199.17,1759.56,1,"	5,25" 
2020-02-03T15:00:00Z,"XLK",2020-05-01T14:00:00Z,Buy,45.271416228,43.636812186,441,-720.86,4.78,-5143.93,1562.33,6706.26,0,"	3,29" 
2020-02-03T15:00:00Z,"XLE",2020-05-01T14:00:00Z,Sell,20.738225664,15.0763309,98,554.87,2.605,-60.85,1120.38,598.95,1,"	6,31" 
2020-02-03T15:00:00Z,"XLE",2020-12-01T15:00:00Z,Sell,20.738225664,15.01422683,141,807.08,1,-87.55,1611.97,1309.28,1,"	6,89" 
2020-02-03T15:00:00Z,"XLE",2021-01-04T15:00:00Z,Sell,20.738225664,15.686921805,13,65.67,1,-8.07,148.62,120.71,1,"	6,97" 
2020-02-03T15:00:00Z,"XLE",2021-02-01T15:00:00Z,Sell,20.738225664,16.274663994,26,116.05,1,-16.14,297.24,241.43,1,"	6,108" 
2020-02-03T15:00:00Z,"XLE",2021-03-01T15:00:00Z,Sell,20.738225664,19.9294270425,43,34.78,7.925,-26.7,491.59,494.9,1,"	6,113" 
2020-03-02T15:00:00Z,"XLC",2020-03-18T14:30:00Z,Buy,47.913526404,40.362143204,7,-52.86,1,-64.62,45.06,76.91,0,"	11,17" 
2020-03-02T15:00:00Z,"XLU",2020-03-18T14:30:00Z,Buy,25.773305318,23.899787466,45,-84.31,1,-206.29,164.14,328.28,0,"	13,18" 
2020-03-02T15:00:00Z,"XLY",2020-04-01T14:00:00Z,Sell,55.0133716275,46.808866352,116,951.72,2,-282.08,1563.57,798.42,1,"	16,19" 
2020-03-02T15:00:00Z,"XLB",2020-05-01T14:00:00Z,Sell,23.35043926,23.131888646,13,2.84,1,-47.62,81.27,87.64,1,"	14,25" 
2020-03-02T15:00:00Z,"XLK",2020-05-01T14:00:00Z,Buy,41.966170692,43.636812186,16,26.73,1,-133.74,109.57,174.93,1,"	10,29" 
2020-03-02T15:00:00Z,"XLV",2020-05-01T14:00:00Z,Buy,84.046899699,90.947796146,228,1573.4,2.35,-3647.53,1958.06,5174.58,1,"	12,30" 
2020-03-02T15:00:00Z,"XLE",2021-03-01T15:00:00Z,Sell,17.567729712,19.9294270425,43,-101.55,1,-163.03,355.26,494.9,0,"	15,113" 
2020-04-01T14:00:00Z,"XLB",2020-05-01T14:00:00Z,Sell,20.082117668,23.131888646,35,-106.74,1,-242.59,104.4,169.48,0,"	22,25" 
2020-04-01T14:00:00Z,"XLI",2020-05-01T14:00:00Z,Sell,53.989157754,58.746717834,115,-547.12,2,-683.9,280.92,964.82,0,"	24,26" 
2020-04-01T14:00:00Z,"XLK",2020-05-01T14:00:00Z,Buy,38.366596602,43.636812186,58,305.67,2.57,-276.05,605.96,141.48,1,"	20,29" 
