Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,PG,62.610434578,106,Market,Filled,6636.706065268,"" 
2016-02-01T15:00:00Z,HD,99.10755744,67,Market,Filled,6640.20634848,"" 
2016-02-01T15:00:00Z,KO,31.344463124,212,Market,Filled,6645.026182288,"" 
2016-02-01T15:00:00Z,UNH,98.097180408,67,Market,Filled,6572.511087336,"" 
2016-02-01T15:00:00Z,XOM,50.23700982,132,Market,Filled,6631.28529624,"" 
2016-02-01T15:00:00Z,PEP,73.292740638,90,Market,Filled,6596.34665742,"" 
2016-02-01T15:00:00Z,GOOGL,37.7820318175,176,Market,Filled,6649.63759988,"" 
2016-02-01T15:00:00Z,NKE,54.579620745,122,Market,Filled,6658.71373089,"" 
2016-02-01T15:00:00Z,LMT,161.5384772,41,Market,Filled,6623.0775652,"" 
2016-02-01T15:00:00Z,GE,128.16391000409,52,Market,Filled,6664.5233202129,"" 
2016-02-01T15:00:00Z,MSFT,48.237393463,138,Market,Filled,6656.760297894,"" 
2016-02-01T15:00:00Z,ISRG,60.0943789415,110,Market,Filled,6610.381683565,"" 
2016-02-01T15:00:00Z,MCD,97.031005842,68,Market,Filled,6598.108397256,"" 
2016-02-01T15:00:00Z,HON,74.870129961707,89,Market,Filled,6663.441566592,"" 
2016-02-01T15:00:00Z,META,111.431621672,59,Market,Filled,6574.465678648,"" 
2016-03-01T15:00:00Z,HD,97.81512428,-67,Market,Filled,-6553.61332676,"Liquidated" 
2016-03-01T15:00:00Z,MCD,92.561068344,-68,Market,Filled,-6294.152647392,"Liquidated" 
2016-03-01T15:00:00Z,PEP,72.367887763,-90,Market,Filled,-6513.10989867,"Liquidated" 
2016-03-01T15:00:00Z,GOOGL,35.592078361,-176,Market,Filled,-6264.205791536,"Liquidated" 
2016-03-01T15:00:00Z,MSFT,44.8709448,-138,Market,Filled,-6192.1903824,"Liquidated" 
2016-03-01T15:00:00Z,PG,61.507031986,1,Market,Filled,61.507031986,"" 
2016-03-01T15:00:00Z,META,106.178317344,3,Market,Filled,318.534952032,"" 
2016-03-01T15:00:00Z,KO,31.497826061,-3,Market,Filled,-94.493478183,"" 
2016-03-01T15:00:00Z,RTX,40.864123389038,161,Market,Filled,6579.1238656351,"" 
2016-03-01T15:00:00Z,UNH,101.45340558,-2,Market,Filled,-202.90681116,"" 
2016-03-01T15:00:00Z,XOM,52.190474,-6,Market,Filled,-313.142844,"" 
2016-03-01T15:00:00Z,GE,129.36752076771,-1,Market,Filled,-129.36752076771,"" 
2016-03-01T15:00:00Z,LMT,166.453867563,-2,Market,Filled,-332.907735126,"" 
2016-03-01T15:00:00Z,PYPL,38.052033904,173,Market,Filled,6583.001865392,"" 
2016-03-01T15:00:00Z,NVDA,0.767711224,8612,Market,Filled,6611.529061088,"" 
2016-03-01T15:00:00Z,CMCSA,20.269659882799,326,Market,Filled,6607.9091217924,"" 
2016-03-01T15:00:00Z,ISRG,62.5621540294,-5,Market,Filled,-312.810770147,"" 
2016-03-01T15:00:00Z,NKE,54.209947455,-1,Market,Filled,-54.209947455,"" 
2016-03-01T15:00:00Z,UPS,67.50918894,97,Market,Filled,6548.39132718,"" 
2016-04-01T14:00:00Z,RTX,42.335942364342,-161,Market,Filled,-6816.086720659,"Liquidated" 
2016-04-01T14:00:00Z,UNH,110.25449899,-65,Market,Filled,-7166.54243435,"Liquidated" 
2016-04-01T14:00:00Z,XOM,54.4304644,-126,Market,Filled,-6858.2385144,"Liquidated" 
2016-04-01T14:00:00Z,PYPL,38.51097296,-173,Market,Filled,-6662.39832208,"Liquidated" 
2016-04-01T14:00:00Z,LMT,170.85838855,-39,Market,Filled,-6663.47715345,"Liquidated" 
2016-04-01T14:00:00Z,ISRG,66.7832605395,-105,Market,Filled,-7012.2423566475,"Liquidated" 
2016-04-01T14:00:00Z,NKE,54.243814239,-121,Market,Filled,-6563.501522919,"Liquidated" 
2016-04-01T14:00:00Z,CMCSA,21.445883000889,-326,Market,Filled,-6991.3578582899,"Liquidated" 
2016-04-01T14:00:00Z,PG,63.070185658,4,Market,Filled,252.280742632,"" 
2016-04-01T14:00:00Z,CVX,62.98259346,111,Market,Filled,6991.06787406,"" 
2016-04-01T14:00:00Z,HD,105.730265575,66,Market,Filled,6978.19752795,"" 
2016-04-01T14:00:00Z,KO,34.14280805,-4,Market,Filled,-136.5712322,"" 
2016-04-01T14:00:00Z,UPS,73.746184956,-2,Market,Filled,-147.492369912,"" 
2016-04-01T14:00:00Z,GE,141.13224039827,-2,Market,Filled,-282.26448079654,"" 
2016-04-01T14:00:00Z,ORCL,35.220838577,199,Market,Filled,7008.946876823,"" 
2016-04-01T14:00:00Z,NVDA,0.872243332625,-567,Market,Filled,-494.56196959838,"" 
2016-04-01T14:00:00Z,MSFT,48.707198925,144,Market,Filled,7013.8366452,"" 
2016-04-01T14:00:00Z,AVGO,12.016773615,583,Market,Filled,7005.779017545,"" 
2016-04-01T14:00:00Z,AMD,2.85,2462,Market,Filled,7016.7,"" 
2016-04-01T14:00:00Z,ADBE,93.8,74,Market,Filled,6941.2,"" 
2016-04-01T14:00:00Z,MCD,99.266789568,70,Market,Filled,6948.67526976,"" 
2016-04-01T14:00:00Z,HON,82.127224471474,-4,Market,Filled,-328.5088978859,"" 
2016-04-01T14:00:00Z,META,113.30851112,-1,Market,Filled,-113.30851112,"" 
2016-05-02T14:00:00Z,KO,32.972576,-205,Market,Filled,-6759.37808,"Liquidated" 
2016-05-02T14:00:00Z,AVGO,11.3362120025,-583,Market,Filled,-6609.0115974575,"Liquidated" 
2016-05-02T14:00:00Z,ADBE,94.22,-74,Market,Filled,-6972.28,"Liquidated" 
2016-05-02T14:00:00Z,UPS,73.466499036,-95,Market,Filled,-6979.31740842,"Liquidated" 
2016-05-02T14:00:00Z,PG,61.89462288,-111,Market,Filled,-6870.30313968,"Liquidated" 
2016-05-02T14:00:00Z,HD,106.094770725,-66,Market,Filled,-7002.25486785,"Liquidated" 
2016-05-02T14:00:00Z,ORCL,34.44477984,-199,Market,Filled,-6854.51118816,"Liquidated" 
2016-05-02T14:00:00Z,MSFT,43.980228325,-144,Market,Filled,-6333.1528788,"Liquidated" 
2016-05-02T14:00:00Z,CVX,67.458714882,-7,Market,Filled,-472.211004174,"" 
2016-05-02T14:00:00Z,RTX,44.141881164499,160,Market,Filled,7062.7009863198,"" 
2016-05-02T14:00:00Z,UNH,112.632369488,62,Market,Filled,6983.206908256,"" 
2016-05-02T14:00:00Z,XOM,57.562544,122,Market,Filled,7022.630368,"" 
2016-05-02T14:00:00Z,GE,136.51514288288,2,Market,Filled,273.03028576577,"" 
2016-05-02T14:00:00Z,PEP,76.759796884,92,Market,Filled,7061.901313328,"" 
2016-05-02T14:00:00Z,LMT,179.250890886,39,Market,Filled,6990.784744554,"" 
2016-05-02T14:00:00Z,TMO,140.327481875,50,Market,Filled,7016.37409375,"" 
2016-05-02T14:00:00Z,AMZN,32.902130093,214,Market,Filled,7041.055839902,"" 
2016-05-02T14:00:00Z,NVDA,0.869795273875,81,Market,Filled,70.453417183875,"" 
2016-05-02T14:00:00Z,AMD,3.55,-471,Market,Filled,-1672.05,"" 
2016-05-02T14:00:00Z,ISRG,69.5954796964,101,Market,Filled,7029.1434493364,"" 
2016-05-02T14:00:00Z,HON,83.754376977736,-1,Market,Filled,-83.754376977736,"" 
2016-05-02T14:00:00Z,META,116.764371056,-1,Market,Filled,-116.764371056,"" 
2016-05-25T14:30:00Z,RTX,42.536156098532,-160,Market,Filled,-6805.7849757651,"Liquidated" 
2016-05-25T14:30:00Z,XOM,58.880236275,-122,Market,Filled,-7183.38882555,"Liquidated" 
2016-05-25T14:30:00Z,UNH,113.410737169,-62,Market,Filled,-7031.465704478,"Liquidated" 
2016-05-25T14:30:00Z,PEP,75.314170188,-92,Market,Filled,-6928.903657296,"Liquidated" 
2016-05-25T14:30:00Z,LMT,185.876956609,-39,Market,Filled,-7249.201307751,"Liquidated" 
2016-05-25T14:30:00Z,TMO,146.5826341,-50,Market,Filled,-7329.131705,"Liquidated" 
2016-05-25T14:30:00Z,HON,84.264261569543,-84,Market,Filled,-7078.1979718416,"Liquidated" 
2016-05-25T14:30:00Z,CVX,66.844143022,-104,Market,Filled,-6951.790874288,"Liquidated" 
2016-05-25T14:30:00Z,GE,132.51957772534,-51,Market,Filled,-6758.4984639921,"Liquidated" 
2016-05-25T14:30:00Z,MCD,97.90037052,-70,Market,Filled,-6853.0259364,"Liquidated" 
2016-05-25T14:30:00Z,NVDA,1.1133230976,11619,Market,Filled,12935.701071014,"" 
2016-05-25T14:30:00Z,AMZN,35.12739734,411,Market,Filled,14437.36030674,"" 
2016-05-25T14:30:00Z,AMD,4.2,3243,Market,Filled,13620.6,"" 
2016-05-25T14:30:00Z,ISRG,70.9632559833,208,Market,Filled,14760.357244526,"" 
2016-05-25T14:30:00Z,META,116.88353864,128,Market,Filled,14961.09294592,"" 
2016-06-01T14:00:00Z,CVX,67.357866848,111,Market,Filled,7476.723220128,"" 
2016-06-01T14:00:00Z,MRK,39.755952958586,189,Market,Filled,7513.8751091728,"" 
2016-06-01T14:00:00Z,UNH,114.334514197,65,Market,Filled,7431.743422805,"" 
2016-06-01T14:00:00Z,XOM,58.45342515,128,Market,Filled,7482.0384192,"" 
2016-06-01T14:00:00Z,LMT,183.520606637,41,Market,Filled,7524.344872117,"" 
2016-06-01T14:00:00Z,TMO,147.642994275,51,Market,Filled,7529.792708025,"" 
2016-06-01T14:00:00Z,NVDA,1.1467031552,-13171,Market,Filled,-15103.227257139,"" 
2016-06-01T14:00:00Z,AMZN,36.054716733,-416,Market,Filled,-14998.762160928,"" 
2016-06-01T14:00:00Z,INTU,102.012439824,73,Market,Filled,7446.908107152,"" 
2016-06-01T14:00:00Z,MSFT,47.0674874,160,Market,Filled,7530.797984,"" 
2016-06-01T14:00:00Z,AVGO,12.0058846292,627,Market,Filled,7527.6896625084,"" 
2016-06-01T14:00:00Z,AMD,4.57,-3585,Market,Filled,-16383.45,"" 
2016-06-01T14:00:00Z,ISRG,70.5232564629,-203,Market,Filled,-14316.221061969,"" 
2016-06-01T14:00:00Z,HON,83.86640635185,89,Market,Filled,7464.1101653146,"" 
2016-06-01T14:00:00Z,META,117.985838792,-125,Market,Filled,-14748.229849,"" 
2016-06-29T14:30:00Z,LMT,187.108846523,-41,Market,Filled,-7671.462707443,"Liquidated" 
2016-06-29T14:30:00Z,TMO,139.39514687,-51,Market,Filled,-7109.15249037,"Liquidated" 
2016-06-29T14:30:00Z,NVDA,1.126576944,-6574,Market,Filled,-7406.116829856,"Liquidated" 
2016-06-29T14:30:00Z,INTU,101.371634136,-73,Market,Filled,-7400.129291928,"Liquidated" 
2016-06-29T14:30:00Z,AVGO,11.6856320145,-627,Market,Filled,-7326.8912730915,"Liquidated" 
2016-06-29T14:30:00Z,HON,84.03586320383,-89,Market,Filled,-7479.1918251409,"Liquidated" 
2016-06-29T14:30:00Z,META,111.91822264,-63,Market,Filled,-7050.84802632,"Liquidated" 
2016-06-29T14:30:00Z,MRK,39.596052265178,-189,Market,Filled,-7483.6538781186,"Liquidated" 
2016-06-29T14:30:00Z,AMZN,35.314457465,-209,Market,Filled,-7380.721610185,"Liquidated" 
2016-06-29T14:30:00Z,MSFT,43.905973152,-160,Market,Filled,-7024.95570432,"Liquidated" 
2016-06-29T14:30:00Z,CVX,67.78485808,221,Market,Filled,14980.45363568,"" 
2016-06-29T14:30:00Z,UNH,119.190118476,124,Market,Filled,14779.574691024,"" 
2016-06-29T14:30:00Z,XOM,59.694460575,249,Market,Filled,14863.920683175,"" 
2016-06-29T14:30:00Z,AMD,5.12,2753,Market,Filled,14095.36,"" 
2016-06-29T14:30:00Z,ISRG,70.9565893239,211,Market,Filled,14971.840347343,"" 
2016-07-01T14:00:00Z,CVX,69.939829454,-3,Market,Filled,-209.819488362,"" 
2016-07-01T14:00:00Z,UNH,121.32971472,1,Market,Filled,121.32971472,"" 
2016-07-01T14:00:00Z,XOM,61.55273055,-3,Market,Filled,-184.65819165,"" 
2016-07-01T14:00:00Z,AMD,5.14,88,Market,Filled,452.32,"" 
2016-07-01T14:00:00Z,ISRG,73.4899198959,-3,Market,Filled,-220.4697596877,"" 
2016-07-06T14:30:00Z,AMD,4.96,-4490,Market,Filled,-22270.4,"Liquidated" 
2016-07-06T14:30:00Z,CVX,69.099190466,1,Market,Filled,69.099190466,"" 
2016-07-06T14:30:00Z,UNH,121.639053936,-3,Market,Filled,-364.917161808,"" 
2016-07-06T14:30:00Z,LMT,193.718353326,117,Market,Filled,22665.047339142,"" 
2016-07-06T14:30:00Z,ISRG,73.8521417233,-5,Market,Filled,-369.2607086165,"" 
2016-08-01T14:00:00Z,XOM,58.407460875,-374,Market,Filled,-21844.39036725,"Liquidated" 
2016-08-01T14:00:00Z,CVX,68.391986238,-330,Market,Filled,-22569.35545854,"Liquidated" 
2016-08-01T14:00:00Z,MRK,41.790291937304,182,Market,Filled,7605.8331325893,"" 
2016-08-01T14:00:00Z,CAT,66.861663308,114,Market,Filled,7622.229617112,"" 
2016-08-01T14:00:00Z,ABBV,44.974812723,169,Market,Filled,7600.743350187,"" 
2016-08-01T14:00:00Z,RTX,45.831420318356,166,Market,Filled,7608.0157728471,"" 
2016-08-01T14:00:00Z,UNH,123.04826592,-125,Market,Filled,-15381.03324,"" 
2016-08-01T14:00:00Z,PEP,81.762233011,93,Market,Filled,7603.887670023,"" 
2016-08-01T14:00:00Z,LMT,196.289148569,-79,Market,Filled,-15506.842736951,"" 
2016-08-01T14:00:00Z,QCOM,48.115746924,158,Market,Filled,7602.288013992,"" 
2016-08-01T14:00:00Z,NVDA,1.401471536,5454,Market,Filled,7643.625757344,"" 
2016-08-01T14:00:00Z,AMZN,37.851491587,201,Market,Filled,7608.149808987,"" 
2016-08-01T14:00:00Z,CMCSA,23.818134238464,320,Market,Filled,7621.8029563085,"" 
2016-08-01T14:00:00Z,AMD,6.86,1114,Market,Filled,7642.04,"" 
2016-08-01T14:00:00Z,ISRG,77.3065824024,-211,Market,Filled,-16311.688886906,"" 
2016-08-01T14:00:00Z,HON,85.708328655984,89,Market,Filled,7628.0412503826,"" 
2016-08-01T14:00:00Z,META,123.080253008,62,Market,Filled,7630.975686496,"" 
2016-09-01T14:00:00Z,LMT,189.991995102,-38,Market,Filled,-7219.695813876,"Liquidated" 
2016-09-01T14:00:00Z,UNH,116.90444538,-62,Market,Filled,-7248.07561356,"Liquidated" 
2016-09-01T14:00:00Z,PEP,80.682443728,-93,Market,Filled,-7503.467266704,"Liquidated" 
2016-09-01T14:00:00Z,ABBV,43.52839341,-169,Market,Filled,-7356.29848629,"Liquidated" 
2016-09-01T14:00:00Z,MRK,44.73256786129,-182,Market,Filled,-8141.3273507549,"Liquidated" 
2016-09-01T14:00:00Z,ISRG,76.2688057558,-98,Market,Filled,-7474.3429640684,"Liquidated" 
2016-09-01T14:00:00Z,CMCSA,23.113329968805,-320,Market,Filled,-7396.2655900177,"Liquidated" 
2016-09-01T14:00:00Z,PG,67.977618987,113,Market,Filled,7681.470945531,"" 
2016-09-01T14:00:00Z,CAT,66.207265685,2,Market,Filled,132.41453137,"" 
2016-09-01T14:00:00Z,RTX,45.587637975769,2,Market,Filled,91.175275951537,"" 
2016-09-01T14:00:00Z,BLK,296.323256532,25,Market,Filled,7408.0814133,"" 
2016-09-01T14:00:00Z,QCOM,48.90409958,-1,Market,Filled,-48.90409958,"" 
2016-09-01T14:00:00Z,ORCL,35.75103345,215,Market,Filled,7686.47219175,"" 
2016-09-01T14:00:00Z,JPM,52.4025315,146,Market,Filled,7650.769599,"" 
2016-09-01T14:00:00Z,NVDA,1.5083131826,-356,Market,Filled,-536.9594930056,"" 
2016-09-01T14:00:00Z,AMZN,38.367777532,-1,Market,Filled,-38.367777532,"" 
2016-09-01T14:00:00Z,AVGO,13.764967617,558,Market,Filled,7680.851930286,"" 
2016-09-01T14:00:00Z,MS,24.596893664,312,Market,Filled,7674.230823168,"" 
2016-09-01T14:00:00Z,AMD,7.4,-75,Market,Filled,-555,"" 
2016-09-01T14:00:00Z,UPS,77.499202634,99,Market,Filled,7672.421060766,"" 
