Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:00:00Z,AAPL,74.51450928675,89,Market,Filled,6631.7913265207,"" 
2020-02-03T15:00:00Z,GS,205.077562875,32,Market,Filled,6562.482012,"" 
2020-02-03T15:00:00Z,LLY,129.684699657,51,Market,Filled,6613.919682507,"" 
2020-02-03T15:00:00Z,MSFT,161.262147416,41,Market,Filled,6611.748044056,"" 
2020-02-03T15:00:00Z,RTX,69.054499737495,96,Market,Filled,6629.2319747996,"" 
2020-02-03T15:00:00Z,NVDA,5.883939429075,1133,Market,Filled,6666.503373142,"" 
2020-02-03T15:00:00Z,BLK,453.559338345,14,Market,Filled,6349.83073683,"" 
2020-02-03T15:00:00Z,AMD,47,141,Market,Filled,6627,"" 
2020-02-03T15:00:00Z,MA,305.890074976,21,Market,Filled,6423.691574496,"" 
2020-02-03T15:00:00Z,ADBE,351.14,18,Market,Filled,6320.52,"" 
2020-02-03T15:00:00Z,LMT,361.852367135,18,Market,Filled,6513.34260843,"" 
2020-02-03T15:00:00Z,MS,43.280453424,154,Market,Filled,6665.189827296,"" 
2020-02-03T15:00:00Z,PG,107.130827388,62,Market,Filled,6642.111298056,"" 
2020-02-03T15:00:00Z,GOOGL,71.0517607892,93,Market,Filled,6607.8137533956,"" 
2020-02-03T15:00:00Z,KO,48.241788805,138,Market,Filled,6657.36685509,"" 
2020-03-02T15:00:00Z,GS,174.238344885,-32,Market,Filled,-5575.62703632,"Liquidated" 
2020-03-02T15:00:00Z,RTX,60.32452402461,-96,Market,Filled,-5791.1543063625,"Liquidated" 
2020-03-02T15:00:00Z,BLK,398.222260827,-14,Market,Filled,-5575.111651578,"Liquidated" 
2020-03-02T15:00:00Z,LMT,314.685689604,-18,Market,Filled,-5664.342412872,"Liquidated" 
2020-03-02T15:00:00Z,MS,37.32359163,-154,Market,Filled,-5747.83311102,"Liquidated" 
2020-03-02T15:00:00Z,MA,281.0172636,-21,Market,Filled,-5901.3625356,"Liquidated" 
2020-03-02T15:00:00Z,PG,97.37602104,-62,Market,Filled,-6037.31330448,"Liquidated" 
2020-03-02T15:00:00Z,AAPL,65.967590568,4,Market,Filled,263.870362272,"" 
2020-03-02T15:00:00Z,NFLX,36.903,167,Market,Filled,6162.801,"" 
2020-03-02T15:00:00Z,LLY,117.753353536,1,Market,Filled,117.753353536,"" 
2020-03-02T15:00:00Z,PEP,108.98706816,56,Market,Filled,6103.27581696,"" 
2020-03-02T15:00:00Z,MSFT,153.894384467,-1,Market,Filled,-153.894384467,"" 
2020-03-02T15:00:00Z,NVDA,6.7251454043,-217,Market,Filled,-1459.3565527331,"" 
2020-03-02T15:00:00Z,ABBV,67.011763916,91,Market,Filled,6098.070516356,"" 
2020-03-02T15:00:00Z,KO,44.193411255,1,Market,Filled,44.193411255,"" 
2020-03-02T15:00:00Z,JPM,98.589558328,62,Market,Filled,6112.552616336,"" 
2020-03-02T15:00:00Z,SQ,83.34,73,Market,Filled,6083.82,"" 
2020-03-02T15:00:00Z,ADBE,345.12,-1,Market,Filled,-345.12,"" 
2020-03-02T15:00:00Z,CRM,168.35445024,36,Market,Filled,6060.76020864,"" 
2020-03-02T15:00:00Z,HD,187.224109919,32,Market,Filled,5991.171517408,"" 
2020-03-02T15:00:00Z,GOOGL,66.413594995,-1,Market,Filled,-66.413594995,"" 
2020-03-02T15:00:00Z,AMD,45.48,-6,Market,Filled,-272.88,"" 
2020-03-18T14:30:00Z,NFLX,31.975,-167,Market,Filled,-5339.825,"Liquidated" 
2020-03-18T14:30:00Z,PEP,106.141156804,-56,Market,Filled,-5943.904781024,"Liquidated" 
2020-03-18T14:30:00Z,SQ,44.73,-73,Market,Filled,-3265.29,"Liquidated" 
2020-03-18T14:30:00Z,CRM,133.794364152,-36,Market,Filled,-4816.597109472,"Liquidated" 
2020-03-18T14:30:00Z,GOOGL,55.4447519284,-92,Market,Filled,-5100.9171774128,"Liquidated" 
2020-03-18T14:30:00Z,AMD,41.88,-135,Market,Filled,-5653.8,"Liquidated" 
2020-03-18T14:30:00Z,NVDA,5.4103467323,-916,Market,Filled,-4955.8776067868,"Liquidated" 
2020-03-18T14:30:00Z,ABBV,57.220269633,-91,Market,Filled,-5207.044536603,"Liquidated" 
2020-03-18T14:30:00Z,JPM,79.612066048,-62,Market,Filled,-4935.948094976,"Liquidated" 
2020-03-18T14:30:00Z,HD,150.186306288,-32,Market,Filled,-4805.961801216,"Liquidated" 
2020-03-18T14:30:00Z,KO,39.321949254,-139,Market,Filled,-5465.750946306,"Liquidated" 
2020-03-18T14:30:00Z,COST,280.87650963,56,Market,Filled,15729.08453928,"" 
2020-03-18T14:30:00Z,AAPL,61.020503918,169,Market,Filled,10312.465162142,"" 
2020-03-18T14:30:00Z,LLY,133.78304576,67,Market,Filled,8963.46406592,"" 
2020-03-18T14:30:00Z,MSFT,139.227825019,74,Market,Filled,10302.859051406,"" 
2020-03-18T14:30:00Z,ADBE,311.81,34,Market,Filled,10601.54,"" 
2020-04-01T14:00:00Z,ADBE,318.24,-51,Market,Filled,-16230.24,"Liquidated" 
2020-04-01T14:00:00Z,AAPL,61.365593377,-262,Market,Filled,-16077.785464774,"Liquidated" 
2020-04-01T14:00:00Z,NFLX,37.55,425,Market,Filled,15958.75,"" 
2020-04-01T14:00:00Z,LLY,129.507216384,4,Market,Filled,518.028865536,"" 
2020-04-01T14:00:00Z,MSFT,149.809785657,-8,Market,Filled,-1198.478285256,"" 
2020-04-01T14:00:00Z,NVDA,6.564032764,2436,Market,Filled,15989.983813104,"" 
2020-04-01T14:00:00Z,AMZN,97.257297844,164,Market,Filled,15950.196846416,"" 
2020-04-01T14:30:00Z,MSFT,149.809785657,-106,Market,Filled,-15879.837279642,"Liquidated" 
2020-04-01T14:30:00Z,ABBV,59.728899073,267,Market,Filled,15947.616052491,"" 
2020-04-01T14:30:00Z,NVDA,6.564032764,-1,Market,Filled,-6.564032764,"" 
2020-05-01T14:00:00Z,AAPL,70.90019794,86,Market,Filled,6097.41702284,"" 
2020-05-01T14:00:00Z,NFLX,41.985,-279,Market,Filled,-11713.815,"" 
2020-05-01T14:00:00Z,LLY,144.369924608,-81,Market,Filled,-11693.963893248,"" 
2020-05-01T14:00:00Z,MSFT,170.232779707,36,Market,Filled,6128.380069452,"" 
2020-05-01T14:00:00Z,BLK,435.066960328,14,Market,Filled,6090.937444592,"" 
2020-05-01T14:00:00Z,ABBV,65.32192085,-173,Market,Filled,-11300.69230705,"" 
2020-05-01T14:00:00Z,NVDA,7.2782074972,-1592,Market,Filled,-11586.906335542,"" 
2020-05-01T14:00:00Z,GOOGL,66.783041538,91,Market,Filled,6077.256779958,"" 
2020-05-01T14:00:00Z,TMO,329.449821768,18,Market,Filled,5930.096791824,"" 
2020-05-01T14:00:00Z,ADBE,353.64,17,Market,Filled,6011.88,"" 
2020-05-01T14:00:00Z,UNH,264.309204333,23,Market,Filled,6079.111699659,"" 
2020-05-01T14:00:00Z,ABT,83.00421258,73,Market,Filled,6059.30751834,"" 
2020-05-01T14:00:00Z,AMZN,123.4097998,-115,Market,Filled,-14192.126977,"" 
2020-05-01T14:00:00Z,META,203.116066527,30,Market,Filled,6093.48199581,"" 
2020-05-01T14:00:00Z,AMD,52.39,117,Market,Filled,6129.63,"" 
2020-06-01T14:00:00Z,TMO,343.733068194,-18,Market,Filled,-6187.195227492,"Liquidated" 
2020-06-01T14:00:00Z,ABT,85.66662888,-73,Market,Filled,-6253.66390824,"Liquidated" 
2020-06-01T14:00:00Z,AAPL,76.933388427,-2,Market,Filled,-153.866776854,"" 
2020-06-01T14:00:00Z,NFLX,41.973,9,Market,Filled,377.757,"" 
2020-06-01T14:00:00Z,LLY,143.46437749,3,Market,Filled,430.39313247,"" 
2020-06-01T14:00:00Z,MSFT,174.55519065,1,Market,Filled,174.55519065,"" 
2020-06-01T14:00:00Z,NVDA,8.8405269798,-106,Market,Filled,-937.0958598588,"" 
2020-06-01T14:00:00Z,ABBV,73.731819795,-6,Market,Filled,-442.39091877,"" 
2020-06-01T14:00:00Z,PYPL,154.18565682,42,Market,Filled,6475.79758644,"" 
2020-06-01T14:00:00Z,SQ,81.08,80,Market,Filled,6486.4,"" 
