Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,205.077562875,174.238344885,32,-986.85,2,-986.85,180.8,1167.65,0,"	2,16" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,96,-838.08,2,-838.08,292.62,1130.7,0,"	5,17" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,453.559338345,398.222260827,14,-774.72,2,-774.72,543.41,1318.13,0,"	7,18" 
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,361.852367135,314.685689604,18,-849,2,-849,179.4,1028.4,0,"	11,19" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,154,-917.36,2,-917.36,519.28,1436.64,0,"	12,20" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,21,-522.33,2,-612.4,582.11,1194.5,0,"	9,21" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,62,-604.8,2,-604.8,138.67,743.46,0,"	13,22" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262147416,153.894384467,1,-7.37,2,-11.01,17.5,28.5,0,"	4,27" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.883939429075,6.7251454043,217,182.54,6.75,0,422.69,334.55,1,"	6,28" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	10,33" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.0517607892,66.413594995,1,-4.64,2,-5.84,4.57,10.41,0,"	14,36" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,6,-9.12,2,-17.94,71.4,89.34,0,"	8,37" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.0517607892,55.4447519284,92,-1435.84,1,-1641.42,420.14,2061.56,0,"	14,42" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,135,-691.2,1,-1119.15,1606.5,2725.65,0,"	8,43" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.883939429075,5.4103467323,916,-433.81,4.58,-909.85,1784.25,2694.1,0,"	6,44" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.241788805,39.321949254,138,-1230.94,2,-1451.77,198.39,1650.15,0,"	15,48" 
2020-02-03T15:00:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,351.14,318.24,17,-559.3,1,-1124.38,546.38,1670.76,0,"	10,54" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,89,-1170.25,2.31,-1812.86,395.68,2208.54,0,"	1,55" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:00:00Z,Buy,161.262147416,149.809785657,8,-91.62,1,-261.01,139.98,400.98,0,"	4,58" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,161.262147416,149.809785657,32,-366.48,1,-1044.03,559.9,1603.93,0,"	4,61" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,51,748.95,2,-945.6,1145.09,1311.28,1,"	3,66" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,167,-822.98,2,-1172.17,246.49,1418.66,0,"	24,38" 
2020-03-02T15:00:00Z,"PEP",2020-03-18T14:30:00Z,Buy,108.98706816,106.141156804,56,-159.37,2,-840.23,478.91,1319.14,0,"	26,39" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,73,-2818.53,2,-3075.49,0,3075.49,0,"	32,40" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,36,-1244.16,2,-1639.68,226.21,1865.89,0,"	34,41" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.011763916,57.220269633,91,-891.03,2,-891.03,450.86,1341.89,0,"	29,45" 
2020-03-02T15:00:00Z,"JPM",2020-03-18T14:30:00Z,Buy,98.589558328,79.612066048,62,-1176.6,2,-1477.2,284.81,1762.01,0,"	31,46" 
2020-03-02T15:00:00Z,"HD",2020-03-18T14:30:00Z,Buy,187.224109919,150.186306288,32,-1185.21,2,-1425.45,635.66,2061.11,0,"	35,47" 
2020-03-02T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,44.193411255,39.321949254,1,-4.87,1,-6.47,5.49,10.96,0,"	30,48" 
2020-03-02T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,65.967590568,61.365593377,4,-18.41,1,-47.29,51.97,75.65,0,"	23,55" 
2020-03-02T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,117.753353536,144.369924608,1,26.62,1,-6.61,34.38,22.65,1,"	25,66" 
2020-03-18T14:30:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,311.81,318.24,34,218.62,1,-911.54,2429.98,584.8,1,"	53,54" 
2020-03-18T14:30:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,61.020503918,61.365593377,169,58.32,1,-1161.92,3031.83,1161.92,1,"	50,55" 
2020-03-18T14:30:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,139.227825019,149.809785657,74,783.07,1,-783.77,2925.32,744.4,1,"	52,61" 
2020-03-18T14:30:00Z,"LLY",2020-05-01T14:00:00Z,Buy,133.78304576,144.369924608,29,307.02,1,-656.55,532.28,656.82,1,"	51,66" 
2020-03-18T14:30:00Z,"LLY",2020-08-03T14:00:00Z,Buy,133.78304576,140.969344838,38,273.08,1,-860.3,944.6,860.66,1,"	51,107" 
2020-03-18T14:30:00Z,"COST",2020-11-02T15:00:00Z,Buy,280.87650963,329.284301158,56,2710.84,2,-1338.81,3906.49,1364.94,1,"	49,169" 
2020-04-01T14:00:00Z,"NVDA",2020-04-01T14:30:00Z,Buy,6.564032764,6.564032764,1,0,13.18,0,0,0,0,"	59,63" 
2020-04-01T14:00:00Z,"NFLX",2020-05-01T14:00:00Z,Buy,37.55,41.985,279,1237.36,3.52,-383.35,1776.39,985.99,1,"	56,65" 
2020-04-01T14:00:00Z,"NVDA",2020-05-01T14:00:00Z,Buy,6.564032764,7.2782074972,1592,1136.97,7.96,-813.87,1381.96,998.61,1,"	59,70" 
2020-04-01T14:00:00Z,"AMZN",2020-05-01T14:00:00Z,Buy,97.257297844,123.4097998,115,3007.54,2,-247.42,3007.54,551.51,1,"	60,76" 
2020-04-01T14:00:00Z,"NVDA",2020-06-01T14:00:00Z,Buy,6.564032764,8.8405269798,106,241.31,1,-54.19,257.22,66.49,1,"	59,85" 
2020-04-01T14:00:00Z,"NFLX",2020-07-01T14:00:00Z,Buy,37.55,45.504,1,7.95,1,-1.37,9.25,4.08,1,"	56,96" 
2020-04-01T14:00:00Z,"AMZN",2020-07-01T14:00:00Z,Buy,97.257297844,137.617390414,3,121.08,1,-6.45,121.92,28.13,1,"	60,105" 
2020-04-01T14:00:00Z,"LLY",2020-08-03T14:00:00Z,Buy,129.507216384,140.969344838,4,45.85,1,-73.45,116.53,77.58,1,"	57,107" 
2020-04-01T14:00:00Z,"NVDA",2020-08-03T14:00:00Z,Buy,6.564032764,10.577748042975,18,72.25,1,-9.2,72.25,11.29,1,"	59,114" 
2020-04-01T14:00:00Z,"AMZN",2020-08-03T14:00:00Z,Buy,97.257297844,157.862783036,2,121.21,1,-4.3,124.73,23.75,1,"	60,122" 
2020-04-01T14:00:00Z,"NVDA",2020-09-01T14:00:00Z,Buy,6.564032764,13.32787783045,75,507.29,1,-38.34,507.29,47.05,1,"	59,132" 
2020-04-01T14:00:00Z,"NFLX",2020-09-30T14:30:00Z,Buy,37.55,49.348,145,1710.71,1,-199.23,2625.22,1255.56,1,"	56,144" 
2020-04-01T14:00:00Z,"AMZN",2020-09-30T14:30:00Z,Buy,97.257297844,156.875105576,44,2623.18,1,-94.66,3471.64,1265.41,1,"	60,149" 
2020-04-01T14:00:00Z,"NVDA",2020-10-01T14:00:00Z,Buy,6.564032764,13.4873674721,39,270.01,1,-19.94,301.73,94.6,1,"	59,162" 
2020-04-01T14:00:00Z,"NVDA",2020-10-07T14:30:00Z,Buy,6.564032764,13.6927107853,4,28.51,1,-2.04,30.95,9.7,1,"	59,167" 
2020-04-01T14:00:00Z,"NVDA",2020-11-02T15:00:00Z,Buy,6.564032764,12.4940441148,601,3563.94,9.09,-307.25,4649.78,1457.87,1,"	59,171" 
2020-04-01T14:30:00Z,"ABBV",2020-05-01T14:00:00Z,Buy,59.728899073,65.32192085,173,967.59,2.335,-387.88,1324.09,499.65,1,"	62,69" 
2020-04-01T14:30:00Z,"ABBV",2020-06-01T14:00:00Z,Buy,59.728899073,73.731819795,6,84.02,1,-13.45,85.69,17.33,1,"	62,86" 
2020-04-01T14:30:00Z,"ABBV",2020-08-03T14:00:00Z,Buy,59.728899073,76.45950177,88,1472.29,1,-197.3,1889.01,416.72,1,"	62,109" 
2020-05-01T14:00:00Z,"TMO",2020-06-01T14:00:00Z,Buy,329.449821768,343.733068194,18,257.1,2,-141.04,257.1,255.15,1,"	72,79" 
2020-05-01T14:00:00Z,"ABT",2020-06-01T14:00:00Z,Buy,83.00421258,85.66662888,73,194.36,2,-247.06,270.12,517.19,1,"	75,80" 
2020-05-01T14:00:00Z,"AAPL",2020-06-01T14:00:00Z,Buy,70.90019794,76.933388427,2,12.07,2,-2.28,12.69,3.56,1,"	64,81" 
2020-05-01T14:00:00Z,"ADBE",2020-06-01T14:00:00Z,Buy,353.64,386.6,1,32.96,2,-9.8,32.96,16.03,1,"	73,90" 
2020-05-01T14:00:00Z,"META",2020-06-01T14:00:00Z,Buy,203.116066527,223.337381733,1,20.22,2,-2.42,29.96,9.74,1,"	77,91" 
