Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.283864298929,60.524888033182,96,-840.86,2,-840.86,293.59,1134.46,0,"	1,16" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,21,-522.33,2,-612.4,582.11,1194.5,0,"	2,17" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,206.156829,175.155301629,32,-992.05,2,-992.05,181.75,1173.8,0,"	5,18" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,154,-917.36,2,-917.36,519.28,1436.64,0,"	8,19" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,456.08434288,400.439199008,14,-779.03,2,-779.03,546.44,1325.47,0,"	9,20" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,62,-604.8,2,-604.8,138.67,743.46,0,"	10,21" 
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,363.75937269,316.344122787,18,-853.47,2,-853.47,180.35,1033.82,0,"	12,22" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.8842580185,6.725509323625,216,181.71,6.74,0,420.76,333.02,1,"	3,23" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	4,25" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,6,-9.12,2,-17.94,71.4,89.34,0,"	6,27" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.101779139,66.4603482125,1,-4.64,2,-5.85,4.57,10.42,0,"	11,32" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262062301,153.894287261,1,-7.37,2,-11.01,17.5,28.5,0,"	14,36" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,135,-691.2,1,-1119.15,1606.5,2725.65,0,"	6,39" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.573496556,39.59232368,137,-1230.42,2,-1451.16,198.3,1649.46,0,"	15,41" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.8842580185,5.410639503625,916,-433.83,4.58,-909.9,1784.35,2694.25,0,"	3,42" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.101779139,55.483783403,92,-1436.86,1,-1642.58,420.44,2063.01,0,"	11,46" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,89,-1170.25,2.31,-1812.86,395.68,2208.54,0,"	13,54" 
2020-02-03T15:00:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,351.14,318.24,17,-559.3,1,-1124.38,546.38,1670.76,0,"	4,55" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:00:00Z,Buy,161.262062301,149.809691031,8,-91.62,1,-261.01,139.98,400.98,0,"	14,60" 
2020-02-03T15:00:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,161.262062301,149.809691031,32,-366.48,1,-1044.02,559.9,1603.93,0,"	14,61" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,51,748.95,2,-945.6,1145.09,1311.28,1,"	7,70" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.011763916,57.220269633,91,-891.03,2,-891.03,450.86,1341.89,0,"	24,38" 
2020-03-02T15:00:00Z,"HD",2020-03-18T14:30:00Z,Buy,188.47580675,151.190379588,32,-1193.13,2,-1434.98,639.91,2074.89,0,"	30,40" 
2020-03-02T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,44.497282596,39.59232368,1,-4.9,1,-6.52,5.52,11.03,0,"	37,41" 
2020-03-02T15:00:00Z,"JPM",2020-03-18T14:30:00Z,Buy,98.589558328,79.612066048,62,-1176.6,2,-1477.2,284.81,1762.01,0,"	26,43" 
2020-03-02T15:00:00Z,"PEP",2020-03-18T14:30:00Z,Buy,109.960419726,107.089107416,56,-160.79,2,-847.73,483.18,1330.92,0,"	29,44" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,36,-1244.16,2,-1639.68,226.21,1865.89,0,"	31,45" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,73,-2818.53,2,-3075.49,0,3075.49,0,"	33,47" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,166,-818.05,2,-1165.15,245.02,1410.17,0,"	35,48" 
2020-03-02T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,65.967590568,61.365593377,4,-18.41,1,-47.29,51.97,75.65,0,"	34,54" 
2020-03-02T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,117.753353536,144.369924608,1,26.62,1,-6.61,34.38,22.65,1,"	28,70" 
2020-03-18T14:30:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,61.020503918,61.365593377,169,58.32,1,-1161.92,3031.83,1161.92,1,"	52,54" 
2020-03-18T14:30:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,311.81,318.24,34,218.62,1,-911.54,2429.98,584.8,1,"	49,55" 
2020-03-18T14:30:00Z,"MSFT",2020-04-01T14:30:00Z,Buy,139.227737077,149.809691031,74,783.06,1,-783.77,2925.32,744.4,1,"	53,61" 
2020-03-18T14:30:00Z,"LLY",2020-05-01T14:00:00Z,Buy,133.78304576,144.369924608,29,307.02,1,-656.55,532.28,656.82,1,"	51,70" 
2020-03-18T14:30:00Z,"LLY",2020-08-03T14:00:00Z,Buy,133.78304576,140.969344838,38,273.08,1,-860.3,944.6,860.66,1,"	51,108" 
2020-03-18T14:30:00Z,"COST",2020-11-02T15:00:00Z,Buy,280.87650963,329.284301158,56,2710.84,2,-1338.81,3906.49,1364.94,1,"	50,170" 
2020-04-01T14:00:00Z,"NVDA",2020-04-01T14:30:00Z,Buy,6.564387965,6.564387965,1,0,13.175,0,0,0,0,"	56,62" 
