Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:00:00Z,AAPL,170.813228076,39,Market,Filled,6661.715894964,"" 
2022-02-01T15:00:00Z,KO,54.144630114,123,Market,Filled,6659.789504022,"" 
2022-02-01T15:00:00Z,MRK,72.00941088,92,Market,Filled,6624.86580096,"" 
2022-02-01T15:00:00Z,MCD,236.75502637,28,Market,Filled,6629.14073836,"" 
2022-02-01T15:00:00Z,RTX,82.365773987,80,Market,Filled,6589.26191896,"" 
2022-02-01T15:00:00Z,LMT,349.561824938,19,Market,Filled,6641.674673822,"" 
2022-02-01T15:00:00Z,CVX,110.679009672,60,Market,Filled,6640.74058032,"" 
2022-02-01T15:00:00Z,AXP,171.70769043,38,Market,Filled,6524.89223634,"" 
2022-02-01T15:00:00Z,UNH,441.710092089,15,Market,Filled,6625.651381335,"" 
2022-02-01T15:00:00Z,ABBV,118.26805269,56,Market,Filled,6623.01095064,"" 
2022-02-01T15:00:00Z,MS,89.631946926,74,Market,Filled,6632.764072524,"" 
2022-02-01T15:00:00Z,PG,144.90990163,46,Market,Filled,6665.85547498,"" 
2022-02-01T15:00:00Z,COP,74.899949082,89,Market,Filled,6666.095468298,"" 
2022-02-01T15:00:00Z,XOM,65.4123657,101,Market,Filled,6606.6489357,"" 
2022-02-01T15:00:00Z,PEP,153.069609528,43,Market,Filled,6581.993209704,"" 
2022-03-01T15:00:00Z,AAPL,161.578060416,-39,Market,Filled,-6301.544356224,"Liquidated" 
2022-03-01T15:00:00Z,MRK,67.70334714,-92,Market,Filled,-6228.70793688,"Liquidated" 
2022-03-01T15:00:00Z,MCD,224.60168631,-28,Market,Filled,-6288.84721668,"Liquidated" 
2022-03-01T15:00:00Z,MS,79.308626337,-74,Market,Filled,-5868.838348938,"Liquidated" 
2022-03-01T15:00:00Z,PEP,144.442242186,-43,Market,Filled,-6211.016413998,"Liquidated" 
2022-03-01T15:00:00Z,RTX,94.31194669,-8,Market,Filled,-754.49557352,"" 
2022-03-01T15:00:00Z,LMT,392.28673615,-2,Market,Filled,-784.5734723,"" 
2022-03-01T15:00:00Z,AMD,123.34,55,Market,Filled,6783.7,"" 
2022-03-01T15:00:00Z,CVX,122.6215008,-5,Market,Filled,-613.107504,"" 
2022-03-01T15:00:00Z,AVGO,54.4157890752,125,Market,Filled,6801.9736344,"" 
2022-03-01T15:00:00Z,AXP,185.70632652,-2,Market,Filled,-371.41265304,"" 
2022-03-01T15:00:00Z,ABBV,127.71532168,-3,Market,Filled,-383.14596504,"" 
2022-03-01T15:00:00Z,PG,140.764716235,2,Market,Filled,281.52943247,"" 
2022-03-01T15:00:00Z,COP,80.577157464,-5,Market,Filled,-402.88578732,"" 
2022-03-01T15:00:00Z,XOM,68.324678411,-2,Market,Filled,-136.649356822,"" 
2022-03-01T15:00:00Z,QCOM,157.275584739,43,Market,Filled,6762.850143777,"" 
2022-03-01T15:00:00Z,COST,495.12429495,13,Market,Filled,6436.61583435,"" 
2022-03-01T15:00:00Z,NVDA,24.3369981275,279,Market,Filled,6790.0224775725,"" 
2022-03-16T14:30:00Z,LMT,405.72313329,-17,Market,Filled,-6897.29326593,"Liquidated" 
2022-03-16T14:30:00Z,AMD,109.33,-55,Market,Filled,-6013.15,"Liquidated" 
2022-03-16T14:30:00Z,PG,135.707409435,-48,Market,Filled,-6513.95565288,"Liquidated" 
2022-03-16T14:30:00Z,KO,53.316067376,-123,Market,Filled,-6557.876287248,"Liquidated" 
2022-03-16T14:30:00Z,RTX,89.646857214,-72,Market,Filled,-6454.573719408,"Liquidated" 
2022-03-16T14:30:00Z,AVGO,54.9085917408,-125,Market,Filled,-6863.5739676,"Liquidated" 
2022-03-16T14:30:00Z,AXP,168.09821946,-36,Market,Filled,-6051.53590056,"Liquidated" 
2022-03-16T14:30:00Z,UNH,466.772550867,-15,Market,Filled,-7001.588263005,"Liquidated" 
2022-03-16T14:30:00Z,QCOM,132.422375547,-43,Market,Filled,-5694.162148521,"Liquidated" 
2022-03-16T14:30:00Z,NVDA,22.9316853568,-279,Market,Filled,-6397.9402145472,"Liquidated" 
2022-03-16T14:30:00Z,CVX,134.79849706,93,Market,Filled,12536.26022658,"" 
2022-03-16T14:30:00Z,ABBV,134.73378684,95,Market,Filled,12799.7097498,"" 
2022-03-16T14:30:00Z,COP,80.73854962,164,Market,Filled,13241.12213768,"" 
2022-03-16T14:30:00Z,XOM,67.322594746,198,Market,Filled,13329.873759708,"" 
2022-03-16T14:30:00Z,COST,517.122402768,25,Market,Filled,12928.0600692,"" 
2022-04-01T14:00:00Z,AAPL,170.864493273,41,Market,Filled,7005.444224193,"" 
2022-04-01T14:00:00Z,KO,55.4444176,126,Market,Filled,6985.9966176,"" 
2022-04-01T14:00:00Z,MRK,73.19411376,95,Market,Filled,6953.4408072,"" 
2022-04-01T14:00:00Z,MCD,226.90486984,30,Market,Filled,6807.1460952,"" 
2022-04-01T14:00:00Z,ABNB,171.76,40,Market,Filled,6870.4,"" 
2022-04-01T14:00:00Z,CVX,138.638934342,-98,Market,Filled,-13586.615565516,"" 
2022-04-01T14:00:00Z,AVGO,58.7229996864,119,Market,Filled,6988.0369626816,"" 
2022-04-01T14:00:00Z,ABBV,140.11864373,-98,Market,Filled,-13731.62708554,"" 
2022-04-01T14:00:00Z,UNH,478.078363089,14,Market,Filled,6693.097083246,"" 
2022-04-01T14:00:00Z,COP,85.19708,-166,Market,Filled,-14142.71528,"" 
2022-04-01T14:00:00Z,CAT,207.36253096,33,Market,Filled,6842.96352168,"" 
