Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2023-02-01T15:00:00Z,"XOM",2023-03-01T15:00:00Z,Buy,103.991106296,99.039803016,64,-316.88,2,-316.88,180.06,496.95,0,"	1,16" 
2023-02-01T15:00:00Z,"CAT",2023-03-01T15:00:00Z,Buy,240.287278021,228.153384795,27,-327.62,2,-414.53,0,414.53,0,"	2,17" 
2023-02-01T15:00:00Z,"COP",2023-03-01T15:00:00Z,Buy,109.666620672,93.4151712,60,-975.09,2,-975.09,0,975.09,0,"	3,18" 
2023-02-01T15:00:00Z,"GS",2023-03-01T15:00:00Z,Buy,337.486392549,324.422760285,19,-248.21,2,-248.21,162.84,411.05,0,"	13,19" 
2023-02-01T15:00:00Z,"RTX",2023-03-01T15:00:00Z,Buy,93.014818175,91.878068199,71,-80.71,2,-222.89,109.79,222.89,0,"	6,20" 
2023-02-01T15:00:00Z,"MA",2023-03-01T15:00:00Z,Buy,364.18576638,349.140747267,18,-270.81,2,-309.19,78.89,388.08,0,"	8,21" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,188,-596.52,2,-690.15,244.96,935.11,0,"	11,22" 
2023-02-01T15:00:00Z,"BLK",2023-03-01T15:00:00Z,Buy,702.336212322,637.783557726,9,-580.97,2,-634.01,95.91,729.92,0,"	14,23" 
2023-02-01T15:00:00Z,"UBER",2023-03-01T15:00:00Z,Buy,30.93,33.26,21,48.93,2.075,0,123.9,74.97,1,"	4,24" 
2023-02-01T15:00:00Z,"GE",2023-03-01T15:00:00Z,Buy,63.164397456306,66.484295583047,8,26.56,2,0,26.94,19.78,1,"	5,27" 
2023-02-01T15:00:00Z,"JPM",2023-03-01T15:00:00Z,Buy,130.359499784,133.51696409,3,9.47,2,-3.91,10.73,14.64,1,"	7,28" 
2023-02-01T15:00:00Z,"AXP",2023-03-01T15:00:00Z,Buy,168.696165716,167.64476872,1,-1.05,2,-1.7,6.21,7.75,0,"	9,31" 
2023-02-01T15:00:00Z,"ORCL",2023-03-01T15:00:00Z,Buy,85.339462509,84.30732478,2,-2.06,2,-4.38,3.07,7.45,0,"	10,32" 
2023-02-01T15:00:00Z,"MS",2023-03-01T15:00:00Z,Buy,88.16754846,87.415683,1,-0.75,2,-0.75,3.17,3.92,0,"	15,38" 
2023-02-01T15:00:00Z,"JPM",2023-03-22T14:30:00Z,Buy,130.359499784,121.59497497,48,-420.7,1,-632.61,171.68,804.29,0,"	7,39" 
2023-02-01T15:00:00Z,"AXP",2023-03-22T14:30:00Z,Buy,168.696165716,158.736831786,38,-378.45,1,-673.34,236.05,909.39,0,"	9,40" 
2023-02-01T15:00:00Z,"V",2023-03-22T14:30:00Z,Buy,224.602038358,216.96740006,29,-221.4,2,-433.45,31.41,464.86,0,"	12,42" 
2023-02-01T15:00:00Z,"UBER",2023-03-22T14:30:00Z,Buy,30.93,32.86,194,374.42,1,-21.34,1144.6,1165.94,1,"	4,43" 
2023-02-01T15:00:00Z,"ORCL",2023-03-22T14:30:00Z,Buy,85.339462509,84.50024772,76,-63.78,1,-401.01,116.56,517.57,0,"	10,47" 
2023-02-01T15:00:00Z,"MS",2023-03-22T14:30:00Z,Buy,88.16754846,80.42242836,74,-573.14,1,-878.81,234.62,1113.43,0,"	15,49" 
2023-02-01T15:00:00Z,"GE",2023-04-03T14:00:00Z,Buy,63.164397456306,75.100827228719,8,95.49,1,0,95.49,19.78,1,"	5,57" 
2023-02-01T15:00:00Z,"GE",2023-05-01T14:00:00Z,Buy,63.164397456306,77.748209945882,89,1297.96,1,0,1380.46,275.47,1,"	5,66" 
2023-03-01T15:00:00Z,"AAPL",2023-03-22T14:30:00Z,Buy,145.304955718,157.005449744,44,514.82,2,-91.08,514.82,231.17,1,"	35,41" 
2023-03-01T15:00:00Z,"V",2023-03-22T14:30:00Z,Buy,215.002522952,216.96740006,1,1.96,1,-5.35,10.68,12,1,"	25,42" 
2023-03-01T15:00:00Z,"SQ",2023-03-22T14:30:00Z,Buy,76.73,77.47,84,62.16,2,-610.68,348.6,959.28,1,"	26,44" 
2023-03-01T15:00:00Z,"UPS",2023-03-22T14:30:00Z,Buy,155.659038544,159.545389649,41,159.34,2,-24.51,197.86,174.05,1,"	29,45" 
2023-03-01T15:00:00Z,"NVDA",2023-03-22T14:30:00Z,Buy,23.1907131328,26.1749073996,279,832.59,2.79,-144.36,832.59,338.95,1,"	30,46" 
2023-03-01T15:00:00Z,"ABNB",2023-03-22T14:30:00Z,Buy,123.28,123.69,52,21.32,2,-504.4,190.32,694.72,1,"	37,48" 
2023-03-01T15:00:00Z,"LMT",2023-04-03T14:00:00Z,Buy,437.52263475,435.705235875,14,-25.44,2,-108.36,76.33,184.69,0,"	33,55" 
2023-03-01T15:00:00Z,"ABBV",2023-04-03T14:00:00Z,Buy,138.08592855,142.96693863,46,224.53,2,-267.04,224.53,356.19,1,"	34,56" 
2023-03-01T15:00:00Z,"AVGO",2023-04-03T14:00:00Z,Buy,56.8208097625,61.7799299068,1,4.96,2,-0.07,4.96,1.73,1,"	36,60" 
2023-03-01T15:00:00Z,"AVGO",2023-05-01T14:00:00Z,Buy,56.8208097625,60.33158663,112,393.21,1.6,-7.71,565.45,283.44,1,"	36,62" 
2023-03-22T14:30:00Z,"LMT",2023-04-03T14:00:00Z,Buy,438.159185625,435.705235875,30,-73.62,1,-251.3,144.47,197.88,0,"	53,55" 
2023-03-22T14:30:00Z,"ABBV",2023-04-03T14:00:00Z,Buy,140.74177227,142.96693863,93,206.94,1,-786.87,206.94,270.36,1,"	52,56" 
