Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-02-03T15:00:00Z,PYPL,88.10893156,75,Market,Filled,6608.169867,"" 
2025-02-03T15:00:00Z,META,687.013631588,9,Market,Filled,6183.122684292,"" 
2025-02-03T15:00:00Z,RTX,126.170805125,52,Market,Filled,6560.8818665,"" 
2025-02-03T15:00:00Z,BLK,1048.0616289,6,Market,Filled,6288.3697734,"" 
2025-02-03T15:00:00Z,AXP,314.10737848,21,Market,Filled,6596.25494808,"" 
2025-02-03T15:00:00Z,MA,552.241442999,12,Market,Filled,6626.897315988,"" 
2025-02-03T15:00:00Z,SQ,90.835,73,Market,Filled,6630.955,"" 
2025-02-03T15:00:00Z,V,338.69105556,19,Market,Filled,6435.13005564,"" 
2025-02-03T15:00:00Z,ISRG,571.88,11,Market,Filled,6290.68,"" 
2025-02-03T15:00:00Z,GS,624.3064278,10,Market,Filled,6243.064278,"" 
2025-02-03T15:00:00Z,AMZN,237.68,28,Market,Filled,6655.04,"" 
2025-02-03T15:00:00Z,NFLX,97.676,68,Market,Filled,6641.968,"" 
2025-02-03T15:00:00Z,MS,134.812228851,49,Market,Filled,6605.799213699,"" 
2025-02-03T15:00:00Z,ABT,125.573772467,53,Market,Filled,6655.409940751,"" 
2025-02-03T15:00:00Z,JPM,261.92922129,25,Market,Filled,6548.23053225,"" 
2025-03-03T15:00:00Z,PYPL,70.6721561,-75,Market,Filled,-5300.4117075,"Liquidated" 
2025-03-03T15:00:00Z,BLK,952.834681084,-6,Market,Filled,-5717.008086504,"Liquidated" 
2025-03-03T15:00:00Z,AXP,297.791011584,-21,Market,Filled,-6253.611243264,"Liquidated" 
2025-03-03T15:00:00Z,SQ,65.28,-73,Market,Filled,-4765.44,"Liquidated" 
2025-03-03T15:00:00Z,AMZN,212.28,-28,Market,Filled,-5943.84,"Liquidated" 
2025-03-03T15:00:00Z,RTX,130.782299505,-4,Market,Filled,-523.12919802,"" 
2025-03-03T15:00:00Z,MA,573.001577183,-1,Market,Filled,-573.001577183,"" 
2025-03-03T15:00:00Z,V,360.015608765,-2,Market,Filled,-720.03121753,"" 
2025-03-03T15:00:00Z,KO,69.169278062,92,Market,Filled,6363.573581704,"" 
2025-03-03T15:00:00Z,NFLX,98.056,-3,Market,Filled,-294.168,"" 
2025-03-03T15:00:00Z,ABBV,202.274455956,31,Market,Filled,6270.508134636,"" 
2025-03-03T15:00:00Z,DIS,112.55523284,56,Market,Filled,6303.09303904,"" 
2025-03-03T15:00:00Z,MCD,299.628434072,21,Market,Filled,6292.197115512,"" 
2025-03-03T15:00:00Z,ABT,135.448486381,-6,Market,Filled,-812.690918286,"" 
2025-03-03T15:00:00Z,COST,1042.894446334,6,Market,Filled,6257.366678004,"" 
2025-03-03T15:00:00Z,JPM,259.332466945,-1,Market,Filled,-259.332466945,"" 
2025-03-19T14:30:00Z,META,581.04590466,-9,Market,Filled,-5229.41314194,"Liquidated" 
2025-03-19T14:30:00Z,ISRG,483.95,-11,Market,Filled,-5323.45,"Liquidated" 
2025-03-19T14:30:00Z,ABT,123.97379397,-47,Market,Filled,-5826.76831659,"Liquidated" 
2025-03-19T14:30:00Z,MA,527.146338267,-11,Market,Filled,-5798.609720937,"Liquidated" 
2025-03-19T14:30:00Z,V,332.283161055,-17,Market,Filled,-5648.813737935,"Liquidated" 
2025-03-19T14:30:00Z,GS,540.580852408,-10,Market,Filled,-5405.80852408,"Liquidated" 
2025-03-19T14:30:00Z,KO,67.889037676,-92,Market,Filled,-6245.791466192,"Liquidated" 
2025-03-19T14:30:00Z,NFLX,92.998,-65,Market,Filled,-6044.87,"Liquidated" 
2025-03-19T14:30:00Z,DIS,98.26328983,-56,Market,Filled,-5502.74423048,"Liquidated" 
2025-03-19T14:30:00Z,MS,115.023277827,-49,Market,Filled,-5636.140613523,"Liquidated" 
2025-03-19T14:30:00Z,COST,893.15508867,-6,Market,Filled,-5358.93053202,"Liquidated" 
2025-03-19T14:30:00Z,JPM,230.248818281,-24,Market,Filled,-5525.971638744,"Liquidated" 
2025-03-19T14:30:00Z,GE,199.732800492,88,Market,Filled,17576.486443296,"" 
2025-03-19T14:30:00Z,RTX,130.487279655,87,Market,Filled,11352.393329985,"" 
2025-03-19T14:30:00Z,CVX,153.88487816,115,Market,Filled,17696.7609884,"" 
2025-03-19T14:30:00Z,ABBV,206.90898501,54,Market,Filled,11173.08519054,"" 
2025-03-19T14:30:00Z,MCD,296.73536112,38,Market,Filled,11275.94372256,"" 
2025-04-01T14:00:00Z,ABBV,202.767902682,-85,Market,Filled,-17235.27172797,"Liquidated" 
2025-04-01T14:00:00Z,RTX,130.26109777,2,Market,Filled,260.52219554,"" 
2025-04-01T14:00:00Z,CVX,160.08582344,-4,Market,Filled,-640.34329376,"" 
2025-04-01T14:00:00Z,V,347.85660789,51,Market,Filled,17740.68700239,"" 
2025-04-01T14:00:00Z,MCD,305.307064404,-1,Market,Filled,-305.307064404,"" 
2025-04-01T14:00:00Z,ABT,130.206839035,137,Market,Filled,17838.336947795,"" 
2025-04-02T14:30:00Z,MCD,306.538574796,-58,Market,Filled,-17779.237338168,"Liquidated" 
2025-04-02T14:30:00Z,V,343.777139025,1,Market,Filled,343.777139025,"" 
2025-04-02T14:30:00Z,ABT,129.264520411,1,Market,Filled,129.264520411,"" 
2025-05-01T14:00:00Z,CVX,130.15286536,-111,Market,Filled,-14446.96805496,"Liquidated" 
2025-05-01T14:00:00Z,RTX,124.036178935,-137,Market,Filled,-16992.956514095,"Liquidated" 
2025-05-01T14:00:00Z,V,342.93345325,-52,Market,Filled,-17832.539569,"Liquidated" 
2025-05-01T14:00:00Z,MA,545.778042578,31,Market,Filled,16919.119319918,"" 
2025-05-01T14:00:00Z,NFLX,113.172,149,Market,Filled,16862.628,"" 
2025-05-01T14:00:00Z,MCD,312.42245778,54,Market,Filled,16870.81272012,"" 
2025-05-01T14:00:00Z,ABT,128.936327525,-7,Market,Filled,-902.554292675,"" 
2025-05-01T14:00:00Z,JPM,241.181401122,70,Market,Filled,16882.69807854,"" 
2025-05-07T14:30:00Z,ABT,131.214284822,-131,Market,Filled,-17189.071311682,"Liquidated" 
2025-05-07T14:30:00Z,MCD,309.627124668,1,Market,Filled,309.627124668,"" 
2025-05-07T14:30:00Z,NFLX,113.769,2,Market,Filled,227.538,"" 
2025-05-07T14:30:00Z,MS,116.122879884,148,Market,Filled,17186.186222832,"" 
2025-06-02T14:00:00Z,MCD,306.75360042,-55,Market,Filled,-16871.4480231,"Liquidated" 
2025-06-02T14:00:00Z,GE,244.615234668,-63,Market,Filled,-15410.759784084,"" 
2025-06-02T14:00:00Z,RTX,134.898565296,46,Market,Filled,6205.334003616,"" 
2025-06-02T14:00:00Z,AVGO,240.628085838,25,Market,Filled,6015.70214595,"" 
2025-06-02T14:00:00Z,MA,583.16173728,-21,Market,Filled,-12246.39648288,"" 
2025-06-02T14:00:00Z,MSFT,457.701144784,13,Market,Filled,5950.114882192,"" 
2025-06-02T14:00:00Z,V,363.079165281,17,Market,Filled,6172.345809777,"" 
2025-06-02T14:00:00Z,GS,591.195204105,10,Market,Filled,5911.95204105,"" 
2025-06-02T14:00:00Z,AMZN,205.01,30,Market,Filled,6150.3,"" 
2025-06-02T14:00:00Z,NFLX,120.723,-100,Market,Filled,-12072.3,"" 
2025-06-02T14:00:00Z,DIS,111.803545872,55,Market,Filled,6149.19502296,"" 
2025-06-02T14:00:00Z,MS,125.684439188,-99,Market,Filled,-12442.759479612,"" 
2025-06-02T14:00:00Z,ABT,131.727071746,47,Market,Filled,6191.172372062,"" 
2025-06-02T14:00:00Z,COST,1035.858260136,6,Market,Filled,6215.149560816,"" 
2025-06-02T14:00:00Z,INTU,749.698355221,8,Market,Filled,5997.586841768,"" 
2025-06-02T14:00:00Z,JPM,260.2889784,-46,Market,Filled,-11973.2930064,"" 
2025-07-01T14:00:00Z,MA,559.600250422,-10,Market,Filled,-5596.00250422,"Liquidated" 
2025-07-01T14:00:00Z,V,352.997775495,-17,Market,Filled,-6000.962183415,"Liquidated" 
2025-07-01T14:00:00Z,AMZN,219.39,-30,Market,Filled,-6581.7,"Liquidated" 
2025-07-01T14:00:00Z,COST,985.826997288,-6,Market,Filled,-5914.961983728,"Liquidated" 
2025-07-01T14:00:00Z,META,736.991057799,9,Market,Filled,6632.919520191,"" 
2025-07-01T14:00:00Z,RTX,144.328022454,-1,Market,Filled,-144.328022454,"" 
2025-07-01T14:00:00Z,AVGO,274.653001515,-1,Market,Filled,-274.653001515,"" 
2025-07-01T14:00:00Z,HON,215.97275363597,30,Market,Filled,6479.1826090792,"" 
2025-07-01T14:00:00Z,GS,696.841378475,-1,Market,Filled,-696.841378475,"" 
2025-07-01T14:00:00Z,NVDA,157.963647268,41,Market,Filled,6476.509537988,"" 
2025-07-01T14:00:00Z,NFLX,133.913,-2,Market,Filled,-267.826,"" 
2025-07-01T14:00:00Z,DIS,123.176603196,-2,Market,Filled,-246.353206392,"" 
2025-07-01T14:00:00Z,MS,138.279388456,-2,Market,Filled,-276.558776912,"" 
2025-07-01T14:00:00Z,ABT,134.123364487,2,Market,Filled,268.246728974,"" 
2025-07-01T14:00:00Z,UBER,93.3,71,Market,Filled,6624.3,"" 
2025-07-01T14:00:00Z,JPM,285.834764121,-1,Market,Filled,-285.834764121,"" 
2025-08-01T14:00:00Z,HON,206.24391700763,-30,Market,Filled,-6187.317510229,"Liquidated" 
2025-08-01T14:00:00Z,ABT,124.998160688,-49,Market,Filled,-6124.909873712,"Liquidated" 
2025-08-01T14:00:00Z,UBER,87.75,-71,Market,Filled,-6230.25,"Liquidated" 
2025-08-01T14:00:00Z,NFLX,115.94,-49,Market,Filled,-5681.06,"Liquidated" 
2025-08-01T14:00:00Z,META,772.288425184,-1,Market,Filled,-772.288425184,"" 
2025-08-01T14:00:00Z,GE,270.046480392,-1,Market,Filled,-270.046480392,"" 
2025-08-01T14:00:00Z,RTX,155.744189139,-2,Market,Filled,-311.488378278,"" 
2025-08-01T14:00:00Z,BLK,1089.415868364,6,Market,Filled,6536.495210184,"" 
2025-08-01T14:00:00Z,AVGO,292.63771647,-2,Market,Filled,-585.27543294,"" 
2025-08-01T14:00:00Z,AMD,176.31,38,Market,Filled,6699.78,"" 
2025-08-01T14:00:00Z,ORCL,252.662496966,26,Market,Filled,6569.224921116,"" 
2025-08-01T14:00:00Z,MSFT,530.4187174,-1,Market,Filled,-530.4187174,"" 
2025-08-01T14:00:00Z,CAT,435.745624952,15,Market,Filled,6536.18437428,"" 
2025-08-01T14:00:00Z,NVDA,177.840331284,-4,Market,Filled,-711.361325136,"" 
2025-08-01T14:00:00Z,DIS,118.309533156,3,Market,Filled,354.928599468,"" 
2025-08-01T14:00:00Z,JPM,293.48289432,-1,Market,Filled,-293.48289432,"" 
2025-09-02T14:00:00Z,META,737.60014957,-8,Market,Filled,-5900.80119656,"Liquidated" 
2025-09-02T14:00:00Z,MSFT,504.591746041,-12,Market,Filled,-6055.100952492,"Liquidated" 
2025-09-02T14:00:00Z,CAT,416.864176704,-15,Market,Filled,-6252.96265056,"Liquidated" 
2025-09-02T14:00:00Z,INTU,664.5592469,-8,Market,Filled,-5316.4739752,"Liquidated" 
2025-09-02T14:00:00Z,BLK,1110.228842296,-6,Market,Filled,-6661.373053776,"Liquidated" 
2025-09-02T14:00:00Z,ORCL,225.143123454,-26,Market,Filled,-5853.721209804,"Liquidated" 
2025-09-02T14:00:00Z,DIS,117.584439048,-56,Market,Filled,-6584.728586688,"Liquidated" 
2025-09-02T14:00:00Z,GE,274.15077248,-1,Market,Filled,-274.15077248,"" 
2025-09-02T14:00:00Z,MCD,308.188687404,21,Market,Filled,6471.962435484,"" 
2025-09-02T14:00:00Z,RTX,157.45265588,-2,Market,Filled,-314.90531176,"" 
2025-09-02T14:00:00Z,MA,593.613484773,11,Market,Filled,6529.748332503,"" 
2025-09-02T14:00:00Z,AMD,162.63,2,Market,Filled,325.26,"" 
2025-09-02T14:00:00Z,CVX,157.28751258,41,Market,Filled,6448.78801578,"" 
2025-09-02T14:00:00Z,GOOGL,212.431144119,30,Market,Filled,6372.93432357,"" 
2025-09-02T14:00:00Z,GS,737.6913764,-1,Market,Filled,-737.6913764,"" 
2025-09-02T14:00:00Z,ABBV,207.22676824,31,Market,Filled,6424.02981544,"" 
2025-09-02T14:00:00Z,MS,148.749419808,-3,Market,Filled,-446.248259424,"" 
2025-09-02T14:00:00Z,UBER,93.75,69,Market,Filled,6468.75,"" 
2025-09-02T14:00:00Z,XOM,112.548837566,58,Market,Filled,6527.832578828,"" 
2025-09-02T14:00:00Z,JPM,298.61468406,-1,Market,Filled,-298.61468406,"" 
2025-10-01T14:00:00Z,CVX,152.087035047,-41,Market,Filled,-6235.568436927,"Liquidated" 
2025-10-01T14:00:00Z,MCD,300.399185181,-21,Market,Filled,-6308.382888801,"Liquidated" 
2025-10-01T14:00:00Z,AMD,161.79,-40,Market,Filled,-6471.6,"Liquidated" 
2025-10-01T14:00:00Z,MA,567.208060397,-11,Market,Filled,-6239.288664367,"Liquidated" 
2025-10-01T14:00:00Z,XOM,111.017527369,-58,Market,Filled,-6439.016587402,"Liquidated" 
2025-10-01T14:00:00Z,LMT,492.851013099,13,Market,Filled,6407.063170287,"" 
2025-10-01T14:00:00Z,GE,300.039281854,-1,Market,Filled,-300.039281854,"" 
2025-10-01T14:00:00Z,BLK,1153.799398129,5,Market,Filled,5768.996990645,"" 
2025-10-01T14:00:00Z,AVGO,329.279970873,-2,Market,Filled,-658.559941746,"" 
2025-10-01T14:00:00Z,ORCL,279.833397948,24,Market,Filled,6716.001550752,"" 
2025-10-01T14:00:00Z,MSFT,515.805117255,13,Market,Filled,6705.466524315,"" 
2025-10-01T14:00:00Z,CAT,474.67244634,14,Market,Filled,6645.41424876,"" 
2025-10-01T14:00:00Z,NVDA,186.559401568,-1,Market,Filled,-186.559401568,"" 
2025-10-01T14:00:00Z,GOOGL,242.77018623,-2,Market,Filled,-485.54037246,"" 
2025-10-01T14:00:00Z,ABBV,228.047936874,-1,Market,Filled,-228.047936874,"" 
2025-10-01T14:00:00Z,MS,157.131896416,-1,Market,Filled,-157.131896416,"" 
2025-11-03T15:00:00Z,ABBV,216.29971374,-30,Market,Filled,-6488.9914122,"Liquidated" 
2025-11-03T15:00:00Z,LMT,485.614383372,-13,Market,Filled,-6312.986983836,"Liquidated" 
2025-11-03T15:00:00Z,BLK,1071.599343227,-5,Market,Filled,-5357.996716135,"Liquidated" 
2025-11-03T15:00:00Z,ORCL,261.917654996,-24,Market,Filled,-6286.023719904,"Liquidated" 
2025-11-03T15:00:00Z,RTX,177.2086953,-2,Market,Filled,-354.4173906,"" 
2025-11-03T15:00:00Z,AXP,359.930441955,19,Market,Filled,6838.678397145,"" 
2025-11-03T15:00:00Z,AVGO,368.924117589,-1,Market,Filled,-368.924117589,"" 
2025-11-03T15:00:00Z,AAPL,269.855648112,26,Market,Filled,7016.246850912,"" 
2025-11-03T15:00:00Z,AMD,256.12,27,Market,Filled,6915.24,"" 
2025-11-03T15:00:00Z,GOOGL,280.808509527,-3,Market,Filled,-842.425528581,"" 
2025-11-03T15:00:00Z,NVDA,202.467645104,-2,Market,Filled,-404.935290208,"" 
2025-11-03T15:00:00Z,CAT,575.912559708,-2,Market,Filled,-1151.825119416,"" 
2025-11-03T15:00:00Z,GS,781.363893712,1,Market,Filled,781.363893712,"" 
2025-11-03T15:00:00Z,AMZN,244.22,28,Market,Filled,6838.16,"" 
2025-11-03T15:00:00Z,UBER,96.5,4,Market,Filled,386,"" 
2025-11-03T15:00:00Z,JPM,309.72291564,1,Market,Filled,309.72291564,"" 
2025-11-26T15:30:00Z,GE,292.678435168,-22,Market,Filled,-6438.925573696,"Liquidated" 
2025-11-26T15:30:00Z,AXP,361.83620844,-19,Market,Filled,-6874.88796036,"Liquidated" 
2025-11-26T15:30:00Z,MSFT,475.903750673,-13,Market,Filled,-6186.748758749,"Liquidated" 
2025-11-26T15:30:00Z,NVDA,177.800368672,-34,Market,Filled,-6045.212534848,"Liquidated" 
2025-11-26T15:30:00Z,UBER,83.69,-73,Market,Filled,-6109.37,"Liquidated" 
2025-11-26T15:30:00Z,RTX,171.580097425,-39,Market,Filled,-6691.623799575,"Liquidated" 
2025-11-26T15:30:00Z,AVGO,384.294708209,-19,Market,Filled,-7301.599455971,"Liquidated" 
2025-11-26T15:30:00Z,AMD,206.13,-27,Market,Filled,-5565.51,"Liquidated" 
2025-11-26T15:30:00Z,AMZN,229.67,-28,Market,Filled,-6430.76,"Liquidated" 
2025-11-26T15:30:00Z,JPM,301.6393785,-22,Market,Filled,-6636.066327,"Liquidated" 
