Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2025-02-03T15:00:00Z,"PYPL",2025-03-03T15:00:00Z,Buy,88.10893156,70.6721561,75,-1307.76,2,-1331.63,69.38,1401.01,0,"	1,16" 
2025-02-03T15:00:00Z,"BLK",2025-03-03T15:00:00Z,Buy,1048.0616289,952.834681084,6,-571.36,2,-763.67,0,763.67,0,"	4,17" 
2025-02-03T15:00:00Z,"AXP",2025-03-03T15:00:00Z,Buy,314.10737848,297.791011584,21,-342.64,2,-499.52,64,563.52,0,"	5,18" 
2025-02-03T15:00:00Z,"SQ",2025-03-03T15:00:00Z,Buy,90.835,65.28,73,-1865.52,2,-2043.64,0,2043.64,0,"	7,19" 
2025-02-03T15:00:00Z,"AMZN",2025-03-03T15:00:00Z,Buy,237.68,212.28,28,-711.2,2,-810.32,122.64,932.96,0,"	11,20" 
2025-02-03T15:00:00Z,"RTX",2025-03-03T15:00:00Z,Buy,126.170805125,130.782299505,4,18.45,2,-25.6,18.45,29.39,1,"	3,21" 
2025-02-03T15:00:00Z,"MA",2025-03-03T15:00:00Z,Buy,552.241442999,573.001577183,1,20.76,2,0,20.76,11.04,1,"	6,22" 
2025-02-03T15:00:00Z,"V",2025-03-03T15:00:00Z,Buy,338.69105556,360.015608765,2,42.65,2,0,42.65,16.28,1,"	8,23" 
2025-02-03T15:00:00Z,"NFLX",2025-03-03T15:00:00Z,Buy,97.676,98.056,3,1.14,2,-4.11,24.55,28.66,1,"	12,25" 
2025-02-03T15:00:00Z,"ABT",2025-03-03T15:00:00Z,Buy,125.573772467,135.448486381,6,59.25,2,0,59.25,22.62,1,"	14,29" 
2025-02-03T15:00:00Z,"JPM",2025-03-03T15:00:00Z,Buy,261.92922129,259.332466945,1,-2.6,2,-9.7,12.4,22.1,0,"	15,31" 
2025-02-03T15:00:00Z,"META",2025-03-19T14:30:00Z,Buy,687.013631588,581.04590466,9,-953.71,2,-953.71,426.07,1379.78,0,"	2,32" 
2025-02-03T15:00:00Z,"ISRG",2025-03-19T14:30:00Z,Buy,571.88,483.95,11,-967.23,2,-1046.1,402.6,1448.7,0,"	9,33" 
2025-02-03T15:00:00Z,"ABT",2025-03-19T14:30:00Z,Buy,125.573772467,123.97379397,47,-75.2,1,-75.2,566.99,642.19,0,"	14,34" 
2025-02-03T15:00:00Z,"MA",2025-03-19T14:30:00Z,Buy,552.241442999,527.146338267,11,-276.05,1,-389.35,228.36,617.71,0,"	6,35" 
2025-02-03T15:00:00Z,"V",2025-03-19T14:30:00Z,Buy,338.69105556,332.283161055,17,-108.93,1,-213.89,362.52,576.41,0,"	8,36" 
2025-02-03T15:00:00Z,"GS",2025-03-19T14:30:00Z,Buy,624.3064278,540.580852408,10,-837.26,2,-1101.48,309.91,1411.39,0,"	10,37" 
2025-02-03T15:00:00Z,"NFLX",2025-03-19T14:30:00Z,Buy,97.676,92.998,65,-304.07,1,-715.52,531.96,1247.48,0,"	12,39" 
2025-02-03T15:00:00Z,"MS",2025-03-19T14:30:00Z,Buy,134.812228851,115.023277827,49,-969.66,2,-1276.49,126.46,1402.95,0,"	13,41" 
2025-02-03T15:00:00Z,"JPM",2025-03-19T14:30:00Z,Buy,261.92922129,230.248818281,24,-760.33,1,-990.33,297.5,1287.83,0,"	15,43" 
2025-02-03T15:00:00Z,"RTX",2025-05-01T14:00:00Z,Buy,126.170805125,124.036178935,48,-102.46,1,-686.84,347.38,1034.22,0,"	3,59" 
2025-03-03T15:00:00Z,"KO",2025-03-19T14:30:00Z,Buy,69.169278062,67.889037676,92,-117.78,2,-142.09,99.19,241.28,0,"	24,38" 
2025-03-03T15:00:00Z,"DIS",2025-03-19T14:30:00Z,Buy,112.55523284,98.26328983,56,-800.35,2,-936.6,0,936.6,0,"	27,40" 
2025-03-03T15:00:00Z,"COST",2025-03-19T14:30:00Z,Buy,1042.894446334,893.15508867,6,-898.44,2,-942.77,0,942.77,0,"	30,42" 
2025-03-03T15:00:00Z,"ABBV",2025-04-01T14:00:00Z,Buy,202.274455956,202.767902682,31,15.3,2,-232.75,232.45,465.2,1,"	26,49" 
2025-03-03T15:00:00Z,"MCD",2025-04-01T14:00:00Z,Buy,299.628434072,305.307064404,1,5.68,2,-8.86,14.4,23.25,1,"	28,53" 
2025-03-03T15:00:00Z,"MCD",2025-04-02T14:30:00Z,Buy,299.628434072,306.538574796,20,138.2,1,-177.1,287.94,465.04,1,"	28,55" 
2025-03-19T14:30:00Z,"ABBV",2025-04-01T14:00:00Z,Buy,206.90898501,202.767902682,54,-223.62,1,-655.7,154.65,655.7,0,"	47,49" 
2025-03-19T14:30:00Z,"CVX",2025-04-01T14:00:00Z,Buy,153.88487816,160.08582344,4,24.8,2,0,27.41,7.2,1,"	46,51" 
2025-03-19T14:30:00Z,"MCD",2025-04-02T14:30:00Z,Buy,296.73536112,306.538574796,38,372.52,1,-226.56,657.02,241.04,1,"	48,55" 
2025-03-19T14:30:00Z,"CVX",2025-05-01T14:00:00Z,Buy,153.88487816,130.15286536,111,-2634.25,1,-2876.43,818.96,3695.39,0,"	46,58" 
2025-03-19T14:30:00Z,"RTX",2025-05-01T14:00:00Z,Buy,130.487279655,124.036178935,87,-561.25,1,-1620.43,254.1,1874.53,0,"	45,59" 
2025-03-19T14:30:00Z,"GE",2025-06-02T14:00:00Z,Buy,199.732800492,244.615234668,63,2827.59,2,-2129.47,2827.59,2840.13,1,"	44,71" 
2025-03-19T14:30:00Z,"GE",2025-08-01T14:00:00Z,Buy,199.732800492,270.046480392,1,70.31,1,-33.8,72.77,45.08,1,"	44,107" 
2025-03-19T14:30:00Z,"GE",2025-09-02T14:00:00Z,Buy,199.732800492,274.15077248,1,74.42,1,-33.8,78.83,45.08,1,"	44,125" 
2025-03-19T14:30:00Z,"GE",2025-10-01T14:00:00Z,Buy,199.732800492,300.039281854,1,100.31,1,-33.8,104.73,45.08,1,"	44,144" 
2025-03-19T14:30:00Z,"GE",2025-11-26T15:30:00Z,Buy,199.732800492,292.678435168,22,2044.8,1,-743.62,2502.09,991.79,1,"	44,170" 
2025-04-01T14:00:00Z,"RTX",2025-05-01T14:00:00Z,Buy,130.26109777,124.036178935,2,-12.45,1,-36.8,6.29,38.16,0,"	50,59" 
2025-04-01T14:00:00Z,"V",2025-05-01T14:00:00Z,Buy,347.85660789,342.93345325,51,-251.08,2,-2135.71,0,2135.71,0,"	52,60" 
2025-04-01T14:00:00Z,"ABT",2025-05-01T14:00:00Z,Buy,130.206839035,128.936327525,7,-8.89,2,-59.78,0,59.78,0,"	54,64" 
2025-04-01T14:00:00Z,"ABT",2025-05-07T14:30:00Z,Buy,130.206839035,131.214284822,130,130.97,1,-1110.17,130.97,1110.17,1,"	54,66" 
2025-04-02T14:30:00Z,"V",2025-05-01T14:00:00Z,Buy,343.777139025,342.93345325,1,-0.84,1,-37.8,4.08,37.8,0,"	56,60" 
2025-04-02T14:30:00Z,"ABT",2025-05-07T14:30:00Z,Buy,129.264520411,131.214284822,1,1.95,1,-7.6,1.95,7.83,1,"	57,66" 
2025-05-01T14:00:00Z,"MCD",2025-06-02T14:00:00Z,Buy,312.42245778,306.75360042,54,-306.12,2,-641.27,83.39,641.27,0,"	63,70" 
2025-05-01T14:00:00Z,"MA",2025-06-02T14:00:00Z,Buy,545.778042578,583.16173728,21,785.06,2,-29.9,802,477.43,1,"	61,74" 
2025-05-01T14:00:00Z,"NFLX",2025-06-02T14:00:00Z,Buy,113.172,120.723,100,755.1,2,-217.2,798.5,464.9,1,"	62,79" 
2025-05-01T14:00:00Z,"JPM",2025-06-02T14:00:00Z,Buy,241.181401122,260.2889784,46,878.95,2,0,1040.41,312.48,1,"	65,85" 
2025-05-01T14:00:00Z,"MA",2025-07-01T14:00:00Z,Buy,545.778042578,559.600250422,10,138.22,1,-150.27,425.02,575.29,1,"	61,86" 
2025-05-01T14:00:00Z,"NFLX",2025-07-01T14:00:00Z,Buy,113.172,133.913,2,41.48,1,-4.34,41.48,9.38,1,"	62,96" 
2025-05-01T14:00:00Z,"JPM",2025-07-01T14:00:00Z,Buy,241.181401122,285.834764121,1,44.65,1,0,44.65,6.79,1,"	65,101" 
2025-05-01T14:00:00Z,"NFLX",2025-08-01T14:00:00Z,Buy,113.172,115.94,47,130.1,1,-102.08,974.83,844.73,1,"	62,105" 
2025-05-01T14:00:00Z,"JPM",2025-08-01T14:00:00Z,Buy,241.181401122,293.48289432,1,52.3,1,0,55.66,13.1,1,"	65,117" 
2025-05-01T14:00:00Z,"JPM",2025-09-02T14:00:00Z,Buy,241.181401122,298.61468406,1,57.43,1,0,57.43,13.1,1,"	65,137" 
2025-05-01T14:00:00Z,"JPM",2025-11-26T15:30:00Z,Buy,241.181401122,301.6393785,21,1269.62,1,0,1633.59,468.5,1,"	65,179" 
2025-05-07T14:30:00Z,"MCD",2025-06-02T14:00:00Z,Buy,309.627124668,306.75360042,1,-2.87,1,-9.08,4.34,10.39,0,"	67,70" 
2025-05-07T14:30:00Z,"MS",2025-06-02T14:00:00Z,Buy,116.122879884,125.684439188,99,946.59,2,0,1381.99,700.71,1,"	69,81" 
2025-05-07T14:30:00Z,"MS",2025-07-01T14:00:00Z,Buy,116.122879884,138.279388456,2,44.31,1,0,44.31,14.16,1,"	69,98" 
