Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,META,111.431621672,59,Market,Filled,6574.465678648,"" 
2016-02-01T15:00:00Z,HON,74.870129961707,89,Market,Filled,6663.441566592,"" 
2016-02-01T15:00:00Z,ADBE,89.13,74,Market,Filled,6595.62,"" 
2016-02-01T15:00:00Z,GOOGL,37.7820318175,176,Market,Filled,6649.63759988,"" 
2016-02-01T15:00:00Z,UNH,98.097180408,67,Market,Filled,6572.511087336,"" 
2016-02-01T15:00:00Z,HD,99.10755744,67,Market,Filled,6640.20634848,"" 
2016-02-01T15:00:00Z,NKE,54.579620745,122,Market,Filled,6658.71373089,"" 
2016-02-01T15:00:00Z,ISRG,60.0943789415,110,Market,Filled,6610.381683565,"" 
2016-02-01T15:00:00Z,PEP,73.292740638,90,Market,Filled,6596.34665742,"" 
2016-02-01T15:00:00Z,MSFT,48.127516458,138,Market,Filled,6641.597271204,"" 
2016-02-01T15:00:00Z,XOM,49.904380125,133,Market,Filled,6637.282556625,"" 
2016-02-01T15:00:00Z,PG,62.169118868,107,Market,Filled,6652.095718876,"" 
2016-02-01T15:00:00Z,MCD,97.031005842,68,Market,Filled,6598.108397256,"" 
2016-02-01T15:00:00Z,KO,31.344463124,212,Market,Filled,6645.026182288,"" 
2016-02-01T15:00:00Z,LMT,161.5384772,41,Market,Filled,6623.0775652,"" 
2016-03-01T15:00:00Z,ADBE,85.15,-74,Market,Filled,-6301.1,"Liquidated" 
2016-03-01T15:00:00Z,GOOGL,35.592078361,-176,Market,Filled,-6264.205791536,"Liquidated" 
2016-03-01T15:00:00Z,HD,97.81512428,-67,Market,Filled,-6553.61332676,"Liquidated" 
2016-03-01T15:00:00Z,PEP,72.367887763,-90,Market,Filled,-6513.10989867,"Liquidated" 
2016-03-01T15:00:00Z,MSFT,44.768737056,-138,Market,Filled,-6178.085713728,"Liquidated" 
2016-03-01T15:00:00Z,MCD,92.561068344,-68,Market,Filled,-6294.152647392,"Liquidated" 
2016-03-01T15:00:00Z,META,106.178317344,3,Market,Filled,318.534952032,"" 
2016-03-01T15:00:00Z,HON,74.262654024541,-1,Market,Filled,-74.262654024541,"" 
2016-03-01T15:00:00Z,PYPL,38.052033904,173,Market,Filled,6583.001865392,"" 
2016-03-01T15:00:00Z,UPS,66.580677245,98,Market,Filled,6524.90637001,"" 
2016-03-01T15:00:00Z,UNH,101.45340558,-3,Market,Filled,-304.36021674,"" 
2016-03-01T15:00:00Z,AVGO,10.3855928666,634,Market,Filled,6584.4658774244,"" 
2016-03-01T15:00:00Z,GE,129.36752076771,50,Market,Filled,6468.3760383857,"" 
2016-03-01T15:00:00Z,KO,31.497826061,-3,Market,Filled,-94.493478183,"" 
2016-03-01T15:00:00Z,NKE,54.209947455,-1,Market,Filled,-54.209947455,"" 
2016-03-01T15:00:00Z,NVDA,0.767711224,8581,Market,Filled,6587.730013144,"" 
2016-03-01T15:00:00Z,XOM,51.844907275,-6,Market,Filled,-311.06944365,"" 
2016-03-01T15:00:00Z,ORCL,31.656568919,208,Market,Filled,6584.566335152,"" 
2016-03-01T15:00:00Z,ISRG,62.5621540294,-5,Market,Filled,-312.810770147,"" 
2016-03-01T15:00:00Z,LMT,166.453867563,-2,Market,Filled,-332.907735126,"" 
2016-04-01T14:00:00Z,UPS,72.731890513,-98,Market,Filled,-7127.725270274,"Liquidated" 
2016-04-01T14:00:00Z,XOM,54.070066115,-127,Market,Filled,-6866.898396605,"Liquidated" 
2016-04-01T14:00:00Z,ORCL,35.220838577,-208,Market,Filled,-7325.934424016,"Liquidated" 
2016-04-01T14:00:00Z,LMT,170.85838855,-39,Market,Filled,-6663.47715345,"Liquidated" 
2016-04-01T14:00:00Z,PYPL,38.51097296,-173,Market,Filled,-6662.39832208,"Liquidated" 
2016-04-01T14:00:00Z,UNH,110.25449899,-64,Market,Filled,-7056.28793536,"Liquidated" 
2016-04-01T14:00:00Z,NKE,54.243814239,-121,Market,Filled,-6563.501522919,"Liquidated" 
2016-04-01T14:00:00Z,COST,132.77281092,53,Market,Filled,7036.95897876,"" 
2016-04-01T14:00:00Z,AMD,2.85,2480,Market,Filled,7068,"" 
2016-04-01T14:00:00Z,HON,82.127224471474,-2,Market,Filled,-164.25444894295,"" 
2016-04-01T14:00:00Z,GOOGL,37.858950645,186,Market,Filled,7041.76481997,"" 
2016-04-01T14:00:00Z,CVX,62.37244368,113,Market,Filled,7048.08613584,"" 
2016-04-01T14:00:00Z,HD,105.730265575,66,Market,Filled,6978.19752795,"" 
2016-04-01T14:00:00Z,AVGO,12.016773615,-46,Market,Filled,-552.77158629,"" 
2016-04-01T14:00:00Z,MSFT,48.596252901,145,Market,Filled,7046.456670645,"" 
2016-04-01T14:00:00Z,PG,62.625629348,5,Market,Filled,313.12814674,"" 
2016-04-01T14:00:00Z,MCD,99.266789568,71,Market,Filled,7047.942059328,"" 
2016-04-01T14:00:00Z,KO,34.14280805,-2,Market,Filled,-68.2856161,"" 
2016-04-01T14:00:00Z,NVDA,0.872243332625,-478,Market,Filled,-416.93231299475,"" 
2016-05-02T14:00:00Z,COST,125.17962658,-53,Market,Filled,-6634.52020874,"Liquidated" 
2016-05-02T14:00:00Z,GOOGL,35.128580394,-186,Market,Filled,-6533.915953284,"Liquidated" 
2016-05-02T14:00:00Z,MSFT,43.880049469,-145,Market,Filled,-6362.607173005,"Liquidated" 
2016-05-02T14:00:00Z,PG,61.458345444,-112,Market,Filled,-6883.334689728,"Liquidated" 
2016-05-02T14:00:00Z,KO,32.972576,-207,Market,Filled,-6825.323232,"Liquidated" 
2016-05-02T14:00:00Z,AVGO,11.3362120025,-588,Market,Filled,-6665.69265747,"Liquidated" 
2016-05-02T14:00:00Z,META,116.764371056,-2,Market,Filled,-233.528742112,"" 
2016-05-02T14:00:00Z,TMO,140.327481875,50,Market,Filled,7016.37409375,"" 
2016-05-02T14:00:00Z,AMD,3.55,-484,Market,Filled,-1718.2,"" 
2016-05-02T14:00:00Z,HON,83.754376977736,-2,Market,Filled,-167.50875395547,"" 
2016-05-02T14:00:00Z,ADBE,94.22,75,Market,Filled,7066.5,"" 
2016-05-02T14:00:00Z,CVX,66.805202256,-7,Market,Filled,-467.636415792,"" 
2016-05-02T14:00:00Z,GE,136.51514288288,1,Market,Filled,136.51514288288,"" 
2016-05-02T14:00:00Z,AMZN,32.902130093,215,Market,Filled,7073.957969995,"" 
2016-05-02T14:00:00Z,XOM,57.1814074,123,Market,Filled,7033.3131102,"" 
2016-05-02T14:00:00Z,LMT,179.250890886,39,Market,Filled,6990.784744554,"" 
2016-05-02T14:00:00Z,RTX,44.141881164499,160,Market,Filled,7062.7009863198,"" 
2016-05-02T14:00:00Z,MCD,99.906558024,-1,Market,Filled,-99.906558024,"" 
2016-05-02T14:00:00Z,ISRG,69.5954796964,-4,Market,Filled,-278.3819187856,"" 
2016-05-02T14:00:00Z,NVDA,0.869795273875,47,Market,Filled,40.880377872125,"" 
2016-05-25T14:30:00Z,XOM,58.490378016,-123,Market,Filled,-7194.316495968,"Liquidated" 
2016-05-25T14:30:00Z,RTX,42.536156098532,-160,Market,Filled,-6805.7849757651,"Liquidated" 
2016-05-25T14:30:00Z,AMZN,35.12739734,-215,Market,Filled,-7552.3904281,"Liquidated" 
2016-05-25T14:30:00Z,LMT,185.876956609,-39,Market,Filled,-7249.201307751,"Liquidated" 
2016-05-25T14:30:00Z,HON,84.264261569543,-84,Market,Filled,-7078.1979718416,"Liquidated" 
2016-05-25T14:30:00Z,ADBE,99.63,-75,Market,Filled,-7472.25,"Liquidated" 
2016-05-25T14:30:00Z,CVX,66.196584995,-106,Market,Filled,-7016.83800947,"Liquidated" 
2016-05-25T14:30:00Z,HD,105.6747974,-66,Market,Filled,-6974.5366284,"Liquidated" 
2016-05-25T14:30:00Z,GE,132.51957772534,-51,Market,Filled,-6758.4984639921,"Liquidated" 
2016-05-25T14:30:00Z,MCD,97.90037052,-70,Market,Filled,-6853.0259364,"Liquidated" 
2016-05-25T14:30:00Z,META,116.88353864,129,Market,Filled,15077.97648456,"" 
2016-05-25T14:30:00Z,AMD,4.2,3275,Market,Filled,13755,"" 
2016-05-25T14:30:00Z,TMO,146.5826341,101,Market,Filled,14804.8460441,"" 
2016-05-25T14:30:00Z,ISRG,70.9632559833,211,Market,Filled,14973.247012476,"" 
2016-05-25T14:30:00Z,NVDA,1.1133230976,11736,Market,Filled,13065.959873434,"" 
2016-06-01T14:00:00Z,META,117.985838792,-125,Market,Filled,-14748.229849,"" 
2016-06-01T14:00:00Z,AMD,4.57,-3616,Market,Filled,-16525.12,"" 
2016-06-01T14:00:00Z,HON,83.86640635185,90,Market,Filled,7547.9765716665,"" 
2016-06-01T14:00:00Z,ADBE,99.47,76,Market,Filled,7559.72,"" 
2016-06-01T14:00:00Z,ABBV,42.023886254,180,Market,Filled,7564.29952572,"" 
2016-06-01T14:00:00Z,CVX,66.70533208,113,Market,Filled,7537.70252504,"" 
2016-06-01T14:00:00Z,NVDA,1.1467031552,-13290,Market,Filled,-15239.684932608,"" 
2016-06-01T14:00:00Z,LMT,183.520606637,41,Market,Filled,7524.344872117,"" 
2016-06-01T14:00:00Z,XOM,58.066392896,130,Market,Filled,7548.63107648,"" 
2016-06-01T14:00:00Z,TMO,147.642994275,-100,Market,Filled,-14764.2994275,"" 
2016-06-01T14:00:00Z,MRK,39.755952958586,190,Market,Filled,7553.6310621314,"" 
2016-06-01T14:00:00Z,INTU,102.012493154,74,Market,Filled,7548.924493396,"" 
2016-06-01T14:00:00Z,AMZN,36.054716733,209,Market,Filled,7535.435797197,"" 
2016-06-01T14:00:00Z,ISRG,70.5232564629,-205,Market,Filled,-14457.267574895,"" 
2016-06-01T14:00:00Z,AVGO,12.0058846292,630,Market,Filled,7563.707316396,"" 
2016-06-29T14:30:00Z,META,111.91822264,-64,Market,Filled,-7162.76624896,"Liquidated" 
2016-06-29T14:30:00Z,ABBV,40.060590122,-180,Market,Filled,-7210.90622196,"Liquidated" 
2016-06-29T14:30:00Z,MRK,39.596052265178,-190,Market,Filled,-7523.2499303838,"Liquidated" 
2016-06-29T14:30:00Z,INTU,101.371687131,-74,Market,Filled,-7501.504847694,"Liquidated" 
2016-06-29T14:30:00Z,AMZN,35.314457465,-209,Market,Filled,-7380.721610185,"Liquidated" 
2016-06-29T14:30:00Z,HON,84.03586320383,-90,Market,Filled,-7563.2276883447,"Liquidated" 
2016-06-29T14:30:00Z,ADBE,92.46,-76,Market,Filled,-7026.96,"Liquidated" 
2016-06-29T14:30:00Z,CVX,67.1281868,-113,Market,Filled,-7585.4851084,"Liquidated" 
2016-06-29T14:30:00Z,NVDA,1.126576944,-6596,Market,Filled,-7430.901522624,"Liquidated" 
2016-06-29T14:30:00Z,TMO,139.39514687,-51,Market,Filled,-7109.15249037,"Liquidated" 
2016-06-29T14:30:00Z,AVGO,11.6856320145,-630,Market,Filled,-7361.948169135,"Liquidated" 
2016-06-29T14:30:00Z,AMD,5.12,2735,Market,Filled,14003.2,"" 
2016-06-29T14:30:00Z,UNH,119.190118476,188,Market,Filled,22407.742273488,"" 
2016-06-29T14:30:00Z,XOM,59.299211168,249,Market,Filled,14765.503580832,"" 
2016-06-29T14:30:00Z,ISRG,70.9565893239,209,Market,Filled,14829.927168695,"" 
2016-06-29T14:30:00Z,LMT,187.108846523,79,Market,Filled,14781.598875317,"" 
