Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:00:00Z,"ADBE",2016-03-01T15:00:00Z,Buy,89.13,85.15,74,-294.52,2,-1130.72,35.52,1166.24,0,"	3,16" 
2016-02-01T15:00:00Z,"GOOGL",2016-03-01T15:00:00Z,Buy,37.7820318175,35.592078361,176,-385.43,2,-526.92,170.84,697.76,0,"	4,17" 
2016-02-01T15:00:00Z,"HD",2016-03-01T15:00:00Z,Buy,99.10755744,97.81512428,67,-86.59,2,-734.46,58.08,774.06,0,"	6,18" 
2016-02-01T15:00:00Z,"PEP",2016-03-01T15:00:00Z,Buy,73.292740638,72.367887763,90,-83.24,2,-143.17,107.21,190.45,0,"	9,19" 
2016-02-01T15:00:00Z,"MSFT",2016-03-01T15:00:00Z,Buy,48.127516458,44.768737056,138,-463.51,2,-700.45,0,700.45,0,"	10,20" 
2016-02-01T15:00:00Z,"MCD",2016-03-01T15:00:00Z,Buy,97.031005842,92.561068344,68,-303.96,2,-446.7,44.24,490.94,0,"	13,21" 
2016-02-01T15:00:00Z,"HON",2016-03-01T15:00:00Z,Buy,74.870129961707,74.262654024541,1,-0.61,2,-1.51,3.31,3.92,0,"	2,23" 
2016-02-01T15:00:00Z,"UNH",2016-03-01T15:00:00Z,Buy,98.097180408,101.45340558,3,10.07,2,-13.14,15.77,15,1,"	5,26" 
2016-02-01T15:00:00Z,"KO",2016-03-01T15:00:00Z,Buy,31.344463124,31.497826061,3,0.46,2.06,-1.12,2.72,2.26,1,"	14,29" 
2016-02-01T15:00:00Z,"NKE",2016-03-01T15:00:00Z,Buy,54.579620745,54.209947455,1,-0.37,2,-6.13,1.01,7.15,0,"	7,30" 
2016-02-01T15:00:00Z,"XOM",2016-03-01T15:00:00Z,Buy,49.904380125,51.844907275,6,11.64,2,-12.54,20.76,12.54,1,"	11,32" 
2016-02-01T15:00:00Z,"ISRG",2016-03-01T15:00:00Z,Buy,60.0943789415,62.5621540294,5,12.34,2,-18.65,14.79,24.81,1,"	8,34" 
2016-02-01T15:00:00Z,"LMT",2016-03-01T15:00:00Z,Buy,161.5384772,166.453867563,2,9.83,2,-7.53,13.83,15.16,1,"	15,35" 
2016-02-01T15:00:00Z,"XOM",2016-04-01T14:00:00Z,Buy,49.904380125,54.070066115,127,529.04,1,-265.4,606.26,265.4,1,"	11,37" 
2016-02-01T15:00:00Z,"LMT",2016-04-01T14:00:00Z,Buy,161.5384772,170.85838855,39,363.48,1,-146.9,407.4,295.59,1,"	15,39" 
2016-02-01T15:00:00Z,"UNH",2016-04-01T14:00:00Z,Buy,98.097180408,110.25449899,64,778.07,1,-280.22,828.98,320.02,1,"	5,41" 
2016-02-01T15:00:00Z,"NKE",2016-04-01T14:00:00Z,Buy,54.579620745,54.243814239,121,-40.63,1,-742.31,325.61,864.79,0,"	7,42" 
2016-02-01T15:00:00Z,"HON",2016-04-01T14:00:00Z,Buy,74.870129961707,82.127224471474,2,14.51,1,-3.02,15.88,7.83,1,"	2,45" 
2016-02-01T15:00:00Z,"KO",2016-04-01T14:00:00Z,Buy,31.344463124,34.14280805,2,5.6,1,-0.74,5.88,1.5,1,"	14,53" 
2016-02-01T15:00:00Z,"PG",2016-05-02T14:00:00Z,Buy,62.169118868,61.458345444,107,-76.05,2,-148.98,183.31,306.15,0,"	12,58" 
2016-02-01T15:00:00Z,"KO",2016-05-02T14:00:00Z,Buy,31.344463124,32.972576,207,337.02,1.035,-77.1,655.43,492.09,1,"	14,59" 
2016-02-01T15:00:00Z,"META",2016-05-02T14:00:00Z,Buy,111.431621672,116.764371056,2,10.67,2,-25.16,10.67,30.88,1,"	1,61" 
2016-02-01T15:00:00Z,"HON",2016-05-02T14:00:00Z,Buy,74.870129961707,83.754376977736,2,17.77,1,-3.02,20.01,7.83,1,"	2,64" 
2016-02-01T15:00:00Z,"ISRG",2016-05-02T14:00:00Z,Buy,60.0943789415,69.5954796964,4,38,1,-14.92,46.09,19.84,1,"	8,73" 
2016-02-01T15:00:00Z,"HON",2016-05-25T14:30:00Z,Buy,74.870129961707,84.264261569543,84,789.11,1,-126.72,840.48,328.97,1,"	2,79" 
2016-02-01T15:00:00Z,"META",2016-06-01T14:00:00Z,Buy,111.431621672,117.985838792,57,373.59,1,-717.18,469.25,880.2,1,"	1,90" 
2016-02-01T15:00:00Z,"ISRG",2016-06-01T14:00:00Z,Buy,60.0943789415,70.5232564629,101,1053.32,1.025,-376.73,1163.86,501.07,1,"	8,103" 
2016-03-01T15:00:00Z,"UPS",2016-04-01T14:00:00Z,Buy,66.580677245,72.731890513,98,602.82,2,0,645.39,117.59,1,"	25,36" 
2016-03-01T15:00:00Z,"ORCL",2016-04-01T14:00:00Z,Buy,31.656568919,35.220838577,208,741.37,2.08,0,866.72,177.28,1,"	33,38" 
2016-03-01T15:00:00Z,"PYPL",2016-04-01T14:00:00Z,Buy,38.052033904,38.51097296,173,79.4,2,0,548.87,469.47,1,"	24,40" 
2016-03-01T15:00:00Z,"AVGO",2016-04-01T14:00:00Z,Buy,10.3855928666,12.016773615,46,75.03,4.17,0,83.73,22.93,1,"	27,49" 
2016-03-01T15:00:00Z,"NVDA",2016-04-01T14:00:00Z,Buy,0.767711224,0.872243332625,478,49.97,35.023311630694,0,51.49,14.74,1,"	31,54" 
