Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:00:00Z,"CAT",2018-03-01T15:00:00Z,Buy,136.980314124,130.122041854,48,-329.2,2,-678.19,36.76,678.19,0,"	4,16" 
2018-02-01T15:00:00Z,"PYPL",2018-03-01T15:00:00Z,Buy,85.123217952,79.226848776,78,-459.92,2,-1011.66,0,1011.66,0,"	7,17" 
2018-02-01T15:00:00Z,"UNH",2018-03-01T15:00:00Z,Buy,208.33467148,198.99049456,31,-289.67,2,-553.97,0,553.97,0,"	8,18" 
2018-02-01T15:00:00Z,"ABT",2018-03-01T15:00:00Z,Buy,53.993468928,52.403892864,123,-195.52,2,-629.29,2.14,631.43,0,"	9,19" 
2018-02-01T15:00:00Z,"NKE",2018-03-01T15:00:00Z,Buy,61.573741542,60.499675983,108,-116,2,-558.55,139.39,558.55,0,"	13,20" 
2018-02-01T15:00:00Z,"AMZN",2018-03-01T15:00:00Z,Buy,72.374310603,75.445089615,4,12.28,2,-22.21,14.18,22.21,1,"	1,21" 
2018-02-01T15:00:00Z,"NFLX",2018-03-01T15:00:00Z,Buy,27.03,29.138,18,37.94,2.23,-37.49,42.95,37.49,1,"	2,22" 
2018-02-01T15:00:00Z,"MA",2018-03-01T15:00:00Z,Buy,161.8793878,168.354563312,2,12.95,2,-16.05,16.99,23.58,1,"	3,23" 
2018-02-01T15:00:00Z,"ADBE",2018-03-01T15:00:00Z,Buy,199.76,209.13,2,18.74,2,-29.2,24.78,29.2,1,"	6,26" 
2018-02-01T15:00:00Z,"ABBV",2018-03-01T15:00:00Z,Buy,79.641950456,82.203948684,3,7.69,2,-7.96,19.84,16.73,1,"	14,33" 
2018-02-01T15:00:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,71,-428.12,2,-494.34,176.96,671.3,0,"	10,34" 
2018-02-01T15:00:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,79.641950456,65.299018548,80,-1147.43,1,-1147.43,529.15,1676.58,0,"	14,35" 
2018-02-01T15:00:00Z,"MA",2018-03-28T14:30:00Z,Buy,161.8793878,165.251076824,39,131.5,1,-313.05,531.96,459.86,1,"	3,36" 
2018-02-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,1097,-546.2,11.04,-870.56,131.14,870.56,0,"	5,37" 
2018-02-01T15:00:00Z,"V",2018-03-28T14:30:00Z,Buy,117.3076058,111.042796995,56,-350.83,2,-549.33,77.72,627.05,0,"	12,39" 
2018-02-01T15:00:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,87.184054803,82.486052323,76,-357.05,2,-697.4,154.44,697.4,0,"	15,44" 
2018-02-01T15:00:00Z,"AMZN",2018-04-02T14:00:00Z,Buy,72.374310603,72.197227018,88,-15.58,1.295,-488.53,647.48,732.94,0,"	1,50" 
2018-02-01T15:00:00Z,"ADBE",2018-04-02T14:00:00Z,Buy,199.76,216.08,2,32.64,1,-29.2,59.98,34.42,1,"	6,53" 
2018-02-01T15:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,27.03,28.367,228,304.84,3.225,-474.92,1393.99,1166.22,1,"	2,56" 
2018-02-01T15:00:00Z,"ADBE",2018-04-04T14:30:00Z,Buy,199.76,215.93,2,32.34,1,-29.2,59.98,34.94,1,"	6,58" 
2018-02-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.91,47.34,142,61.06,2.97,-1052.22,1530.76,1837.48,1,"	11,63" 
2018-02-01T15:00:00Z,"ADBE",2018-06-01T14:00:00Z,Buy,199.76,249.28,27,1337.04,1,-394.2,1337.04,471.69,1,"	6,76" 
2018-03-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,5.986478025,5.578803819,14,-5.71,1,-9.85,2.94,8.64,0,"	25,37" 
2018-03-01T15:00:00Z,"ISRG",2018-03-28T14:30:00Z,Buy,142.149985785,135.073319826,46,-325.53,2,-418.6,237.67,656.27,0,"	27,38" 
2018-03-01T15:00:00Z,"V",2018-03-28T14:30:00Z,Buy,116.27290233,111.042796995,1,-5.23,1,-8.77,2.42,7.48,0,"	29,39" 
2018-03-01T15:00:00Z,"LMT",2018-03-28T14:30:00Z,Buy,286.252085196,275.230518983,23,-253.5,2,-477.29,0,477.29,0,"	30,40" 
2018-03-01T15:00:00Z,"BLK",2018-03-28T14:30:00Z,Buy,449.784880713,437.91908046,14,-166.12,2,-292.63,353.17,645.8,0,"	31,41" 
2018-03-01T15:00:00Z,"CRM",2018-03-28T14:30:00Z,Buy,114.894008324,112.443779236,57,-139.66,2,-139.66,658.89,798.56,0,"	32,42" 
2018-03-01T15:00:00Z,"COST",2018-03-28T14:30:00Z,Buy,171.2636442,164.3108247,38,-264.21,2,-342.96,19.77,362.73,0,"	24,43" 
2018-03-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.03,47.34,2,2.62,1,-13.06,23.32,25.88,1,"	28,63" 
2018-03-28T14:30:00Z,"AMZN",2018-04-02T14:00:00Z,Buy,74.676896035,72.197227018,171,-424.02,1,-1343.04,864.42,559.82,0,"	45,50" 
2018-03-28T14:30:00Z,"COP",2018-04-02T14:00:00Z,Buy,44.904582106,45.02606897,7,0.85,3.15,-2.18,0.85,2.18,1,"	49,55" 
2018-03-28T14:30:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,30.069,28.367,415,-706.33,2.075,-2125.63,1276.12,846.6,0,"	46,56" 
2018-03-28T14:30:00Z,"COP",2018-04-04T14:30:00Z,Buy,44.904582106,45.580352787,12,8.11,1,-9.57,8.11,11.02,1,"	49,60" 
2018-03-28T14:30:00Z,"SQ",2018-05-01T14:00:00Z,Buy,51.06,47.34,234,-870.48,1.17,-2705.04,1551.42,1570.14,0,"	48,63" 
2018-03-28T14:30:00Z,"COP",2018-05-01T14:00:00Z,Buy,44.904582106,49.73368495,17,82.09,1,-13.55,101.07,26.07,1,"	49,68" 
2018-03-28T14:30:00Z,"ADBE",2018-06-01T14:00:00Z,Buy,213.8,249.28,33,1170.84,1,-945.12,1170.84,456.72,1,"	47,76" 
2018-03-28T14:30:00Z,"COP",2018-06-01T14:00:00Z,Buy,44.904582106,51.372304308,259,1675.14,1.295,-206.49,2322.84,1024.86,1,"	49,80" 
2018-03-28T14:30:00Z,"ADBE",2018-08-01T14:00:00Z,Buy,213.8,244.68,26,802.88,1,-744.64,1283.62,542.1,1,"	47,101" 
2018-03-28T14:30:00Z,"COP",2018-08-01T14:00:00Z,Buy,44.904582106,55.250277558,2,20.69,1,-1.59,20.84,8.43,1,"	49,115" 
2018-03-28T14:30:00Z,"COP",2018-09-04T14:00:00Z,Buy,44.904582106,56.214879882,133,1504.27,1,-106.04,1517.51,560.76,1,"	49,127" 
2018-04-02T14:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,29.535,28.367,2,-2.34,1,-9.18,7.22,3.01,0,"	52,56" 
2018-04-02T14:00:00Z,"MA",2018-04-04T14:30:00Z,Buy,167.760686268,165.203183514,113,-289,2,-383.17,0,383.17,0,"	51,57" 
2018-04-02T14:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,49.19,47.34,9,-16.65,1,-87.21,76.5,60.39,0,"	54,63" 
2018-04-04T14:30:00Z,"SQ",2018-05-01T14:00:00Z,Buy,47.58,47.34,7,-1.68,1,-56.56,70.77,46.97,0,"	61,63" 
2018-04-04T14:30:00Z,"INTU",2018-05-01T14:00:00Z,Buy,163.042093643,176.738126851,4,54.78,2,-10.67,61.67,20.54,1,"	59,67" 
2018-04-04T14:30:00Z,"INTU",2018-05-02T14:30:00Z,Buy,163.042093643,179.081372756,1,16.04,1,-2.67,16.04,5.14,1,"	59,70" 
2018-04-04T14:30:00Z,"INTU",2018-06-01T14:00:00Z,Buy,163.042093643,192.81566304,73,2173.47,1,-194.8,2173.47,374.93,1,"	59,78" 
2018-04-04T14:30:00Z,"CRM",2018-06-01T14:00:00Z,Buy,115.091607444,127.777470948,107,1357.39,2,-41.23,1494.82,757.98,1,"	62,82" 
2018-04-04T14:30:00Z,"CRM",2018-07-02T14:00:00Z,Buy,115.091607444,134.76259984,2,39.34,1,-0.77,46.06,14.17,1,"	62,97" 
2018-04-04T14:30:00Z,"CRM",2018-08-01T14:00:00Z,Buy,115.091607444,135.464076716,54,1100.11,1,-20.81,1727.53,627.42,1,"	62,103" 
2018-04-04T14:30:00Z,"INTU",2018-08-01T14:00:00Z,Buy,163.042093643,195.340630056,37,1195.05,1,-98.73,1692.95,553.11,1,"	59,106" 
2018-05-01T14:00:00Z,"AMZN",2018-06-01T14:00:00Z,Buy,78.122792951,81.289845574,163,516.23,2.255,0,516.23,282.22,1,"	64,72" 
2018-05-01T14:00:00Z,"NFLX",2018-06-01T14:00:00Z,Buy,31.246,35.16,430,1683.02,5.29,-33.11,1766.44,263.16,1,"	65,73" 
2018-05-01T14:00:00Z,"AMZN",2018-07-02T14:00:00Z,Buy,78.122792951,84.79061346,1,6.67,1,0,9.18,4.47,1,"	64,89" 
2018-05-01T14:00:00Z,"NFLX",2018-07-02T14:00:00Z,Buy,31.246,39.143,16,126.35,1,-1.23,166.88,51.65,1,"	65,90" 
2018-05-01T14:00:00Z,"ADBE",2018-08-01T14:00:00Z,Buy,221.6,244.68,2,46.16,1,-72.88,83.14,41.7,1,"	66,101" 
2018-05-01T14:00:00Z,"NFLX",2018-08-01T14:00:00Z,Buy,31.246,33.745,182,454.82,1,-14.01,1938.48,1528.98,1,"	65,105" 
2018-05-01T14:00:00Z,"AMZN",2018-08-01T14:00:00Z,Buy,78.122792951,88.663506288,2,21.08,1,0,29.68,8.94,1,"	64,108" 
2018-05-01T14:00:00Z,"AMZN",2018-09-04T14:00:00Z,Buy,78.122792951,100.399409117,3,66.83,1,0,66.83,13.4,1,"	64,129" 
2018-05-01T14:00:00Z,"AMZN",2018-10-17T14:30:00Z,Buy,78.122792951,90.784518692,82,1038.26,1,0,1936.3,1309.54,1,"	64,157" 
2018-05-02T14:30:00Z,"NFLX",2018-08-01T14:00:00Z,Buy,31.33,33.745,6,14.49,1,-0.97,63.4,50.41,1,"	69,105" 
2018-05-02T14:30:00Z,"COP",2018-09-04T14:00:00Z,Buy,49.893136459,56.214879882,4,25.29,1,-23.14,25.69,16.86,1,"	71,127" 
2018-06-01T14:00:00Z,"NVDA",2018-07-02T14:00:00Z,Buy,6.242411784375,5.86394128125,1149,-434.86,11.49,-468.42,418.65,887.07,0,"	75,87" 
2018-06-01T14:00:00Z,"AAPL",2018-07-02T14:00:00Z,Buy,44.0145095415,43.5999671495,163,-67.57,2,-180.44,272.97,453.41,0,"	84,88" 
2018-06-01T14:00:00Z,"SQ",2018-07-02T14:00:00Z,Buy,58.25,61.65,4,13.6,2,0,37.32,30.04,1,"	79,93" 
2018-06-01T14:00:00Z,"NKE",2018-07-02T14:00:00Z,Buy,65.00098516,72.3726062,8,58.97,2,-1.82,58.97,32.61,1,"	83,98" 
2018-06-01T14:00:00Z,"COST",2018-07-02T14:00:00Z,Buy,178.367252784,188.030611818,1,9.66,2,-1,12.16,2.74,1,"	85,99" 
2018-06-01T14:00:00Z,"MA",2018-08-01T14:00:00Z,Buy,182.378456939,190.11862292,39,301.87,2,0,913.54,614.67,1,"	74,104" 
2018-06-01T14:00:00Z,"NKE",2018-08-01T14:00:00Z,Buy,65.00098516,69.82158985,102,491.7,1,-23.15,751.91,415.77,1,"	83,107" 
2018-06-01T14:00:00Z,"UNH",2018-08-01T14:00:00Z,Buy,213.1911768,224.328079118,1,11.14,2,0,15.99,9.82,1,"	77,111" 
2018-06-01T14:00:00Z,"SQ",2018-08-01T14:00:00Z,Buy,58.25,64.65,2,12.8,1,0,28.56,15.76,1,"	79,114" 
2018-06-01T14:00:00Z,"COST",2018-08-01T14:00:00Z,Buy,178.367252784,196.785219211,1,18.42,1,-1,21.13,4.17,1,"	85,119" 
2018-06-01T14:00:00Z,"MSFT",2018-08-01T14:00:00Z,Buy,91.519603196,98.223386352,3,20.11,2,-3.61,33.31,15.17,1,"	86,121" 
2018-06-01T14:00:00Z,"UNH",2018-09-04T14:00:00Z,Buy,213.1911768,237.625466637,32,781.9,1,0,803.73,314.11,1,"	77,122" 
2018-06-01T14:00:00Z,"SQ",2018-09-04T14:00:00Z,Buy,58.25,88.63,24,729.12,1,0,729.12,189.12,1,"	79,134" 
2018-06-01T14:00:00Z,"COST",2018-10-01T14:00:00Z,Buy,178.367252784,211.858847488,38,1272.68,1,-37.95,1592.47,418.5,1,"	85,145" 
2018-06-01T14:00:00Z,"SQ",2018-10-01T14:00:00Z,Buy,58.25,99,6,244.5,1,0,244.5,47.28,1,"	79,150" 
2018-06-01T14:00:00Z,"SQ",2018-10-17T14:30:00Z,Buy,58.25,78.76,87,1784.37,1,0,3545.25,2606.52,1,"	79,159" 
2018-06-01T14:00:00Z,"V",2018-10-17T14:30:00Z,Buy,123.839130189,134.470608968,57,605.99,2,0,1098.09,925.25,1,"	81,166" 
2018-06-01T14:00:00Z,"MSFT",2018-10-17T14:30:00Z,Buy,91.519603196,103.1745222,75,874.12,1,-90.28,1195.49,676.21,1,"	86,168" 
2018-07-02T14:00:00Z,"ADBE",2018-08-01T14:00:00Z,Buy,243.81,244.68,2,1.74,1,-117.3,38.72,41.7,1,"	91,101" 
2018-07-02T14:00:00Z,"HD",2018-08-01T14:00:00Z,Buy,162.46312572,164.478301344,45,90.68,2,-55.46,282.17,205.72,1,"	95,102" 
2018-07-02T14:00:00Z,"AMD",2018-08-01T14:00:00Z,Buy,14.99,18.33,79,263.86,3.465,0,349.97,86.11,1,"	96,117" 
2018-07-02T14:00:00Z,"UNH",2018-09-04T14:00:00Z,Buy,217.347172146,237.625466637,1,20.28,1,-4.16,20.96,7.41,1,"	92,122" 
2018-07-02T14:00:00Z,"AMD",2018-09-04T14:00:00Z,Buy,14.99,25.17,85,865.3,1,0,872.95,92.65,1,"	96,137" 
2018-07-02T14:00:00Z,"AMD",2018-10-01T14:00:00Z,Buy,14.99,30.89,50,795,1,0,886.5,91.5,1,"	96,154" 
2018-07-02T14:00:00Z,"AMD",2018-10-17T14:30:00Z,Buy,14.99,28.18,279,3680.01,1.395,0,4946.67,2153.88,1,"	96,160" 
2018-07-02T14:00:00Z,"V",2018-10-17T14:30:00Z,Buy,125.468467785,134.470608968,1,9,1,-1.63,17.64,16.23,1,"	94,166" 
2018-07-02T14:00:00Z,"MSFT",2018-10-17T14:30:00Z,Buy,91.306637709,103.1745222,2,23.74,1,-1.98,32.31,18.03,1,"	100,168" 
2018-08-01T14:00:00Z,"GOOGL",2018-09-04T14:00:00Z,Buy,60.900853861,61.12813659,124,28.18,2,-69.97,230.33,299.12,1,"	113,123" 
2018-08-01T14:00:00Z,"RTX",2018-09-04T14:00:00Z,Buy,60.541028643102,59.070315802439,125,-183.84,2,-220.28,56.12,239.96,0,"	118,124" 
