Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,154,-917.36,2,-917.36,519.28,1436.64,0,"	5,16" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,206.156829,175.155301629,32,-992.05,2,-992.05,181.75,1173.8,0,"	6,17" 
2020-02-03T15:00:00Z,"COST",2020-03-02T15:00:00Z,Buy,278.943456792,257.22538818,23,-499.52,2,-499.52,404.09,903.61,0,"	10,18" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.283864298929,60.524888033182,96,-840.86,2,-840.86,293.59,1134.46,0,"	12,19" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,21,-522.33,2,-612.4,582.11,1194.5,0,"	14,20" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,62,-604.8,2,-604.8,138.67,743.46,0,"	4,21" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	3,23" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,6,-9.12,2,-17.94,71.4,89.34,0,"	11,30" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262062301,153.894287261,1,-7.37,2,-11.01,17.5,28.5,0,"	13,33" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.8842580185,6.725509323625,213,179.19,6.725,0,414.92,328.4,1,"	15,35" 
2020-02-03T15:00:00Z,"ADBE",2020-03-18T14:30:00Z,Buy,351.14,311.81,17,-668.61,1,-1124.38,546.38,1670.76,0,"	3,36" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.573496556,39.59232368,137,-1230.42,2,-1451.16,198.3,1649.46,0,"	7,38" 
2020-02-03T15:00:00Z,"LMT",2020-03-18T14:30:00Z,Buy,363.75937269,272.381072068,18,-1644.81,2,-2114.9,180.35,2295.25,0,"	8,39" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,135,-691.2,1,-1119.15,1606.5,2725.65,0,"	11,41" 
2020-02-03T15:00:00Z,"MSFT",2020-03-18T14:30:00Z,Buy,161.262062301,139.227737077,40,-881.37,1,-1305.03,699.88,2004.91,0,"	13,42" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.8842580185,5.410639503625,919,-435.26,4.595,-912.88,1790.19,2703.07,0,"	15,43" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.101779139,55.483783403,93,-1452.47,2,-1660.43,425.01,2085.44,0,"	1,44" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,89,-1170.25,2.315,-1812.86,395.68,2208.54,0,"	9,54" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,51,748.95,2,-945.6,1145.09,1311.28,1,"	2,63" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,36,-1244.16,2,-1639.68,226.21,1865.89,0,"	24,37" 
2020-03-02T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,44.497282596,39.59232368,1,-4.9,1,-6.52,5.52,11.03,0,"	25,38" 
2020-03-02T15:00:00Z,"LMT",2020-03-18T14:30:00Z,Buy,316.344122787,272.381072068,1,-43.96,1,-70.08,57.43,97.39,0,"	26,39" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,74,-2857.14,2,-3117.62,0,3117.62,0,"	29,40" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,167,-822.98,2,-1172.17,246.49,1418.66,0,"	28,45" 
