Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-04T21:00:00Z,ZROZ,84.121095756,294,Market On Open,Filled,24731.602152264,"" 
2016-01-04T21:00:00Z,TLH,103.572610232,241,Market On Open,Filled,24960.999065912,"" 
2016-01-04T21:00:00Z,TLT,92.474856056,269,Market On Open,Filled,24875.736279064,"" 
2016-01-04T21:00:00Z,IEF,85.01455547,293,Market On Open,Filled,24909.26475271,"" 
2016-02-01T15:00:00Z,TLH,107.079375176,3,Market,Filled,321.238125528,"" 
2016-02-01T15:00:00Z,ZROZ,90.484023933,-5,Market,Filled,-452.420119665,"" 
2016-02-01T15:00:00Z,IEF,87.54212366,6,Market,Filled,525.25274196,"" 
2016-03-01T15:00:00Z,TLH,109.028233692,2,Market,Filled,218.056467384,"" 
2016-03-01T15:00:00Z,ZROZ,94.435258236,-5,Market,Filled,-472.17629118,"" 
2016-03-01T15:00:00Z,TLT,100.398750306,-2,Market,Filled,-200.797500612,"" 
2016-03-01T15:00:00Z,IEF,88.843926416,3,Market,Filled,266.531779248,"" 
2016-04-01T14:00:00Z,TLH,109.174811488,-246,Market,Filled,-26857.003626048,"Liquidated" 
2016-04-01T14:00:00Z,IEF,88.803687995,-302,Market,Filled,-26818.71377449,"Liquidated" 
2016-04-01T14:00:00Z,ZROZ,94.184988117,1,Market,Filled,94.184988117,"" 
2016-04-01T14:00:00Z,AGG,84.931682032,316,Market,Filled,26838.411522112,"" 
2016-04-01T14:00:00Z,TIP,86.262965912,311,Market,Filled,26827.782398632,"" 
2016-05-02T14:00:00Z,TLT,99.566863096,-267,Market,Filled,-26584.352446632,"Liquidated" 
2016-05-02T14:00:00Z,ZROZ,92.591855817,-285,Market,Filled,-26388.678907845,"Liquidated" 
2016-05-02T14:00:00Z,AGG,85.146686898,-316,Market,Filled,-26906.353059768,"Liquidated" 
2016-05-02T14:00:00Z,TIP,86.443558304,-311,Market,Filled,-26883.946632544,"Liquidated" 
2016-05-02T14:00:00Z,LQD,86.019163965,310,Market,Filled,26665.94082915,"" 
2016-05-02T14:00:00Z,TLH,108.71122185,245,Market,Filled,26634.24935325,"" 
2016-05-02T14:00:00Z,SCHP,20.728237629,1290,Market,Filled,26739.42654141,"" 
2016-05-02T14:00:00Z,BND,62.938947952,424,Market,Filled,26686.113931648,"" 
2016-05-25T14:30:00Z,LQD,85.101630208,-310,Market,Filled,-26381.50536448,"Liquidated" 
2016-05-25T14:30:00Z,TLH,108.69574377,-245,Market,Filled,-26630.45722365,"Liquidated" 
2016-05-25T14:30:00Z,SCHP,20.55692988,-1290,Market,Filled,-26518.4395452,"Liquidated" 
2016-05-25T14:30:00Z,ZROZ,94.017284074,377,Market,Filled,35444.516095898,"" 
2016-05-25T14:30:00Z,AGG,84.977441346,417,Market,Filled,35435.593041282,"" 
2016-05-25T14:30:00Z,BND,62.82491136,140,Market,Filled,8795.4875904,"" 
2016-06-01T14:00:00Z,BND,62.95414944,-564,Market,Filled,-35506.14028416,"Liquidated" 
2016-06-01T14:00:00Z,LQD,85.581903896,311,Market,Filled,26615.972111656,"" 
2016-06-01T14:00:00Z,TLH,109.08269907,244,Market,Filled,26616.17857308,"" 
2016-06-01T14:00:00Z,ZROZ,93.841964021,-94,Market,Filled,-8821.144617974,"" 
2016-06-01T14:00:00Z,TLT,100.3689792,265,Market,Filled,26597.779488,"" 
2016-06-29T14:30:00Z,LQD,87.95418496,-311,Market,Filled,-27353.75152256,"Liquidated" 
2016-06-29T14:30:00Z,TLH,113.943393588,88,Market,Filled,10027.018635744,"" 
2016-06-29T14:30:00Z,ZROZ,103.89618793,82,Market,Filled,8519.48741026,"" 
2016-06-29T14:30:00Z,TLT,107.761676382,87,Market,Filled,9375.265845234,"" 
2016-07-06T14:30:00Z,TLH,115.22500192,5,Market,Filled,576.1250096,"" 
2016-07-06T14:30:00Z,ZROZ,107.732156025,-4,Market,Filled,-430.9286241,"" 
2016-07-06T14:30:00Z,TLT,110.181766337,1,Market,Filled,110.181766337,"" 
2016-08-01T14:00:00Z,LQD,89.380758093,324,Market,Filled,28959.365622132,"" 
2016-08-01T14:00:00Z,TLH,114.401966192,-84,Market,Filled,-9609.765160128,"" 
2016-08-01T14:00:00Z,ZROZ,107.227125675,-91,Market,Filled,-9757.668436425,"" 
2016-08-01T14:00:00Z,TLT,109.585687084,-89,Market,Filled,-9753.126150476,"" 
2016-09-01T14:00:00Z,TLH,113.126688252,-253,Market,Filled,-28621.052127756,"Liquidated" 
2016-09-01T14:00:00Z,LQD,89.546998216,-3,Market,Filled,-268.640994648,"" 
2016-09-01T14:00:00Z,HYG,53.06530606,543,Market,Filled,28814.46119058,"" 
2016-09-01T14:00:00Z,TLT,108.475227384,1,Market,Filled,108.475227384,"" 
2016-09-21T14:30:00Z,TLT,104.7179949,-265,Market,Filled,-27750.2686485,"Liquidated" 
2016-09-21T14:30:00Z,ZROZ,100.325044225,-270,Market,Filled,-27087.76194075,"Liquidated" 
2016-09-21T14:30:00Z,SHV,90.05914224,413,Market,Filled,37194.42574512,"" 
2016-09-21T14:30:00Z,LQD,88.300564285,101,Market,Filled,8918.356992785,"" 
2016-09-21T14:30:00Z,HYG,52.776407628,163,Market,Filled,8602.554443364,"" 
2016-10-03T14:00:00Z,LQD,89.264370198,-422,Market,Filled,-37669.564223556,"Liquidated" 
2016-10-03T14:00:00Z,HYG,53.636959348,-4,Market,Filled,-214.547837392,"" 
2016-10-03T14:00:00Z,TIP,88.75512888,424,Market,Filled,37632.17464512,"" 
2016-10-03T14:00:00Z,SCHP,21.257057202,1772,Market,Filled,37667.505361944,"" 
2016-10-05T14:30:00Z,HYG,53.513472798,-3,Market,Filled,-160.540418394,"" 
2016-11-01T14:00:00Z,HYG,53.112137188,-699,Market,Filled,-37125.383894412,"Liquidated" 
2016-11-01T14:00:00Z,SHY,70.87254473,526,Market,Filled,37278.95852798,"" 
2016-11-01T14:00:00Z,TIP,88.27512432,-2,Market,Filled,-176.55024864,"" 
2016-11-01T14:00:00Z,SCHP,21.130214688,-7,Market,Filled,-147.911502816,"" 
2016-11-02T14:30:00Z,SCHP,21.1563837125,-1,Market,Filled,-21.1563837125,"" 
2016-12-01T15:00:00Z,SHY,70.563643452,-526,Market,Filled,-37116.476455752,"Liquidated" 
2016-12-01T15:00:00Z,SHV,90.099942465,-110,Market,Filled,-9910.99367115,"" 
2016-12-01T15:00:00Z,HYG,53.124540975,514,Market,Filled,27306.01406115,"" 
2016-12-01T15:00:00Z,TIP,86.44653552,-106,Market,Filled,-9163.33276512,"" 
2016-12-01T15:00:00Z,SCHP,20.7077592125,-445,Market,Filled,-9214.9528495625,"" 
2017-01-03T15:00:00Z,SHV,90.132616541,1,Market,Filled,90.132616541,"" 
2017-01-03T15:00:00Z,HYG,54.109649235,-7,Market,Filled,-378.767544645,"" 
2017-01-03T15:00:00Z,TIP,86.415989565,2,Market,Filled,172.83197913,"" 
2017-01-03T15:00:00Z,SCHP,20.708746608,8,Market,Filled,165.669972864,"" 
2017-02-01T15:00:00Z,SHV,90.197995173,2,Market,Filled,180.395990346,"" 
2017-02-01T15:00:00Z,TIP,87.18722001,-1,Market,Filled,-87.18722001,"" 
2017-02-01T15:00:00Z,SCHP,20.890004784,-2,Market,Filled,-41.780009568,"" 
2017-03-01T15:00:00Z,SCHP,20.965529024,-1325,Market,Filled,-27779.3259568,"Liquidated" 
2017-03-01T15:00:00Z,TIP,87.546109425,-317,Market,Filled,-27752.116687725,"Liquidated" 
2017-03-01T15:00:00Z,SHV,90.247052254,3,Market,Filled,270.741156762,"" 
2017-03-01T15:00:00Z,AGG,85.174284606,-90,Market,Filled,-7665.68561454,"" 
2017-03-01T15:00:00Z,HYG,55.445051691,-4,Market,Filled,-221.780206764,"" 
2017-03-01T15:00:00Z,SHY,70.730957418,394,Market,Filled,27867.997222692,"" 
2017-04-03T14:00:00Z,HYG,55.369359276,-503,Market,Filled,-27850.787715828,"Liquidated" 
2017-04-03T14:00:00Z,AGG,85.135053928,-327,Market,Filled,-27839.162634456,"Liquidated" 
2017-04-03T14:00:00Z,SCHP,20.969305236,1330,Market,Filled,27889.17596388,"" 
2017-04-03T14:00:00Z,TIP,87.546109425,318,Market,Filled,27839.66279715,"" 
2017-04-19T14:30:00Z,SCHP,21.135640527,-1330,Market,Filled,-28110.40190091,"Liquidated" 
2017-04-19T14:30:00Z,TIP,88.096662936,-318,Market,Filled,-28014.738813648,"Liquidated" 
2017-04-19T14:30:00Z,SHV,90.255225934,104,Market,Filled,9386.543497136,"" 
2017-04-19T14:30:00Z,HYG,55.407370582,674,Market,Filled,37344.567772268,"" 
2017-04-19T14:30:00Z,SHY,70.96551385,132,Market,Filled,9367.4478282,"" 
2017-05-01T14:00:00Z,SHY,70.8817293,-526,Market,Filled,-37283.7896118,"Liquidated" 
2017-05-01T14:00:00Z,SHV,90.26340938,-103,Market,Filled,-9297.13116614,"" 
2017-05-01T14:00:00Z,HYG,55.825491604,-172,Market,Filled,-9601.984555888,"" 
2017-05-01T14:00:00Z,TIP,87.943730616,319,Market,Filled,28054.050066504,"" 
2017-05-01T14:00:00Z,SCHP,21.05625429,1333,Market,Filled,28067.98696857,"" 
2017-06-01T14:00:00Z,SCHP,21.078976336,-1333,Market,Filled,-28098.275455888,"Liquidated" 
2017-06-01T14:00:00Z,TIP,87.913068728,-319,Market,Filled,-28044.268924232,"Liquidated" 
2017-06-01T14:00:00Z,SHV,90.3207249,1,Market,Filled,90.3207249,"" 
2017-06-01T14:00:00Z,LQD,89.064978275,316,Market,Filled,28144.5331349,"" 
2017-06-01T14:00:00Z,HYG,56.40448446,-3,Market,Filled,-169.21345338,"" 
2017-06-01T14:00:00Z,SHY,70.957204028,396,Market,Filled,28099.052795088,"" 
2017-07-03T14:00:00Z,SHV,90.386263748,-311,Market,Filled,-28110.128025628,"Liquidated" 
2017-07-03T14:00:00Z,SHY,70.890065664,-396,Market,Filled,-28072.466002944,"Liquidated" 
2017-07-03T14:00:00Z,LQD,89.495703063,-2,Market,Filled,-178.991406126,"" 
2017-07-03T14:00:00Z,ZROZ,91.939269555,306,Market,Filled,28133.41648383,"" 
2017-07-03T14:00:00Z,AGG,86.488884457,325,Market,Filled,28108.887448525,"" 
2017-08-01T14:00:00Z,ZROZ,90.486801345,-306,Market,Filled,-27688.96121157,"Liquidated" 
2017-08-01T14:00:00Z,LQD,90.180758646,-2,Market,Filled,-180.361517292,"" 
