Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-05T21:00:00Z,"ZROZ",2016-02-01T15:00:00Z,Buy,84.121095756,90.484023933,5,31.81,2.47,0,31.81,7.58,1,"	1,6" 
2016-01-05T21:00:00Z,"ZROZ",2016-03-01T15:00:00Z,Buy,84.121095756,94.435258236,5,51.57,1,0,68.63,25.37,1,"	1,9" 
2016-01-05T21:00:00Z,"TLT",2016-03-01T15:00:00Z,Buy,92.474856056,100.398750306,2,15.85,2.345,0,20.05,6.76,1,"	3,10" 
2016-01-05T21:00:00Z,"TLH",2016-04-01T14:00:00Z,Buy,103.572610232,109.174811488,241,1350.13,2.435,0,1585.84,771.16,1,"	2,12" 
2016-01-05T21:00:00Z,"IEF",2016-04-01T14:00:00Z,Buy,85.01455547,88.803687995,293,1110.22,2.975,0,1326.85,676.42,1,"	4,13" 
2016-01-05T21:00:00Z,"TLT",2016-05-02T14:00:00Z,Buy,92.474856056,99.566863096,267,1893.57,1.335,0,2676.45,1252.11,1,"	3,17" 
2016-01-05T21:00:00Z,"ZROZ",2016-05-02T14:00:00Z,Buy,84.121095756,92.591855817,284,2405.7,1.425,0,3898.45,2148.7,1,"	1,18" 
2016-02-01T15:00:00Z,"TLH",2016-04-01T14:00:00Z,Buy,107.079375176,109.174811488,3,6.29,1,-10.52,9.22,9.6,1,"	5,12" 
2016-02-01T15:00:00Z,"IEF",2016-04-01T14:00:00Z,Buy,87.54212366,88.803687995,6,7.57,1,-15.17,12.01,13.85,1,"	7,13" 
2016-03-01T15:00:00Z,"TLH",2016-04-01T14:00:00Z,Buy,109.028233692,109.174811488,2,0.29,1,-10.91,2.25,4.15,1,"	8,12" 
2016-03-01T15:00:00Z,"IEF",2016-04-01T14:00:00Z,Buy,88.843926416,88.803687995,3,-0.12,1,-11.49,2.1,4.83,0,"	11,13" 
2016-04-01T14:00:00Z,"ZROZ",2016-05-02T14:00:00Z,Buy,94.184988117,92.591855817,1,-1.59,1,-10.06,3.66,6.56,0,"	14,18" 
2016-04-01T14:00:00Z,"AGG",2016-05-02T14:00:00Z,Buy,84.931682032,85.146686898,316,67.94,3.16,-63.08,92.21,155.29,1,"	15,19" 
2016-04-01T14:00:00Z,"TIP",2016-05-02T14:00:00Z,Buy,86.262965912,86.443558304,311,56.16,3.11,-234.02,105.31,339.33,1,"	16,20" 
2016-05-02T14:00:00Z,"LQD",2016-05-25T14:30:00Z,Buy,86.019163965,85.101630208,310,-284.44,3.1,-319.99,22.22,342.21,0,"	21,25" 
2016-05-02T14:00:00Z,"TLH",2016-05-25T14:30:00Z,Buy,108.71122185,108.69574377,245,-3.79,2.45,-125.14,373.53,409.55,0,"	22,26" 
2016-05-02T14:00:00Z,"SCHP",2016-05-25T14:30:00Z,Buy,20.728237629,20.55692988,1290,-220.99,12.9,-220.99,76.87,297.85,0,"	23,27" 
2016-05-02T14:00:00Z,"BND",2016-06-01T14:00:00Z,Buy,62.938947952,62.95414944,424,6.45,4.94,-64.47,138.6,203.07,1,"	24,31" 
2016-05-25T14:30:00Z,"BND",2016-06-01T14:00:00Z,Buy,62.82491136,62.95414944,140,18.09,1,-5.32,61.73,4.26,1,"	30,31" 
