Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-02T21:00:00Z,HYG,63.405679748,393,Market On Open,Filled,24918.432140964,"" 
2020-01-02T21:00:00Z,LQD,103.13641404,242,Market On Open,Filled,24959.01219768,"" 
2020-01-02T21:00:00Z,BND,70.129314168,357,Market On Open,Filled,25036.165157976,"" 
2020-01-02T21:00:00Z,TIP,95.739077088,262,Market On Open,Filled,25083.638197056,"" 
2020-02-03T15:00:00Z,HYG,62.981152387,-393,Market,Filled,-24751.592888091,"Liquidated" 
2020-02-03T15:00:00Z,TIP,96.960654288,-262,Market,Filled,-25403.691423456,"Liquidated" 
2020-02-03T15:00:00Z,LQD,105.297137979,-3,Market,Filled,-315.891413937,"" 
2020-02-03T15:00:00Z,BND,71.245651552,-3,Market,Filled,-213.736954656,"" 
2020-02-03T15:00:00Z,ZROZ,123.74280594,204,Market,Filled,25243.53241176,"" 
2020-02-03T15:00:00Z,TLT,122.061399,206,Market,Filled,25144.648194,"" 
2020-03-02T15:00:00Z,LQD,106.446166596,-239,Market,Filled,-25440.633816444,"Liquidated" 
2020-03-02T15:00:00Z,TLH,131.022378,202,Market,Filled,26466.520356,"" 
2020-03-02T15:00:00Z,BND,72.433251792,11,Market,Filled,796.765769712,"" 
2020-03-02T15:00:00Z,ZROZ,135.93339276,-10,Market,Filled,-1359.3339276,"" 
2020-03-02T15:00:00Z,TLT,130.149748938,-3,Market,Filled,-390.449246814,"" 
2020-03-18T14:30:00Z,BND,69.30690818,-365,Market,Filled,-25297.0214857,"Liquidated" 
2020-03-18T14:30:00Z,TLH,131.514526325,61,Market,Filled,8022.386105825,"" 
2020-03-18T14:30:00Z,ZROZ,132.59350596,67,Market,Filled,8883.76489932,"" 
2020-03-18T14:30:00Z,TLT,128.38670573,66,Market,Filled,8473.52257818,"" 
2020-04-01T14:00:00Z,TLH,138.4210003197,6,Market,Filled,830.5260019182,"" 
2020-04-01T14:00:00Z,ZROZ,145.902954858,-6,Market,Filled,-875.417729148,"" 
2020-05-01T14:00:00Z,TLT,140.136816414,-269,Market,Filled,-37696.803615366,"Liquidated" 
2020-05-01T14:00:00Z,TLH,139.057086912,-269,Market,Filled,-37406.356379328,"Liquidated" 
2020-05-01T14:00:00Z,AGG,98.78285499,287,Market,Filled,28350.67938213,"" 
2020-05-01T14:00:00Z,IEF,105.27107406,269,Market,Filled,28317.91892214,"" 
2020-05-01T14:00:00Z,BND,73.368891558,386,Market,Filled,28320.392141388,"" 
2020-05-01T14:00:00Z,ZROZ,149.787777264,-66,Market,Filled,-9885.993299424,"" 
2020-06-01T14:00:00Z,ZROZ,144.342321996,-189,Market,Filled,-27280.698857244,"Liquidated" 
2020-06-01T14:00:00Z,AGG,99.44749789,-4,Market,Filled,-397.78999156,"" 
2020-06-01T14:00:00Z,IEF,105.615782454,-2,Market,Filled,-211.231564908,"" 
2020-06-01T14:00:00Z,BND,73.859367624,-4,Market,Filled,-295.437470496,"" 
2020-06-01T14:00:00Z,SCHP,23.776787496,1187,Market,Filled,28223.046757752,"" 
