Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-03T21:00:00Z,"HYG",2020-02-03T15:00:00Z,Buy,63.405679748,62.981152387,393,-166.84,3.93,-288.43,87.66,376.1,0,"	1,5" 
2020-01-03T21:00:00Z,"TIP",2020-02-03T15:00:00Z,Buy,95.739077088,96.960654288,262,320.05,2.62,-140.82,320.05,140.82,1,"	4,6" 
2020-01-03T21:00:00Z,"LQD",2020-02-03T15:00:00Z,Buy,103.13641404,105.297137979,3,6.48,2.21,-1.61,6.48,1.61,1,"	2,7" 
2020-01-03T21:00:00Z,"BND",2020-02-03T15:00:00Z,Buy,70.129314168,71.245651552,3,3.35,2.785,-0.52,3.35,0.52,1,"	3,8" 
2020-01-03T21:00:00Z,"LQD",2020-03-02T15:00:00Z,Buy,103.13641404,106.446166596,239,791.03,1.195,-128.62,791.03,229.04,1,"	2,11" 
2020-01-03T21:00:00Z,"BND",2020-03-18T14:30:00Z,Buy,70.129314168,69.30690818,354,-291.13,1.825,-1037.39,1222.11,2259.5,0,"	3,16" 
2020-02-03T15:00:00Z,"ZROZ",2020-03-02T15:00:00Z,Buy,123.74280594,135.93339276,10,121.91,2.02,-45.59,121.91,46.42,1,"	9,14" 
2020-02-03T15:00:00Z,"TLT",2020-03-02T15:00:00Z,Buy,122.061399,130.149748938,3,24.27,2.03,-9.17,24.27,9.17,1,"	10,15" 
2020-02-03T15:00:00Z,"ZROZ",2020-04-01T14:00:00Z,Buy,123.74280594,145.902954858,6,132.96,1,-27.35,209.31,202.1,1,"	9,21" 
2020-02-03T15:00:00Z,"TLT",2020-05-01T14:00:00Z,Buy,122.061399,140.136816414,203,3669.31,1.345,-620.58,4445.59,4589.64,1,"	10,22" 
2020-02-03T15:00:00Z,"ZROZ",2020-05-01T14:00:00Z,Buy,123.74280594,149.787777264,66,1718.97,1,-300.89,2302.42,2223.06,1,"	9,27" 
2020-02-03T15:00:00Z,"ZROZ",2020-06-01T14:00:00Z,Buy,123.74280594,144.342321996,122,2513.14,1,-556.19,4255.98,4109.3,1,"	9,28" 
2020-03-02T15:00:00Z,"BND",2020-03-18T14:30:00Z,Buy,72.433251792,69.30690818,11,-34.39,1,-57.58,12.63,70.21,0,"	13,16" 
2020-03-02T15:00:00Z,"TLH",2020-05-01T14:00:00Z,Buy,131.022378,139.057086912,202,1623.01,2.355,-1240.14,2142.95,3383.09,1,"	12,23" 
2020-03-18T14:30:00Z,"TLT",2020-05-01T14:00:00Z,Buy,128.38670573,140.136816414,66,775.51,1,-619.24,1027.89,478.01,1,"	19,22" 
2020-03-18T14:30:00Z,"TLH",2020-05-01T14:00:00Z,Buy,131.514526325,139.057086912,61,460.1,1,-404.52,617.11,404.52,1,"	17,23" 
2020-03-18T14:30:00Z,"ZROZ",2020-06-01T14:00:00Z,Buy,132.59350596,144.342321996,67,787.17,1,-898.45,1744.31,891.03,1,"	18,28" 
