Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-01-03T21:00:00Z,BND,64.93695587,387,Market On Open,Filled,25130.60192169,"" 
2023-01-03T21:00:00Z,HYG,61.576154368,408,Market On Open,Filled,25123.070982144,"" 
2023-01-03T21:00:00Z,SHY,72.64844606,344,Market On Open,Filled,24991.06544464,"" 
2023-01-03T21:00:00Z,SHV,95.18919051,262,Market On Open,Filled,24939.56791362,"" 
2023-02-01T15:00:00Z,BND,66.294647382,-387,Market,Filled,-25656.028536834,"Liquidated" 
2023-02-01T15:00:00Z,LQD,96.635433961,262,Market,Filled,25318.483697782,"" 
2023-02-01T15:00:00Z,HYG,63.292591744,-8,Market,Filled,-506.340733952,"" 
2023-02-01T15:00:00Z,SHY,73.05031208,3,Market,Filled,219.15093624,"" 
2023-02-01T15:00:00Z,SHV,95.474887944,3,Market,Filled,286.424663832,"" 
2023-03-01T15:00:00Z,LQD,92.606682176,-262,Market,Filled,-24262.950730112,"Liquidated" 
2023-03-01T15:00:00Z,BND,64.527211456,386,Market,Filled,24907.503622016,"" 
2023-03-01T15:00:00Z,HYG,62.099834429,1,Market,Filled,62.099834429,"" 
2023-03-01T15:00:00Z,SHY,72.462004069,-3,Market,Filled,-217.386012207,"" 
2023-03-01T15:00:00Z,SHV,95.752424869,-5,Market,Filled,-478.762124345,"" 
2023-03-22T14:30:00Z,HYG,62.007312705,-401,Market,Filled,-24864.932394705,"Liquidated" 
2023-03-22T14:30:00Z,BND,65.68862592,124,Market,Filled,8145.38961408,"" 
2023-03-22T14:30:00Z,SHY,73.38744907,112,Market,Filled,8219.39429584,"" 
2023-03-22T14:30:00Z,SHV,96.092476183,88,Market,Filled,8456.137904104,"" 
2023-04-03T14:00:00Z,BND,66.253978848,-510,Market,Filled,-33789.52921248,"Liquidated" 
2023-04-03T14:00:00Z,LQD,96.170432914,350,Market,Filled,33659.6515199,"" 
2023-04-03T14:00:00Z,SHY,73.65639892,1,Market,Filled,73.65639892,"" 
2023-04-03T14:00:00Z,SHV,96.24053855,1,Market,Filled,96.24053855,"" 
2023-05-01T14:00:00Z,SHY,73.836248164,-457,Market,Filled,-33743.165410948,"Liquidated" 
2023-05-01T14:00:00Z,LQD,96.751316775,-88,Market,Filled,-8514.1158762,"" 
2023-05-01T14:00:00Z,HYG,63.459781824,399,Market,Filled,25320.452947776,"" 
2023-05-01T14:00:00Z,BND,66.64333104,380,Market,Filled,25324.4657952,"" 
2023-05-01T14:00:00Z,SHV,96.53849115,-87,Market,Filled,-8398.84873005,"" 
2023-06-01T14:00:00Z,BND,65.867552344,-380,Market,Filled,-25029.66989072,"Liquidated" 
2023-06-01T14:00:00Z,TLH,99.069161383,253,Market,Filled,25064.497829899,"" 
2023-06-01T14:00:00Z,LQD,95.039458764,2,Market,Filled,190.078917528,"" 
2023-06-01T14:00:00Z,HYG,62.678184183,1,Market,Filled,62.678184183,"" 
2023-06-01T14:00:00Z,SHV,96.852104681,-3,Market,Filled,-290.556314043,"" 
2023-07-03T14:00:00Z,TLH,98.890847968,-253,Market,Filled,-25019.384535904,"Liquidated" 
2023-07-03T14:00:00Z,LQD,95.809141848,-1,Market,Filled,-95.809141848,"" 
2023-07-03T14:00:00Z,HYG,63.794013059,-4,Market,Filled,-255.176052236,"" 
2023-07-03T14:00:00Z,ZROZ,81.963197217,308,Market,Filled,25244.664742836,"" 
2023-08-01T14:00:00Z,ZROZ,78.621800557,-308,Market,Filled,-24215.514571556,"Liquidated" 
2023-08-01T14:00:00Z,LQD,95.860887105,-263,Market,Filled,-25211.413308615,"Liquidated" 
2023-08-01T14:00:00Z,SCHP,23.9137379235,1050,Market,Filled,25109.424819675,"" 
2023-08-01T14:00:00Z,HYG,64.5055088,-7,Market,Filled,-451.5385616,"" 
2023-08-01T14:00:00Z,SHY,73.417023264,342,Market,Filled,25108.621956288,"" 
2023-08-01T14:00:00Z,SHV,97.684632804,-2,Market,Filled,-195.369265608,"" 
2023-08-23T14:30:00Z,SCHP,23.4741560145,-1050,Market,Filled,-24647.863815225,"Liquidated" 
2023-08-23T14:30:00Z,HYG,63.619440471,133,Market,Filled,8461.385582643,"" 
2023-08-23T14:30:00Z,SHY,73.391466384,111,Market,Filled,8146.452768624,"" 
2023-08-23T14:30:00Z,SHV,97.993218288,82,Market,Filled,8035.443899616,"" 
2023-09-01T14:00:00Z,HYG,64.623822408,-4,Market,Filled,-258.495289632,"" 
2023-09-01T14:00:00Z,SHY,73.718134632,1,Market,Filled,73.718134632,"" 
2023-09-01T14:00:00Z,SHV,98.1531057,2,Market,Filled,196.3062114,"" 
2023-09-06T14:30:00Z,HYG,64.322550204,1,Market,Filled,64.322550204,"" 
2023-09-06T14:30:00Z,SHV,98.180436726,-1,Market,Filled,-98.180436726,"" 
2023-09-20T14:30:00Z,HYG,64.219054548,1,Market,Filled,64.219054548,"" 
2023-09-20T14:30:00Z,SHV,98.376672722,-1,Market,Filled,-98.376672722,"" 
2023-10-02T14:00:00Z,HYG,63.580831336,4,Market,Filled,254.323325344,"" 
2023-10-02T14:00:00Z,SHY,73.659736908,-2,Market,Filled,-147.319473816,"" 
2023-10-02T14:00:00Z,SHV,98.537229446,-1,Market,Filled,-98.537229446,"" 
2023-10-04T14:30:00Z,HYG,62.553595455,5,Market,Filled,312.767977275,"" 
2023-10-04T14:30:00Z,SHY,73.531188206,-2,Market,Filled,-147.062376412,"" 
2023-10-04T14:30:00Z,SHV,98.568484056,-2,Market,Filled,-197.136968112,"" 
2023-12-01T15:00:00Z,SCHP,23.7495901865,1074,Market,Filled,25507.059860301,"" 
2023-12-01T15:00:00Z,HYG,65.992485222,-143,Market,Filled,-9436.925386746,"" 
2023-12-01T15:00:00Z,SHY,74.682927975,-109,Market,Filled,-8140.439149275,"" 
2023-12-01T15:00:00Z,SHV,99.482826996,-80,Market,Filled,-7958.62615968,"" 
2024-01-02T15:00:00Z,SCHP,24.3378846,-1074,Market,Filled,-26138.8880604,"Liquidated" 
2024-01-02T15:00:00Z,LQD,100.535982184,258,Market,Filled,25938.283403472,"" 
2024-01-02T15:00:00Z,HYG,68.098742336,-5,Market,Filled,-340.49371168,"" 
2024-01-02T15:00:00Z,SHY,75.506736396,3,Market,Filled,226.520209188,"" 
2024-01-02T15:00:00Z,SHV,99.962291802,3,Market,Filled,299.886875406,"" 
