Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2023-02-01T15:00:00Z,"MA",2023-03-01T15:00:00Z,Buy,364.18576638,349.140747267,4,-60.18,2,-68.71,17.53,86.24,0,"	5,28" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,47,-149.13,2,-172.54,61.24,233.78,0,"	6,29" 
2023-02-01T15:00:00Z,"BLK",2023-03-01T15:00:00Z,Buy,702.336212322,637.783557726,2,-129.11,2,-140.89,21.31,162.2,0,"	8,30" 
2023-02-01T15:00:00Z,"LQD",2023-03-01T15:00:00Z,Buy,96.635433961,92.606682176,64,-257.84,2,-280.22,71.74,351.96,0,"	26,31" 
2023-02-01T15:00:00Z,"RTX",2023-03-01T15:00:00Z,Buy,93.014818175,91.878068199,17,-19.32,2,-53.37,26.29,53.37,0,"	12,32" 
2023-02-01T15:00:00Z,"GS",2023-03-01T15:00:00Z,Buy,337.486392549,324.422760285,4,-52.25,2,-52.25,34.28,86.54,0,"	15,33" 
2023-02-01T15:00:00Z,"CAT",2023-03-01T15:00:00Z,Buy,240.287278021,228.153384795,6,-72.8,2,-92.12,0,92.12,0,"	4,34" 
2023-02-01T15:00:00Z,"GLD",2023-03-01T15:00:00Z,Buy,179.41,169.78,34,-327.42,2,-376.04,76.84,452.88,0,"	19,35" 
2023-02-01T15:00:00Z,"VYM",2023-03-01T15:00:00Z,Buy,101.563495451,97.996807744,61,-217.57,2,-217.57,17.9,235.47,0,"	22,36" 
2023-02-01T15:00:00Z,"DVY",2023-03-01T15:00:00Z,Buy,111.25716495,107.175551625,56,-228.57,2,-228.57,35.7,264.27,0,"	23,37" 
2023-02-01T15:00:00Z,"XLE",2023-03-01T15:00:00Z,Buy,40.6228963205,37.8041831765,153,-431.26,2,-443.7,19.35,463.05,0,"	16,38" 
2023-02-01T15:00:00Z,"COP",2023-03-01T15:00:00Z,Buy,109.666620672,93.4151712,15,-243.77,2,-243.77,0,243.77,0,"	13,39" 
2023-02-01T15:00:00Z,"XOM",2023-03-01T15:00:00Z,Buy,103.991106296,99.039803016,16,-79.22,2,-79.22,45.02,124.24,0,"	14,40" 
2023-02-01T15:00:00Z,"GE",2023-03-01T15:00:00Z,Buy,63.164397456306,66.484295583047,2,6.64,2,0,6.73,4.94,1,"	7,46" 
2023-02-01T15:00:00Z,"UBER",2023-03-01T15:00:00Z,Buy,30.93,33.26,5,11.65,2,0,29.5,17.85,1,"	9,47" 
2023-02-01T15:00:00Z,"JEPI",2023-03-01T15:00:00Z,Buy,43.092751473,42.124718691,2,-1.94,2,-1.94,0.1,2.04,0,"	20,54" 
2023-02-01T15:00:00Z,"PFF",2023-03-01T15:00:00Z,Buy,27.55798416,26.96923671,2,-1.18,2.13,-2.17,0.65,2.82,0,"	21,55" 
2023-02-01T15:00:00Z,"SHY",2023-03-01T15:00:00Z,Buy,73.05031208,72.462004069,2,-1.18,2,-1.27,0.27,1.54,0,"	24,58" 
2023-02-01T15:00:00Z,"SHV",2023-03-01T15:00:00Z,Buy,95.474887944,95.752424869,2,0.56,2,0,0.56,0.03,1,"	25,59" 
2023-02-01T15:00:00Z,"HYG",2023-03-01T15:00:00Z,Buy,63.292591744,62.099834429,1,-1.19,2,-2.13,1.03,3.16,0,"	27,61" 
2023-02-01T15:00:00Z,"AXP",2023-03-22T14:30:00Z,Buy,168.696165716,158.736831786,9,-89.63,2,-159.47,55.91,215.38,0,"	1,62" 
2023-02-01T15:00:00Z,"ORCL",2023-03-22T14:30:00Z,Buy,85.339462509,84.50024772,19,-15.95,2,-100.25,29.14,129.39,0,"	3,63" 
2023-02-01T15:00:00Z,"UBER",2023-03-22T14:30:00Z,Buy,30.93,32.86,48,92.64,1,-5.28,283.2,288.48,1,"	9,66" 
2023-02-01T15:00:00Z,"V",2023-03-22T14:30:00Z,Buy,224.602038358,216.96740006,7,-53.44,2,-104.63,7.58,112.21,0,"	10,67" 
2023-02-01T15:00:00Z,"MS",2023-03-22T14:30:00Z,Buy,88.16754846,80.42242836,18,-139.41,2,-213.77,57.07,270.83,0,"	11,69" 
2023-02-01T15:00:00Z,"JPM",2023-03-22T14:30:00Z,Buy,130.359499784,121.59497497,12,-105.17,2,-158.15,42.92,201.07,0,"	2,72" 
2023-02-01T15:00:00Z,"MOO",2023-03-22T14:30:00Z,Buy,84.210564356,78.283855432,74,-438.58,2,-623.63,54.91,678.54,0,"	17,74" 
2023-02-01T15:00:00Z,"PFF",2023-03-22T14:30:00Z,Buy,27.55798416,25.193943716,224,-529.55,1.12,-624.31,73.19,697.5,0,"	21,76" 
