Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,ISRG,60.0943789415,27,Market,Filled,1622.5482314205,"" 
2016-02-01T15:00:00Z,PG,62.169118868,26,Market,Filled,1616.397090568,"" 
2016-02-01T15:00:00Z,GOOGL,37.755453089,44,Market,Filled,1661.239935916,"" 
2016-02-01T15:00:00Z,PEP,72.643957074,22,Market,Filled,1598.167055628,"" 
2016-02-01T15:00:00Z,XOM,49.904380125,33,Market,Filled,1646.844544125,"" 
2016-02-01T15:00:00Z,MSFT,48.127544003,34,Market,Filled,1636.336496102,"" 
2016-02-01T15:00:00Z,UNH,97.3404295,17,Market,Filled,1654.7873015,"" 
2016-02-01T15:00:00Z,NKE,54.219733308,30,Market,Filled,1626.59199924,"" 
2016-02-01T15:00:00Z,LMT,160.6916076,10,Market,Filled,1606.916076,"" 
2016-02-01T15:00:00Z,HD,98.449367328,16,Market,Filled,1575.189877248,"" 
2016-02-01T15:00:00Z,KO,31.130408208,53,Market,Filled,1649.911635024,"" 
2016-02-01T15:00:00Z,GE,127.9774922502,13,Market,Filled,1663.7073992526,"" 
2016-02-01T15:00:00Z,META,111.336299277,14,Market,Filled,1558.708189878,"" 
2016-02-01T15:00:00Z,MCD,96.491981076,17,Market,Filled,1640.363678292,"" 
2016-02-01T15:00:00Z,HON,74.500253537589,22,Market,Filled,1639.005577827,"" 
2016-02-01T15:00:00Z,GLD,106.96,58,Market,Filled,6203.68,"" 
2016-02-01T15:00:00Z,SLV,13.59,459,Market,Filled,6237.81,"" 
2016-02-01T15:00:00Z,DBA,17.18214463,363,Market,Filled,6237.11850069,"" 
2016-02-01T15:00:00Z,CORN,21.72,287,Market,Filled,6233.64,"" 
2016-02-01T15:00:00Z,SPHD,21.9613977,284,Market,Filled,6237.0369468,"" 
2016-02-01T15:00:00Z,DVY,51.752031786,120,Market,Filled,6210.24381432,"" 
2016-02-01T15:00:00Z,XLU,16.502759727,378,Market,Filled,6238.043176806,"" 
2016-02-01T15:00:00Z,HDV,51.23105484,121,Market,Filled,6198.95763564,"" 
2016-02-01T15:00:00Z,IEF,87.00565714,71,Market,Filled,6177.40165694,"" 
2016-02-01T15:00:00Z,TLT,96.64857748,64,Market,Filled,6185.50895872,"" 
2016-02-01T15:00:00Z,ZROZ,90.484023933,69,Market,Filled,6243.397651377,"" 
2016-02-01T15:00:00Z,TLH,106.33424624,58,Market,Filled,6167.38628192,"" 
2016-03-01T15:00:00Z,CORN,20.63,-287,Market,Filled,-5920.81,"Liquidated" 
