Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:00:00Z,"CORN",2016-03-01T15:00:00Z,Buy,21.72,20.63,287,-312.83,2.87,-312.83,17.22,330.05,0,"	19,28" 
2016-02-01T15:00:00Z,"PEP",2016-03-01T15:00:00Z,Buy,72.643957074,71.727290949,22,-20.17,2,-34.69,25.97,46.14,0,"	4,29" 
2016-02-01T15:00:00Z,"HD",2016-03-01T15:00:00Z,Buy,98.449367328,97.165517436,16,-20.54,2,-174.23,13.78,183.62,0,"	10,30" 
2016-02-01T15:00:00Z,"XLU",2016-03-01T15:00:00Z,Buy,16.502759727,16.822496155,378,120.86,3.78,0,277.43,171.68,1,"	22,31" 
2016-02-01T15:00:00Z,"MCD",2016-03-01T15:00:00Z,Buy,96.491981076,92.046873781,17,-75.57,2,-111.05,11,122.05,0,"	14,32" 
2016-02-01T15:00:00Z,"DBA",2016-03-01T15:00:00Z,Buy,17.18214463,17.16495389,363,-6.24,3.63,-112.32,43.68,156.01,0,"	18,33" 
2016-02-01T15:00:00Z,"GOOGL",2016-03-01T15:00:00Z,Buy,37.755453089,35.5670402108,44,-96.29,2,-131.64,42.68,174.32,0,"	3,34" 
2016-02-01T15:00:00Z,"MSFT",2016-03-01T15:00:00Z,Buy,48.127544003,44.768762496,34,-114.2,2,-172.57,0,172.57,0,"	6,35" 
2016-02-01T15:00:00Z,"GLD",2016-03-01T15:00:00Z,Buy,106.96,118.64,19,221.92,2,0,229.71,81.32,1,"	16,51" 
2016-02-01T15:00:00Z,"SLV",2016-03-01T15:00:00Z,Buy,13.59,14.2,128,78.08,3.295,0,179.2,124.16,1,"	17,52" 
2016-02-01T15:00:00Z,"SPHD",2016-03-01T15:00:00Z,Buy,21.9613977,22.858167591,79,70.84,2.42,-44.69,84.56,72.03,1,"	20,55" 
2016-02-01T15:00:00Z,"DVY",2016-03-01T15:00:00Z,Buy,51.752031786,53.245747296,32,47.8,2,-23.79,66.92,34.46,1,"	21,57" 
2016-02-01T15:00:00Z,"HDV",2016-03-01T15:00:00Z,Buy,51.23105484,51.7260072,30,14.85,2,-25.51,40.78,25.93,1,"	23,58" 
2016-02-01T15:00:00Z,"IEF",2016-03-01T15:00:00Z,Buy,87.00565714,88.299484752,18,23.29,2,-3.45,35.8,20.99,1,"	24,59" 
2016-02-01T15:00:00Z,"TLT",2016-03-01T15:00:00Z,Buy,96.64857748,99.685249854,17,51.62,2,-4.53,87.07,57.06,1,"	25,60" 
2016-02-01T15:00:00Z,"ZROZ",2016-03-01T15:00:00Z,Buy,90.484023933,94.435258236,20,79.02,2,-6.52,147.28,101.47,1,"	26,61" 
2016-02-01T15:00:00Z,"TLH",2016-03-01T15:00:00Z,Buy,106.33424624,108.269550984,15,29.03,2,-3.21,45.78,28.34,1,"	27,62" 
2016-02-01T15:00:00Z,"XOM",2016-04-01T14:00:00Z,Buy,49.904380125,54.070066115,33,137.47,2,-68.96,157.53,68.96,1,"	5,65" 
2016-02-01T15:00:00Z,"NKE",2016-04-01T14:00:00Z,Buy,54.219733308,53.886144897,30,-10.01,2,-182.83,80.2,213,0,"	8,66" 
2016-02-01T15:00:00Z,"UNH",2016-04-01T14:00:00Z,Buy,97.3404295,109.40396523,17,205.08,2,-73.86,218.5,84.35,1,"	7,67" 
2016-02-01T15:00:00Z,"ISRG",2016-04-01T14:00:00Z,Buy,60.0943789415,66.7832605395,27,180.6,2,-100.71,186.66,133.95,1,"	1,68" 
2016-02-01T15:00:00Z,"IEF",2016-04-01T14:00:00Z,Buy,87.00565714,88.25949697,53,66.45,1,-16.21,105.4,121.61,1,"	24,70" 
