Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"LQD",2020-03-02T15:00:00Z,Buy,105.297137979,106.446166596,59,67.79,2,-26.76,67.79,56.54,1,"	26,28" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,38,-226.36,2,-226.36,128.13,354.5,0,"	5,29" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,24,-209.52,2,-209.52,73.16,282.67,0,"	6,30" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,205.077562875,174.238344885,8,-246.71,2,-246.71,45.2,291.91,0,"	7,31" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,5,-124.36,2,-145.81,138.6,284.41,0,"	13,32" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,15,-146.32,2,-146.32,33.55,179.87,0,"	14,33" 
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,361.852367135,314.685689604,4,-188.67,2,-188.67,39.87,228.53,0,"	1,34" 
2020-02-03T15:00:00Z,"XLU",2020-03-02T15:00:00Z,Buy,28.591871998,25.773305318,218,-614.45,2.18,-614.45,180.72,795.17,0,"	22,35" 
2020-02-03T15:00:00Z,"PPLT",2020-03-02T15:00:00Z,Buy,90.2,81.14,69,-625.14,2,-625.14,333.96,959.1,0,"	19,36" 
2020-02-03T15:00:00Z,"VNQ",2020-03-02T15:00:00Z,Buy,74.858499765,69.598560465,83,-436.57,2,-436.57,373.07,809.65,0,"	21,37" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,453.559338345,398.222260827,3,-166.01,2,-166.01,116.45,282.46,0,"	12,38" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.883939429075,6.7251454043,107,90.01,2.415,0,208.42,164.96,1,"	2,39" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.0517607892,66.413594995,6,-27.83,2,-35.06,27.4,62.46,0,"	4,40" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262147416,153.894384467,3,-22.1,2,-33.02,52.49,85.51,0,"	3,41" 
2020-02-03T15:00:00Z,"KO",2020-03-02T15:00:00Z,Buy,48.241788805,44.193411255,8,-32.39,2,-32.39,11.5,43.89,0,"	8,44" 
2020-02-03T15:00:00Z,"AAPL",2020-03-02T15:00:00Z,Buy,74.51450928675,65.967590568,5,-42.73,2,-42.73,22.23,64.96,0,"	9,45" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,9,-13.68,2,-26.91,107.1,134.01,0,"	10,47" 
2020-02-03T15:00:00Z,"LLY",2020-03-02T15:00:00Z,Buy,129.684699657,117.753353536,2,-23.86,2,-23.86,14.34,38.2,0,"	11,48" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	15,51" 
2020-02-03T15:00:00Z,"WEAT",2020-03-02T15:00:00Z,Buy,28.6,27.15,55,-79.75,2.09,-79.75,33,112.75,0,"	16,54" 
