Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:00:00Z,GOOGL,71.0517607892,23,Market,Filled,1634.1904981516,"" 
2020-02-03T15:00:00Z,MA,305.890074976,5,Market,Filled,1529.45037488,"" 
2020-02-03T15:00:00Z,GS,205.077562875,8,Market,Filled,1640.620503,"" 
2020-02-03T15:00:00Z,KO,48.241788805,34,Market,Filled,1640.22081937,"" 
2020-02-03T15:00:00Z,NVDA,5.883939429075,283,Market,Filled,1665.1548584282,"" 
2020-02-03T15:00:00Z,LLY,129.684699657,12,Market,Filled,1556.216395884,"" 
2020-02-03T15:00:00Z,AAPL,74.51450928675,22,Market,Filled,1639.3192043085,"" 
2020-02-03T15:00:00Z,AMD,47,35,Market,Filled,1645,"" 
2020-02-03T15:00:00Z,BLK,453.559338345,3,Market,Filled,1360.678015035,"" 
2020-02-03T15:00:00Z,MSFT,161.262147416,10,Market,Filled,1612.62147416,"" 
2020-02-03T15:00:00Z,MS,43.280453424,38,Market,Filled,1644.657230112,"" 
2020-02-03T15:00:00Z,RTX,69.054499737495,24,Market,Filled,1657.3079936999,"" 
2020-02-03T15:00:00Z,PG,107.130827388,15,Market,Filled,1606.96241082,"" 
2020-02-03T15:00:00Z,LMT,361.852367135,4,Market,Filled,1447.40946854,"" 
2020-02-03T15:00:00Z,ADBE,351.14,4,Market,Filled,1404.56,"" 
2020-02-03T15:00:00Z,SLV,16.82,371,Market,Filled,6240.22,"" 
2020-02-03T15:00:00Z,WEAT,28.6,218,Market,Filled,6234.8,"" 
2020-02-03T15:00:00Z,GLD,149.33,41,Market,Filled,6122.53,"" 
2020-02-03T15:00:00Z,PPLT,90.2,69,Market,Filled,6223.8,"" 
2020-02-03T15:00:00Z,PFF,26.877507552,232,Market,Filled,6235.581752064,"" 
2020-02-03T15:00:00Z,VNQ,74.858499765,83,Market,Filled,6213.255480495,"" 
2020-02-03T15:00:00Z,XLU,28.591871998,218,Market,Filled,6233.028095564,"" 
2020-02-03T15:00:00Z,QYLD,11.17851129,559,Market,Filled,6248.78781111,"" 
2020-02-03T15:00:00Z,LQD,105.297137979,59,Market,Filled,6212.531140761,"" 
2020-02-03T15:00:00Z,TLT,122.061399,51,Market,Filled,6225.131349,"" 
2020-02-03T15:00:00Z,BND,71.245651552,87,Market,Filled,6198.371685024,"" 
2020-02-03T15:00:00Z,ZROZ,123.74280594,50,Market,Filled,6187.140297,"" 
2020-03-02T15:00:00Z,PPLT,81.14,-69,Market,Filled,-5598.66,"Liquidated" 
2020-03-02T15:00:00Z,GS,174.238344885,-8,Market,Filled,-1393.90675908,"Liquidated" 
2020-03-02T15:00:00Z,VNQ,69.598560465,-83,Market,Filled,-5776.680518595,"Liquidated" 
2020-03-02T15:00:00Z,LQD,106.446166596,-59,Market,Filled,-6280.323829164,"Liquidated" 
2020-03-02T15:00:00Z,BLK,398.222260827,-3,Market,Filled,-1194.666782481,"Liquidated" 
2020-03-02T15:00:00Z,LMT,314.685689604,-4,Market,Filled,-1258.742758416,"Liquidated" 
2020-03-02T15:00:00Z,MA,281.0172636,-5,Market,Filled,-1405.086318,"Liquidated" 
2020-03-02T15:00:00Z,XLU,25.773305318,-218,Market,Filled,-5618.580559324,"Liquidated" 
2020-03-02T15:00:00Z,MS,37.32359163,-38,Market,Filled,-1418.29648194,"Liquidated" 
2020-03-02T15:00:00Z,RTX,60.32452402461,-24,Market,Filled,-1447.7885765906,"Liquidated" 
2020-03-02T15:00:00Z,PG,97.37602104,-15,Market,Filled,-1460.6403156,"Liquidated" 
2020-03-02T15:00:00Z,GOOGL,66.413594995,-7,Market,Filled,-464.895164965,"" 
2020-03-02T15:00:00Z,PEP,108.98706816,10,Market,Filled,1089.8706816,"" 
2020-03-02T15:00:00Z,SQ,83.34,13,Market,Filled,1083.42,"" 
2020-03-02T15:00:00Z,HD,187.224109919,5,Market,Filled,936.120549595,"" 
2020-03-02T15:00:00Z,NVDA,6.7251454043,-120,Market,Filled,-807.017448516,"" 
2020-03-02T15:00:00Z,ABBV,67.011763916,16,Market,Filled,1072.188222656,"" 
2020-03-02T15:00:00Z,LLY,117.753353536,-3,Market,Filled,-353.260060608,"" 
2020-03-02T15:00:00Z,CRM,168.35445024,6,Market,Filled,1010.12670144,"" 
2020-03-02T15:00:00Z,AAPL,65.967590568,-6,Market,Filled,-395.805543408,"" 
2020-03-02T15:00:00Z,JPM,98.589558328,11,Market,Filled,1084.485141608,"" 
2020-03-02T15:00:00Z,AMD,45.48,-11,Market,Filled,-500.28,"" 
2020-03-02T15:00:00Z,MSFT,153.894384467,-3,Market,Filled,-461.683153401,"" 
2020-03-02T15:00:00Z,NFLX,36.903,29,Market,Filled,1070.187,"" 
2020-03-02T15:00:00Z,KO,44.193411255,-10,Market,Filled,-441.93411255,"" 
2020-03-02T15:00:00Z,ADBE,345.12,-1,Market,Filled,-345.12,"" 
2020-03-02T15:00:00Z,SLV,15.53,-121,Market,Filled,-1879.13,"" 
2020-03-02T15:00:00Z,WEAT,27.15,-75,Market,Filled,-2036.25,"" 
2020-03-02T15:00:00Z,DBA,13.45635295,288,Market,Filled,3875.4296496,"" 
2020-03-02T15:00:00Z,GLD,148.38,-15,Market,Filled,-2225.7,"" 
2020-03-02T15:00:00Z,PFF,25.67763627,-10,Market,Filled,-256.7763627,"" 
2020-03-02T15:00:00Z,HDV,67.17823805,85,Market,Filled,5710.15023425,"" 
2020-03-02T15:00:00Z,VYMI,43.016553239,132,Market,Filled,5678.185027548,"" 
2020-03-02T15:00:00Z,QYLD,10.273373154,-3,Market,Filled,-30.820119462,"" 
2020-03-02T15:00:00Z,TLH,131.022378,78,Market,Filled,10219.745484,"" 
2020-03-02T15:00:00Z,TLT,130.149748938,28,Market,Filled,3644.192970264,"" 
