Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"PPLT",2020-03-02T15:00:00Z,Buy,90.2,81.14,69,-625.14,2,-625.14,333.96,959.1,0,"	19,28" 
2020-02-03T15:00:00Z,"GS",2020-03-02T15:00:00Z,Buy,205.077562875,174.238344885,8,-246.71,2,-246.71,45.2,291.91,0,"	3,29" 
2020-02-03T15:00:00Z,"VNQ",2020-03-02T15:00:00Z,Buy,74.858499765,69.598560465,83,-436.57,2,-436.57,373.07,809.65,0,"	21,30" 
2020-02-03T15:00:00Z,"LQD",2020-03-02T15:00:00Z,Buy,105.297137979,106.446166596,59,67.79,2,-26.76,67.79,56.54,1,"	24,31" 
2020-02-03T15:00:00Z,"BLK",2020-03-02T15:00:00Z,Buy,453.559338345,398.222260827,3,-166.01,2,-166.01,116.45,282.46,0,"	9,32" 
2020-02-03T15:00:00Z,"LMT",2020-03-02T15:00:00Z,Buy,361.852367135,314.685689604,4,-188.67,2,-188.67,39.87,228.53,0,"	14,33" 
2020-02-03T15:00:00Z,"MA",2020-03-02T15:00:00Z,Buy,305.890074976,281.0172636,5,-124.36,2,-145.81,138.6,284.41,0,"	2,34" 
2020-02-03T15:00:00Z,"XLU",2020-03-02T15:00:00Z,Buy,28.591871998,25.773305318,218,-614.45,2.18,-614.45,180.72,795.17,0,"	22,35" 
2020-02-03T15:00:00Z,"MS",2020-03-02T15:00:00Z,Buy,43.280453424,37.32359163,38,-226.36,2,-226.36,128.13,354.5,0,"	11,36" 
2020-02-03T15:00:00Z,"RTX",2020-03-02T15:00:00Z,Buy,69.054499737495,60.32452402461,24,-209.52,2,-209.52,73.16,282.67,0,"	12,37" 
2020-02-03T15:00:00Z,"PG",2020-03-02T15:00:00Z,Buy,107.130827388,97.37602104,15,-146.32,2,-146.32,33.55,179.87,0,"	13,38" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.0517607892,66.413594995,7,-32.47,2,-40.9,31.97,72.87,0,"	1,39" 
2020-02-03T15:00:00Z,"NVDA",2020-03-02T15:00:00Z,Buy,5.883939429075,6.7251454043,120,100.94,2.415,0,233.74,185,1,"	5,43" 
2020-02-03T15:00:00Z,"LLY",2020-03-02T15:00:00Z,Buy,129.684699657,117.753353536,3,-35.79,2,-35.79,21.51,57.3,0,"	6,45" 
2020-02-03T15:00:00Z,"AAPL",2020-03-02T15:00:00Z,Buy,74.51450928675,65.967590568,6,-51.28,2,-51.28,26.67,77.96,0,"	7,47" 
2020-02-03T15:00:00Z,"AMD",2020-03-02T15:00:00Z,Buy,47,45.48,11,-16.72,2,-32.89,130.9,163.79,0,"	8,49" 
2020-02-03T15:00:00Z,"MSFT",2020-03-02T15:00:00Z,Buy,161.262147416,153.894384467,3,-22.1,2,-33.02,52.49,85.51,0,"	10,50" 
2020-02-03T15:00:00Z,"KO",2020-03-02T15:00:00Z,Buy,48.241788805,44.193411255,10,-40.48,2,-40.48,14.38,54.86,0,"	4,52" 
2020-02-03T15:00:00Z,"ADBE",2020-03-02T15:00:00Z,Buy,351.14,345.12,1,-6.02,2,-13.62,32.14,45.76,0,"	15,53" 
2020-02-03T15:00:00Z,"SLV",2020-03-02T15:00:00Z,Buy,16.82,15.53,121,-156.09,2.855,-156.09,70.18,226.27,0,"	16,54" 
2020-02-03T15:00:00Z,"WEAT",2020-03-02T15:00:00Z,Buy,28.6,27.15,75,-108.75,2.09,-108.75,45,153.75,0,"	17,55" 
2020-02-03T15:00:00Z,"GLD",2020-03-02T15:00:00Z,Buy,149.33,148.38,15,-14.25,2,-43.5,101.4,115.65,0,"	18,57" 
2020-02-03T15:00:00Z,"PFF",2020-03-02T15:00:00Z,Buy,26.877507552,25.67763627,10,-12,2.16,-12,2.08,14.08,0,"	20,58" 
2020-02-03T15:00:00Z,"QYLD",2020-03-02T15:00:00Z,Buy,11.17851129,10.273373154,3,-2.72,3.795,-2.72,0.91,3.63,0,"	23,61" 
2020-02-03T15:00:00Z,"GOOGL",2020-03-18T14:30:00Z,Buy,71.0517607892,55.4447519284,16,-249.71,1,-285.46,73.07,358.53,0,"	1,66" 
2020-02-03T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,5.883939429075,5.4103467323,163,-77.2,1,-161.91,317.5,479.41,0,"	5,70" 
2020-02-03T15:00:00Z,"AMD",2020-03-18T14:30:00Z,Buy,47,41.88,24,-122.88,1,-198.96,285.6,484.56,0,"	8,74" 
2020-02-03T15:00:00Z,"KO",2020-03-18T14:30:00Z,Buy,48.241788805,39.321949254,24,-214.08,1,-252.48,34.5,286.98,0,"	4,76" 
2020-02-03T15:00:00Z,"SLV",2020-03-18T14:30:00Z,Buy,16.82,11.88,250,-1235,1.25,-1235,145,1380,0,"	16,77" 
2020-02-03T15:00:00Z,"BND",2020-03-25T14:30:00Z,Buy,71.245651552,70.335845984,87,-79.15,2,-352.07,203.23,555.3,0,"	26,79" 
2020-02-03T15:00:00Z,"AAPL",2020-04-01T14:00:00Z,Buy,74.51450928675,61.365593377,16,-210.38,1,-325.91,71.13,397.04,0,"	7,80" 
2020-02-03T15:00:00Z,"ADBE",2020-04-01T14:00:00Z,Buy,351.14,318.24,3,-98.7,1,-198.42,96.42,294.84,0,"	15,82" 
2020-02-03T15:00:00Z,"PFF",2020-05-01T14:00:00Z,Buy,26.877507552,24.7538907,222,-471.44,1.68,-2004.54,46.13,2050.67,0,"	20,97" 
2020-02-03T15:00:00Z,"TLT",2020-05-01T14:00:00Z,Buy,122.061399,140.136816414,51,921.85,2,-155.91,1116.87,1153.06,1,"	25,100" 
2020-02-03T15:00:00Z,"WEAT",2020-05-01T14:00:00Z,Buy,28.6,26.8,143,-257.4,1,-407.55,85.8,493.35,0,"	17,101" 
2020-02-03T15:00:00Z,"LLY",2020-05-01T14:00:00Z,Buy,129.684699657,144.369924608,9,132.17,1,-166.87,202.07,231.4,1,"	6,105" 
2020-02-03T15:00:00Z,"MSFT",2020-05-01T14:00:00Z,Buy,161.262147416,170.232779707,7,62.79,1,-228.38,122.48,350.86,1,"	10,113" 
2020-02-03T15:00:00Z,"GLD",2020-05-01T14:00:00Z,Buy,149.33,158.8,13,123.11,1,-146.77,182.13,257.01,1,"	18,118" 
2020-02-03T15:00:00Z,"QYLD",2020-05-01T14:00:00Z,Buy,11.17851129,9.83353734,6,-8.07,1,-15.23,1.83,17.05,0,"	23,121" 
2020-02-03T15:00:00Z,"ZROZ",2020-05-01T14:00:00Z,Buy,123.74280594,149.787777264,22,572.99,2,-100.3,767.47,741.02,1,"	27,126" 
2020-02-03T15:00:00Z,"ZROZ",2020-06-01T14:00:00Z,Buy,123.74280594,144.342321996,28,576.79,1,-127.65,976.78,943.12,1,"	27,130" 
2020-02-03T15:00:00Z,"GLD",2020-06-01T14:00:00Z,Buy,149.33,162.91,7,95.06,1,-79.03,107.24,138.39,1,"	18,148" 
2020-02-03T15:00:00Z,"QYLD",2020-06-01T14:00:00Z,Buy,11.17851129,10.229461047,400,-379.62,2,-1015.25,121.72,1136.97,0,"	23,152" 
2020-02-03T15:00:00Z,"QYLD",2020-07-01T14:00:00Z,Buy,11.17851129,10.4974485,145,-98.75,1,-368.03,44.12,412.15,0,"	23,183" 
2020-02-03T15:00:00Z,"GLD",2020-09-01T14:00:00Z,Buy,149.33,184.83,6,213,1,-67.74,267.36,118.62,1,"	18,226" 
2020-02-03T15:00:00Z,"QYLD",2020-12-01T15:00:00Z,Buy,11.17851129,11.846129162,5,3.34,1,-12.69,3.34,14.21,1,"	23,328" 
2020-03-02T15:00:00Z,"PEP",2020-03-18T14:30:00Z,Buy,108.98706816,106.141156804,10,-28.46,2,-150.04,85.52,235.56,0,"	40,67" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,13,-501.93,2,-547.69,0,547.69,0,"	41,68" 
2020-03-02T15:00:00Z,"HD",2020-03-18T14:30:00Z,Buy,187.224109919,150.186306288,5,-185.19,2,-222.73,99.32,322.05,0,"	42,69" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.011763916,57.220269633,16,-156.66,2,-156.66,79.27,235.94,0,"	44,71" 
2020-03-02T15:00:00Z,"CRM",2020-03-18T14:30:00Z,Buy,168.35445024,133.794364152,6,-207.36,2,-273.28,37.7,310.98,0,"	46,72" 
2020-03-02T15:00:00Z,"JPM",2020-03-18T14:30:00Z,Buy,98.589558328,79.612066048,11,-208.75,2,-262.08,50.53,312.61,0,"	48,73" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,29,-142.91,2,-203.55,42.8,246.36,0,"	51,75" 
2020-03-02T15:00:00Z,"VYMI",2020-03-18T14:30:00Z,Buy,43.016553239,33.25982836,132,-1287.89,2,-1449,147.01,1596.01,0,"	60,78" 
2020-03-02T15:00:00Z,"BND",2020-03-25T14:30:00Z,Buy,72.433251792,70.335845984,55,-115.36,1,-287.89,63.16,351.05,0,"	64,79" 
2020-03-02T15:00:00Z,"HDV",2020-04-01T14:00:00Z,Buy,67.17823805,57.527838495,85,-820.28,2,-1535.07,349.22,1884.28,0,"	59,81" 
2020-03-02T15:00:00Z,"DBA",2020-05-01T14:00:00Z,Buy,13.45635295,12.079834222,288,-396.44,3.645,-513.34,71.16,584.49,0,"	56,98" 
2020-03-02T15:00:00Z,"TLH",2020-05-01T14:00:00Z,Buy,131.022378,139.057086912,78,626.71,2,-478.87,827.47,1306.34,1,"	62,99" 
2020-03-02T15:00:00Z,"TLT",2020-05-01T14:00:00Z,Buy,130.149748938,140.136816414,28,279.64,1,-312.07,386.71,633.05,1,"	63,100" 
2020-03-02T15:00:00Z,"ZROZ",2020-06-01T14:00:00Z,Buy,135.93339276,144.342321996,25,210.22,1,-418.74,567.36,842.07,1,"	65,130" 
2020-04-01T14:00:00Z,"PFF",2020-05-01T14:00:00Z,Buy,22.622676608,24.7538907,114,242.96,1,-544.31,508.74,134.93,1,"	91,97" 
2020-04-01T14:00:00Z,"DBA",2020-05-01T14:00:00Z,Buy,12.415140066,12.079834222,153,-51.3,1,-113.4,197.11,113.4,0,"	89,98" 
2020-04-01T14:00:00Z,"TLH",2020-05-01T14:00:00Z,Buy,138.4210003197,139.057086912,20,12.72,1,-270.76,64.2,67.31,1,"	94,99" 
2020-04-01T14:00:00Z,"TLT",2020-05-01T14:00:00Z,Buy,138.449175345,140.136816414,19,32.07,1,-369.45,104.72,74.41,1,"	95,100" 
2020-04-01T14:00:00Z,"WEAT",2020-05-01T14:00:00Z,Buy,29,26.8,45,-99,1,-146.25,9,112.5,0,"	88,101" 
2020-04-01T14:00:00Z,"NVDA",2020-05-01T14:00:00Z,Buy,6.564032764,7.2782074972,176,125.69,2.665,-89.98,152.78,110.4,1,"	83,104" 
2020-04-01T14:00:00Z,"MSFT",2020-05-01T14:00:00Z,Buy,149.809785657,170.232779707,1,20.42,1,-21.17,28.95,10.24,1,"	85,113" 
2020-04-01T14:00:00Z,"NFLX",2020-05-01T14:00:00Z,Buy,37.55,41.985,31,137.48,2,-42.59,197.38,109.55,1,"	86,114" 
2020-04-01T14:00:00Z,"AMZN",2020-05-01T14:00:00Z,Buy,97.257297844,123.4097998,13,339.98,2,-27.97,339.98,62.34,1,"	87,115" 
2020-04-01T14:00:00Z,"SCHD",2020-05-01T14:00:00Z,Buy,12.227912232542,13.769314241402,45,69.36,4.11,-17.37,81.35,26.3,1,"	93,122" 
2020-04-01T14:00:00Z,"ZROZ",2020-06-01T14:00:00Z,Buy,145.902954858,144.342321996,18,-28.09,1,-480.94,229.05,239.38,0,"	96,130" 
2020-04-01T14:00:00Z,"SCHD",2020-06-01T14:00:00Z,Buy,12.227912232542,14.277677866899,285,584.18,1.425,-110.02,601.23,213.84,1,"	93,153" 
