Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-02-01T15:00:00Z,CAT,240.849481057,6,Market,Filled,1445.096886342,"" 
2023-02-01T15:00:00Z,GE,63.256413137421,26,Market,Filled,1644.666741573,"" 
2023-02-01T15:00:00Z,MA,364.18572932,4,Market,Filled,1456.74291728,"" 
2023-02-01T15:00:00Z,AXP,168.696165716,9,Market,Filled,1518.265491444,"" 
2023-02-01T15:00:00Z,MS,88.653595014,18,Market,Filled,1595.764710252,"" 
2023-02-01T15:00:00Z,ORCL,85.339462509,19,Market,Filled,1621.449787671,"" 
2023-02-01T15:00:00Z,BLK,706.246143822,2,Market,Filled,1412.492287644,"" 
2023-02-01T15:00:00Z,UBER,30.93,53,Market,Filled,1639.29,"" 
2023-02-01T15:00:00Z,RTX,93.32376406,17,Market,Filled,1586.50398902,"" 
2023-02-01T15:00:00Z,NFLX,35.386,47,Market,Filled,1663.142,"" 
2023-02-01T15:00:00Z,JPM,130.359499784,12,Market,Filled,1564.313997408,"" 
2023-02-01T15:00:00Z,COP,110.520064095,15,Market,Filled,1657.800961425,"" 
2023-02-01T15:00:00Z,V,225.065197857,7,Market,Filled,1575.456384999,"" 
2023-02-01T15:00:00Z,GS,339.262509842,4,Market,Filled,1357.050039368,"" 
2023-02-01T15:00:00Z,XOM,104.684251434,15,Market,Filled,1570.26377151,"" 
2023-02-01T15:00:00Z,GLD,179.41,34,Market,Filled,6099.94,"" 
2023-02-01T15:00:00Z,XLE,40.6228963205,153,Market,Filled,6215.3031370365,"" 
2023-02-01T15:00:00Z,SOYB,28.19,221,Market,Filled,6229.99,"" 
2023-02-01T15:00:00Z,MOO,84.210564356,74,Market,Filled,6231.581762344,"" 
2023-02-01T15:00:00Z,VYM,101.563495451,61,Market,Filled,6195.373222511,"" 
2023-02-01T15:00:00Z,DVY,112.109629824,55,Market,Filled,6166.02964032,"" 
2023-02-01T15:00:00Z,PFF,27.740496,225,Market,Filled,6241.6116,"" 
2023-02-01T15:00:00Z,JEPI,43.603546968,143,Market,Filled,6235.307216424,"" 
2023-02-01T15:00:00Z,SHV,96.036312396,65,Market,Filled,6242.36030574,"" 
2023-02-01T15:00:00Z,HYG,63.916971144,97,Market,Filled,6199.946200968,"" 
2023-02-01T15:00:00Z,SHY,73.46794198,85,Market,Filled,6244.7750683,"" 
2023-02-01T15:00:00Z,LQD,97.326830368,64,Market,Filled,6228.917143552,"" 
2023-03-01T15:00:00Z,CAT,228.687198015,-6,Market,Filled,-1372.12318809,"Liquidated" 
2023-03-01T15:00:00Z,LQD,93.269254144,-64,Market,Filled,-5969.232265216,"Liquidated" 
2023-03-01T15:00:00Z,RTX,92.183235998,-17,Market,Filled,-1567.115011966,"Liquidated" 
2023-03-01T15:00:00Z,DVY,107.99674272,-55,Market,Filled,-5939.8208496,"Liquidated" 
2023-03-01T15:00:00Z,COP,94.1421351,-15,Market,Filled,-1412.1320265,"Liquidated" 
2023-03-01T15:00:00Z,MOO,81.187667996,-74,Market,Filled,-6007.887431704,"Liquidated" 
2023-03-01T15:00:00Z,MA,349.140711738,-4,Market,Filled,-1396.562846952,"Liquidated" 
2023-03-01T15:00:00Z,BLK,641.334122226,-2,Market,Filled,-1282.668244452,"Liquidated" 
2023-03-01T15:00:00Z,XLE,37.8041831765,-153,Market,Filled,-5784.0400260045,"Liquidated" 
2023-03-01T15:00:00Z,NFLX,32.213,-47,Market,Filled,-1514.011,"Liquidated" 
2023-03-01T15:00:00Z,VYM,97.996807744,-61,Market,Filled,-5977.805272384,"Liquidated" 
2023-03-01T15:00:00Z,GS,326.13012653,-4,Market,Filled,-1304.52050612,"Liquidated" 
2023-03-01T15:00:00Z,XOM,99.699939374,-15,Market,Filled,-1495.49909061,"Liquidated" 
2023-03-01T15:00:00Z,LMT,439.828439444,3,Market,Filled,1319.485318332,"" 
2023-03-01T15:00:00Z,GE,66.581147575435,-3,Market,Filled,-199.7434427263,"" 
2023-03-01T15:00:00Z,MS,87.8975847,-1,Market,Filled,-87.8975847,"" 
2023-03-01T15:00:00Z,ORCL,84.30732478,-1,Market,Filled,-84.30732478,"" 
2023-03-01T15:00:00Z,UBER,33.26,-7,Market,Filled,-232.82,"" 
2023-03-01T15:00:00Z,AVGO,56.8208097625,27,Market,Filled,1534.1618635875,"" 
2023-03-01T15:00:00Z,JPM,133.51696409,-1,Market,Filled,-133.51696409,"" 
2023-03-01T15:00:00Z,UPS,157.829790304,9,Market,Filled,1420.468112736,"" 
2023-03-01T15:00:00Z,AAPL,145.440911961,10,Market,Filled,1454.40911961,"" 
2023-03-01T15:00:00Z,SQ,76.73,20,Market,Filled,1534.6,"" 
2023-03-01T15:00:00Z,ABBV,139.19693265,11,Market,Filled,1531.16625915,"" 
2023-03-01T15:00:00Z,ABNB,123.28,12,Market,Filled,1479.36,"" 
2023-03-01T15:00:00Z,NVDA,23.1919667968,66,Market,Filled,1530.6698085888,"" 
2023-03-01T15:00:00Z,GLD,169.78,-11,Market,Filled,-1867.58,"" 
2023-03-01T15:00:00Z,SOYB,27.5,-79,Market,Filled,-2172.5,"" 
2023-03-01T15:00:00Z,CPER,24.84,158,Market,Filled,3924.72,"" 
2023-03-01T15:00:00Z,DBA,17.90269509,219,Market,Filled,3920.69022471,"" 
2023-03-01T15:00:00Z,HDV,90.25379188,115,Market,Filled,10379.1860662,"" 
2023-03-01T15:00:00Z,PFF,27.14784738,158,Market,Filled,4289.35988604,"" 
2023-03-01T15:00:00Z,JEPI,42.624040503,100,Market,Filled,4262.4040503,"" 
2023-03-01T15:00:00Z,QYLD,11.60633412,895,Market,Filled,10387.6690374,"" 
2023-03-01T15:00:00Z,SHV,96.315479709,-22,Market,Filled,-2118.940553598,"" 
2023-03-01T15:00:00Z,BND,64.938118561,64,Market,Filled,4156.039587904,"" 
2023-03-01T15:00:00Z,HYG,62.71244867,-31,Market,Filled,-1944.08590877,"" 
2023-03-01T15:00:00Z,SHY,72.876267919,-28,Market,Filled,-2040.535501732,"" 
2023-03-22T14:30:00Z,AXP,158.736831786,-9,Market,Filled,-1428.631486074,"Liquidated" 
