Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2023-02-01T15:00:00Z,"CAT",2023-03-01T15:00:00Z,Buy,240.849481057,228.687198015,6,-72.97,2,-92.33,0,92.33,0,"	1,28" 
2023-02-01T15:00:00Z,"LQD",2023-03-01T15:00:00Z,Buy,97.326830368,93.269254144,64,-259.68,2,-282.23,72.25,354.48,0,"	27,29" 
2023-02-01T15:00:00Z,"RTX",2023-03-01T15:00:00Z,Buy,93.32376406,92.183235998,17,-19.39,2,-53.55,26.38,53.55,0,"	9,30" 
2023-02-01T15:00:00Z,"DVY",2023-03-01T15:00:00Z,Buy,112.109629824,107.99674272,55,-226.21,2,-226.21,35.33,261.54,0,"	21,31" 
2023-02-01T15:00:00Z,"COP",2023-03-01T15:00:00Z,Buy,110.520064095,94.1421351,15,-245.67,2,-245.67,0,245.67,0,"	12,32" 
2023-02-01T15:00:00Z,"MOO",2023-03-01T15:00:00Z,Buy,84.210564356,81.187667996,74,-223.69,2,-223.69,54.91,278.6,0,"	19,33" 
2023-02-01T15:00:00Z,"MA",2023-03-01T15:00:00Z,Buy,364.18572932,349.140711738,4,-60.18,2,-68.71,17.53,86.24,0,"	3,34" 
2023-02-01T15:00:00Z,"BLK",2023-03-01T15:00:00Z,Buy,706.246143822,641.334122226,2,-129.82,2,-141.68,21.43,163.11,0,"	7,35" 
2023-02-01T15:00:00Z,"XLE",2023-03-01T15:00:00Z,Buy,40.6228963205,37.8041831765,153,-431.26,2,-443.7,19.35,463.05,0,"	17,36" 
2023-02-01T15:00:00Z,"NFLX",2023-03-01T15:00:00Z,Buy,35.386,32.213,47,-149.13,2,-172.54,61.24,233.78,0,"	10,37" 
2023-02-01T15:00:00Z,"VYM",2023-03-01T15:00:00Z,Buy,101.563495451,97.996807744,61,-217.57,2,-217.57,17.9,235.47,0,"	20,38" 
2023-02-01T15:00:00Z,"GS",2023-03-01T15:00:00Z,Buy,339.262509842,326.13012653,4,-52.53,2,-52.53,34.46,86.99,0,"	14,39" 
2023-02-01T15:00:00Z,"XOM",2023-03-01T15:00:00Z,Buy,104.684251434,99.699939374,15,-74.76,2,-74.76,42.48,117.25,0,"	15,40" 
2023-02-01T15:00:00Z,"GE",2023-03-01T15:00:00Z,Buy,63.256413137421,66.581147575435,3,9.97,2,0,10.12,7.43,1,"	2,42" 
