Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,HD,98.449367328,50,Market,Filled,4922.4683664,"" 
2016-02-01T15:00:00Z,META,111.336299277,44,Market,Filled,4898.797168188,"" 
2016-02-01T15:00:00Z,UNH,97.3404295,51,Market,Filled,4964.3619045,"" 
2016-02-01T15:00:00Z,HON,74.500253537589,67,Market,Filled,4991.5169870185,"" 
2016-02-01T15:00:00Z,GOOGL,37.755453089,132,Market,Filled,4983.719807748,"" 
2016-02-01T15:00:00Z,MCD,96.491981076,51,Market,Filled,4921.091034876,"" 
2016-02-01T15:00:00Z,LMT,160.6916076,31,Market,Filled,4981.4398356,"" 
2016-02-01T15:00:00Z,XOM,49.904380125,100,Market,Filled,4990.4380125,"" 
2016-02-01T15:00:00Z,NKE,54.219733308,92,Market,Filled,4988.215464336,"" 
2016-02-01T15:00:00Z,ISRG,60.0943789415,83,Market,Filled,4987.8334521445,"" 
2016-02-01T15:00:00Z,PG,62.169118868,80,Market,Filled,4973.52950944,"" 
2016-02-01T15:00:00Z,GE,127.9774922502,39,Market,Filled,4991.1221977577,"" 
2016-02-01T15:00:00Z,MSFT,48.127544003,103,Market,Filled,4957.137032309,"" 
2016-02-01T15:00:00Z,PEP,72.643957074,68,Market,Filled,4939.789081032,"" 
2016-02-01T15:00:00Z,KO,31.130408208,160,Market,Filled,4980.86531328,"" 
2016-02-01T15:00:00Z,CORN,21.72,287,Market,Filled,6233.64,"" 
2016-02-01T15:00:00Z,SLV,13.59,459,Market,Filled,6237.81,"" 
2016-02-01T15:00:00Z,TLT,96.64857748,64,Market,Filled,6185.50895872,"" 
2016-02-01T15:00:00Z,GLD,106.96,58,Market,Filled,6203.68,"" 
2016-03-01T15:00:00Z,HD,97.165517436,-50,Market,Filled,-4858.2758718,"Liquidated" 
2016-03-01T15:00:00Z,GOOGL,35.5670402108,-132,Market,Filled,-4694.8493078256,"Liquidated" 
2016-03-01T15:00:00Z,MCD,92.046873781,-51,Market,Filled,-4694.390562831,"Liquidated" 
2016-03-01T15:00:00Z,MSFT,44.768762496,-103,Market,Filled,-4611.182537088,"Liquidated" 
2016-03-01T15:00:00Z,PEP,71.727290949,-68,Market,Filled,-4877.455784532,"Liquidated" 
2016-03-01T15:00:00Z,CORN,20.63,-287,Market,Filled,-5920.81,"Liquidated" 
2016-03-01T15:00:00Z,NVDA,0.767669672,6528,Market,Filled,5011.347618816,"" 
2016-03-01T15:00:00Z,META,106.087488804,3,Market,Filled,318.262466412,"" 
2016-03-01T15:00:00Z,UNH,100.67076375,-2,Market,Filled,-201.3415275,"" 
2016-03-01T15:00:00Z,RTX,40.72884323234,123,Market,Filled,5009.6477175779,"" 
2016-03-01T15:00:00Z,PYPL,37.93717148,132,Market,Filled,5007.70663536,"" 
2016-03-01T15:00:00Z,LMT,165.581234382,-1,Market,Filled,-165.581234382,"" 
2016-03-01T15:00:00Z,XOM,51.844907275,-4,Market,Filled,-207.3796291,"" 
2016-03-01T15:00:00Z,NKE,53.852497572,1,Market,Filled,53.852497572,"" 
2016-03-01T15:00:00Z,GE,129.17933629754,-1,Market,Filled,-129.17933629754,"" 
2016-03-01T15:00:00Z,ISRG,62.5621540294,-3,Market,Filled,-187.6864620882,"" 
2016-03-01T15:00:00Z,UPS,66.580677245,75,Market,Filled,4993.550793375,"" 
2016-03-01T15:00:00Z,CMCSA,20.034792931149,250,Market,Filled,5008.6982327872,"" 
2016-03-01T15:00:00Z,PG,61.073493716,2,Market,Filled,122.146987432,"" 
2016-03-01T15:00:00Z,PPLT,90.29,69,Market,Filled,6230.01,"" 
2016-03-01T15:00:00Z,SLV,14.2,-18,Market,Filled,-255.6,"" 
2016-03-01T15:00:00Z,TLT,99.685249854,-2,Market,Filled,-199.370499708,"" 
2016-03-01T15:00:00Z,GLD,118.64,-6,Market,Filled,-711.84,"" 
2016-04-01T14:00:00Z,RTX,42.195789769792,-123,Market,Filled,-5190.0821416844,"Liquidated" 
2016-04-01T14:00:00Z,PYPL,38.3947252,-132,Market,Filled,-5068.1037264,"Liquidated" 
2016-04-01T14:00:00Z,LMT,169.9626647,-30,Market,Filled,-5098.879941,"Liquidated" 
2016-04-01T14:00:00Z,XOM,54.070066115,-96,Market,Filled,-5190.72634704,"Liquidated" 
2016-04-01T14:00:00Z,NKE,53.886144897,-93,Market,Filled,-5011.411475421,"Liquidated" 
2016-04-01T14:00:00Z,ISRG,66.7832605395,-80,Market,Filled,-5342.66084316,"Liquidated" 
2016-04-01T14:00:00Z,UNH,109.40396523,-49,Market,Filled,-5360.79429627,"Liquidated" 
2016-04-01T14:00:00Z,CMCSA,21.197387012551,-250,Market,Filled,-5299.3467531378,"Liquidated" 
2016-04-01T14:00:00Z,PPLT,94.04,-69,Market,Filled,-6488.76,"Liquidated" 
2016-04-01T14:00:00Z,SLV,14.68,-441,Market,Filled,-6473.88,"Liquidated" 
2016-04-01T14:00:00Z,NVDA,0.872196122875,-496,Market,Filled,-432.609276946,"" 
2016-04-01T14:00:00Z,AVGO,12.016773615,437,Market,Filled,5251.330069755,"" 
2016-04-01T14:00:00Z,HD,105.0280902,50,Market,Filled,5251.40451,"" 
2016-04-01T14:00:00Z,ORCL,35.220838577,149,Market,Filled,5247.904947973,"" 
2016-04-01T14:00:00Z,META,113.21158317,-1,Market,Filled,-113.21158317,"" 
2016-04-01T14:00:00Z,HON,81.721499962286,-3,Market,Filled,-245.16449988686,"" 
2016-04-01T14:00:00Z,ADBE,93.8,56,Market,Filled,5252.8,"" 
2016-04-01T14:00:00Z,MCD,98.715343432,53,Market,Filled,5231.913201896,"" 
2016-04-01T14:00:00Z,CVX,62.37244368,84,Market,Filled,5239.28526912,"" 
2016-04-01T14:00:00Z,AMD,2.85,1846,Market,Filled,5261.1,"" 
2016-04-01T14:00:00Z,GE,140.92694237814,-1,Market,Filled,-140.92694237814,"" 
2016-04-01T14:00:00Z,PG,62.625629348,2,Market,Filled,125.251258696,"" 
2016-04-01T14:00:00Z,UPS,72.731890513,-3,Market,Filled,-218.195671539,"" 
2016-04-01T14:00:00Z,MSFT,48.596280516,108,Market,Filled,5248.398295728,"" 
2016-04-01T14:00:00Z,KO,33.909642632,-5,Market,Filled,-169.54821316,"" 
2016-04-01T14:00:00Z,DBA,17.7064622,371,Market,Filled,6569.0974762,"" 
2016-04-01T14:00:00Z,SOYB,18.02,364,Market,Filled,6559.28,"" 
2016-04-01T14:00:00Z,TLT,99.592528224,4,Market,Filled,398.370112896,"" 
2016-04-01T14:00:00Z,GLD,117.6,3,Market,Filled,352.8,"" 
2016-05-02T14:00:00Z,AVGO,11.3362120025,-437,Market,Filled,-4953.9246450925,"Liquidated" 
2016-05-02T14:00:00Z,HD,105.3901746,-50,Market,Filled,-5269.50873,"Liquidated" 
2016-05-02T14:00:00Z,ORCL,34.44477984,-149,Market,Filled,-5132.27219616,"Liquidated" 
2016-05-02T14:00:00Z,KO,32.74740224,-155,Market,Filled,-5075.8473472,"Liquidated" 
2016-05-02T14:00:00Z,ADBE,94.22,-56,Market,Filled,-5276.32,"Liquidated" 
2016-05-02T14:00:00Z,PG,61.458345444,-84,Market,Filled,-5162.501017296,"Liquidated" 
2016-05-02T14:00:00Z,UPS,72.456051353,-72,Market,Filled,-5216.835697416,"Liquidated" 
2016-05-02T14:00:00Z,MSFT,43.880074404,-108,Market,Filled,-4739.048035632,"Liquidated" 
2016-05-02T14:00:00Z,DBA,18.11903996,-371,Market,Filled,-6722.16382516,"Liquidated" 
2016-05-02T14:00:00Z,TLT,98.859283876,-66,Market,Filled,-6524.712735816,"Liquidated" 
2016-05-02T14:00:00Z,NVDA,0.869748196625,106,Market,Filled,92.19330884225,"" 
2016-05-02T14:00:00Z,META,116.664486846,-1,Market,Filled,-116.664486846,"" 
2016-05-02T14:00:00Z,TMO,140.1889009,38,Market,Filled,5327.1782342,"" 
2016-05-02T14:00:00Z,RTX,43.995750032699,121,Market,Filled,5323.4857539566,"" 
2016-05-02T14:00:00Z,UNH,111.763492176,47,Market,Filled,5252.884132272,"" 
2016-05-02T14:00:00Z,LMT,178.311169404,29,Market,Filled,5171.023912716,"" 
2016-05-02T14:00:00Z,CVX,66.805202256,-5,Market,Filled,-334.02601128,"" 
2016-05-02T14:00:00Z,AMD,3.55,-343,Market,Filled,-1217.65,"" 
2016-05-02T14:00:00Z,XOM,57.1814074,93,Market,Filled,5317.8708882,"" 
2016-05-02T14:00:00Z,GE,136.31656112387,2,Market,Filled,272.63312224774,"" 
2016-05-02T14:00:00Z,ISRG,69.5954796964,76,Market,Filled,5289.2564569264,"" 
2016-05-02T14:00:00Z,AMZN,32.902130093,162,Market,Filled,5330.145075066,"" 
2016-05-02T14:00:00Z,PEP,76.080322322,70,Market,Filled,5325.62256254,"" 
2016-05-02T14:00:00Z,PPLT,103.66,64,Market,Filled,6634.24,"" 
2016-05-02T14:00:00Z,SLV,16.98,393,Market,Filled,6673.14,"" 
2016-05-02T14:00:00Z,SOYB,19.52,-23,Market,Filled,-448.96,"" 
2016-05-02T14:00:00Z,GLD,123.65,-2,Market,Filled,-247.3,"" 
2016-05-25T14:30:00Z,TMO,146.437875824,-38,Market,Filled,-5564.639281312,"Liquidated" 
2016-05-25T14:30:00Z,MCD,97.356515105,-53,Market,Filled,-5159.895300565,"Liquidated" 
2016-05-25T14:30:00Z,LMT,184.902498026,-29,Market,Filled,-5362.172442754,"Liquidated" 
2016-05-25T14:30:00Z,UNH,112.535855313,-47,Market,Filled,-5289.185199711,"Liquidated" 
2016-05-25T14:30:00Z,HON,83.847969846998,-64,Market,Filled,-5366.2700702079,"Liquidated" 
2016-05-25T14:30:00Z,CVX,66.196584995,-79,Market,Filled,-5229.530214605,"Liquidated" 
2016-05-25T14:30:00Z,XOM,58.490378016,-93,Market,Filled,-5439.605155488,"Liquidated" 
2016-05-25T14:30:00Z,GE,132.32680811536,-39,Market,Filled,-5160.7455164992,"Liquidated" 
2016-05-25T14:30:00Z,RTX,42.395338962783,-121,Market,Filled,-5129.8360144967,"Liquidated" 
2016-05-25T14:30:00Z,PEP,74.647492254,-70,Market,Filled,-5225.32445778,"Liquidated" 
2016-05-25T14:30:00Z,NVDA,1.1132628822,8454,Market,Filled,9411.5244061188,"" 
2016-05-25T14:30:00Z,META,116.78355249,94,Market,Filled,10977.65393406,"" 
2016-05-25T14:30:00Z,AMD,4.2,2364,Market,Filled,9928.8,"" 
2016-05-25T14:30:00Z,ISRG,70.9632559833,152,Market,Filled,10786.414909462,"" 
2016-05-25T14:30:00Z,AMZN,35.12739734,300,Market,Filled,10538.219202,"" 
2016-05-25T14:30:00Z,SLV,15.42,-393,Market,Filled,-6060.06,"Liquidated" 
2016-05-25T14:30:00Z,PPLT,96.43,-64,Market,Filled,-6171.52,"Liquidated" 
2016-05-25T14:30:00Z,GLD,117.3,-53,Market,Filled,-6216.9,"Liquidated" 
2016-05-25T14:30:00Z,MOO,39.887274284,226,Market,Filled,9014.523988184,"" 
2016-05-25T14:30:00Z,TLT,99.425997414,90,Market,Filled,8948.33976726,"" 
2016-05-25T14:30:00Z,SOYB,19.57,120,Market,Filled,2348.4,"" 
2016-06-01T14:00:00Z,NVDA,1.1466411344,-9754,Market,Filled,-11184.337624938,"" 
2016-06-01T14:00:00Z,AVGO,12.0058846292,462,Market,Filled,5546.7186986904,"" 
2016-06-01T14:00:00Z,TMO,147.497188836,37,Market,Filled,5457.395986932,"" 
2016-06-01T14:00:00Z,META,117.884909697,-92,Market,Filled,-10845.411692124,"" 
2016-06-01T14:00:00Z,HON,83.452080158117,66,Market,Filled,5507.8372904357,"" 
2016-06-01T14:00:00Z,UNH,113.452506069,48,Market,Filled,5445.720291312,"" 
2016-06-01T14:00:00Z,LMT,182.558504644,30,Market,Filled,5476.75513932,"" 
2016-06-01T14:00:00Z,MSFT,46.9603002,118,Market,Filled,5541.3154236,"" 
2016-06-01T14:00:00Z,CVX,66.70533208,83,Market,Filled,5536.54256264,"" 
2016-06-01T14:00:00Z,AMD,4.57,-2654,Market,Filled,-12128.78,"" 
2016-06-01T14:00:00Z,XOM,58.066392896,95,Market,Filled,5516.30732512,"" 
2016-06-01T14:00:00Z,ISRG,70.5232564629,-150,Market,Filled,-10578.488469435,"" 
2016-06-01T14:00:00Z,INTU,102.012493154,54,Market,Filled,5508.674630316,"" 
2016-06-01T14:00:00Z,AMZN,36.054716733,-309,Market,Filled,-11140.907470497,"" 
2016-06-01T14:00:00Z,MRK,39.463658629792,140,Market,Filled,5524.9122081708,"" 
2016-06-01T14:00:00Z,MOO,40.231837328,-54,Market,Filled,-2172.519215712,"" 
2016-06-01T14:00:00Z,DBA,18.31673347,378,Market,Filled,6923.72525166,"" 
2016-06-01T14:00:00Z,TLT,99.655689384,-21,Market,Filled,-2092.769477064,"" 
2016-06-01T14:00:00Z,SOYB,20.07,-116,Market,Filled,-2328.12,"" 
2016-06-29T14:30:00Z,AVGO,11.6856320145,-462,Market,Filled,-5398.761990699,"Liquidated" 
2016-06-29T14:30:00Z,META,111.82248399,-47,Market,Filled,-5255.65674753,"Liquidated" 
2016-06-29T14:30:00Z,TMO,139.2574652,-37,Market,Filled,-5152.5262124,"Liquidated" 
2016-06-29T14:30:00Z,LMT,186.127933276,-30,Market,Filled,-5583.83799828,"Liquidated" 
2016-06-29T14:30:00Z,MSFT,43.805985696,-118,Market,Filled,-5169.106312128,"Liquidated" 
2016-06-29T14:30:00Z,INTU,101.371687131,-54,Market,Filled,-5474.071105074,"Liquidated" 
2016-06-29T14:30:00Z,NVDA,1.12651601175,-4838,Market,Filled,-5450.0844648465,"Liquidated" 
