Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-02-01T15:00:00Z,"HD",2016-03-01T15:00:00Z,Buy,98.449367328,97.165517436,50,-64.19,2,-544.46,43.06,573.82,0,"	1,20" 
2016-02-01T15:00:00Z,"GOOGL",2016-03-01T15:00:00Z,Buy,37.755453089,35.5670402108,132,-288.87,2,-394.91,128.04,522.95,0,"	5,21" 
2016-02-01T15:00:00Z,"MCD",2016-03-01T15:00:00Z,Buy,96.491981076,92.046873781,51,-226.7,2,-333.16,33,366.16,0,"	6,22" 
2016-02-01T15:00:00Z,"MSFT",2016-03-01T15:00:00Z,Buy,48.127544003,44.768762496,103,-345.95,2,-522.8,0,522.8,0,"	13,23" 
2016-02-01T15:00:00Z,"PEP",2016-03-01T15:00:00Z,Buy,72.643957074,71.727290949,68,-62.33,2,-107.21,80.29,142.62,0,"	14,24" 
2016-02-01T15:00:00Z,"CORN",2016-03-01T15:00:00Z,Buy,21.72,20.63,287,-312.83,2.87,-312.83,17.22,330.05,0,"	16,25" 
2016-02-01T15:00:00Z,"UNH",2016-03-01T15:00:00Z,Buy,97.3404295,100.67076375,2,6.66,2,-8.69,10.43,9.92,1,"	3,28" 
2016-02-01T15:00:00Z,"LMT",2016-03-01T15:00:00Z,Buy,160.6916076,165.581234382,1,4.89,2,-3.75,6.88,7.54,1,"	7,31" 
2016-02-01T15:00:00Z,"XOM",2016-03-01T15:00:00Z,Buy,49.904380125,51.844907275,4,7.76,2,-8.36,13.84,8.36,1,"	8,32" 
2016-02-01T15:00:00Z,"GE",2016-03-01T15:00:00Z,Buy,127.9774922502,129.17933629754,1,1.2,2,-7.26,2.35,7.61,1,"	12,34" 
2016-02-01T15:00:00Z,"ISRG",2016-03-01T15:00:00Z,Buy,60.0943789415,62.5621540294,3,7.4,2,-11.19,8.87,14.88,1,"	10,35" 
2016-02-01T15:00:00Z,"SLV",2016-03-01T15:00:00Z,Buy,13.59,14.2,18,10.98,3.295,0,25.2,17.46,1,"	17,40" 
