Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-02-01T15:00:00Z,JPM,130.359499784,38,Market,Filled,4953.660991792,"" 
2023-02-01T15:00:00Z,AXP,168.696165716,29,Market,Filled,4892.188805764,"" 
2023-02-01T15:00:00Z,COP,109.666620672,45,Market,Filled,4934.99793024,"" 
2023-02-01T15:00:00Z,XOM,103.991106296,48,Market,Filled,4991.573102208,"" 
2023-02-01T15:00:00Z,NFLX,35.386,141,Market,Filled,4989.426,"" 
2023-02-01T15:00:00Z,GS,337.486392549,14,Market,Filled,4724.809495686,"" 
2023-02-01T15:00:00Z,CAT,240.287278021,20,Market,Filled,4805.74556042,"" 
2023-02-01T15:00:00Z,UBER,30.93,161,Market,Filled,4979.73,"" 
2023-02-01T15:00:00Z,BLK,702.336212322,7,Market,Filled,4916.353486254,"" 
2023-02-01T15:00:00Z,GE,63.164397456306,79,Market,Filled,4989.9873990481,"" 
2023-02-01T15:00:00Z,ORCL,85.339462509,58,Market,Filled,4949.688825522,"" 
2023-02-01T15:00:00Z,MA,364.18576638,13,Market,Filled,4734.41496294,"" 
2023-02-01T15:00:00Z,RTX,93.014818175,53,Market,Filled,4929.785363275,"" 
2023-02-01T15:00:00Z,MS,88.16754846,56,Market,Filled,4937.38271376,"" 
2023-02-01T15:00:00Z,V,224.602038358,22,Market,Filled,4941.244843876,"" 
2023-02-01T15:00:00Z,GLD,179.41,34,Market,Filled,6099.94,"" 
2023-02-01T15:00:00Z,XLE,40.6228963205,153,Market,Filled,6215.3031370365,"" 
2023-02-01T15:00:00Z,CPER,25.64,243,Market,Filled,6230.52,"" 
2023-02-01T15:00:00Z,MOO,84.210564356,74,Market,Filled,6231.581762344,"" 
2023-03-01T15:00:00Z,COP,93.4151712,-45,Market,Filled,-4203.682704,"Liquidated" 
2023-03-01T15:00:00Z,XOM,99.039803016,-48,Market,Filled,-4753.910544768,"Liquidated" 
2023-03-01T15:00:00Z,NFLX,32.213,-141,Market,Filled,-4542.033,"Liquidated" 
2023-03-01T15:00:00Z,GS,324.422760285,-14,Market,Filled,-4541.91864399,"Liquidated" 
