Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-04T21:00:00Z,TLT,91.81766776,270,Market On Open,Filled,24790.7702952,"" 
2016-01-04T21:00:00Z,DBA,17.49157795,1425,Market On Open,Filled,24925.49857875,"" 
2016-01-04T21:00:00Z,SOYB,17.25,1450,Market On Open,Filled,25012.5,"" 
2016-01-04T21:00:00Z,GLD,103.13,242,Market On Open,Filled,24957.46,"" 
2016-02-01T15:00:00Z,DBA,17.18214463,-1425,Market,Filled,-24484.55609775,"Liquidated" 
2016-02-01T15:00:00Z,SOYB,17.43,-1450,Market,Filled,-25273.5,"Liquidated" 
2016-02-01T15:00:00Z,TLT,96.64857748,-7,Market,Filled,-676.54004236,"" 
2016-02-01T15:00:00Z,SLV,13.59,1876,Market,Filled,25494.84,"" 
2016-02-01T15:00:00Z,CORN,21.72,1174,Market,Filled,25499.28,"" 
2016-02-01T15:00:00Z,GLD,106.96,-4,Market,Filled,-427.84,"" 
2016-03-01T15:00:00Z,CORN,20.63,-1174,Market,Filled,-24219.62,"Liquidated" 
2016-03-01T15:00:00Z,TLT,99.685249854,1,Market,Filled,99.685249854,"" 
2016-03-01T15:00:00Z,SLV,14.2,-20,Market,Filled,-284,"" 
2016-03-01T15:00:00Z,PPLT,90.29,291,Market,Filled,26274.39,"" 
2016-03-01T15:00:00Z,GLD,118.64,-16,Market,Filled,-1898.24,"" 
2016-04-01T14:00:00Z,SLV,14.68,-1856,Market,Filled,-27246.08,"Liquidated" 
2016-04-01T14:00:00Z,PPLT,94.04,-291,Market,Filled,-27365.64,"Liquidated" 
2016-04-01T14:00:00Z,TLT,99.592528224,4,Market,Filled,398.370112896,"" 
2016-04-01T14:00:00Z,DBA,17.7064622,1512,Market,Filled,26772.1708464,"" 
2016-04-01T14:00:00Z,SOYB,18.02,1486,Market,Filled,26777.72,"" 
2016-04-01T14:00:00Z,GLD,117.6,5,Market,Filled,588,"" 
2016-05-02T14:00:00Z,TLT,98.859283876,-268,Market,Filled,-26494.288078768,"Liquidated" 
2016-05-02T14:00:00Z,DBA,18.11903996,-1512,Market,Filled,-27395.98841952,"Liquidated" 
2016-05-02T14:00:00Z,SLV,16.98,1636,Market,Filled,27779.28,"" 
2016-05-02T14:00:00Z,SOYB,19.52,-63,Market,Filled,-1229.76,"" 
2016-05-02T14:00:00Z,PPLT,103.66,268,Market,Filled,27780.88,"" 
