Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-05T21:00:00Z,"DBA",2016-02-01T15:00:00Z,Buy,17.49157795,17.18214463,1425,-440.94,14.25,-685.91,0,685.91,0,"	2,5" 
2016-01-05T21:00:00Z,"SOYB",2016-02-01T15:00:00Z,Buy,17.25,17.43,1450,261,14.5,0,580,391.5,1,"	3,6" 
2016-01-05T21:00:00Z,"TLT",2016-02-01T15:00:00Z,Buy,91.81766776,96.64857748,7,33.82,2.35,0,33.82,7.28,1,"	1,7" 
2016-01-05T21:00:00Z,"GLD",2016-02-01T15:00:00Z,Buy,103.13,106.96,4,15.32,2.21,-0.44,18.24,12.52,1,"	4,10" 
2016-01-05T21:00:00Z,"GLD",2016-03-01T15:00:00Z,Buy,103.13,118.64,16,248.16,1,-1.76,254.72,68.48,1,"	4,15" 
2016-01-05T21:00:00Z,"TLT",2016-05-02T14:00:00Z,Buy,91.81766776,98.859283876,263,1851.95,1.34,0,2617.62,1224.59,1,"	1,22" 
2016-01-05T21:00:00Z,"GLD",2016-05-02T14:00:00Z,Buy,103.13,123.65,3,61.56,1,-0.33,61.56,16.11,1,"	4,27" 
2016-01-05T21:00:00Z,"GLD",2016-05-25T14:30:00Z,Buy,103.13,117.3,219,3103.23,1.12,-24.09,4493.88,1390.65,1,"	4,30" 
2016-02-01T15:00:00Z,"CORN",2016-03-01T15:00:00Z,Buy,21.72,20.63,1174,-1279.66,11.74,-1279.66,70.44,1350.1,0,"	9,11" 
2016-02-01T15:00:00Z,"SLV",2016-03-01T15:00:00Z,Buy,13.59,14.2,20,12.2,10.38,0,28,19.4,1,"	8,13" 
2016-02-01T15:00:00Z,"SLV",2016-04-01T14:00:00Z,Buy,13.59,14.68,1856,2023.04,9.28,0,2913.92,1800.32,1,"	8,16" 
2016-03-01T15:00:00Z,"PPLT",2016-04-01T14:00:00Z,Buy,90.29,94.04,291,1091.25,2.91,0,1804.2,1609.23,1,"	14,17" 
2016-03-01T15:00:00Z,"TLT",2016-05-02T14:00:00Z,Buy,99.685249854,98.859283876,1,-0.83,1,-7.87,2.09,4.28,0,"	12,22" 
2016-04-01T14:00:00Z,"TLT",2016-05-02T14:00:00Z,Buy,99.592528224,98.859283876,4,-2.93,1,-31.1,8.71,17.12,0,"	18,22" 
2016-04-01T14:00:00Z,"DBA",2016-05-02T14:00:00Z,Buy,17.7064622,18.11903996,1512,623.82,15.12,-701.79,740.78,805.76,1,"	19,23" 
2016-04-01T14:00:00Z,"SOYB",2016-05-02T14:00:00Z,Buy,18.02,19.52,63,94.5,8.43,-3.78,98.28,23.31,1,"	20,25" 
2016-04-01T14:00:00Z,"GLD",2016-05-25T14:30:00Z,Buy,117.6,117.3,5,-1.5,1,-72.9,30.25,31.75,0,"	21,30" 
2016-04-01T14:00:00Z,"SOYB",2016-06-01T14:00:00Z,Buy,18.02,20.07,466,955.3,2.33,-27.96,1090.44,368.14,1,"	20,36" 
2016-04-01T14:00:00Z,"SOYB",2016-07-01T14:00:00Z,Buy,18.02,21.34,957,3177.24,8.705,-57.42,3445.2,1196.25,1,"	20,43" 
2016-05-02T14:00:00Z,"SLV",2016-05-25T14:30:00Z,Buy,16.98,15.42,1636,-2552.16,16.36,-2552.16,0,2552.16,0,"	24,28" 
2016-05-02T14:00:00Z,"PPLT",2016-05-25T14:30:00Z,Buy,103.66,96.43,268,-1937.64,2.68,-1937.64,85.76,2023.4,0,"	26,29" 
2016-05-25T14:30:00Z,"TLT",2016-06-01T14:00:00Z,Buy,99.425997414,99.655689384,86,19.75,2.765,-32.26,19.75,32.26,1,"	31,34" 
2016-05-25T14:30:00Z,"MOO",2016-06-01T14:00:00Z,Buy,39.887274284,40.231837328,217,74.77,5.48,0,97.91,23.14,1,"	33,37" 
2016-05-25T14:30:00Z,"MOO",2016-06-29T14:30:00Z,Buy,39.887274284,38.5582454,662,-879.82,3.31,-1303.43,917.83,2221.27,0,"	33,39" 
2016-05-25T14:30:00Z,"SOYB",2016-07-01T14:00:00Z,Buy,19.57,21.34,370,654.9,1.85,-595.7,758.5,462.5,1,"	32,43" 
2016-05-25T14:30:00Z,"TLT",2016-08-01T14:00:00Z,Buy,99.425997414,108.806894744,81,759.85,1,-30.39,886.86,332.46,1,"	31,54" 
2016-05-25T14:30:00Z,"TLT",2016-09-01T14:00:00Z,Buy,99.425997414,107.704319892,11,91.06,1,-4.13,120.44,45.22,1,"	31,59" 
2016-05-25T14:30:00Z,"TLT",2016-09-21T14:30:00Z,Buy,99.425997414,103.97380713,175,795.87,1.28,-65.65,1916.06,1270.04,1,"	31,62" 
2016-06-01T14:00:00Z,"DBA",2016-06-29T14:30:00Z,Buy,18.31673347,18.909814,1454,862.34,14.54,0,2062.12,1662.19,1,"	35,38" 
2016-06-29T14:30:00Z,"SOYB",2016-07-01T14:00:00Z,Buy,20.94,21.34,414,165.6,2.07,-1233.72,281.52,62.1,1,"	41,43" 
2016-06-29T14:30:00Z,"GLD",2016-07-01T14:00:00Z,Buy,125.32,126.52,1,1.2,2.455,0,1.2,0,1,"	42,46" 
2016-06-29T14:30:00Z,"GLD",2016-08-01T14:00:00Z,Buy,125.32,128.98,69,252.54,1,0,358.8,353.97,1,"	42,53" 
2016-06-29T14:30:00Z,"GLD",2016-09-01T14:00:00Z,Buy,125.32,124.78,221,-119.34,1.125,-119.34,1149.2,1268.54,0,"	42,57" 
2016-06-29T14:30:00Z,"TLT",2016-09-21T14:30:00Z,Buy,106.995845738,103.97380713,73,-220.61,1,-579.99,246.67,529.79,0,"	40,62" 
2016-07-01T14:00:00Z,"SLV",2016-07-06T14:30:00Z,Buy,17.87,18.98,2057,2283.27,20.57,0,2283.27,0,1,"	45,47" 
2016-07-01T14:00:00Z,"TLT",2016-09-21T14:30:00Z,Buy,106.56620517,103.97380713,5,-12.96,1,-37.58,19.04,36.29,0,"	44,62" 
2016-07-06T14:30:00Z,"PPLT",2016-08-01T14:00:00Z,Buy,103.33,110.12,105,712.95,2.845,0,712.95,214.2,1,"	49,52" 
2016-07-06T14:30:00Z,"PPLT",2016-09-01T14:00:00Z,Buy,103.33,100.71,264,-691.68,1.32,-691.68,2632.08,3323.76,0,"	49,56" 
2016-07-06T14:30:00Z,"GLD",2016-09-01T14:00:00Z,Buy,129.47,124.78,4,-18.76,1,-18.76,4.2,22.96,0,"	50,57" 
2016-07-06T14:30:00Z,"TLT",2016-09-21T14:30:00Z,Buy,109.398737842,103.97380713,3,-16.27,1,-31.04,2.93,21.77,0,"	48,62" 
2016-08-01T14:00:00Z,"SLV",2016-09-01T14:00:00Z,Buy,19.35,17.72,1505,-2453.15,15.05,-2603.65,376.25,2979.9,0,"	51,55" 
2016-09-01T14:00:00Z,"XLE",2016-09-21T14:30:00Z,Buy,23.139902491,22.732536624,1192,-485.58,11.92,-485.58,1311.93,1797.51,0,"	61,63" 
2016-09-01T14:00:00Z,"DBC",2016-09-21T14:30:00Z,Buy,12.166392445,12.24248524,2267,172.5,22.67,-306.67,939.18,1015.85,1,"	60,64" 
2016-09-01T14:00:00Z,"MOO",2016-09-21T14:30:00Z,Buy,41.790574908,40.28106062,660,-996.28,6.6,-1061.25,205.75,1267.01,0,"	58,65" 
2016-09-21T14:30:00Z,"SOYB",2016-11-01T14:00:00Z,Buy,19.05,19.42,139,51.43,10.45,-84.79,77.84,84.79,1,"	68,78" 
2016-09-21T14:30:00Z,"SOYB",2016-12-01T15:00:00Z,Buy,19.05,19.74,1751,1208.19,8.845,-1068.11,1873.57,1155.66,1,"	68,84" 
