Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-02T21:00:00Z,MOO,59.813002476,413,Market On Open,Filled,24702.770022588,"" 
2020-01-02T21:00:00Z,SLV,16.92,1487,Market On Open,Filled,25160.04,"" 
2020-01-02T21:00:00Z,SOYB,15.68,1575,Market On Open,Filled,24696,"" 
2020-01-02T21:00:00Z,GLD,145.75,173,Market On Open,Filled,25214.75,"" 
2020-02-03T15:00:00Z,MOO,56.82498111,-413,Market,Filled,-23468.71719843,"Liquidated" 
2020-02-03T15:00:00Z,SOYB,14.58,-1575,Market,Filled,-22963.5,"Liquidated" 
2020-02-03T15:00:00Z,SLV,16.82,-39,Market,Filled,-655.98,"" 
2020-02-03T15:00:00Z,PPLT,90.2,270,Market,Filled,24354,"" 
2020-02-03T15:00:00Z,TLT,122.061399,199,Market,Filled,24290.218401,"" 
2020-02-03T15:00:00Z,GLD,149.33,-10,Market,Filled,-1493.3,"" 
2020-03-02T15:00:00Z,PPLT,81.14,-270,Market,Filled,-21907.8,"Liquidated" 
2020-03-02T15:00:00Z,SLV,15.53,75,Market,Filled,1164.75,"" 
2020-03-02T15:00:00Z,DBA,13.45635295,1757,Market,Filled,23642.81213315,"" 
2020-03-02T15:00:00Z,TLT,130.149748938,-18,Market,Filled,-2342.695480884,"" 
2020-03-02T15:00:00Z,GLD,148.38,-4,Market,Filled,-593.52,"" 
2020-03-18T14:30:00Z,SLV,11.88,-1523,Market,Filled,-18093.24,"Liquidated" 
2020-03-18T14:30:00Z,DBA,12.026891194,-1757,Market,Filled,-21131.247827858,"Liquidated" 
2020-03-18T14:30:00Z,WEAT,25.75,1105,Market,Filled,28453.75,"" 
2020-03-18T14:30:00Z,TLT,128.38670573,40,Market,Filled,5135.4682292,"" 
2020-03-18T14:30:00Z,GLD,143.56,39,Market,Filled,5598.84,"" 
2020-04-01T14:00:00Z,WEAT,29,-47,Market,Filled,-1363,"" 
2020-04-01T14:00:00Z,GLD,148.05,9,Market,Filled,1332.45,"" 
2020-05-01T14:00:00Z,WEAT,26.8,-1058,Market,Filled,-28354.4,"Liquidated" 
2020-05-01T14:00:00Z,CPER,14.95,1544,Market,Filled,23082.8,"" 
2020-05-01T14:00:00Z,PPLT,74.02,312,Market,Filled,23094.24,"" 
2020-05-01T14:00:00Z,TLT,140.136816414,-57,Market,Filled,-7987.798535598,"" 
2020-05-01T14:00:00Z,GLD,158.8,-62,Market,Filled,-9845.6,"" 
2020-06-01T14:00:00Z,TLT,137.667921216,-164,Market,Filled,-22577.539079424,"Liquidated" 
2020-06-01T14:00:00Z,SLV,16.66,1425,Market,Filled,23740.5,"" 
2020-06-01T14:00:00Z,CPER,15.51,-13,Market,Filled,-201.63,"" 
2020-06-01T14:00:00Z,PPLT,79.06,-12,Market,Filled,-948.72,"" 
2020-07-01T14:00:00Z,PPLT,78.17,-300,Market,Filled,-23451,"Liquidated" 
2020-07-01T14:00:00Z,SLV,17.01,19,Market,Filled,323.19,"" 
2020-07-01T14:00:00Z,CPER,17.07,-92,Market,Filled,-1570.44,"" 
2020-07-01T14:00:00Z,TLT,138.13151625,177,Market,Filled,24449.27837625,"" 
2020-07-01T14:00:00Z,GLD,167.37,1,Market,Filled,167.37,"" 
2020-08-03T14:00:00Z,SLV,22.65,-215,Market,Filled,-4869.75,"" 
2020-08-03T14:00:00Z,CPER,17.95,112,Market,Filled,2010.4,"" 
2020-08-03T14:00:00Z,TLT,144.2575323,16,Market,Filled,2308.1205168,"" 
2020-08-03T14:00:00Z,GLD,185.43,4,Market,Filled,741.72,"" 
2020-09-01T14:00:00Z,CPER,18.96,-1551,Market,Filled,-29406.96,"Liquidated" 
2020-09-01T14:00:00Z,TLT,136.977629376,-193,Market,Filled,-26436.682469568,"Liquidated" 
2020-09-01T14:00:00Z,SLV,26.23,-125,Market,Filled,-3278.75,"" 
2020-09-01T14:00:00Z,MOO,59.49755154,486,Market,Filled,28915.81004844,"" 
2020-09-01T14:00:00Z,SOYB,15.13,1914,Market,Filled,28958.82,"" 
