Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-03T21:00:00Z,"MOO",2020-02-03T15:00:00Z,Buy,59.813002476,56.82498111,413,-1234.05,4.13,-1234.05,347.42,1581.47,0,"	1,5" 
2020-01-03T21:00:00Z,"SOYB",2020-02-03T15:00:00Z,Buy,15.68,14.58,1575,-1732.5,15.75,-1732.5,78.75,1811.25,0,"	3,6" 
2020-01-03T21:00:00Z,"SLV",2020-02-03T15:00:00Z,Buy,16.92,16.82,39,-3.9,8.435,-23.4,9.75,33.15,0,"	2,7" 
2020-01-03T21:00:00Z,"GLD",2020-02-03T15:00:00Z,Buy,145.75,149.33,10,35.8,2,-0.6,35.8,22.8,1,"	4,10" 
2020-01-03T21:00:00Z,"GLD",2020-03-02T15:00:00Z,Buy,145.75,148.38,4,10.52,1,-0.24,41.36,30.84,1,"	4,15" 
2020-01-03T21:00:00Z,"SLV",2020-03-18T14:30:00Z,Buy,16.92,11.88,1448,-7297.92,7.615,-7297.92,695.04,7992.96,0,"	2,16" 
2020-01-03T21:00:00Z,"GLD",2020-05-01T14:00:00Z,Buy,145.75,158.8,62,809.1,1,-478.02,1090.58,1225.74,1,"	4,27" 
2020-01-03T21:00:00Z,"GLD",2020-09-30T14:30:00Z,Buy,145.75,178.19,97,3146.68,1,-747.87,4669.58,1917.69,1,"	4,48" 
2020-02-03T15:00:00Z,"PPLT",2020-03-02T15:00:00Z,Buy,90.2,81.14,270,-2446.2,2.7,-2446.2,1306.8,3753,0,"	8,11" 
2020-02-03T15:00:00Z,"TLT",2020-03-02T15:00:00Z,Buy,122.061399,130.149748938,18,145.59,2,-55.03,145.59,55.03,1,"	9,14" 
2020-02-03T15:00:00Z,"TLT",2020-05-01T14:00:00Z,Buy,122.061399,140.136816414,57,1030.3,1,-174.25,1248.27,1288.72,1,"	9,26" 
2020-02-03T15:00:00Z,"TLT",2020-06-01T14:00:00Z,Buy,122.061399,137.667921216,124,1935.21,1,-379.07,2715.53,2803.53,1,"	9,28" 
2020-03-02T15:00:00Z,"SLV",2020-03-18T14:30:00Z,Buy,15.53,11.88,75,-273.75,1,-273.75,140.25,331.5,0,"	12,16" 
2020-03-02T15:00:00Z,"DBA",2020-03-18T14:30:00Z,Buy,13.45635295,12.026891194,1757,-2511.56,17.57,-2511.56,434.1,2945.66,0,"	13,17" 
2020-03-18T14:30:00Z,"WEAT",2020-04-01T14:00:00Z,Buy,25.75,29,47,152.75,6.525,0,152.75,21.15,1,"	18,21" 
2020-03-18T14:30:00Z,"WEAT",2020-05-01T14:00:00Z,Buy,25.75,26.8,1058,1110.9,5.29,0,3438.5,2645,1,"	18,23" 
2020-03-18T14:30:00Z,"TLT",2020-06-01T14:00:00Z,Buy,128.38670573,137.667921216,40,371.25,1,-375.29,622.97,290.77,1,"	19,28" 
2020-03-18T14:30:00Z,"GLD",2020-09-30T14:30:00Z,Buy,143.56,178.19,39,1350.57,1,-215.28,1962.87,744.9,1,"	20,48" 
2020-04-01T14:00:00Z,"GLD",2020-09-30T14:30:00Z,Buy,148.05,178.19,9,271.26,1,-90.09,412.56,171.9,1,"	22,48" 
2020-05-01T14:00:00Z,"CPER",2020-06-01T14:00:00Z,Buy,14.95,15.51,13,7.28,8.72,-5.2,7.28,7.28,1,"	24,30" 
2020-05-01T14:00:00Z,"PPLT",2020-06-01T14:00:00Z,Buy,74.02,79.06,12,60.48,2.56,-39.72,85.44,39.72,1,"	25,31" 
2020-05-01T14:00:00Z,"PPLT",2020-07-01T14:00:00Z,Buy,74.02,78.17,300,1245,1.5,-993,2136,1623,1,"	25,32" 
2020-05-01T14:00:00Z,"CPER",2020-07-01T14:00:00Z,Buy,14.95,17.07,92,195.04,1,-36.8,195.04,72.68,1,"	24,34" 
2020-05-01T14:00:00Z,"CPER",2020-09-01T14:00:00Z,Buy,14.95,18.96,1439,5770.39,7.755,-575.6,5770.39,1388.92,1,"	24,41" 
2020-06-01T14:00:00Z,"SLV",2020-08-03T14:00:00Z,Buy,16.66,22.65,215,1287.85,8.2,-98.9,1326.55,230.05,1,"	29,37" 
2020-06-01T14:00:00Z,"SLV",2020-09-01T14:00:00Z,Buy,16.66,26.23,125,1196.25,1,-57.5,1292.5,458.75,1,"	29,43" 
2020-06-01T14:00:00Z,"SLV",2020-09-30T14:30:00Z,Buy,16.66,22.5,1085,6336.4,5.52,-499.1,11218.9,6325.55,1,"	29,47" 
2020-07-01T14:00:00Z,"TLT",2020-09-01T14:00:00Z,Buy,138.13151625,136.977629376,177,-204.24,2,-364.19,1197.94,1562.12,0,"	35,42" 
