Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-01-03T21:00:00Z,PPLT,100.48,248,Market On Open,Filled,24919.04,"" 
2023-01-03T21:00:00Z,GLD,172.9,146,Market On Open,Filled,25243.4,"" 
2023-01-03T21:00:00Z,SOYB,28.04,891,Market On Open,Filled,24983.64,"" 
2023-01-03T21:00:00Z,SLV,22.29,1133,Market On Open,Filled,25254.57,"" 
2023-02-01T15:00:00Z,PPLT,93.7,-248,Market,Filled,-23237.6,"Liquidated" 
2023-02-01T15:00:00Z,SOYB,28.19,-891,Market,Filled,-25117.29,"Liquidated" 
2023-02-01T15:00:00Z,SLV,21.83,-1133,Market,Filled,-24733.39,"Liquidated" 
2023-02-01T15:00:00Z,GLD,179.41,-9,Market,Filled,-1614.69,"" 
2023-02-01T15:00:00Z,MOO,84.210564356,293,Market,Filled,24673.695356308,"" 
2023-02-01T15:00:00Z,CPER,25.64,963,Market,Filled,24691.32,"" 
2023-02-01T15:00:00Z,XLE,40.6228963205,608,Market,Filled,24698.720962864,"" 
2023-03-01T15:00:00Z,XLE,37.8041831765,-608,Market,Filled,-22984.943371312,"Liquidated" 
2023-03-01T15:00:00Z,GLD,169.78,-137,Market,Filled,-23259.86,"Liquidated" 
2023-03-01T15:00:00Z,SOYB,27.5,855,Market,Filled,23512.5,"" 
2023-03-01T15:00:00Z,CPER,24.84,-16,Market,Filled,-397.44,"" 
2023-03-01T15:00:00Z,MOO,81.187667996,-4,Market,Filled,-324.750671984,"" 
2023-03-01T15:00:00Z,DBA,17.90269509,1314,Market,Filled,23524.14134826,"" 
2023-03-22T14:30:00Z,MOO,78.283855432,-289,Market,Filled,-22624.034219848,"Liquidated" 
2023-03-22T14:30:00Z,DBA,17.59234624,-1314,Market,Filled,-23116.34295936,"Liquidated" 
2023-03-22T14:30:00Z,SOYB,26.81,-855,Market,Filled,-22922.55,"Liquidated" 
2023-03-22T14:30:00Z,GLD,180.37,169,Market,Filled,30482.53,"" 
2023-03-22T14:30:00Z,SLV,20.54,1492,Market,Filled,30645.68,"" 
2023-03-22T14:30:00Z,CPER,24.47,305,Market,Filled,7463.35,"" 
2023-04-03T14:00:00Z,GLD,183.22,4,Market,Filled,732.88,"" 
2023-04-03T14:00:00Z,SLV,22.12,-56,Market,Filled,-1238.72,"" 
2023-04-03T14:00:00Z,CPER,24.94,22,Market,Filled,548.68,"" 
2023-05-01T14:00:00Z,CPER,23.85,-1274,Market,Filled,-30384.9,"Liquidated" 
2023-05-01T14:00:00Z,PPLT,99.41,240,Market,Filled,23858.4,"" 
2023-05-01T14:00:00Z,GLD,184.8,-44,Market,Filled,-8131.2,"" 
2023-05-01T14:00:00Z,SLV,23,-398,Market,Filled,-9154,"" 
2023-05-01T14:00:00Z,DBA,18.57659545,1285,Market,Filled,23870.92515325,"" 
2023-06-01T14:00:00Z,PPLT,92.21,-240,Market,Filled,-22130.4,"Liquidated" 
2023-06-01T14:00:00Z,TLT,91.802453775,249,Market,Filled,22858.810989975,"" 
2023-06-01T14:00:00Z,GLD,182.32,-4,Market,Filled,-729.28,"" 
2023-06-01T14:00:00Z,SLV,21.61,19,Market,Filled,410.59,"" 
2023-06-01T14:00:00Z,DBA,18.14210706,-25,Market,Filled,-453.5526765,"" 
2023-07-03T14:00:00Z,TLT,92.00180148,-249,Market,Filled,-22908.44856852,"Liquidated" 
2023-07-03T14:00:00Z,SLV,20.89,-1057,Market,Filled,-22080.73,"Liquidated" 
2023-07-03T14:00:00Z,GLD,178.27,2,Market,Filled,356.54,"" 
2023-07-03T14:00:00Z,SOYB,27.3227,831,Market,Filled,22705.1637,"" 
2023-07-03T14:00:00Z,DBA,18.68300077,-44,Market,Filled,-822.05203388,"" 
2023-07-03T14:00:00Z,XLE,37.3749416005,607,Market,Filled,22686.589551504,"" 
2023-08-01T14:00:00Z,SOYB,27.65,-831,Market,Filled,-22977.15,"Liquidated" 
2023-08-01T14:00:00Z,GLD,182.35,2,Market,Filled,364.7,"" 
2023-08-01T14:00:00Z,CPER,24.82,950,Market,Filled,23579,"" 
2023-08-01T14:00:00Z,DBA,19.44557223,-3,Market,Filled,-58.33671669,"" 
2023-08-01T14:00:00Z,XLE,40.280397822,-22,Market,Filled,-886.168752084,"" 
2023-08-23T14:30:00Z,CPER,23.31,-950,Market,Filled,-22144.5,"Liquidated" 
2023-08-23T14:30:00Z,DBA,18.76280476,-1213,Market,Filled,-22759.28217388,"Liquidated" 
2023-08-23T14:30:00Z,XLE,40.3218385605,-585,Market,Filled,-23588.275557892,"Liquidated" 
2023-08-23T14:30:00Z,GLD,176.1,-129,Market,Filled,-22716.9,"Liquidated" 
2023-08-23T14:30:00Z,PDBC,12.773217665,2382,Market,Filled,30425.80447803,"" 
2023-08-23T14:30:00Z,USO,72.28,421,Market,Filled,30429.88,"" 
2023-08-23T14:30:00Z,DBC,21.09664595,1442,Market,Filled,30421.3634599,"" 
2023-09-01T14:00:00Z,USO,75.06,-5,Market,Filled,-375.3,"" 
2023-09-01T14:00:00Z,GLD,180.02,173,Market,Filled,31143.46,"" 
2023-09-01T14:00:00Z,DBA,19.27709714,1620,Market,Filled,31228.8973668,"" 
2023-09-06T14:30:00Z,GLD,178.64,-173,Market,Filled,-30904.72,"Liquidated" 
2023-09-06T14:30:00Z,USO,77.76,-6,Market,Filled,-466.56,"" 
2023-09-06T14:30:00Z,DBA,19.43670512,23,Market,Filled,447.04421776,"" 
2023-09-06T14:30:00Z,XLE,42.002490733,760,Market,Filled,31921.89295708,"" 
2023-09-20T14:30:00Z,PDBC,13.515743813,70,Market,Filled,946.10206691,"" 
2023-09-20T14:30:00Z,USO,81.5,-4,Market,Filled,-326,"" 
2023-09-20T14:30:00Z,DBA,19.74705397,35,Market,Filled,691.14688895,"" 
2023-10-02T14:00:00Z,DBA,18.98448251,-1678,Market,Filled,-31855.96165178,"Liquidated" 
2023-10-02T14:00:00Z,PDBC,13.215197515,-28,Market,Filled,-370.02553042,"" 
2023-10-02T14:00:00Z,USO,80.86,-10,Market,Filled,-808.6,"" 
2023-10-02T14:00:00Z,DBC,21.84947232,24,Market,Filled,524.38733568,"" 
2023-10-04T14:30:00Z,DBC,21.58685847,-1466,Market,Filled,-31646.33451702,"Liquidated" 
2023-10-04T14:30:00Z,PDBC,13.064924366,-18,Market,Filled,-235.168638588,"" 
2023-10-04T14:30:00Z,USO,79.93,-3,Market,Filled,-239.79,"" 
2023-10-04T14:30:00Z,DBA,18.94901407,1659,Market,Filled,31436.41434213,"" 
2023-11-01T14:00:00Z,USO,75.02,-393,Market,Filled,-29482.86,"Liquidated" 
2023-11-01T14:00:00Z,PDBC,12.976528396,-2406,Market,Filled,-31221.527320776,"Liquidated" 
2023-11-01T14:00:00Z,UNG,30,1021,Market,Filled,30630,"" 
2023-11-01T14:00:00Z,GLD,184.09,166,Market,Filled,30558.94,"" 
2023-11-01T14:00:00Z,DBA,19.51650911,-89,Market,Filled,-1736.96931079,"" 
2023-12-01T15:00:00Z,UNG,22.08,-1021,Market,Filled,-22543.68,"Liquidated" 
2023-12-01T15:00:00Z,CPER,23.8,890,Market,Filled,21182,"" 
2023-12-01T15:00:00Z,GLD,188.75,-54,Market,Filled,-10192.5,"" 
2023-12-01T15:00:00Z,SOYB,28.25,750,Market,Filled,21187.5,"" 
2023-12-01T15:00:00Z,DBA,19.75592108,-498,Market,Filled,-9838.44869784,"" 
2024-01-02T15:00:00Z,DBA,19.231503062,-1072,Market,Filled,-20616.171282464,"Liquidated" 
2024-01-02T15:00:00Z,SOYB,27.0107,-750,Market,Filled,-20258.025,"Liquidated" 
2024-01-02T15:00:00Z,TLT,90.285953568,232,Market,Filled,20946.341227776,"" 
2024-01-02T15:00:00Z,GLD,191.17,-3,Market,Filled,-573.51,"" 
2024-01-02T15:00:00Z,SLV,21.78,962,Market,Filled,20952.36,"" 
2024-01-02T15:00:00Z,CPER,24.14,-22,Market,Filled,-531.08,"" 
2024-02-01T15:00:00Z,TLT,88.258902426,-232,Market,Filled,-20476.065362832,"Liquidated" 
2024-02-01T15:00:00Z,CPER,24.19,-868,Market,Filled,-20996.92,"Liquidated" 
2024-02-01T15:00:00Z,SLV,20.91,-962,Market,Filled,-20115.42,"Liquidated" 
2024-02-01T15:00:00Z,USO,70.92,289,Market,Filled,20495.88,"" 
2024-02-01T15:00:00Z,GLD,188.45,-1,Market,Filled,-188.45,"" 
2024-02-01T15:00:00Z,DBA,20.056770069,1023,Market,Filled,20518.075780587,"" 
2024-02-01T15:00:00Z,XLE,39.0612825155,-235,Market,Filled,-9179.4013911425,"" 
2024-03-01T15:00:00Z,USO,73.36,-3,Market,Filled,-220.08,"" 
2024-03-01T15:00:00Z,GLD,189.31,3,Market,Filled,567.93,"" 
2024-03-01T15:00:00Z,DBA,20.566766534,-1,Market,Filled,-20.566766534,"" 
2024-03-01T15:00:00Z,XLE,40.339753937,-4,Market,Filled,-161.359015748,"" 
2024-04-01T14:00:00Z,USO,78.73,-286,Market,Filled,-22516.78,"Liquidated" 
2024-04-01T14:00:00Z,CPER,25.12,916,Market,Filled,23009.92,"" 
2024-04-01T14:00:00Z,DBA,22.959113588,-20,Market,Filled,-459.18227176,"" 
2024-04-01T14:00:00Z,XLE,44.5698988875,-5,Market,Filled,-222.8494944375,"" 
2024-04-24T14:30:00Z,XLE,45.37717065,-516,Market,Filled,-23414.6200554,"Liquidated" 
2024-04-24T14:30:00Z,GLD,215.04,39,Market,Filled,8386.56,"" 
2024-04-24T14:30:00Z,CPER,27.67,252,Market,Filled,6972.84,"" 
2024-04-24T14:30:00Z,DBA,24.062560485,341,Market,Filled,8205.333125385,"" 
2024-05-01T14:00:00Z,DBA,22.847841632,-1343,Market,Filled,-30684.651311776,"Liquidated" 
2024-05-01T14:00:00Z,SLV,24.05,1325,Market,Filled,31866.25,"" 
2024-05-01T14:00:00Z,CPER,28.31,-43,Market,Filled,-1217.33,"" 
2024-06-03T14:00:00Z,GLD,215.3,-33,Market,Filled,-7104.9,"" 
2024-06-03T14:00:00Z,SLV,27.76,-414,Market,Filled,-11492.64,"" 
2024-06-03T14:00:00Z,CPER,28.42,-236,Market,Filled,-6707.12,"" 
2024-06-03T14:00:00Z,DBA,23.302202119,1085,Market,Filled,25282.889299115,"" 
2024-07-01T14:00:00Z,DBA,22.06893794,-1085,Market,Filled,-23944.7976649,"Liquidated" 
2024-07-01T14:00:00Z,SLV,26.57,-911,Market,Filled,-24205.27,"Liquidated" 
2024-07-01T14:00:00Z,CPER,27.21,-889,Market,Filled,-24189.69,"Liquidated" 
2024-07-01T14:00:00Z,TLT,85.203173692,286,Market,Filled,24368.107675912,"" 
2024-07-01T14:00:00Z,USO,79.59,306,Market,Filled,24354.54,"" 
2024-07-01T14:00:00Z,PPLT,91.47,266,Market,Filled,24331.02,"" 
2024-07-01T14:00:00Z,GLD,215.01,-4,Market,Filled,-860.04,"" 
2024-08-01T14:00:00Z,PPLT,89.52,-266,Market,Filled,-23812.32,"Liquidated" 
2024-08-01T14:00:00Z,TLT,88.296097912,-7,Market,Filled,-618.072685384,"" 
2024-08-01T14:00:00Z,USO,77.74,11,Market,Filled,855.14,"" 
2024-08-01T14:00:00Z,GLD,226.55,-5,Market,Filled,-1132.75,"" 
2024-08-01T14:00:00Z,XLE,44.3566862505,556,Market,Filled,24662.317555278,"" 
2024-08-07T14:30:00Z,XLE,41.391959769,-556,Market,Filled,-23013.929631564,"Liquidated" 
2024-08-07T14:30:00Z,USO,72.45,-317,Market,Filled,-22966.65,"Liquidated" 
2024-08-07T14:30:00Z,TLT,90.253531797,72,Market,Filled,6498.254289384,"" 
2024-08-07T14:30:00Z,GLD,220.7,35,Market,Filled,7724.5,"" 
2024-08-07T14:30:00Z,DBA,21.994756636,1444,Market,Filled,31760.428582384,"" 
2024-09-03T14:00:00Z,TLT,90.160091967,-79,Market,Filled,-7122.647265393,"" 
2024-09-03T14:00:00Z,GLD,231.29,-37,Market,Filled,-8557.73,"" 
2024-09-03T14:00:00Z,DBA,23.070385544,-379,Market,Filled,-8743.676121176,"" 
2024-09-03T14:00:00Z,XLE,43.438239684,565,Market,Filled,24542.60542146,"" 
2024-10-01T14:00:00Z,TLT,91.96257951,-272,Market,Filled,-25013.82162672,"Liquidated" 
2024-10-01T14:00:00Z,XLE,42.12746287,-565,Market,Filled,-23802.01652155,"Liquidated" 
2024-10-01T14:00:00Z,CPER,28.35,886,Market,Filled,25118.1,"" 
2024-10-01T14:00:00Z,GLD,243.06,-3,Market,Filled,-729.18,"" 
2024-10-01T14:00:00Z,SLV,28.41,884,Market,Filled,25114.44,"" 
2024-10-01T14:00:00Z,DBA,24.192377767,-27,Market,Filled,-653.194199709,"" 
2024-11-01T14:00:00Z,CPER,27.36,-886,Market,Filled,-24240.96,"Liquidated" 
2024-11-01T14:00:00Z,PPLT,90.96,278,Market,Filled,25286.88,"" 
2024-11-01T14:00:00Z,GLD,253.51,-4,Market,Filled,-1014.04,"" 
2024-11-01T14:00:00Z,SLV,29.81,-35,Market,Filled,-1043.35,"" 
2024-11-01T14:00:00Z,DBA,23.64529065,33,Market,Filled,780.29459145,"" 
2024-12-02T15:00:00Z,SLV,27.92,-849,Market,Filled,-23704.08,"Liquidated" 
2024-12-02T15:00:00Z,PPLT,87.06,-278,Market,Filled,-24202.68,"Liquidated" 
2024-12-02T15:00:00Z,GLD,245.59,-99,Market,Filled,-24313.41,"Liquidated" 
