Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2023-01-04T21:00:00Z,"PPLT",2023-02-01T15:00:00Z,Buy,100.48,93.7,248,-1681.44,2.48,-1753.36,151.28,1904.64,0,"	1,5" 
2023-01-04T21:00:00Z,"SOYB",2023-02-01T15:00:00Z,Buy,28.04,28.19,891,133.65,8.91,-534.6,409.86,944.46,1,"	3,6" 
2023-01-04T21:00:00Z,"SLV",2023-02-01T15:00:00Z,Buy,22.29,21.83,1133,-521.18,11.33,-1019.7,45.32,1019.7,0,"	4,7" 
2023-01-04T21:00:00Z,"GLD",2023-02-01T15:00:00Z,Buy,172.9,179.41,9,58.59,2,-21.42,73.89,21.42,1,"	2,8" 
2023-01-04T21:00:00Z,"GLD",2023-03-01T15:00:00Z,Buy,172.9,169.78,137,-427.44,1,-623.35,1201.49,1824.84,0,"	2,13" 
2023-02-01T15:00:00Z,"XLE",2023-03-01T15:00:00Z,Buy,40.6228963205,37.8041831765,608,-1713.78,6.08,-1763.21,76.9,1840.11,0,"	11,12" 
2023-02-01T15:00:00Z,"CPER",2023-03-01T15:00:00Z,Buy,25.64,24.84,16,-12.8,5.815,-25.28,0,25.28,0,"	10,15" 
2023-02-01T15:00:00Z,"MOO",2023-03-01T15:00:00Z,Buy,84.210564356,81.187667996,4,-12.09,2.465,-12.09,2.97,15.06,0,"	9,16" 
2023-02-01T15:00:00Z,"MOO",2023-03-22T14:30:00Z,Buy,84.210564356,78.283855432,289,-1712.82,1.445,-2435.54,214.43,2649.97,0,"	9,18" 
2023-02-01T15:00:00Z,"CPER",2023-05-01T14:00:00Z,Buy,25.64,23.85,947,-1695.13,6.37,-1941.35,0,1941.35,0,"	10,27" 
2023-03-01T15:00:00Z,"DBA",2023-03-22T14:30:00Z,Buy,17.90269509,17.59234624,1314,-407.8,13.14,-559.27,151.47,710.73,0,"	17,19" 
2023-03-01T15:00:00Z,"SOYB",2023-03-22T14:30:00Z,Buy,27.5,26.81,855,-589.95,8.55,-589.95,701.1,1291.05,0,"	14,20" 
2023-03-22T14:30:00Z,"SLV",2023-04-03T14:00:00Z,Buy,20.54,22.12,56,88.48,8.46,0,88.48,3.36,1,"	22,25" 
2023-03-22T14:30:00Z,"CPER",2023-05-01T14:00:00Z,Buy,24.47,23.85,305,-189.1,1.525,-268.4,356.85,500.2,0,"	23,27" 
2023-03-22T14:30:00Z,"GLD",2023-05-01T14:00:00Z,Buy,180.37,184.8,44,194.92,2,0,411.4,240.68,1,"	21,29" 
2023-03-22T14:30:00Z,"SLV",2023-05-01T14:00:00Z,Buy,20.54,23,398,979.08,1.99,0,1273.6,362.18,1,"	22,30" 
2023-03-22T14:30:00Z,"GLD",2023-06-01T14:00:00Z,Buy,180.37,182.32,4,7.8,1,-0.68,40.28,40.96,1,"	21,34" 
2023-03-22T14:30:00Z,"SLV",2023-07-03T14:00:00Z,Buy,20.54,20.89,1038,363.3,5.285,-10.38,3529.2,3539.58,1,"	22,38" 
2023-03-22T14:30:00Z,"GLD",2023-08-23T14:30:00Z,Buy,180.37,176.1,121,-516.67,1,-613.47,1218.47,1831.94,0,"	21,51" 
2023-04-03T14:00:00Z,"CPER",2023-05-01T14:00:00Z,Buy,24.94,23.85,22,-23.98,1,-29.7,15.4,36.08,0,"	26,27" 
2023-04-03T14:00:00Z,"GLD",2023-08-23T14:30:00Z,Buy,183.22,176.1,4,-28.48,1,-31.68,28.88,60.56,0,"	24,51" 
2023-05-01T14:00:00Z,"PPLT",2023-06-01T14:00:00Z,Buy,99.41,92.21,240,-1728,2.4,-1728,904.8,2632.8,0,"	28,32" 
2023-05-01T14:00:00Z,"DBA",2023-06-01T14:00:00Z,Buy,18.57659545,18.14210706,25,-10.86,7.425,-12.19,3.1,15.3,0,"	31,36" 
2023-05-01T14:00:00Z,"DBA",2023-07-03T14:00:00Z,Buy,18.57659545,18.68300077,44,4.68,1,-21.46,46.04,46.82,1,"	31,41" 
2023-05-01T14:00:00Z,"DBA",2023-08-01T14:00:00Z,Buy,18.57659545,19.44557223,3,2.61,1,-1.46,3.75,3.19,1,"	31,46" 
2023-05-01T14:00:00Z,"DBA",2023-08-23T14:30:00Z,Buy,18.57659545,18.76280476,1213,225.87,6.065,-591.57,1516.57,1376.74,1,"	31,49" 
2023-06-01T14:00:00Z,"TLT",2023-07-03T14:00:00Z,Buy,91.802453775,92.00180148,249,49.64,2.49,-408.8,198.74,498.49,1,"	33,37" 
2023-06-01T14:00:00Z,"SLV",2023-07-03T14:00:00Z,Buy,21.61,20.89,19,-13.68,1,-20.52,44.27,33.63,0,"	35,38" 
2023-07-03T14:00:00Z,"SOYB",2023-08-01T14:00:00Z,Buy,27.3227,27.65,831,271.99,8.31,-110.27,1651.45,1379.46,1,"	40,43" 
2023-07-03T14:00:00Z,"XLE",2023-08-01T14:00:00Z,Buy,37.3749416005,40.280397822,22,63.92,4.035,-21.07,63.92,27.25,1,"	42,47" 
2023-07-03T14:00:00Z,"XLE",2023-08-23T14:30:00Z,Buy,37.3749416005,40.3218385605,585,1723.93,2.925,-560.28,2351.55,808.09,1,"	42,50" 
2023-07-03T14:00:00Z,"GLD",2023-08-23T14:30:00Z,Buy,178.27,176.1,2,-4.34,1,-5.94,24.34,16.74,0,"	39,51" 
2023-08-01T14:00:00Z,"CPER",2023-08-23T14:30:00Z,Buy,24.82,23.31,950,-1434.5,9.5,-2061.5,0,2061.5,0,"	45,48" 
2023-08-01T14:00:00Z,"GLD",2023-08-23T14:30:00Z,Buy,182.35,176.1,2,-12.5,1,-14.1,16.18,14.1,0,"	44,51" 
2023-08-23T14:30:00Z,"USO",2023-09-01T14:00:00Z,Buy,72.28,75.06,5,13.9,3.105,-4.6,13.9,4.6,1,"	53,55" 
2023-08-23T14:30:00Z,"USO",2023-09-06T14:30:00Z,Buy,72.28,77.76,6,32.88,1,-5.52,32.88,5.52,1,"	53,59" 
2023-08-23T14:30:00Z,"USO",2023-09-20T14:30:00Z,Buy,72.28,81.5,4,36.88,1,-3.68,36.88,3.68,1,"	53,63" 
2023-08-23T14:30:00Z,"PDBC",2023-10-02T14:00:00Z,Buy,12.773217665,13.215197515,28,12.38,12.91,0,22.03,9.65,1,"	52,66" 
2023-08-23T14:30:00Z,"USO",2023-10-02T14:00:00Z,Buy,72.28,80.86,10,85.8,1,-9.2,106.2,20.4,1,"	53,67" 
