Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-05T21:00:00Z,"PFF",2016-02-01T15:00:00Z,Buy,22.18967232,21.85432635,1126,-377.6,11.26,-704,0,704,0,"	2,5" 
2016-01-05T21:00:00Z,"QYLD",2016-02-01T15:00:00Z,Buy,7.57289745,7.17038091,3271,-1316.63,32.71,-2008.37,0,2008.37,0,"	3,6" 
2016-01-05T21:00:00Z,"SPHD",2016-02-01T15:00:00Z,Buy,21.959700917,21.9613977,7,0.01,6.7,-7.26,0.01,7.26,1,"	1,8" 
2016-01-05T21:00:00Z,"XLU",2016-02-01T15:00:00Z,Buy,15.6852518145,16.502759727,85,69.49,8.965,-4.32,69.49,31.81,1,"	4,9" 
2016-01-05T21:00:00Z,"XLU",2016-03-01T15:00:00Z,Buy,15.6852518145,16.822496155,1508,1714.96,7.54,-76.71,2339.58,684.89,1,"	4,11" 
2016-01-05T21:00:00Z,"SPHD",2016-03-01T15:00:00Z,Buy,21.959700917,22.858167591,18,16.17,1,-18.66,19.3,18.66,1,"	1,13" 
2016-01-05T21:00:00Z,"SPHD",2016-04-01T14:00:00Z,Buy,21.959700917,24.870091904,1115,3245.09,5.575,-1155.67,3245.09,1155.67,1,"	1,16" 
2016-02-01T15:00:00Z,"DVY",2016-03-01T15:00:00Z,Buy,51.752031786,53.245747296,2,2.99,3.4,-1.49,4.18,2.15,1,"	7,12" 
2016-02-01T15:00:00Z,"DVY",2016-04-01T14:00:00Z,Buy,51.752031786,57.196444504,5,27.22,1,-3.72,27.22,5.38,1,"	7,17" 
2016-02-01T15:00:00Z,"DVY",2016-05-02T14:00:00Z,Buy,51.752031786,57.448534612,473,2694.45,2.365,-351.62,2883.24,586.26,1,"	7,21" 
2016-02-01T15:00:00Z,"HDV",2016-05-02T14:00:00Z,Buy,51.23105484,55.447785215,6,25.3,3.425,-5.1,29.1,5.19,1,"	10,26" 
2016-02-01T15:00:00Z,"HDV",2016-05-25T14:30:00Z,Buy,51.23105484,55.799388165,479,2188.23,2.435,-407.38,2346.54,447.99,1,"	10,27" 
2016-03-01T15:00:00Z,"PFF",2016-05-02T14:00:00Z,Buy,21.882877416,22.607247882,13,9.42,6.825,0,9.42,3.98,1,"	14,24" 
2016-03-01T15:00:00Z,"HDV",2016-05-25T14:30:00Z,Buy,51.7260072,55.799388165,7,28.51,1,-9.42,30.83,6.55,1,"	15,27" 
2016-03-01T15:00:00Z,"PFF",2016-06-01T14:00:00Z,Buy,21.882877416,22.955141103,393,421.4,1.965,0,421.4,120.19,1,"	14,32" 
2016-03-01T15:00:00Z,"PFF",2016-08-01T14:00:00Z,Buy,21.882877416,23.563007912,400,672.05,2,0,672.05,132.8,1,"	14,49" 
2016-03-01T15:00:00Z,"PFF",2016-09-01T14:00:00Z,Buy,21.882877416,23.574897171,5,8.46,1,0,8.93,1.66,1,"	14,53" 
2016-03-01T15:00:00Z,"PFF",2016-10-03T14:00:00Z,Buy,21.882877416,23.332829312,354,513.28,8.01,0,632.27,162.87,1,"	14,59" 
2016-04-01T14:00:00Z,"QYLD",2016-05-02T14:00:00Z,Buy,7.523679306,7.308648959,3597,-773.46,35.97,-773.46,176.31,949.77,0,"	19,22" 
2016-04-01T14:00:00Z,"HDV",2016-05-25T14:30:00Z,Buy,54.857092259,55.799388165,1,0.94,1,-4.48,1.27,0.94,1,"	20,27" 
2016-04-01T14:00:00Z,"PFF",2016-10-03T14:00:00Z,Buy,22.399524648,23.332829312,43,40.13,1,-22.22,54.58,19.78,1,"	18,59" 
2016-05-02T14:00:00Z,"SCHD",2016-06-01T14:00:00Z,Buy,9.7085882311411,9.8444405402225,930,126.34,18.565,-78.96,144.39,207.56,1,"	23,31" 
