Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2023-01-04T21:00:00Z,"HDV",2023-02-01T15:00:00Z,Buy,92.551523748,93.988160397,270,387.89,2.7,0,708.32,693.87,1,"	1,5" 
2023-01-04T21:00:00Z,"VYM",2023-02-01T15:00:00Z,Buy,99.317124016,101.563495451,1,2.25,2.26,-0.47,2.86,3.33,1,"	2,6" 
2023-01-04T21:00:00Z,"DVY",2023-02-01T15:00:00Z,Buy,107.281797525,111.25716495,5,19.88,2.17,-0.4,19.88,17.18,1,"	3,8" 
2023-01-04T21:00:00Z,"DVY",2023-03-01T15:00:00Z,Buy,107.281797525,107.175551625,229,-24.33,1.145,-24.33,1056.34,1080.67,0,"	3,10" 
2023-01-04T21:00:00Z,"VYM",2023-03-01T15:00:00Z,Buy,99.317124016,97.996807744,251,-331.4,1.255,-331.4,718.03,1049.43,0,"	2,11" 
2023-01-04T21:00:00Z,"JEPI",2023-03-01T15:00:00Z,Buy,42.41687814,42.124718691,4,-1.17,3.95,-1.31,3.42,4.59,0,"	4,15" 
2023-01-04T21:00:00Z,"JEPI",2023-04-03T14:00:00Z,Buy,42.41687814,43.08845268,2,1.34,1,-2.56,1.71,4.26,1,"	4,22" 
2023-01-04T21:00:00Z,"JEPI",2023-05-01T14:00:00Z,Buy,42.41687814,44.07908202,198,329.12,1,-252.98,329.12,422.18,1,"	4,26" 
2023-01-04T21:00:00Z,"JEPI",2023-06-01T14:00:00Z,Buy,42.41687814,43.31304693,2,1.79,1,-2.56,3.48,4.26,1,"	4,30" 
2023-01-04T21:00:00Z,"JEPI",2023-07-03T14:00:00Z,Buy,42.41687814,44.665524277,3,6.75,1,-3.83,6.75,6.4,1,"	4,37" 
2023-01-04T21:00:00Z,"JEPI",2023-09-06T14:30:00Z,Buy,42.41687814,45.24706915,1,2.83,1,-1.28,3.1,2.13,1,"	4,50" 
2023-01-04T21:00:00Z,"JEPI",2023-10-04T14:30:00Z,Buy,42.41687814,43.35524648,5,4.69,1,-6.39,16.33,11.64,1,"	4,59" 
2023-01-04T21:00:00Z,"JEPI",2023-11-01T14:00:00Z,Buy,42.41687814,43.537272324,11,12.32,1,-14.05,35.92,33.7,1,"	4,63" 
2023-01-04T21:00:00Z,"JEPI",2023-12-01T15:00:00Z,Buy,42.41687814,45.577385533,188,594.18,1,-240.2,613.96,575.98,1,"	4,67" 
2023-01-04T21:00:00Z,"JEPI",2024-02-01T15:00:00Z,Buy,42.41687814,47.31946822,6,29.42,1,-7.67,30.99,18.38,1,"	4,77" 
2023-01-04T21:00:00Z,"JEPI",2024-03-01T15:00:00Z,Buy,42.41687814,48.433689261,3,18.05,1,-3.83,18.05,9.19,1,"	4,81" 
2023-01-04T21:00:00Z,"JEPI",2024-04-24T14:30:00Z,Buy,42.41687814,48.458621072,167,1008.97,2.86,-213.37,1174.79,511.64,1,"	4,88" 
2023-02-01T15:00:00Z,"PFF",2023-03-01T15:00:00Z,Buy,27.55798416,26.96923671,7,-4.12,5.635,-7.59,2.29,9.87,0,"	7,13" 
2023-02-01T15:00:00Z,"PFF",2023-03-22T14:30:00Z,Buy,27.55798416,25.193943716,920,-2174.92,4.6,-2564.15,300.58,2864.73,0,"	7,16" 
2023-02-01T15:00:00Z,"JEPI",2024-04-24T14:30:00Z,Buy,43.092751473,48.458621072,3,16.1,1,-5.86,19.08,9.19,1,"	9,88" 
2023-03-01T15:00:00Z,"HDV",2023-04-03T14:00:00Z,Buy,89.696096868,91.683758556,2,3.98,2.38,-5,3.98,8.82,1,"	12,20" 
