Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-01-03T13:10:10Z,MSFT,79.197545583,75,Market On Open,Filled,5939.815918725,"" 
2018-01-03T13:10:10Z,NVDA,5.04826303,1217,Market On Open,Filled,6143.73610751,"" 
2018-01-03T13:10:10Z,AMZN,59.339462266,101,Market On Open,Filled,5993.285688866,"" 
2018-01-03T13:10:10Z,AMD,11.6,546,Market On Open,Filled,6333.6,"" 
2018-01-03T16:06:55Z,MA,145.280723555,41,Market,Filled,5956.509665755,"" 
2018-01-03T16:16:12Z,MRK,41.901539661793,143,Market,Filled,5991.9201716364,"" 
2018-01-04T14:11:54Z,ISRG,128.576653809,47,Market On Open,Filled,6043.102729023,"" 
2018-01-05T01:44:51Z,AAPL,40.5454611045,149,Market On Open,Filled,6041.2737045705,"" 
2018-01-05T14:25:45Z,META,184.302599288,33,Market On Open,Filled,6081.985776504,"" 
2018-01-05T22:50:18Z,V,111.92608988,54,Market On Open,Filled,6044.00885352,"" 
2018-01-05T22:50:18Z,MCD,144.010340908,42,Market On Open,Filled,6048.434318136,"" 
2018-01-05T22:50:18Z,KO,35.81227206,169,Market On Open,Filled,6052.27397814,"" 
2018-01-05T22:50:18Z,PEP,92.541975168,65,Market On Open,Filled,6015.22838592,"" 
2018-01-06T14:50:34Z,GS,213.4949698,28,Market On Open,Filled,5977.8591544,"" 
2018-01-08T01:00:00Z,ADBE,184.95,32,Market On Open,Filled,5918.4,"" 
2018-01-08T20:50:00Z,MSFT,81.110574207,-75,Market,Filled,-6083.293065525,"Liquidated" 
2018-01-08T20:50:00Z,NVDA,5.32515111,-1217,Market,Filled,-6480.70890087,"Liquidated" 
2018-01-08T20:50:00Z,AMZN,61.312821878,-101,Market,Filled,-6192.595009678,"Liquidated" 
2018-01-08T20:50:00Z,AMD,11.88,-546,Market,Filled,-6486.48,"Liquidated" 
2018-01-08T20:50:00Z,MA,152.09957392,-41,Market,Filled,-6236.08253072,"Liquidated" 
2018-01-08T20:50:00Z,MRK,42.475431258014,-143,Market,Filled,-6073.986669896,"Liquidated" 
2018-01-09T11:18:46Z,ABBV,70.10741932,86,Market On Open,Filled,6029.23806152,"" 
2018-01-09T15:40:31Z,MSFT,81.193349484,74,Market,Filled,6008.307861816,"" 
2018-01-09T15:40:31Z,JPM,87.23255695,69,Market,Filled,6019.04642955,"" 
2018-01-09T20:50:00Z,ISRG,130.619986938,-47,Market,Filled,-6139.139386086,"Liquidated" 
2018-01-10T14:01:46Z,ORCL,43.32105459,139,Market On Open,Filled,6021.62658801,"" 
2018-01-10T14:06:27Z,BLK,437.603530905,13,Market On Open,Filled,5688.845901765,"" 
2018-01-10T20:50:00Z,AAPL,40.7370770235,-149,Market,Filled,-6069.8244765015,"Liquidated" 
2018-01-10T20:50:00Z,META,186.566783384,-33,Market,Filled,-6156.703851672,"Liquidated" 
2018-01-11T14:24:03Z,NVDA,5.56248375,1100,Market On Open,Filled,6118.732125,"" 
2018-01-11T18:24:48Z,AMZN,62.569367091,97,Market,Filled,6069.228607827,"" 
2018-01-11T20:50:00Z,V,112.332063888,-54,Market,Filled,-6065.931449952,"Liquidated" 
2018-01-11T20:50:00Z,MCD,143.819697542,-42,Market,Filled,-6040.427296764,"Liquidated" 
2018-01-11T20:50:00Z,KO,35.905797036,-169,Market,Filled,-6068.079699084,"Liquidated" 
2018-01-11T20:50:00Z,PEP,91.970486784,-65,Market,Filled,-5978.08164096,"Liquidated" 
2018-01-11T20:50:00Z,GS,213.142985944,-28,Market,Filled,-5968.003606432,"Liquidated" 
2018-01-12T12:27:36Z,GS,214.3330266,28,Market On Open,Filled,6001.3247448,"" 
2018-01-12T14:56:08Z,AVGO,21.14673928,288,Market,Filled,6090.26091264,"" 
2018-01-12T14:56:08Z,MS,42.41265446,143,Market,Filled,6065.00958778,"" 
2018-01-15T06:46:51Z,UNH,205.008778,30,Market On Open,Filled,6150.26334,"" 
2018-01-15T14:39:36Z,CAT,144.8241522,43,Market On Open,Filled,6227.4385446,"" 
2018-01-16T14:11:11Z,AAPL,41.5946751,148,Market On Open,Filled,6156.0119148,"" 
2018-01-16T14:11:11Z,QCOM,53.788641516,116,Market On Open,Filled,6239.482415856,"" 
2018-01-16T20:50:00Z,ADBE,195.05,-32,Market,Filled,-6241.6,"Liquidated" 
2018-01-16T20:50:00Z,ABBV,71.210776232,-86,Market,Filled,-6124.126755952,"Liquidated" 
2018-01-16T20:50:00Z,MSFT,82.40738688,-74,Market,Filled,-6098.14662912,"Liquidated" 
2018-01-16T20:50:00Z,JPM,90.585181489,-69,Market,Filled,-6250.377522741,"Liquidated" 
2018-01-16T20:50:00Z,ORCL,43.969360655,-139,Market,Filled,-6111.741131045,"Liquidated" 
2018-01-16T20:50:00Z,BLK,454.778579223,-13,Market,Filled,-5912.121529899,"Liquidated" 
2018-01-16T20:50:00Z,NVDA,5.512545007,-1100,Market,Filled,-6063.7995077,"Liquidated" 
2018-01-16T20:50:00Z,AMZN,65.10690004,-97,Market,Filled,-6315.36930388,"Liquidated" 
2018-01-16T20:50:00Z,AVGO,21.2101393712,-288,Market,Filled,-6108.5201389056,"Liquidated" 
2018-01-16T20:50:00Z,MS,43.132574056,-143,Market,Filled,-6167.958090008,"Liquidated" 
2018-01-17T11:19:31Z,MSFT,81.984313242,75,Market On Open,Filled,6148.82349315,"" 
