Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-03T10:11:55Z,MS,42.158756874,140,Market On Open,Filled,5902.22596236,"" 
2020-01-03T10:18:40Z,BLK,433.917960576,13,Market On Open,Filled,5640.933487488,"" 
2020-01-03T11:35:10Z,AAPL,71.49069022875,82,Market On Open,Filled,5862.2365987575,"" 
2020-01-03T13:56:52Z,JPM,116.58208904,50,Market On Open,Filled,5829.104452,"" 
2020-01-03T14:39:01Z,KO,45.745103196,131,Market,Filled,5992.608518676,"" 
2020-01-03T14:55:37Z,XOM,53.30629971,112,Market,Filled,5970.30556752,"" 
2020-01-03T19:19:24Z,MSFT,152.505702468,39,Market,Filled,5947.722396252,"" 
2020-01-03T19:19:24Z,PG,105.531778415,56,Market,Filled,5909.77959124,"" 
2020-01-05T15:19:27Z,GOOGL,67.051382558,88,Market On Open,Filled,5900.521665104,"" 
2020-01-06T10:20:37Z,GS,199.37598188,29,Market On Open,Filled,5781.90347452,"" 
2020-01-06T12:57:50Z,TMO,314.909122672,18,Market On Open,Filled,5668.364208096,"" 
2020-01-06T14:48:57Z,V,181.35537672,33,Market,Filled,5984.72743176,"" 
2020-01-06T14:48:57Z,MA,290.485887172,20,Market,Filled,5809.71774344,"" 
2020-01-06T14:48:57Z,COP,51.64719705,116,Market,Filled,5991.0748578,"" 
2020-01-06T20:50:00Z,MS,42.14229504,-140,Market,Filled,-5899.9213056,"Liquidated" 
2020-01-06T20:50:00Z,BLK,435.517953056,-13,Market,Filled,-5661.733389728,"Liquidated" 
2020-01-06T20:50:00Z,AAPL,71.60625019275,-82,Market,Filled,-5871.7125158055,"Liquidated" 
2020-01-06T20:50:00Z,JPM,117.465158032,-50,Market,Filled,-5873.2579016,"Liquidated" 
2020-01-06T20:50:00Z,KO,45.495539076,-131,Market,Filled,-5959.915618956,"Liquidated" 
2020-01-06T20:50:00Z,XOM,52.862707089,-112,Market,Filled,-5920.623193968,"Liquidated" 
2020-01-07T10:43:22Z,MS,42.010600368,143,Market On Open,Filled,6007.515852624,"" 
2020-01-07T10:56:11Z,JPM,116.726436856,51,Market On Open,Filled,5953.048279656,"" 
2020-01-07T12:41:38Z,PYPL,111.2428364,54,Market On Open,Filled,6007.1131656,"" 
2020-01-07T14:05:19Z,BLK,435.8898432,13,Market On Open,Filled,5666.5679616,"" 
2020-01-07T15:16:20Z,SQ,62.57,96,Market,Filled,6006.72,"" 
2020-01-08T12:30:56Z,CAT,129.302095335,46,Market On Open,Filled,5947.89638541,"" 
2020-01-08T14:26:47Z,MCD,176.357570796,34,Market On Open,Filled,5996.157407064,"" 
2020-01-08T20:50:00Z,MSFT,149.619279012,-39,Market,Filled,-5835.151881468,"Liquidated" 
2020-01-08T20:50:00Z,PG,104.334594315,-56,Market,Filled,-5842.73728164,"Liquidated" 
2020-01-08T20:50:00Z,GOOGL,69.2324035055,-88,Market,Filled,-6092.451508484,"Liquidated" 
2020-01-09T10:43:44Z,KO,45.753422,134,Market On Open,Filled,6130.958548,"" 
2020-01-09T12:42:13Z,LMT,348.836782842,17,Market On Open,Filled,5930.225308314,"" 
2020-01-09T12:45:16Z,AAPL,73.97041445625,83,Market On Open,Filled,6139.5443998687,"" 
2020-01-09T20:50:00Z,GS,206.16550016,-29,Market,Filled,-5978.79950464,"Liquidated" 
2020-01-09T20:50:00Z,TMO,322.45103075,-18,Market,Filled,-5804.1185535,"Liquidated" 
2020-01-09T20:50:00Z,V,183.574493144,-33,Market,Filled,-6057.958273752,"Liquidated" 
2020-01-09T20:50:00Z,MA,295.39489104,-20,Market,Filled,-5907.8978208,"Liquidated" 
2020-01-09T20:50:00Z,COP,51.04975611,-116,Market,Filled,-5921.77170876,"Liquidated" 
2020-01-10T08:26:50Z,GS,210.492409,28,Market On Open,Filled,5893.787452,"" 
2020-01-10T14:17:04Z,LLY,126.108920142,48,Market On Open,Filled,6053.228166816,"" 
2020-01-10T14:17:04Z,ISRG,201.83331315,31,Market On Open,Filled,6256.83270765,"" 
2020-01-10T15:54:24Z,NKE,93.609119868,65,Market,Filled,6084.59279142,"" 
2020-01-10T20:50:00Z,MS,42.858384819,-143,Market,Filled,-6128.749029117,"Liquidated" 
2020-01-10T20:50:00Z,JPM,116.700963712,-51,Market,Filled,-5951.749149312,"Liquidated" 
2020-01-10T20:50:00Z,PYPL,112.310368552,-54,Market,Filled,-6064.759901808,"Liquidated" 
2020-01-10T20:50:00Z,BLK,443.76007648,-13,Market,Filled,-5768.88099424,"Liquidated" 
2020-01-10T20:50:00Z,SQ,67.92,-96,Market,Filled,-6520.32,"Liquidated" 
2020-01-11T06:09:47Z,JPM,115.588636424,52,Market On Open,Filled,6010.609094048,"" 
2020-01-11T09:13:50Z,MS,42.973617657,141,Market On Open,Filled,6059.280089637,"" 
2020-01-12T10:28:46Z,BLK,443.907102816,13,Market On Open,Filled,5770.792336608,"" 
2020-01-13T11:54:47Z,AXP,118.663184576,51,Market On Open,Filled,6051.822413376,"" 
2020-01-13T12:30:45Z,MSFT,153.654574962,39,Market On Open,Filled,5992.528423518,"" 
2020-01-13T12:55:32Z,GOOGL,71.2243530125,85,Market On Open,Filled,6054.0700060625,"" 
2020-01-13T20:50:00Z,CAT,128.685658185,-46,Market,Filled,-5919.54027651,"Liquidated" 
2020-01-13T20:50:00Z,MCD,180.404864766,-34,Market,Filled,-6133.765402044,"Liquidated" 
2020-01-13T20:50:00Z,KO,46.194318612,-134,Market,Filled,-6190.038694008,"Liquidated" 
2020-01-13T20:50:00Z,LMT,351.581655576,-17,Market,Filled,-5976.888144792,"Liquidated" 
2020-01-13T20:50:00Z,AAPL,74.71192422525,-83,Market,Filled,-6201.0897106958,"Liquidated" 
2020-01-13T20:50:00Z,GS,209.93745476,-28,Market,Filled,-5878.24873328,"Liquidated" 
2020-01-13T20:50:00Z,LLY,128.1707982,-48,Market,Filled,-6152.1983136,"Liquidated" 
2020-01-13T20:50:00Z,ISRG,199.573313376,-31,Market,Filled,-6186.772714656,"Liquidated" 
2020-01-13T20:50:00Z,NKE,93.07410519,-65,Market,Filled,-6049.81683735,"Liquidated" 
2020-01-14T09:53:49Z,GS,212.72089712,28,Market On Open,Filled,5956.18511936,"" 
2020-01-14T12:22:06Z,NVDA,6.2346803545,973,Market On Open,Filled,6066.3439849285,"" 
2020-01-14T13:00:15Z,CAT,129.848082525,47,Market On Open,Filled,6102.859878675,"" 
2020-01-14T14:50:28Z,AMZN,94.34315051,64,Market,Filled,6037.96163264,"" 
2020-01-14T18:37:58Z,NFLX,33.892,180,Market,Filled,6100.56,"" 
2020-01-14T18:38:42Z,ABBV,68.45422785,89,Market,Filled,6092.42627865,"" 
2020-01-14T19:13:20Z,XOM,52.471744101,116,Market,Filled,6086.722315716,"" 
2020-01-14T19:13:20Z,CVX,88.403221432,69,Market,Filled,6099.822278808,"" 
2020-01-14T20:50:00Z,JPM,116.49717856,-52,Market,Filled,-6057.85328512,"Liquidated" 
2020-01-14T21:15:21Z,JPM,117.066078776,51,Market On Open,Filled,5970.370017576,"" 
2020-01-14T23:20:34Z,AAPL,75.11156910075,80,Market On Open,Filled,6008.92552806,"" 
2020-01-15T20:50:00Z,BLK,448.274649856,-13,Market,Filled,-5827.570448128,"Liquidated" 
2020-01-16T08:01:36Z,QCOM,78.985859732,77,Market On Open,Filled,6081.911199364,"" 
2020-01-16T20:50:00Z,MS,43.566243681,-141,Market,Filled,-6142.840359021,"Liquidated" 
2020-01-16T20:50:00Z,AXP,120.501053048,-51,Market,Filled,-6145.553705448,"Liquidated" 
2020-01-16T20:50:00Z,MSFT,154.936374852,-39,Market,Filled,-6042.518619228,"Liquidated" 
2020-01-16T20:50:00Z,GOOGL,71.42037196,-85,Market,Filled,-6070.7316166,"Liquidated" 
2020-01-16T21:50:45Z,MS,46.307139042,131,Market On Open,Filled,6066.235214502,"" 
2020-01-17T11:11:10Z,BLK,464.482141248,13,Market On Open,Filled,6038.267836224,"" 
2020-01-17T18:05:11Z,UNH,272.714550658,22,Market,Filled,5999.720114476,"" 
2020-01-17T18:05:11Z,LMT,361.702842654,16,Market,Filled,5787.245482464,"" 
2020-01-17T20:50:00Z,GS,216.53620752,-28,Market,Filled,-6063.01381056,"Liquidated" 
2020-01-17T20:50:00Z,NVDA,6.1953573935,-973,Market,Filled,-6028.0827438755,"Liquidated" 
2020-01-17T20:50:00Z,CAT,130.217944815,-47,Market,Filled,-6120.243406305,"Liquidated" 
2020-01-17T20:50:00Z,AMZN,93.676717638,-64,Market,Filled,-5995.309928832,"Liquidated" 
2020-01-17T20:50:00Z,XOM,51.749966277,-116,Market,Filled,-6002.996088132,"Liquidated" 
2020-01-17T20:50:00Z,CVX,88.58508988,-69,Market,Filled,-6112.37120172,"Liquidated" 
2020-01-17T21:33:10Z,CMCSA,35.501546597481,172,Market On Open,Filled,6106.2660147667,"" 
2020-01-18T07:14:56Z,V,195.253549841,31,Market On Open,Filled,6052.860045071,"" 
2020-01-18T09:47:41Z,AMZN,93.0312355,66,Market On Open,Filled,6140.061543,"" 
2020-01-18T10:30:41Z,GS,214.45512912,28,Market On Open,Filled,6004.74361536,"" 
2020-01-18T12:41:12Z,GOOGL,73.39544895,83,Market On Open,Filled,6091.82226285,"" 
2020-01-20T11:08:40Z,UBER,35.5,174,Market On Open,Filled,6177,"" 
2020-01-21T20:50:00Z,NFLX,33.967,-180,Market,Filled,-6114.06,"Liquidated" 
2020-01-21T20:50:00Z,ABBV,68.9873096,-89,Market,Filled,-6139.8705544,"Liquidated" 
2020-01-21T20:50:00Z,JPM,117.34628336,-51,Market,Filled,-5984.66045136,"Liquidated" 
2020-01-21T20:50:00Z,AAPL,76.73422359525,-80,Market,Filled,-6138.73788762,"Liquidated" 
2020-01-21T20:50:00Z,QCOM,83.967344346,-77,Market,Filled,-6465.485514642,"Liquidated" 
2020-01-21T20:50:00Z,BLK,462.908094592,-13,Market,Filled,-6017.805229696,"Liquidated" 
