Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-01-04T00:35:06Z,AMD,151,39,Market On Open,Filled,5889,"" 
2022-01-04T00:35:06Z,QCOM,171.0014207,35,Market On Open,Filled,5985.0497245,"" 
2022-01-04T00:35:06Z,JPM,147.457038528,41,Market On Open,Filled,6045.738579648,"" 
2022-01-04T00:35:06Z,GS,363.450523024,16,Market On Open,Filled,5815.208368384,"" 
2022-01-04T00:35:06Z,PYPL,195.5479456,30,Market On Open,Filled,5866.438368,"" 
2022-01-04T07:10:43Z,AVGO,61.4447113056,97,Market On Open,Filled,5960.1369966432,"" 
2022-01-04T07:11:58Z,BLK,830.055990036,7,Market On Open,Filled,5810.391930252,"" 
2022-01-04T07:41:37Z,MS,88.5428952,68,Market On Open,Filled,6020.9168736,"" 
2022-01-04T10:13:05Z,GE,60.532314950795,102,Market On Open,Filled,6174.2961249811,"" 
2022-01-04T10:29:38Z,KO,53.07078972,114,Market On Open,Filled,6050.07002808,"" 
2022-01-04T11:59:06Z,LLY,258.7124447,22,Market On Open,Filled,5691.6737834,"" 
2022-01-04T12:20:08Z,PEP,152.310965774,39,Market On Open,Filled,5940.127665186,"" 
2022-01-04T18:04:33Z,CVX,100.507564738,59,Market,Filled,5929.946319542,"" 
2022-01-05T11:40:34Z,ABBV,115.81298708,51,Market On Open,Filled,5906.46234108,"" 
2022-01-05T12:25:27Z,UNH,462.460381029,13,Market On Open,Filled,6011.984953377,"" 
2022-01-07T20:50:00Z,AVGO,59.0094139224,-97,Market,Filled,-5723.9131504728,"Liquidated" 
2022-01-07T20:50:00Z,BLK,809.949481887,-7,Market,Filled,-5669.646373209,"Liquidated" 
2022-01-07T20:50:00Z,MS,89.75818984,-68,Market,Filled,-6103.55690912,"Liquidated" 
2022-01-07T20:50:00Z,GE,61.063836085304,-102,Market,Filled,-6228.511280701,"Liquidated" 
2022-01-07T20:50:00Z,KO,53.665395558,-114,Market,Filled,-6117.855093612,"Liquidated" 
2022-01-07T20:50:00Z,LLY,249.527672035,-22,Market,Filled,-5489.60878477,"Liquidated" 
2022-01-07T20:50:00Z,PEP,153.369538454,-39,Market,Filled,-5981.411999706,"Liquidated" 
2022-01-07T20:50:00Z,CVX,103.869895444,-59,Market,Filled,-6128.323831196,"Liquidated" 
2022-01-07T21:05:46Z,BLK,803.80808781,7,Market On Open,Filled,5626.65661467,"" 
2022-01-07T21:55:26Z,MS,90.904039072,65,Market On Open,Filled,5908.76253968,"" 
2022-01-09T11:20:37Z,HD,350.14230862,16,Market On Open,Filled,5602.27693792,"" 
2022-01-10T08:30:29Z,ISRG,321.18,18,Market On Open,Filled,5781.24,"" 
2022-01-10T11:59:58Z,AXP,168.260550165,35,Market On Open,Filled,5889.119255775,"" 
2022-01-10T13:39:01Z,LMT,325.9799169,18,Market On Open,Filled,5867.6385042,"" 
2022-01-10T18:08:35Z,AAPL,168.262464114,35,Market,Filled,5889.18624399,"" 
2022-01-10T20:50:00Z,AMD,132,-39,Market,Filled,-5148,"Liquidated" 
2022-01-10T20:50:00Z,QCOM,164.975220901,-35,Market,Filled,-5774.132731535,"Liquidated" 
2022-01-10T20:50:00Z,JPM,150.721301724,-41,Market,Filled,-6179.573370684,"Liquidated" 
2022-01-10T20:50:00Z,GS,359.185583888,-16,Market,Filled,-5746.969342208,"Liquidated" 
2022-01-10T20:50:00Z,PYPL,187.16731936,-30,Market,Filled,-5615.0195808,"Liquidated" 
2022-01-10T20:50:00Z,ABBV,115.38525408,-51,Market,Filled,-5884.64795808,"Liquidated" 
2022-01-10T20:50:00Z,UNH,428.65236522,-13,Market,Filled,-5572.48074786,"Liquidated" 
2022-01-11T07:10:50Z,JPM,151.722143103,39,Market On Open,Filled,5917.163581017,"" 
2022-01-11T08:11:37Z,GS,361.6614172,16,Market On Open,Filled,5786.5826752,"" 
2022-01-11T11:34:55Z,UNH,436.69076544,13,Market On Open,Filled,5676.97995072,"" 
2022-01-11T12:16:57Z,MA,355.591268213,16,Market On Open,Filled,5689.460291408,"" 
2022-01-11T13:23:42Z,AMZN,161.121121,36,Market On Open,Filled,5800.360356,"" 
2022-01-11T14:26:26Z,AMD,133.4,44,Market On Open,Filled,5869.6,"" 
2022-01-11T17:24:44Z,AVGO,57.5393428128,102,Market,Filled,5869.0129669056,"" 
2022-01-11T21:21:13Z,META,332.676172,17,Market On Open,Filled,5655.494924,"" 
2022-01-12T20:50:00Z,HD,349.482515421,-16,Market,Filled,-5591.720246736,"Liquidated" 
2022-01-12T21:17:26Z,PG,143.31444728,41,Market On Open,Filled,5875.89233848,"" 
2022-01-13T20:50:00Z,BLK,800.561017893,-7,Market,Filled,-5603.927125251,"Liquidated" 
2022-01-13T20:50:00Z,MS,89.445685504,-65,Market,Filled,-5813.96955776,"Liquidated" 
2022-01-13T20:50:00Z,ISRG,323.16,-18,Market,Filled,-5816.88,"Liquidated" 
2022-01-13T20:50:00Z,AXP,166.70408517,-35,Market,Filled,-5834.64298095,"Liquidated" 
2022-01-13T20:50:00Z,LMT,324.435328864,-18,Market,Filled,-5839.835919552,"Liquidated" 
2022-01-13T21:07:16Z,NFLX,51.76,112,Market On Open,Filled,5797.12,"" 
2022-01-13T21:07:21Z,ISRG,310.39,18,Market On Open,Filled,5587.02,"" 
2022-01-13T22:15:09Z,MS,86.667869184,65,Market On Open,Filled,5633.41149696,"" 
2022-01-14T11:51:40Z,BLK,764.2824735,7,Market On Open,Filled,5349.9773145,"" 
