Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2022-01-04T18:04:33Z,"CVX",2022-01-07T20:50:00Z,Buy,100.507564738,103.869895444,59,198.38,2,0,1,"	13,23" 
2022-01-04T21:00:00Z,"AVGO",2022-01-07T20:50:00Z,Buy,61.4447113056,59.0094139224,97,-236.22,2,304.51,0,"	6,16" 
2022-01-04T21:00:00Z,"BLK",2022-01-07T20:50:00Z,Buy,830.055990036,809.949481887,7,-140.75,2,164.3,0,"	7,17" 
2022-01-04T21:00:00Z,"MS",2022-01-07T20:50:00Z,Buy,88.5428952,89.75818984,68,82.64,2,151.11,1,"	8,18" 
2022-01-04T21:00:00Z,"GE",2022-01-07T20:50:00Z,Buy,60.532314950795,61.063836085304,102,54.22,2,0,1,"	9,19" 
2022-01-04T21:00:00Z,"KO",2022-01-07T20:50:00Z,Buy,53.07078972,53.665395558,114,67.79,2,32.37,1,"	10,20" 
2022-01-04T21:00:00Z,"LLY",2022-01-07T20:50:00Z,Buy,258.7124447,249.527672035,22,-202.06,2,202.06,0,"	11,21" 
2022-01-04T21:00:00Z,"PEP",2022-01-07T20:50:00Z,Buy,152.310965774,153.369538454,39,41.28,2,0,1,"	12,22" 
2022-01-04T21:00:00Z,"AMD",2022-01-10T20:50:00Z,Buy,151,132,39,-741,2,741,0,"	1,31" 
2022-01-04T21:00:00Z,"QCOM",2022-01-10T20:50:00Z,Buy,171.0014207,164.975220901,35,-210.92,2,218.28,0,"	2,32" 
2022-01-04T21:00:00Z,"JPM",2022-01-10T20:50:00Z,Buy,147.457038528,150.721301724,41,133.83,2,112.75,1,"	3,33" 
2022-01-04T21:00:00Z,"GS",2022-01-10T20:50:00Z,Buy,363.450523024,359.185583888,16,-68.24,2,152.53,0,"	4,34" 
2022-01-04T21:00:00Z,"PYPL",2022-01-10T20:50:00Z,Buy,195.5479456,187.16731936,30,-251.42,2,264.59,0,"	5,35" 
2022-01-05T21:00:00Z,"ABBV",2022-01-10T20:50:00Z,Buy,115.81298708,115.38525408,51,-21.81,2,43.63,0,"	14,36" 
2022-01-05T21:00:00Z,"UNH",2022-01-10T20:50:00Z,Buy,462.460381029,428.65236522,13,-439.5,2,439.5,0,"	15,37" 
2022-01-10T18:08:35Z,"AAPL",2022-01-18T20:50:00Z,Buy,168.262464114,169.142037894,35,30.79,2,114.25,1,"	30,70" 
2022-01-10T21:00:00Z,"HD",2022-01-12T20:50:00Z,Buy,350.14230862,349.482515421,16,-10.56,2,11.42,0,"	26,46" 
2022-01-10T21:00:00Z,"BLK",2022-01-13T20:50:00Z,Buy,803.80808781,800.561017893,7,-22.73,2,97.25,0,"	24,48" 
2022-01-10T21:00:00Z,"MS",2022-01-13T20:50:00Z,Buy,90.904039072,89.445685504,65,-94.79,2,162.5,0,"	25,49" 
2022-01-10T21:00:00Z,"ISRG",2022-01-13T20:50:00Z,Buy,321.18,323.16,18,35.64,2,87.48,1,"	27,50" 
2022-01-10T21:00:00Z,"AXP",2022-01-13T20:50:00Z,Buy,168.260550165,166.70408517,35,-54.48,2,85.56,0,"	28,51" 
2022-01-10T21:00:00Z,"LMT",2022-01-13T20:50:00Z,Buy,325.9799169,324.435328864,18,-27.8,2,46.39,0,"	29,52" 
2022-01-11T17:24:44Z,"AVGO",2022-01-18T20:50:00Z,Buy,57.5393428128,55.2429935496,102,-234.23,2,242.64,0,"	44,71" 
2022-01-11T21:00:00Z,"JPM",2022-01-14T20:50:00Z,Buy,151.722143103,151.686076747,39,-1.41,2,27.43,0,"	38,58" 
2022-01-11T21:00:00Z,"GS",2022-01-14T20:50:00Z,Buy,361.6614172,353.12250304,16,-136.62,2,184.19,0,"	39,59" 
2022-01-11T21:00:00Z,"UNH",2022-01-14T20:50:00Z,Buy,436.69076544,436.905745911,13,2.79,2,76.43,1,"	40,60" 
2022-01-11T21:00:00Z,"MA",2022-01-14T20:50:00Z,Buy,355.591268213,361.450459192,16,93.75,2,0,1,"	41,61" 
2022-01-11T21:00:00Z,"AMZN",2022-01-14T20:50:00Z,Buy,161.121121,160.835791956,36,-10.27,2,148.98,0,"	42,62" 
2022-01-11T21:00:00Z,"AMD",2022-01-14T20:50:00Z,Buy,133.4,132.74,44,-29.04,2,208.12,0,"	43,63" 
2022-01-12T21:00:00Z,"META",2022-01-18T20:50:00Z,Buy,332.676172,329.59767608,17,-52.33,2,143.84,0,"	45,72" 
2022-01-13T21:00:00Z,"PG",2022-01-18T20:50:00Z,Buy,143.31444728,143.547990096,41,9.58,2,46.4,1,"	47,73" 
2022-01-14T21:00:00Z,"CVX",2022-01-18T20:50:00Z,Buy,106.920431072,108.66479813,54,94.2,2,0,1,"	57,74" 
2022-01-14T21:00:00Z,"NFLX",2022-01-19T20:50:00Z,Buy,51.76,51.08,112,-76.16,2,166.77,0,"	53,78" 
2022-01-14T21:00:00Z,"ISRG",2022-01-19T20:50:00Z,Buy,310.39,295.49,18,-268.2,2,268.2,0,"	54,79" 
2022-01-14T21:00:00Z,"MS",2022-01-19T20:50:00Z,Buy,86.667869184,81.719883864,65,-321.62,2,321.62,0,"	55,80" 
2022-01-14T21:00:00Z,"BLK",2022-01-19T20:50:00Z,Buy,764.2824735,752.5242816,7,-82.31,2,105.1,0,"	56,81" 
2022-01-18T21:00:00Z,"JPM",2022-01-20T20:50:00Z,Buy,140.225992128,134.284059977,41,-243.62,2,243.62,0,"	64,90" 
2022-01-18T21:00:00Z,"CAT",2022-01-20T20:50:00Z,Buy,211.52902844,206.28300248,27,-141.64,2,178.4,0,"	67,91" 
2022-01-18T21:00:00Z,"AXP",2022-01-24T20:50:00Z,Buy,160.334992215,151.54048755,36,-316.6,2,316.6,0,"	68,92" 
2022-01-18T21:00:00Z,"GOOGL",2022-01-24T20:50:00Z,Buy,135.153823675,129.3739941015,42,-242.75,2,242.75,0,"	69,93" 
2022-01-18T21:00:00Z,"GS",2022-01-24T20:50:00Z,Buy,325.291968,310.753224208,17,-247.16,2,247.16,0,"	65,94" 
2022-01-18T21:00:00Z,"QCOM",2022-02-08T20:50:00Z,Buy,169.968096607,160.110367649,34,-335.16,2,767.02,0,"	66,181" 
2022-01-19T21:00:00Z,"GS",2022-01-24T20:50:00Z,Buy,323.792010592,310.753224208,18,-234.7,1,234.7,0,"	75,94" 
2022-01-19T21:00:00Z,"UNH",2022-01-24T20:50:00Z,Buy,437.980648266,431.054538309,13,-90.04,2,90.04,0,"	76,95" 
2022-01-19T21:00:00Z,"PG",2022-01-24T20:50:00Z,Buy,141.571858576,146.851546205,41,216.47,2,0,1,"	77,96" 
2022-01-20T14:55:54Z,"CVX",2022-01-25T20:50:00Z,Buy,108.656371236,107.181664786,52,-76.68,2,89.39,0,"	87,113" 
2022-01-20T17:31:21Z,"NVDA",2022-01-25T20:50:00Z,Buy,25.0176556105,23.325992218,229,-387.39,2.29,387.39,0,"	88,114" 
2022-01-20T17:42:26Z,"ABBV",2022-01-24T20:50:00Z,Buy,116.86781703,114.07598914,49,-136.8,2,136.8,0,"	89,99" 
2022-01-20T21:00:00Z,"AMD",2022-01-24T20:50:00Z,Buy,126.01,118.81,44,-316.8,2,316.8,0,"	84,97" 
2022-01-20T21:00:00Z,"AAPL",2022-01-24T20:50:00Z,Buy,163.06320577,158.723975122,35,-151.87,2,151.87,0,"	85,98" 
2022-01-20T21:00:00Z,"ABT",2022-01-25T20:50:00Z,Buy,116.941502448,114.699753114,49,-109.85,2,109.85,0,"	82,110" 
2022-01-20T21:00:00Z,"MS",2022-01-25T20:50:00Z,Buy,83.959498272,85.166112236,69,83.26,2,102.42,1,"	83,111" 
2022-01-20T21:00:00Z,"V",2022-01-25T20:50:00Z,Buy,208.38140952,195.454402935,27,-349.03,2,349.03,0,"	86,112" 
2022-01-25T21:00:00Z,"JPM",2022-01-28T20:50:00Z,Buy,129.252803315,131.020054759,43,75.99,2,101.19,1,"	101,120" 
2022-01-25T21:00:00Z,"GS",2022-01-28T20:50:00Z,Buy,305.286511968,308.150888464,18,51.56,2,26.84,1,"	102,121" 
2022-01-25T21:00:00Z,"BLK",2022-01-28T20:50:00Z,Buy,700.073700963,712.691145348,7,88.32,2,67.05,1,"	103,122" 
2022-01-25T21:00:00Z,"COP",2022-01-28T20:50:00Z,Buy,70.264552744,75.793067842,80,442.28,2,3.38,1,"	104,123" 
2022-01-25T21:00:00Z,"GE",2022-01-31T20:50:00Z,Buy,55.656983165295,56.267926998064,95,58.04,2,103.89,1,"	100,128" 
2022-01-25T21:00:00Z,"MSFT",2022-01-31T20:50:00Z,Buy,282.02141701,298.26713558,19,308.67,2,54.78,1,"	105,129" 
2022-01-25T21:00:00Z,"UNH",2022-01-31T20:50:00Z,Buy,424.418184639,435.625210062,13,145.69,2,0,1,"	106,130" 
2022-01-25T21:00:00Z,"AXP",2022-01-31T20:50:00Z,Buy,158.64484311,169.07220369,37,385.81,2,120.83,1,"	107,131" 
2022-01-25T21:00:00Z,"RTX",2022-01-31T20:50:00Z,Buy,77.763007595,82.493628609,69,326.41,2,83.81,1,"	108,132" 
2022-01-25T21:00:00Z,"NFLX",2022-01-31T20:50:00Z,Buy,37.914,38.436,145,75.69,2,281.88,1,"	109,133" 
2022-01-26T21:00:00Z,"GOOGL",2022-01-31T20:50:00Z,Buy,130.2424324765,132.351000851,45,94.89,2,99.22,1,"	115,134" 
2022-01-26T21:00:00Z,"AMD",2022-01-31T20:50:00Z,Buy,114.48,105.24,51,-471.24,2,605.88,0,"	116,135" 
2022-01-26T21:00:00Z,"UPS",2022-01-31T20:50:00Z,Buy,168.957313772,164.744183825,33,-139.03,2,232.82,0,"	117,136" 
2022-01-26T21:00:00Z,"XOM",2022-01-31T20:50:00Z,Buy,65.11934588,64.88665367,87,-20.24,2,104.22,0,"	118,137" 
2022-01-26T21:00:00Z,"PYPL",2022-01-31T20:50:00Z,Buy,161.716155624,163.142857472,35,49.93,2,178.44,1,"	119,138" 
2022-01-31T21:00:00Z,"V",2022-02-03T20:50:00Z,Buy,217.77406599,227.960740842,25,254.67,2,0,1,"	124,150" 
2022-01-31T21:00:00Z,"MS",2022-02-03T20:50:00Z,Buy,88.11098352,90.803263572,64,172.31,2,1.12,1,"	125,151" 
