Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-06T23:06:00Z,ORCL,30.485697727,129,Market On Open,Filled,3932.655006783,"" 
2016-01-11T15:30:00Z,ORCL,29.831387355,-129,Market,Filled,-3848.248968795,"Liquidated" 
2016-01-12T04:42:21Z,NKE,53.1625398,76,Market On Open,Filled,4040.3530248,"" 
2016-01-12T12:27:09Z,XOM,47.506918575,84,Market On Open,Filled,3990.5811603,"" 
2016-01-12T22:11:53Z,AMZN,30.971170776,129,Market On Open,Filled,3995.281030104,"" 
2016-01-14T00:04:36Z,GE,124.77263128577,32,Market On Open,Filled,3992.7242011447,"" 
2016-01-14T02:00:00Z,JPM,44.588234236,90,Market On Open,Filled,4012.94108124,"" 
2016-01-14T15:30:00Z,AMZN,29.022253687,-129,Market,Filled,-3743.870725623,"Liquidated" 
2016-01-14T18:59:59Z,MS,20.146748987,197,Market,Filled,3968.909550439,"" 
2016-01-14T23:16:00Z,AMZN,28.526419649,135,Market On Open,Filled,3851.066652615,"" 
2016-01-15T02:15:49Z,AAPL,21.57727312425,178,Market On Open,Filled,3840.7546161165,"" 
2016-01-19T15:30:00Z,NKE,50.66284422,-76,Market,Filled,-3850.37616072,"Liquidated" 
2016-01-19T15:30:00Z,MS,19.457458951,-197,Market,Filled,-3833.119413347,"Liquidated" 
2016-01-19T15:30:00Z,AMZN,28.442117886,-135,Market,Filled,-3839.68591461,"Liquidated" 
2016-01-19T20:50:00Z,XOM,49.73130135,-84,Market,Filled,-4177.4293134,"Liquidated" 
2016-01-19T20:50:00Z,GE,125.47731257789,-32,Market,Filled,-4015.2740024925,"Liquidated" 
2016-01-19T20:50:00Z,JPM,43.617096224,-90,Market,Filled,-3925.53866016,"Liquidated" 
2016-01-20T05:30:44Z,TMO,128.912275404,30,Market On Open,Filled,3867.36826212,"" 
2016-01-20T14:45:12Z,NFLX,10.789,368,Market,Filled,3970.352,"" 
2016-01-20T15:40:12Z,AMZN,28.656613496,138,Market,Filled,3954.612662448,"" 
2016-01-20T17:20:14Z,JPM,43.594155956,91,Market,Filled,3967.068191996,"" 
2016-01-20T20:50:00Z,AAPL,21.7460037555,-178,Market,Filled,-3870.788668479,"Liquidated" 
2016-01-21T22:29:00Z,AXP,50.62062432,72,Market On Open,Filled,3644.68495104,"" 
2016-01-21T22:57:30Z,COP,27.519319625,149,Market On Open,Filled,4100.378624125,"" 
2016-01-22T11:45:07Z,AAPL,22.191452622,182,Market On Open,Filled,4038.844377204,"" 
2016-01-22T15:30:00Z,NFLX,10.235,-368,Market,Filled,-3766.48,"Liquidated" 
2016-01-22T15:30:00Z,JPM,42.2483269,-91,Market,Filled,-3844.5977479,"Liquidated" 
2016-01-22T17:35:42Z,XOM,47.50050825,83,Market,Filled,3942.54218475,"" 
