Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2016-01-07T21:00:00Z,"ORCL",2016-01-11T15:30:00Z,Buy,30.485697727,29.831387355,129,-84.41,2,84.41,0,"	1,2" 
2016-01-12T21:00:00Z,"NKE",2016-01-19T15:30:00Z,Buy,53.1625398,50.66284422,76,-189.98,2,189.98,0,"	3,12" 
2016-01-12T21:00:00Z,"XOM",2016-01-19T20:50:00Z,Buy,47.506918575,49.73130135,84,186.85,2,82.92,1,"	4,15" 
2016-01-13T21:00:00Z,"AMZN",2016-01-14T15:30:00Z,Buy,30.971170776,29.022253687,129,-251.41,2,251.41,0,"	5,8" 
2016-01-14T18:59:59Z,"MS",2016-01-19T15:30:00Z,Buy,20.146748987,19.457458951,197,-135.79,2,174.17,0,"	9,13" 
2016-01-14T21:00:00Z,"GE",2016-01-19T20:50:00Z,Buy,124.77263128577,125.47731257789,32,22.55,2,80.33,1,"	6,16" 
2016-01-14T21:00:00Z,"JPM",2016-01-19T20:50:00Z,Buy,44.588234236,43.617096224,90,-87.4,2,87.4,0,"	7,17" 
2016-01-15T21:00:00Z,"AMZN",2016-01-19T15:30:00Z,Buy,28.526419649,28.442117886,135,-11.38,2,11.38,0,"	10,14" 
2016-01-15T21:00:00Z,"AAPL",2016-01-20T20:50:00Z,Buy,21.57727312425,21.7460037555,178,30.03,2,18.82,1,"	11,22" 
2016-01-20T14:45:12Z,"NFLX",2016-01-22T15:30:00Z,Buy,10.789,10.235,368,-203.87,3.68,203.87,0,"	19,26" 
2016-01-20T15:40:12Z,"AMZN",2016-01-25T20:50:00Z,Buy,28.656613496,29.749044626,138,150.76,2,18.66,1,"	20,31" 
2016-01-20T17:20:14Z,"JPM",2016-01-22T15:30:00Z,Buy,43.594155956,42.2483269,91,-122.47,2,122.47,0,"	21,27" 
2016-01-20T21:00:00Z,"TMO",2016-01-25T20:50:00Z,Buy,128.912275404,131.487411314,30,77.25,2,39.94,1,"	18,30" 
2016-01-22T17:35:42Z,"XOM",2016-01-27T20:50:00Z,Buy,47.50050825,49.1800134,83,139.4,2,137.8,1,"	28,41" 
2016-01-22T21:00:00Z,"AXP",2016-01-25T15:30:00Z,Buy,50.62062432,47.954546688,72,-191.96,2,191.96,0,"	23,29" 
2016-01-22T21:00:00Z,"COP",2016-01-26T15:30:00Z,Buy,27.519319625,24.652873875,149,-427.1,2,427.1,0,"	24,35" 
2016-01-22T21:00:00Z,"AAPL",2016-01-27T20:50:00Z,Buy,22.191452622,22.49516775825,182,55.28,2,81.07,1,"	25,40" 
2016-01-26T15:00:34Z,"AMD",2016-02-01T20:50:00Z,Buy,2.12,2.2,1863,149.04,18.63,93.15,1,"	34,59" 
2016-01-26T21:00:00Z,"V",2016-01-29T15:30:00Z,Buy,66.64026488,64.3842626,59,-133.1,2,136.39,0,"	32,51" 
2016-01-26T21:00:00Z,"PG",2016-02-01T20:50:00Z,Buy,59.3463624,62.169118868,67,189.12,2,0.51,1,"	33,58" 
2016-01-27T21:00:00Z,"NFLX",2016-01-28T15:30:00Z,Buy,9.661,9.115,404,-220.58,4.04,220.58,0,"	37,45" 
2016-01-27T21:00:00Z,"AMZN",2016-02-01T20:50:00Z,Buy,30.028886573,29.2811449,131,-97.95,2,315.95,0,"	36,60" 
2016-01-27T21:00:00Z,"RTX",2016-02-01T20:50:00Z,Buy,35.977479059985,36.804499290419,109,90.15,2,0,1,"	38,61" 
2016-01-27T21:00:00Z,"MSFT",2016-02-01T20:50:00Z,Buy,45.540512507,48.237393463,86,231.93,2,59.49,1,"	39,62" 
2016-01-28T15:11:03Z,"NKE",2016-02-02T20:50:00Z,Buy,52.44079671,55.59182142,75,236.33,2,0,1,"	44,67" 
2016-01-28T19:30:24Z,"AAPL",2016-02-02T20:50:00Z,Buy,21.0170874285,21.69425969525,187,126.63,2,38.28,1,"	46,68" 
2016-01-28T21:00:00Z,"AXP",2016-01-29T15:30:00Z,Buy,47.423073696,46.072609536,82,-110.74,2,110.74,0,"	43,52" 
2016-01-28T21:00:00Z,"PYPL",2016-02-02T20:50:00Z,Buy,33.552435768,36.994478688,125,430.26,2,0,1,"	42,66" 
2016-01-29T14:35:59Z,"QCOM",2016-02-03T20:50:00Z,Buy,32.887587045,32.555617825,120,-39.84,2,267.99,0,"	50,76" 
2016-01-29T18:15:48Z,"V",2016-02-03T20:50:00Z,Buy,64.3842626,68.15355036,61,229.93,2,54.37,1,"	53,77" 
2016-01-29T21:00:00Z,"NFLX",2016-02-03T15:30:00Z,Buy,9.203,9.149,419,-22.63,4.19,108.94,0,"	49,71" 
2016-01-29T21:00:00Z,"DIS",2016-02-03T20:50:00Z,Buy,86.855041935,85.83191664,45,-46.04,2,111.99,0,"	47,74" 
2016-01-29T21:00:00Z,"META",2016-02-03T20:50:00Z,Buy,108.34319512,113.814973352,36,196.98,2,17.16,1,"	48,75" 
2016-02-01T21:00:00Z,"NVDA",2016-02-03T15:30:00Z,Buy,0.71370180035,0.68443173335,5611,-164.23,39.252008678943,169.71,0,"	55,72" 
2016-02-01T21:00:00Z,"AXP",2016-02-04T20:50:00Z,Buy,46.534381152,47.144268192,86,52.45,2,77.93,1,"	54,79" 
2016-02-01T21:00:00Z,"AVGO",2016-02-04T20:50:00Z,Buy,10.3367541452,10.1832610208,386,-59.25,3.86,189.12,0,"	56,80" 
2016-02-01T21:00:00Z,"UNH",2016-02-08T20:50:00Z,Buy,97.816075254,95.166872136,40,-105.97,2,142.09,0,"	57,85" 
2016-02-02T14:46:35Z,"MSFT",2016-02-03T15:30:00Z,Buy,47.904661397,46.4073671,84,-125.77,2,125.77,0,"	65,73" 
2016-02-02T21:00:00Z,"UPS",2016-02-08T20:50:00Z,Buy,66.10642698,66.154983642,61,2.96,2,37.24,1,"	63,86" 
2016-02-02T21:00:00Z,"XOM",2016-02-08T20:50:00Z,Buy,47.8979484,51.3338826,82,281.75,2,6.83,1,"	64,87" 
2016-02-03T21:00:00Z,"MRK",2016-02-05T15:30:00Z,Buy,34.68266302455,34.038186151542,112,-72.18,2,114.55,0,"	69,81" 
2016-02-03T21:00:00Z,"CMCSA",2016-02-08T20:50:00Z,Buy,19.677338631494,20.617825186897,210,197.5,2.1,0,1,"	70,88" 
2016-02-04T21:00:00Z,"PG",2016-02-09T20:50:00Z,Buy,61.70499988,62.861493096,64,74.02,2,19.48,1,"	78,90" 
2016-02-05T16:38:30Z,"MSFT",2016-02-08T15:30:00Z,Buy,45.5317564,43.920632712,87,-140.17,2,140.17,0,"	82,84" 
2016-02-05T18:12:15Z,"AAPL",2016-02-10T20:50:00Z,Buy,21.85043217,21.4862583005,183,-66.64,2,106.8,0,"	83,92" 
2016-02-09T21:00:00Z,"KO",2016-02-16T20:50:00Z,Buy,30.942798289,31.483220067,128,69.17,2,83.2,1,"	89,97" 
2016-02-10T14:57:34Z,"QCOM",2016-02-16T20:50:00Z,Buy,32.902676555,33.61942828,121,86.73,2,59.34,1,"	91,98" 
2016-02-11T15:24:16Z,"PEP",2016-02-16T20:50:00Z,Buy,72.234708949,72.834013612,55,32.96,2,29.3,1,"	94,100" 
2016-02-11T21:00:00Z,"NKE",2016-02-16T20:50:00Z,Buy,49.69465227,49.65944529,79,-2.78,2,31.99,0,"	93,99" 
2016-02-12T21:00:00Z,"PG",2016-02-17T20:50:00Z,Buy,60.98219162,61.986514676,65,65.28,2,0,1,"	95,102" 
2016-02-12T21:00:00Z,"MRK",2016-02-17T20:50:00Z,Buy,34.31138830423,34.87180297641,116,65.01,2,0,1,"	96,103" 
2016-02-17T20:30:27Z,"AAPL",2016-02-22T20:50:00Z,Buy,21.859479968,21.723762998,183,-24.84,2,86.1,0,"	101,106" 
2016-02-18T16:45:00Z,"AMZN",2016-02-23T20:50:00Z,Buy,26.64235007,27.90937065,150,190.05,2,68.09,1,"	105,109" 
2016-02-18T21:00:00Z,"NVDA",2016-02-23T20:50:00Z,Buy,0.731751675,0.7688270932,5943,220.34,44.618690098426,0,1,"	104,108" 
2016-02-23T21:00:00Z,"NFLX",2016-02-24T15:30:00Z,Buy,9.14,8.912,437,-99.64,4.37,99.64,0,"	107,110" 
2016-02-24T20:47:30Z,"NVDA",2016-02-29T20:50:00Z,Buy,0.770778431,0.7727297688,5211,10.17,40.216106145789,26.69,1,"	111,114" 
2016-02-24T20:47:30Z,"AMD",2016-02-29T20:50:00Z,Buy,1.97,2.07,2038,203.8,20.38,0,1,"	112,115" 
2016-02-25T17:42:18Z,"XOM",2016-03-01T20:50:00Z,Buy,52.73108972,51.844907275,76,-67.35,2,91.44,0,"	113,117" 
2016-03-01T14:47:39Z,"MS",2016-03-07T20:50:00Z,Buy,18.61548351,19.693222029,215,231.71,2.15,1.62,1,"	116,121" 
2016-03-03T21:00:00Z,"JPM",2016-03-08T20:50:00Z,Buy,45.521138468,45.834655464,88,27.59,2,7.4,1,"	118,123" 
2016-03-04T21:00:00Z,"AVGO",2016-03-09T20:50:00Z,Buy,11.31817988,10.8243661414,378,-186.66,3.78,188.42,0,"	119,125" 
2016-03-07T18:21:55Z,"NKE",2016-03-08T15:30:00Z,Buy,54.058501062,52.284789225,74,-131.25,2,131.25,0,"	120,122" 
2016-03-09T15:10:35Z,"NKE",2016-03-14T19:50:00Z,Buy,52.778957697,53.017217496,76,18.11,2,99.26,1,"	124,132" 
2016-03-10T21:00:00Z,"SQ",2016-03-11T15:30:00Z,Buy,12.42,11.3,334,-374.08,3.34,374.08,0,"	126,128" 
2016-03-10T21:00:00Z,"MSFT",2016-03-15T19:50:00Z,Buy,46.68765365,46.890490075,86,17.44,2,67.5,1,"	127,134" 
2016-03-11T16:03:47Z,"NVDA",2016-03-16T19:50:00Z,Buy,0.775545012,0.78680608225,5154,58.04,40.261787698823,20.19,1,"	129,137" 
2016-03-14T15:10:34Z,"UPS",2016-03-21T19:50:00Z,Buy,70.494836136,73.38259326,56,161.71,2,0,1,"	131,142" 
2016-03-14T20:00:00Z,"ORCL",2016-03-18T19:50:00Z,Buy,33.387047666,34.962558167,119,187.49,2,8.2,1,"	130,140" 
2016-03-15T20:00:00Z,"UNH",2016-03-18T19:50:00Z,Buy,106.525176914,106.516623423,37,-0.32,2,11.71,0,"	133,141" 
2016-03-16T20:00:00Z,"MS",2016-03-21T19:50:00Z,Buy,19.06768149,19.798734891,209,152.79,2.09,22.05,1,"	135,143" 
2016-03-16T20:00:00Z,"AAPL",2016-03-21T19:50:00Z,Buy,23.6622537195,23.958569104,169,50.08,2,6.5,1,"	136,144" 
2016-03-17T15:23:40Z,"ABT",2016-03-22T19:50:00Z,Buy,33.315299234,33.796206988,120,57.71,2,2.98,1,"	139,146" 
2016-03-17T20:00:00Z,"MSFT",2016-03-22T19:50:00Z,Buy,47.807663475,47.49899935,83,-25.62,2,85.64,0,"	138,145" 
2016-03-24T14:06:36Z,"AMZN",2016-03-29T19:50:00Z,Buy,28.414682401,28.925481249,141,72.02,2,21.66,1,"	147,149" 
2016-03-29T15:56:43Z,"NFLX",2016-04-04T19:50:00Z,Buy,10.121,10.57,398,178.7,3.98,77.21,1,"	148,151" 
2016-03-30T20:00:00Z,"AAPL",2016-04-04T19:50:00Z,Buy,24.573819368,24.8791825505,165,50.38,2,21.27,1,"	150,152" 
2016-04-07T20:00:00Z,"AMZN",2016-04-12T19:50:00Z,Buy,29.867765452,29.726597411,134,-18.92,2,49,0,"	153,157" 
2016-04-07T20:00:00Z,"AAPL",2016-04-12T19:50:00Z,Buy,24.8814445,24.659773449,160,-35.47,2,52.84,0,"	154,158" 
2016-04-07T20:00:00Z,"RTX",2016-04-12T19:50:00Z,Buy,42.25135506691,43.19873279814,95,90,2,0,1,"	155,159" 
2016-04-08T20:00:00Z,"MS",2016-04-13T19:50:00Z,Buy,18.125602365,18.525043914,225,89.87,2.25,50.87,1,"	156,160" 
2016-04-15T14:09:50Z,"AMZN",2016-04-20T19:50:00Z,Buy,30.964686025,31.32134733,130,46.37,2,48.31,1,"	161,171" 
2016-04-18T20:00:00Z,"AAPL",2016-04-22T14:30:00Z,Buy,24.632630055,23.9698788515,162,-107.37,2,107.37,0,"	162,180" 
2016-04-18T20:00:00Z,"PEP",2016-04-25T19:50:00Z,Buy,77.616740544,75.999725116,52,-84.08,2,127.48,0,"	163,184" 
2016-04-18T20:00:00Z,"MS",2016-04-25T19:50:00Z,Buy,19.715831928,20.87647341,208,241.41,2.08,67.41,1,"	164,185" 
