Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2018-01-03T16:16:12Z,"MRK",2018-01-08T20:50:00Z,Buy,41.901539661793,42.475431258014,95,54.52,2,5.66,1,"	4,11" 
2018-01-03T21:00:00Z,"MSFT",2018-01-08T20:50:00Z,Buy,79.197545583,81.110574207,50,95.65,2,0,1,"	1,8" 
2018-01-03T21:00:00Z,"NVDA",2018-01-08T20:50:00Z,Buy,5.04826303,5.32515111,811,224.56,8.11,0,1,"	2,9" 
2018-01-03T21:00:00Z,"AMD",2018-01-08T20:50:00Z,Buy,11.6,11.88,364,101.92,3.64,87.36,1,"	3,10" 
2018-01-05T21:00:00Z,"AAPL",2018-01-10T20:50:00Z,Buy,40.5454611045,40.7370770235,99,18.97,2,15.5,1,"	5,14" 
2018-01-05T21:00:00Z,"META",2018-01-10T20:50:00Z,Buy,184.302599288,186.566783384,21,47.55,2,8.55,1,"	6,15" 
2018-01-08T21:00:00Z,"ADBE",2018-01-16T20:50:00Z,Buy,184.95,195.05,21,212.1,2,0,1,"	7,20" 
2018-01-09T15:40:31Z,"MSFT",2018-01-16T20:50:00Z,Buy,81.193349484,82.40738688,49,59.49,2,20.73,1,"	12,21" 
2018-01-10T21:00:00Z,"ORCL",2018-01-16T20:50:00Z,Buy,43.32105459,43.969360655,92,59.64,2,0,1,"	13,22" 
2018-01-11T21:00:00Z,"NVDA",2018-01-16T20:50:00Z,Buy,5.56248375,5.512545007,727,-36.31,7.27,36.31,0,"	16,23" 
2018-01-16T16:43:42Z,"CMCSA",2018-01-22T20:50:00Z,Buy,30.449060527192,30.49210820937,132,5.68,2,71.98,1,"	19,32" 
2018-01-16T21:00:00Z,"MS",2018-01-19T20:50:00Z,Buy,43.547310345,43.695989392,93,13.83,2,76.41,1,"	17,27" 
2018-01-16T21:00:00Z,"UNH",2018-01-22T20:50:00Z,Buy,205.008778,214.08899512,20,181.6,2,0,1,"	18,31" 
2018-01-17T16:05:12Z,"XOM",2018-01-22T20:50:00Z,Buy,59.916963951,60.040972845,67,8.31,2,39.24,1,"	24,33" 
2018-01-19T21:00:00Z,"GE",2018-01-22T15:30:00Z,Buy,78.362238544533,76.343319277058,51,-102.96,2,102.96,0,"	26,30" 
2018-01-19T21:00:00Z,"HON",2018-01-24T20:50:00Z,Buy,121.13310016785,122.0354236209,33,29.78,2,3.79,1,"	25,43" 
2018-01-22T21:00:00Z,"AXP",2018-01-25T20:50:00Z,Buy,87.548917155,89.54173935,45,89.68,2,13.8,1,"	28,45" 
2018-01-22T21:00:00Z,"MSFT",2018-01-29T20:50:00Z,Buy,82.775277,86.509361718,48,179.24,2,3.53,1,"	29,49" 
2018-01-23T21:00:00Z,"PG",2018-01-24T15:30:00Z,Buy,72.49457565,72.08980415,54,-21.86,2,21.86,0,"	36,41" 
2018-01-23T21:00:00Z,"ADBE",2018-01-29T20:50:00Z,Buy,202.29,201.3,20,-19.8,2,95.6,0,"	34,50" 
2018-01-23T21:00:00Z,"NFLX",2018-01-29T20:50:00Z,Buy,25.52,27.46,177,343.38,2,86.91,1,"	35,51" 
2018-01-24T18:45:48Z,"UNH",2018-01-29T20:50:00Z,Buy,215.75194186,218.62030502,18,51.63,2,5.7,1,"	42,56" 
2018-01-24T21:00:00Z,"CMCSA",2018-01-29T20:50:00Z,Buy,30.635600483296,30.707346620259,132,9.47,2,80.5,1,"	37,52" 
2018-01-24T21:00:00Z,"RTX",2018-01-29T20:50:00Z,Buy,59.568757246227,60.874663937449,67,87.5,2,0,1,"	38,53" 
2018-01-24T21:00:00Z,"NVDA",2018-01-29T20:50:00Z,Buy,5.915516052,6.0156407595,683,68.39,6.83,58.76,1,"	39,54" 
2018-01-24T21:00:00Z,"MRK",2018-01-29T20:50:00Z,Buy,46.179640651809,46.239265752715,87,5.19,2,50.58,1,"	40,55" 
2018-01-25T21:00:00Z,"MS",2018-01-30T20:50:00Z,Buy,44.885421768,44.955848685,90,6.34,2,38.73,1,"	44,59" 
2018-01-26T21:00:00Z,"AMD",2018-01-31T20:50:00Z,Buy,12.72,12.87,326,48.9,3.26,146.7,1,"	46,66" 
2018-01-29T21:00:00Z,"AAPL",2018-02-01T20:50:00Z,Buy,39.7252515,39.1246991685,101,-60.66,2,71.51,0,"	47,72" 
2018-01-29T21:00:00Z,"META",2018-02-02T20:50:00Z,Buy,187.39102584,191.750573288,21,91.55,2,56.72,1,"	48,81" 
2018-01-30T15:37:42Z,"PYPL",2018-02-02T15:30:00Z,Buy,84.115547416,78.21917824,48,-283.03,2,331.39,0,"	58,78" 
2018-01-30T15:37:42Z,"MSFT",2018-02-05T20:50:00Z,Buy,86.380600176,84.412388034,47,-92.51,2,139.62,0,"	57,86" 
2018-01-31T16:07:27Z,"NKE",2018-02-05T20:50:00Z,Buy,60.770448813,60.671165442,66,-6.55,2,59.57,0,"	61,88" 
2018-01-31T16:30:55Z,"TMO",2018-02-05T20:50:00Z,Buy,210.129140886,213.134902057,19,57.11,2,119.43,1,"	62,89" 
2018-01-31T16:51:33Z,"MS",2018-02-05T20:50:00Z,Buy,44.48428324,43.604028872,91,-80.1,2,140.9,0,"	63,90" 
2018-01-31T18:02:31Z,"AVGO",2018-02-05T20:50:00Z,Buy,19.3394354144,18.8980423744,210,-92.69,2.1,211.51,0,"	64,91" 
2018-01-31T18:02:31Z,"QCOM",2018-02-05T20:50:00Z,Buy,54.405874908,53.658697644,74,-55.29,2,131.02,0,"	65,92" 
2018-01-31T21:00:00Z,"V",2018-02-05T20:50:00Z,Buy,116.608952856,114.059813736,34,-86.67,2,157.61,0,"	60,87" 
2018-02-01T15:37:14Z,"NVDA",2018-02-05T15:30:00Z,Buy,6.07670447,5.773116468,672,-204.01,6.72,204.01,0,"	71,82" 
2018-02-01T21:00:00Z,"AMD",2018-02-02T15:30:00Z,Buy,13.62,13.25,297,-109.89,2.97,109.89,0,"	67,79" 
2018-02-01T21:00:00Z,"ABT",2018-02-06T15:30:00Z,Buy,53.628648192,51.014099584,75,-196.09,2,224.76,0,"	69,94" 
2018-02-01T21:00:00Z,"NFLX",2018-02-06T15:30:00Z,Buy,26.65,25.426,151,-184.82,2,198.87,0,"	70,95" 
2018-02-01T21:00:00Z,"ABBV",2018-02-06T20:50:00Z,Buy,79.656144352,77.718677548,51,-98.81,2,247.21,0,"	68,98" 
2018-02-02T15:11:28Z,"COP",2018-02-06T15:30:00Z,Buy,44.831156085,42.255347454,90,-231.82,2,231.82,0,"	77,97" 
2018-02-02T18:38:06Z,"AMD",2018-02-05T15:30:00Z,Buy,13.25,12.45,306,-244.8,3.06,244.8,0,"	80,85" 
2018-02-02T21:00:00Z,"GOOGL",2018-02-05T15:30:00Z,Buy,56.1135252875,55.54035596,69,-39.55,2,39.55,0,"	73,83" 
