Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-01-07T16:02:58Z,MS,41.994138534,95,Market,Filled,3989.44316073,"" 
2020-01-08T16:05:38Z,JPM,115.376360224,34,Market,Filled,3922.796247616,"" 
2020-01-08T18:37:23Z,UNH,262.784962543,15,Market,Filled,3941.774438145,"" 
2020-01-13T20:50:00Z,MS,42.973617657,-95,Market,Filled,-4082.493677415,"Liquidated" 
2020-01-13T20:50:00Z,JPM,115.537690136,-34,Market,Filled,-3928.281464624,"Liquidated" 
2020-01-13T20:50:00Z,UNH,267.627337021,-15,Market,Filled,-4014.410055315,"Liquidated" 
2020-01-14T15:50:31Z,MS,43.442779926,92,Market,Filled,3996.735753192,"" 
2020-01-14T18:37:58Z,NFLX,33.892,118,Market,Filled,3999.256,"" 
2020-01-14T23:20:34Z,AAPL,75.11156910075,53,Market On Open,Filled,3980.9131623398,"" 
2020-01-15T11:32:31Z,UNH,262.086717534,15,Market On Open,Filled,3931.30076301,"" 
2020-01-15T12:06:53Z,META,219.079672552,18,Market On Open,Filled,3943.434105936,"" 
2020-01-16T08:01:36Z,QCOM,78.985859732,51,Market On Open,Filled,4028.278846332,"" 
2020-01-16T18:54:55Z,CMCSA,34.626165996447,115,Market,Filled,3982.0090895914,"" 
2020-01-17T18:05:11Z,PYPL,115.13384144,35,Market,Filled,4029.6844504,"" 
2020-01-21T20:50:00Z,MS,47.336003667,-92,Market,Filled,-4354.912337364,"Liquidated" 
2020-01-21T20:50:00Z,NFLX,33.967,-118,Market,Filled,-4008.106,"Liquidated" 
2020-01-21T20:50:00Z,AAPL,76.73422359525,-53,Market,Filled,-4066.9138505483,"Liquidated" 
2020-01-21T20:50:00Z,UNH,270.656088099,-15,Market,Filled,-4059.841321485,"Liquidated" 
2020-01-21T20:50:00Z,META,220.599059248,-18,Market,Filled,-3970.783066464,"Liquidated" 
2020-01-21T20:50:00Z,QCOM,83.967344346,-51,Market,Filled,-4282.334561646,"Liquidated" 
2020-01-21T20:50:00Z,CMCSA,35.538956024876,-115,Market,Filled,-4086.9799428607,"Liquidated" 
2020-01-21T22:45:55Z,AAPL,76.73903859375,53,Market On Open,Filled,4067.1690454688,"" 
2020-01-22T10:10:33Z,NFLX,33.27,119,Market On Open,Filled,3959.13,"" 
2020-01-22T16:27:11Z,MS,46.027287864,87,Market,Filled,4004.374044168,"" 
2020-01-22T18:21:36Z,MCD,183.790665528,22,Market,Filled,4043.394641616,"" 
2020-01-22T18:23:20Z,META,219.903915008,18,Market,Filled,3958.270470144,"" 
2020-01-22T20:50:00Z,PYPL,115.88211164,-35,Market,Filled,-4055.8739074,"Liquidated" 
2020-01-23T00:18:41Z,GOOGL,73.8197431275,54,Market On Open,Filled,3986.266128885,"" 
2020-01-23T12:41:10Z,PG,106.92437646,37,Market On Open,Filled,3956.20192902,"" 
2020-01-23T15:30:00Z,NFLX,32.6,-119,Market,Filled,-3879.4,"Liquidated" 
2020-01-23T16:20:43Z,LMT,360.640585404,11,Market,Filled,3967.046439444,"" 
2020-01-23T18:50:33Z,TMO,334.807551165,12,Market,Filled,4017.69061398,"" 
2020-01-24T01:45:16Z,XOM,50.028225426,80,Market On Open,Filled,4002.25803408,"" 
2020-01-24T15:06:45Z,CMCSA,34.154807211275,118,Market,Filled,4030.2672509305,"" 
2020-01-24T15:48:52Z,NFLX,34.96,115,Market,Filled,4020.4,"" 
2020-01-24T16:58:06Z,SQ,69.3,58,Market,Filled,4019.4,"" 
2020-01-24T22:47:58Z,AMD,48.45,80,Market On Open,Filled,3876,"" 
2020-01-27T16:40:02Z,MA,313.374186768,12,Market,Filled,3760.490241216,"" 
2020-01-27T16:40:02Z,PYPL,116.710197328,34,Market,Filled,3968.146709152,"" 
2020-01-27T20:50:00Z,AAPL,76.63310862675,-53,Market,Filled,-4061.5547572178,"Liquidated" 
2020-01-27T20:50:00Z,MS,44.899652235,-87,Market,Filled,-3906.269744445,"Liquidated" 
2020-01-27T20:50:00Z,MCD,183.860296392,-22,Market,Filled,-4044.926520624,"Liquidated" 
2020-01-27T20:50:00Z,META,216.428193808,-18,Market,Filled,-3895.707488544,"Liquidated" 
2020-01-28T12:56:02Z,RTX,69.652886212639,57,Market On Open,Filled,3970.2145141204,"" 
