Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-01-04T00:35:06Z,GS,363.450523024,11,Market On Open,Filled,3997.955753264,"" 
2022-01-06T12:44:43Z,MS,90.383198512,45,Market On Open,Filled,4067.24393304,"" 
2022-01-10T20:50:00Z,GS,359.185583888,-11,Market,Filled,-3951.041422768,"Liquidated" 
2022-01-11T20:50:00Z,MS,90.391879188,-45,Market,Filled,-4067.63456346,"Liquidated" 
2022-01-13T14:16:28Z,XOM,61.24976061,65,Market On Open,Filled,3981.23443965,"" 
2022-01-13T22:15:09Z,MS,86.667869184,44,Market On Open,Filled,3813.386244096,"" 
2022-01-18T15:30:00Z,MS,85.825843612,-44,Market,Filled,-3776.337118928,"Liquidated" 
2022-01-18T20:50:00Z,XOM,61.93060078,-65,Market,Filled,-4025.4890507,"Liquidated" 
2022-01-19T12:12:39Z,PG,141.571858576,28,Market On Open,Filled,3964.012040128,"" 
2022-01-19T13:01:44Z,MS,85.079305476,48,Market On Open,Filled,4083.806662848,"" 
2022-01-19T22:35:15Z,UNH,434.054917926,9,Market On Open,Filled,3906.494261334,"" 
2022-01-20T04:25:26Z,GS,315.26213232,12,Market On Open,Filled,3783.14558784,"" 
2022-01-20T14:24:22Z,V,208.38140952,19,Market On Open,Filled,3959.24678088,"" 
2022-01-20T17:31:21Z,NVDA,25.0176556105,159,Market,Filled,3977.8072420695,"" 
2022-01-20T22:12:47Z,MCD,231.936885922,17,Market On Open,Filled,3942.927060674,"" 
2022-01-21T02:47:05Z,NFLX,39.999,78,Market On Open,Filled,3119.922,"" 
2022-01-21T15:30:00Z,NVDA,24.102460725,-159,Market,Filled,-3832.291255275,"Liquidated" 
2022-01-23T08:51:32Z,XOM,61.16357831,64,Market On Open,Filled,3914.46901184,"" 
2022-01-24T15:30:00Z,V,199.405128543,-19,Market,Filled,-3788.697442317,"Liquidated" 
2022-01-24T15:30:00Z,NFLX,39.75,-78,Market,Filled,-3100.5,"Liquidated" 
2022-01-24T20:50:00Z,PG,146.851546205,-28,Market,Filled,-4111.84329374,"Liquidated" 
2022-01-24T20:50:00Z,MS,85.834524288,-48,Market,Filled,-4120.057165824,"Liquidated" 
2022-01-24T20:50:00Z,GS,310.753224208,-12,Market,Filled,-3729.038690496,"Liquidated" 
2022-01-25T12:11:17Z,RTX,77.763007595,49,Market On Open,Filled,3810.387372155,"" 
2022-01-25T20:50:00Z,UNH,432.082705779,-9,Market,Filled,-3888.744352011,"Liquidated" 
2022-01-26T01:58:22Z,MS,86.93697014,46,Market On Open,Filled,3999.10062644,"" 
2022-01-26T11:41:37Z,MSFT,298.45097635,14,Market On Open,Filled,4178.3136689,"" 
2022-01-26T11:41:37Z,META,305.059084408,13,Market On Open,Filled,3965.768097304,"" 
2022-01-26T13:08:20Z,PG,142.065166555,27,Market On Open,Filled,3835.759496985,"" 
2022-01-26T13:45:54Z,NVDA,23.178283556,179,Market On Open,Filled,4148.912756524,"" 
2022-01-26T13:45:54Z,NFLX,37.873,109,Market On Open,Filled,4128.157,"" 
2022-01-26T20:50:00Z,MCD,228.752168088,-17,Market,Filled,-3888.786857496,"Liquidated" 
2022-01-26T22:01:40Z,LMT,349.678567057,11,Market On Open,Filled,3846.464237627,"" 
2022-01-26T22:03:54Z,GS,312.343540496,12,Market On Open,Filled,3748.122485952,"" 
2022-01-26T22:23:55Z,TMO,562.28837801,7,Market On Open,Filled,3936.01864607,"" 
2022-01-27T16:32:09Z,MCD,227.99477101,17,Market,Filled,3875.91110717,"" 
2022-01-27T22:02:37Z,MA,352.138356,11,Market On Open,Filled,3873.521916,"" 
2022-01-27T23:13:36Z,UNH,431.26951878,9,Market On Open,Filled,3881.42566902,"" 
2022-01-28T04:12:26Z,JPM,130.226594927,30,Market On Open,Filled,3906.79784781,"" 
2022-01-28T20:50:00Z,XOM,64.74014376,-64,Market,Filled,-4143.36920064,"Liquidated" 
2022-01-31T15:37:13Z,XOM,64.88665367,62,Market,Filled,4022.97252754,"" 
2022-01-31T20:50:00Z,RTX,82.493628609,-49,Market,Filled,-4042.187801841,"Liquidated" 
2022-01-31T20:50:00Z,MS,88.967618082,-46,Market,Filled,-4092.510431772,"Liquidated" 
2022-01-31T20:50:00Z,MSFT,298.26713558,-14,Market,Filled,-4175.73989812,"Liquidated" 
2022-01-31T20:50:00Z,META,299.617098072,-13,Market,Filled,-3895.022274936,"Liquidated" 
2022-01-31T20:50:00Z,PG,144.94602525,-27,Market,Filled,-3913.54268175,"Liquidated" 
2022-01-31T20:50:00Z,NVDA,22.79503946,-179,Market,Filled,-4080.31206334,"Liquidated" 
2022-01-31T20:50:00Z,NFLX,38.436,-109,Market,Filled,-4189.524,"Liquidated" 
2022-02-01T20:50:00Z,LMT,349.561824938,-11,Market,Filled,-3845.180074318,"Liquidated" 
2022-02-01T20:50:00Z,GS,320.484875584,-12,Market,Filled,-3845.818507008,"Liquidated" 
2022-02-01T20:50:00Z,TMO,574.86762485,-7,Market,Filled,-4024.07337395,"Liquidated" 
2022-02-01T20:50:00Z,MCD,236.75502637,-17,Market,Filled,-4024.83544829,"Liquidated" 
2022-02-01T22:44:32Z,CVX,113.21532089,35,Market On Open,Filled,3962.53623115,"" 
2022-02-02T06:56:34Z,MS,90.73333422,44,Market On Open,Filled,3992.26670568,"" 
2022-02-02T07:00:37Z,MSFT,299.45726267,13,Market On Open,Filled,3892.94441471,"" 
2022-02-02T11:17:51Z,TMO,587.733662695,6,Market On Open,Filled,3526.40197617,"" 
2022-02-02T11:19:09Z,NVDA,25.6843406525,164,Market On Open,Filled,4212.23186701,"" 
2022-02-02T11:51:55Z,NFLX,44.8,88,Market On Open,Filled,3942.4,"" 
2022-02-02T12:36:11Z,PYPL,139.258072688,23,Market On Open,Filled,3202.935671824,"" 
2022-02-02T13:27:45Z,META,325.7247296,12,Market On Open,Filled,3908.6967552,"" 
2022-02-02T20:50:00Z,MA,383.498232926,-11,Market,Filled,-4218.480562186,"Liquidated" 
2022-02-02T20:50:00Z,UNH,437.821749657,-9,Market,Filled,-3940.395746913,"Liquidated" 
2022-02-02T20:50:00Z,JPM,136.285742735,-30,Market,Filled,-4088.57228205,"Liquidated" 
2022-02-03T01:07:47Z,QCOM,165.807366852,23,Market On Open,Filled,3813.569437596,"" 
2022-02-03T13:54:42Z,MRK,72.2393034,55,Market On Open,Filled,3973.161687,"" 
2022-02-03T15:30:00Z,NFLX,42.948,-88,Market,Filled,-3779.424,"Liquidated" 
2022-02-03T15:30:00Z,PYPL,132.264240552,-23,Market,Filled,-3042.077532696,"Liquidated" 
2022-02-03T22:00:25Z,COP,77.7711604,51,Market On Open,Filled,3966.3291804,"" 
2022-02-03T22:29:07Z,AAPL,167.840775936,23,Market On Open,Filled,3860.337846528,"" 
2022-02-03T22:30:35Z,GS,327.252755696,12,Market On Open,Filled,3927.033068352,"" 
2022-02-04T00:08:00Z,PG,147.13150426,26,Market On Open,Filled,3825.41911076,"" 
2022-02-04T11:35:44Z,NFLX,40.77,97,Market On Open,Filled,3954.69,"" 
2022-02-04T11:35:44Z,PYPL,124.053222224,32,Market On Open,Filled,3969.703111168,"" 
2022-02-04T15:30:00Z,META,236.110706432,-12,Market,Filled,-2833.328477184,"Liquidated" 
2022-02-04T15:30:00Z,QCOM,163.77729651,-23,Market,Filled,-3766.87781973,"Liquidated" 
2022-02-04T15:30:00Z,MRK,69.86080002,-55,Market,Filled,-3842.3440011,"Liquidated" 
2022-02-07T20:50:00Z,XOM,70.16962866,-62,Market,Filled,-4350.51697692,"Liquidated" 
2022-02-07T20:50:00Z,CVX,114.513062566,-35,Market,Filled,-4007.95718981,"Liquidated" 
2022-02-07T20:50:00Z,MS,91.013051628,-44,Market,Filled,-4004.574271632,"Liquidated" 
2022-02-07T20:50:00Z,MSFT,296.02234302,-13,Market,Filled,-3848.29045926,"Liquidated" 
