Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,NKE,54.579620745,122,Market,Filled,6658.71373089,"" 
2016-02-01T15:00:00Z,GOOGL,37.7820318175,176,Market,Filled,6649.63759988,"" 
2016-02-01T15:00:00Z,META,111.431621672,59,Market,Filled,6574.465678648,"" 
2016-02-01T15:00:00Z,KO,31.344463124,212,Market,Filled,6645.026182288,"" 
2016-02-01T15:00:00Z,MCD,97.031005842,68,Market,Filled,6598.108397256,"" 
2016-02-01T15:00:00Z,HON,74.870129961707,89,Market,Filled,6663.441566592,"" 
2016-02-01T15:00:00Z,ISRG,60.0943789415,110,Market,Filled,6610.381683565,"" 
2016-02-01T15:00:00Z,UNH,98.097180408,67,Market,Filled,6572.511087336,"" 
2016-02-01T15:00:00Z,XOM,49.904380125,133,Market,Filled,6637.282556625,"" 
2016-02-01T15:00:00Z,MSFT,48.127544003,138,Market,Filled,6641.601072414,"" 
2016-02-01T15:00:00Z,PEP,73.292740638,90,Market,Filled,6596.34665742,"" 
2016-02-01T15:00:00Z,HD,99.10755744,67,Market,Filled,6640.20634848,"" 
2016-02-01T15:00:00Z,LMT,161.5384772,41,Market,Filled,6623.0775652,"" 
2016-02-01T15:00:00Z,GE,128.16391000409,52,Market,Filled,6664.5233202129,"" 
2016-02-01T15:00:00Z,PG,62.169118868,107,Market,Filled,6652.095718876,"" 
2016-03-01T15:00:00Z,GOOGL,35.592078361,-176,Market,Filled,-6264.205791536,"Liquidated" 
2016-03-01T15:00:00Z,MCD,92.561068344,-68,Market,Filled,-6294.152647392,"Liquidated" 
2016-03-01T15:00:00Z,MSFT,44.768762496,-138,Market,Filled,-6178.089224448,"Liquidated" 
2016-03-01T15:00:00Z,PEP,72.367887763,-90,Market,Filled,-6513.10989867,"Liquidated" 
2016-03-01T15:00:00Z,HD,97.81512428,-67,Market,Filled,-6553.61332676,"Liquidated" 
2016-03-01T15:00:00Z,NKE,54.209947455,-1,Market,Filled,-54.209947455,"" 
2016-03-01T15:00:00Z,NVDA,0.767711224,8612,Market,Filled,6611.529061088,"" 
2016-03-01T15:00:00Z,META,106.178317344,3,Market,Filled,318.534952032,"" 
2016-03-01T15:00:00Z,PYPL,38.052033904,173,Market,Filled,6583.001865392,"" 
2016-03-01T15:00:00Z,KO,31.497826061,-3,Market,Filled,-94.493478183,"" 
2016-03-01T15:00:00Z,UPS,66.580677245,99,Market,Filled,6591.487047255,"" 
2016-03-01T15:00:00Z,CMCSA,20.034792931149,330,Market,Filled,6611.4816672791,"" 
2016-03-01T15:00:00Z,ISRG,62.5621540294,-5,Market,Filled,-312.810770147,"" 
2016-03-01T15:00:00Z,UNH,101.45340558,-2,Market,Filled,-202.90681116,"" 
2016-03-01T15:00:00Z,XOM,51.844907275,-6,Market,Filled,-311.06944365,"" 
2016-03-01T15:00:00Z,RTX,40.72884323234,162,Market,Filled,6598.0726036391,"" 
2016-03-01T15:00:00Z,LMT,166.453867563,-2,Market,Filled,-332.907735126,"" 
2016-03-01T15:00:00Z,GE,129.36752076771,-1,Market,Filled,-129.36752076771,"" 
2016-03-01T15:00:00Z,PG,61.073493716,1,Market,Filled,61.073493716,"" 
2016-04-01T14:00:00Z,NKE,54.243814239,-121,Market,Filled,-6563.501522919,"Liquidated" 
2016-04-01T14:00:00Z,PYPL,38.51097296,-173,Market,Filled,-6662.39832208,"Liquidated" 
2016-04-01T14:00:00Z,CMCSA,21.197387012551,-330,Market,Filled,-6995.1377141419,"Liquidated" 
2016-04-01T14:00:00Z,ISRG,66.7832605395,-105,Market,Filled,-7012.2423566475,"Liquidated" 
2016-04-01T14:00:00Z,UNH,110.25449899,-65,Market,Filled,-7166.54243435,"Liquidated" 
2016-04-01T14:00:00Z,XOM,54.070066115,-127,Market,Filled,-6866.898396605,"Liquidated" 
2016-04-01T14:00:00Z,RTX,42.195789769792,-162,Market,Filled,-6835.7179427062,"Liquidated" 
