Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,AXP,89.6319123,74,Market,Filled,6632.7615102,"" 
2018-02-01T15:00:00Z,ADBE,199.76,33,Market,Filled,6592.08,"" 
2018-02-01T15:00:00Z,AMZN,72.374310603,92,Market,Filled,6658.436575476,"" 
2018-02-01T15:00:00Z,BLK,459.91144638,14,Market,Filled,6438.76024932,"" 
2018-02-01T15:00:00Z,CAT,136.980314124,48,Market,Filled,6575.055077952,"" 
2018-02-01T15:00:00Z,JPM,92.997141589,71,Market,Filled,6602.797052819,"" 
2018-02-01T15:00:00Z,V,117.3076058,56,Market,Filled,6569.2259248,"" 
2018-02-01T15:00:00Z,MSFT,87.184111809,76,Market,Filled,6625.992497484,"" 
2018-02-01T15:00:00Z,SQ,46.91,142,Market,Filled,6661.22,"" 
2018-02-01T15:00:00Z,ABBV,79.641950456,83,Market,Filled,6610.281887848,"" 
2018-02-01T15:00:00Z,NFLX,27.03,246,Market,Filled,6649.38,"" 
2018-02-01T15:00:00Z,NKE,61.573741542,108,Market,Filled,6649.964086536,"" 
2018-02-01T15:00:00Z,MA,161.8793878,41,Market,Filled,6637.0548998,"" 
2018-02-01T15:00:00Z,NVDA,6.07670447,1097,Market,Filled,6666.14480359,"" 
2018-02-01T15:00:00Z,PYPL,85.123217952,78,Market,Filled,6639.611000256,"" 
2018-03-01T15:00:00Z,AXP,87.91862625,-74,Market,Filled,-6505.9783425,"Liquidated" 
2018-03-01T15:00:00Z,PYPL,79.226848776,-78,Market,Filled,-6179.694204528,"Liquidated" 
2018-03-01T15:00:00Z,CAT,130.122041854,-48,Market,Filled,-6245.858008992,"Liquidated" 
2018-03-01T15:00:00Z,NKE,60.499675983,-108,Market,Filled,-6533.965006164,"Liquidated" 
2018-03-01T15:00:00Z,ADBE,209.13,-2,Market,Filled,-418.26,"" 
2018-03-01T15:00:00Z,CRM,114.894008324,58,Market,Filled,6663.852482792,"" 
2018-03-01T15:00:00Z,ISRG,142.149985785,46,Market,Filled,6538.89934611,"" 
2018-03-01T15:00:00Z,V,116.27290233,1,Market,Filled,116.27290233,"" 
2018-03-01T15:00:00Z,MSFT,86.450445078,1,Market,Filled,86.450445078,"" 
2018-03-01T15:00:00Z,SQ,46.03,2,Market,Filled,92.06,"" 
2018-03-01T15:00:00Z,ABBV,82.203948684,-2,Market,Filled,-164.407897368,"" 
2018-03-01T15:00:00Z,NFLX,29.138,-18,Market,Filled,-524.484,"" 
2018-03-01T15:00:00Z,LMT,286.252085196,23,Market,Filled,6583.797959508,"" 
2018-03-01T15:00:00Z,MS,44.028437228,151,Market,Filled,6648.294021428,"" 
2018-03-01T15:00:00Z,MA,168.354563312,-2,Market,Filled,-336.709126624,"" 
2018-03-01T15:00:00Z,NVDA,5.986478025,17,Market,Filled,101.770126425,"" 
2018-03-01T15:00:00Z,AMZN,75.445089615,-4,Market,Filled,-301.78035846,"" 
2018-03-28T14:30:00Z,SPY,230.9095814,-167,Market,Filled,-38561.9000938,"" 
2018-03-28T14:30:00Z,NVDA,5.578803819,-1114,Market,Filled,-6214.787454366,"Liquidated" 
2018-03-28T14:30:00Z,ISRG,135.073319826,-46,Market,Filled,-6213.372711996,"Liquidated" 
2018-03-28T14:30:00Z,V,111.042796995,-57,Market,Filled,-6329.439428715,"Liquidated" 
2018-03-28T14:30:00Z,ABBV,65.299018548,-81,Market,Filled,-5289.220502388,"Liquidated" 
2018-03-28T14:30:00Z,MA,165.251076824,-39,Market,Filled,-6444.791996136,"Liquidated" 
2018-03-28T14:30:00Z,MSFT,82.486097058,-77,Market,Filled,-6351.429473466,"Liquidated" 
2018-03-28T14:30:00Z,BLK,437.91908046,-14,Market,Filled,-6130.86712644,"Liquidated" 
2018-03-28T14:30:00Z,JPM,86.967241339,-71,Market,Filled,-6174.674135069,"Liquidated" 
2018-03-28T14:30:00Z,MS,41.77278541,-151,Market,Filled,-6307.69059691,"Liquidated" 
2018-03-28T14:30:00Z,LMT,275.230518983,-23,Market,Filled,-6330.301936609,"Liquidated" 
2018-03-28T14:30:00Z,CRM,112.443779236,-58,Market,Filled,-6521.739195688,"Liquidated" 
2018-04-02T14:00:00Z,AMZN,72.197227018,-88,Market,Filled,-6353.355977584,"Liquidated" 
2018-04-02T14:00:00Z,ADBE,216.08,57,Market,Filled,12316.56,"" 
2018-04-02T14:00:00Z,COP,45.02606897,426,Market,Filled,19181.10538122,"" 
2018-04-02T14:00:00Z,SQ,49.19,245,Market,Filled,12051.55,"" 
2018-04-02T14:00:00Z,NFLX,29.535,421,Market,Filled,12434.235,"" 
2018-04-02T14:00:00Z,MA,167.760686268,114,Market,Filled,19124.718234552,"" 
2018-04-04T14:30:00Z,NFLX,28.367,-649,Market,Filled,-18410.183,"Liquidated" 
2018-04-04T14:30:00Z,MA,165.203183514,-114,Market,Filled,-18833.162920596,"Liquidated" 
2018-05-01T14:00:00Z,ADBE,221.6,-88,Market,Filled,-19500.8,"Liquidated" 
2018-05-01T14:00:00Z,SQ,47.34,-389,Market,Filled,-18415.26,"Liquidated" 
2018-05-01T14:00:00Z,ISRG,146.926651974,131,Market,Filled,19247.391408594,"" 
2018-05-01T14:00:00Z,COP,49.73368495,-39,Market,Filled,-1939.61371305,"" 
2018-05-01T14:00:00Z,NFLX,31.246,617,Market,Filled,19278.782,"" 
2018-05-01T14:00:00Z,UNH,208.68900288,92,Market,Filled,19199.38826496,"" 
2018-05-01T14:00:00Z,AMZN,78.122792951,246,Market,Filled,19218.207065946,"" 
2018-05-02T14:30:00Z,ISRG,149.183318415,-131,Market,Filled,-19543.014712365,"Liquidated" 
2018-05-02T14:30:00Z,UNH,209.08625352,-92,Market,Filled,-19235.93532384,"Liquidated" 
2018-05-16T14:30:00Z,SPY,240.2133059,167,Market,Filled,40115.6220853,"Liquidated" 
2018-06-01T14:00:00Z,ADBE,249.28,26,Market,Filled,6481.28,"" 
2018-06-01T14:00:00Z,CRM,127.777470948,51,Market,Filled,6516.651018348,"" 
2018-06-01T14:00:00Z,COST,178.367252784,37,Market,Filled,6599.588353008,"" 
2018-06-01T14:00:00Z,AAPL,44.0145095415,150,Market,Filled,6602.176431225,"" 
2018-06-01T14:00:00Z,COP,51.372304308,-258,Market,Filled,-13254.054511464,"" 
2018-06-01T14:00:00Z,V,123.839130189,53,Market,Filled,6563.473900017,"" 
2018-06-01T14:00:00Z,MSFT,91.519652616,72,Market,Filled,6589.414988352,"" 
2018-06-01T14:00:00Z,INTU,192.81566304,34,Market,Filled,6555.73254336,"" 
2018-06-01T14:00:00Z,SQ,58.25,113,Market,Filled,6582.25,"" 
2018-06-01T14:00:00Z,NFLX,35.16,-429,Market,Filled,-15083.64,"" 
2018-06-01T14:00:00Z,UNH,213.1911768,31,Market,Filled,6608.9264808,"" 
2018-06-01T14:00:00Z,NKE,65.00098516,102,Market,Filled,6630.10048632,"" 
2018-06-01T14:00:00Z,NVDA,6.242411784375,1063,Market,Filled,6635.6837267906,"" 
2018-06-01T14:00:00Z,MA,182.378456939,36,Market,Filled,6565.624449804,"" 
2018-06-01T14:00:00Z,AMZN,81.289845574,-165,Market,Filled,-13412.82451971,"" 
2018-07-02T14:00:00Z,NVDA,5.86394128125,-1063,Market,Filled,-6233.3695819688,"Liquidated" 
2018-07-02T14:00:00Z,AAPL,43.5999671495,-150,Market,Filled,-6539.995072425,"Liquidated" 
2018-07-02T14:00:00Z,ADBE,243.81,2,Market,Filled,487.62,"" 
2018-07-02T14:00:00Z,AMD,14.99,456,Market,Filled,6835.44,"" 
2018-07-02T14:00:00Z,COST,188.030611818,-1,Market,Filled,-188.030611818,"" 
2018-07-02T14:00:00Z,COP,53.080139892,-1,Market,Filled,-53.080139892,"" 
2018-07-02T14:00:00Z,V,125.468467785,1,Market,Filled,125.468467785,"" 
2018-07-02T14:00:00Z,MSFT,91.306687014,2,Market,Filled,182.613374028,"" 
2018-07-02T14:00:00Z,SQ,61.65,-3,Market,Filled,-184.95,"" 
2018-07-02T14:00:00Z,NFLX,39.143,-14,Market,Filled,-548.002,"" 
2018-07-02T14:00:00Z,HD,162.46312572,42,Market,Filled,6823.45128024,"" 
2018-07-02T14:00:00Z,NKE,72.3726062,-8,Market,Filled,-578.9808496,"" 
2018-07-02T14:00:00Z,CRM,134.76259984,-1,Market,Filled,-134.76259984,"" 
2018-07-02T14:00:00Z,AMZN,84.79061346,-1,Market,Filled,-84.79061346,"" 
2018-08-01T14:00:00Z,V,129.532338882,-54,Market,Filled,-6994.746299628,"Liquidated" 
2018-08-01T14:00:00Z,NFLX,33.745,-174,Market,Filled,-5871.63,"Liquidated" 
2018-08-01T14:00:00Z,NKE,69.82158985,-94,Market,Filled,-6563.2294459,"Liquidated" 
2018-08-01T14:00:00Z,MA,190.11862292,-36,Market,Filled,-6844.27042512,"Liquidated" 
2018-08-01T14:00:00Z,ADBE,244.68,-28,Market,Filled,-6851.04,"Liquidated" 
2018-08-01T14:00:00Z,SQ,64.65,-110,Market,Filled,-7111.5,"Liquidated" 
2018-08-01T14:00:00Z,INTU,195.340630056,-34,Market,Filled,-6641.581421904,"Liquidated" 
2018-08-01T14:00:00Z,HD,164.478301344,-42,Market,Filled,-6908.088656448,"Liquidated" 
2018-08-01T14:00:00Z,CRM,135.464076716,-50,Market,Filled,-6773.2038358,"Liquidated" 
2018-08-01T14:00:00Z,MRK,49.905853790494,140,Market,Filled,6986.8195306691,"" 
2018-08-01T14:00:00Z,AMD,18.33,-74,Market,Filled,-1356.42,"" 
2018-08-01T14:00:00Z,TMO,229.984855506,30,Market,Filled,6899.54566518,"" 
2018-08-01T14:00:00Z,COST,196.785219211,-1,Market,Filled,-196.785219211,"" 
2018-08-01T14:00:00Z,ABT,57.460569608,122,Market,Filled,7010.189492176,"" 
2018-08-01T14:00:00Z,COP,55.250277558,-1,Market,Filled,-55.250277558,"" 
2018-08-01T14:00:00Z,JPM,93.39170225,75,Market,Filled,7004.37766875,"" 
2018-08-01T14:00:00Z,ISRG,169.396649727,41,Market,Filled,6945.262638807,"" 
2018-08-01T14:00:00Z,MSFT,98.223439392,-3,Market,Filled,-294.670318176,"" 
2018-08-01T14:00:00Z,AAPL,44.8200407805,156,Market,Filled,6991.926361758,"" 
2018-08-01T14:00:00Z,RTX,60.340604275816,116,Market,Filled,6999.5100959947,"" 
2018-08-01T14:00:00Z,GOOGL,60.900853861,115,Market,Filled,7003.598194015,"" 
2018-08-01T14:00:00Z,LLY,88.788569553,79,Market,Filled,7014.296994687,"" 
2018-08-01T14:00:00Z,AMZN,88.663506288,-1,Market,Filled,-88.663506288,"" 
2018-09-04T14:00:00Z,MRK,51.966639008501,-140,Market,Filled,-7275.3294611901,"Liquidated" 
2018-09-04T14:00:00Z,ABT,58.600312368,-122,Market,Filled,-7149.238108896,"Liquidated" 
2018-09-04T14:00:00Z,TMO,234.46628982,-30,Market,Filled,-7033.9886946,"Liquidated" 
2018-09-04T14:00:00Z,COP,56.214879882,-127,Market,Filled,-7139.289745014,"Liquidated" 
2018-09-04T14:00:00Z,JPM,93.0910939,-75,Market,Filled,-6981.8320425,"Liquidated" 
2018-09-04T14:00:00Z,RTX,58.874763272627,-116,Market,Filled,-6829.4725396248,"Liquidated" 
