Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2018-02-01T15:00:00Z,"AXP",2018-03-01T15:00:00Z,Buy,89.6319123,87.91862625,74,-126.78,2,-737.34,149.47,777.38,0,"	1,16" 
2018-02-01T15:00:00Z,"PYPL",2018-03-01T15:00:00Z,Buy,85.123217952,79.226848776,78,-459.92,2,-1011.66,0,1011.66,0,"	15,17" 
2018-02-01T15:00:00Z,"CAT",2018-03-01T15:00:00Z,Buy,136.980314124,130.122041854,48,-329.2,2,-678.19,36.76,678.19,0,"	5,18" 
2018-02-01T15:00:00Z,"NKE",2018-03-01T15:00:00Z,Buy,61.573741542,60.499675983,108,-116,2,-558.55,139.39,558.55,0,"	12,19" 
2018-02-01T15:00:00Z,"ADBE",2018-03-01T15:00:00Z,Buy,199.76,209.13,2,18.74,2,-29.2,24.78,29.2,1,"	2,20" 
2018-02-01T15:00:00Z,"ABBV",2018-03-01T15:00:00Z,Buy,79.641950456,82.203948684,2,5.12,2,-5.31,13.23,11.16,1,"	10,26" 
2018-02-01T15:00:00Z,"NFLX",2018-03-01T15:00:00Z,Buy,27.03,29.138,18,37.94,2.23,-37.49,42.95,37.49,1,"	11,27" 
2018-02-01T15:00:00Z,"MA",2018-03-01T15:00:00Z,Buy,161.8793878,168.354563312,2,12.95,2,-16.05,16.99,23.58,1,"	13,30" 
2018-02-01T15:00:00Z,"AMZN",2018-03-01T15:00:00Z,Buy,72.374310603,75.445089615,4,12.28,2,-22.21,14.18,22.21,1,"	3,32" 
2018-02-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,6.07670447,5.578803819,1097,-546.2,11.055,-870.56,131.14,870.56,0,"	14,34" 
2018-02-01T15:00:00Z,"V",2018-03-28T14:30:00Z,Buy,117.3076058,111.042796995,56,-350.83,2,-549.33,77.72,627.05,0,"	7,36" 
2018-02-01T15:00:00Z,"ABBV",2018-03-28T14:30:00Z,Buy,79.641950456,65.299018548,81,-1161.78,1,-1161.78,535.76,1697.54,0,"	10,37" 
2018-02-01T15:00:00Z,"MA",2018-03-28T14:30:00Z,Buy,161.8793878,165.251076824,39,131.5,1,-313.05,531.96,459.86,1,"	13,38" 
2018-02-01T15:00:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,87.184111809,82.486097058,76,-357.05,2,-697.4,154.44,697.4,0,"	8,39" 
2018-02-01T15:00:00Z,"BLK",2018-03-28T14:30:00Z,Buy,459.91144638,437.91908046,14,-307.89,2,-600.78,211.39,645.8,0,"	4,40" 
2018-02-01T15:00:00Z,"JPM",2018-03-28T14:30:00Z,Buy,92.997141589,86.967241339,71,-428.12,2,-494.34,176.96,671.3,0,"	6,41" 
2018-02-01T15:00:00Z,"AMZN",2018-04-02T14:00:00Z,Buy,72.374310603,72.197227018,88,-15.58,1,-488.53,647.48,732.94,0,"	3,45" 
2018-02-01T15:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,27.03,28.367,228,304.84,3.245,-474.92,1393.99,1166.22,1,"	11,51" 
2018-02-01T15:00:00Z,"ADBE",2018-05-01T14:00:00Z,Buy,199.76,221.6,31,677.04,1,-452.6,973.4,541.57,1,"	2,53" 
2018-02-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.91,47.34,142,61.06,2.945,-1052.22,1530.76,1837.48,1,"	9,54" 
2018-03-01T15:00:00Z,"NVDA",2018-03-28T14:30:00Z,Buy,5.986478025,5.578803819,17,-6.93,1,-11.96,3.57,10.5,0,"	31,34" 
2018-03-01T15:00:00Z,"ISRG",2018-03-28T14:30:00Z,Buy,142.149985785,135.073319826,46,-325.53,2,-418.6,237.67,656.27,0,"	22,35" 
2018-03-01T15:00:00Z,"V",2018-03-28T14:30:00Z,Buy,116.27290233,111.042796995,1,-5.23,1,-8.77,2.42,7.48,0,"	23,36" 
2018-03-01T15:00:00Z,"MSFT",2018-03-28T14:30:00Z,Buy,86.450445078,82.486097058,1,-3.96,1,-8.44,2.77,8.84,0,"	24,39" 
2018-03-01T15:00:00Z,"MS",2018-03-28T14:30:00Z,Buy,44.028437228,41.77278541,151,-340.6,2,-468.77,342.98,811.75,0,"	29,42" 
2018-03-01T15:00:00Z,"LMT",2018-03-28T14:30:00Z,Buy,286.252085196,275.230518983,23,-253.5,2,-477.29,0,477.29,0,"	28,43" 
2018-03-01T15:00:00Z,"CRM",2018-03-28T14:30:00Z,Buy,114.894008324,112.443779236,58,-142.11,2,-142.11,670.45,812.57,0,"	21,44" 
2018-03-01T15:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,46.03,47.34,2,2.62,1,-13.06,23.32,25.88,1,"	25,54" 
2018-03-28T14:30:00Z,"SPY",2018-05-16T14:30:00Z,Sell,230.9095814,240.2133059,167,-1553.72,2,-1831.91,463.16,2295.07,0,"	33,62" 
2018-04-02T14:00:00Z,"NFLX",2018-04-04T14:30:00Z,Buy,29.535,28.367,421,-491.73,2.105,-1931.55,1519.39,634.03,0,"	49,51" 
2018-04-02T14:00:00Z,"MA",2018-04-04T14:30:00Z,Buy,167.760686268,165.203183514,114,-291.56,2,-386.56,0,386.56,0,"	50,52" 
2018-04-02T14:00:00Z,"ADBE",2018-05-01T14:00:00Z,Buy,216.08,221.6,57,314.64,1,-1762.44,859.56,788.88,1,"	46,53" 
2018-04-02T14:00:00Z,"SQ",2018-05-01T14:00:00Z,Buy,49.19,47.34,245,-453.25,1.225,-2374.05,2082.5,1643.95,0,"	48,54" 
2018-04-02T14:00:00Z,"COP",2018-05-01T14:00:00Z,Buy,45.02606897,49.73368495,39,183.6,3.13,-35.83,227.13,59.82,1,"	47,56" 
2018-04-02T14:00:00Z,"COP",2018-06-01T14:00:00Z,Buy,45.02606897,51.372304308,258,1637.33,1.29,-237.04,2282.52,1020.9,1,"	47,67" 
2018-04-02T14:00:00Z,"COP",2018-07-02T14:00:00Z,Buy,45.02606897,53.080139892,1,8.05,1,-0.92,8.85,4.22,1,"	47,83" 
2018-04-02T14:00:00Z,"COP",2018-08-01T14:00:00Z,Buy,45.02606897,55.250277558,1,10.22,1,-0.92,10.3,4.22,1,"	47,106" 
2018-04-02T14:00:00Z,"COP",2018-09-04T14:00:00Z,Buy,45.02606897,56.214879882,127,1420.98,1,-116.68,1433.62,535.46,1,"	47,118" 
2018-05-01T14:00:00Z,"ISRG",2018-05-02T14:30:00Z,Buy,146.926651974,149.183318415,131,295.62,2,0,295.62,0,1,"	55,60" 
2018-05-01T14:00:00Z,"UNH",2018-05-02T14:30:00Z,Buy,208.68900288,209.08625352,92,36.55,2,0,36.55,0,1,"	58,61" 
2018-05-01T14:00:00Z,"NFLX",2018-06-01T14:00:00Z,Buy,31.246,35.16,429,1679.11,5.23,-33.03,1762.33,262.55,1,"	57,72" 
2018-05-01T14:00:00Z,"AMZN",2018-06-01T14:00:00Z,Buy,78.122792951,81.289845574,165,522.56,2.23,0,522.56,285.69,1,"	59,77" 
2018-05-01T14:00:00Z,"NFLX",2018-07-02T14:00:00Z,Buy,31.246,39.143,14,110.56,1,-1.08,146.02,45.19,1,"	57,87" 
2018-05-01T14:00:00Z,"AMZN",2018-07-02T14:00:00Z,Buy,78.122792951,84.79061346,1,6.67,1,0,9.18,4.47,1,"	59,91" 
2018-05-01T14:00:00Z,"NFLX",2018-08-01T14:00:00Z,Buy,31.246,33.745,174,434.83,1,-13.4,1853.27,1461.77,1,"	57,93" 
2018-05-01T14:00:00Z,"AMZN",2018-08-01T14:00:00Z,Buy,78.122792951,88.663506288,1,10.54,1,0,14.84,4.47,1,"	59,114" 
2018-05-01T14:00:00Z,"AMZN",2018-09-04T14:00:00Z,Buy,78.122792951,100.399409117,4,89.11,1,0,89.11,17.87,1,"	59,132" 
2018-05-01T14:00:00Z,"AMZN",2018-10-17T14:30:00Z,Buy,78.122792951,90.784518692,75,949.63,1,0,1771.01,1197.75,1,"	59,162" 
2018-06-01T14:00:00Z,"NVDA",2018-07-02T14:00:00Z,Buy,6.242411784375,5.86394128125,1063,-402.31,10.63,-433.36,387.32,820.68,0,"	75,78" 
2018-06-01T14:00:00Z,"AAPL",2018-07-02T14:00:00Z,Buy,44.0145095415,43.5999671495,150,-62.18,2,-166.05,251.2,417.25,0,"	66,79" 
2018-06-01T14:00:00Z,"COST",2018-07-02T14:00:00Z,Buy,178.367252784,188.030611818,1,9.66,2,-1,12.16,2.74,1,"	65,82" 
2018-06-01T14:00:00Z,"SQ",2018-07-02T14:00:00Z,Buy,58.25,61.65,3,10.2,2,0,27.99,22.53,1,"	71,86" 
2018-06-01T14:00:00Z,"NKE",2018-07-02T14:00:00Z,Buy,65.00098516,72.3726062,8,58.97,2,-1.82,58.97,32.61,1,"	74,89" 
2018-06-01T14:00:00Z,"CRM",2018-07-02T14:00:00Z,Buy,127.777470948,134.76259984,1,6.99,2,0,10.34,6.53,1,"	64,90" 
2018-06-01T14:00:00Z,"V",2018-08-01T14:00:00Z,Buy,123.839130189,129.532338882,53,301.74,2,0,595.45,306.76,1,"	68,92" 
2018-06-01T14:00:00Z,"NKE",2018-08-01T14:00:00Z,Buy,65.00098516,69.82158985,94,453.14,1,-21.33,692.93,383.16,1,"	74,94" 
2018-06-01T14:00:00Z,"MA",2018-08-01T14:00:00Z,Buy,182.378456939,190.11862292,36,278.65,2,0,843.27,567.39,1,"	76,95" 
2018-06-01T14:00:00Z,"ADBE",2018-08-01T14:00:00Z,Buy,249.28,244.68,26,-119.6,2,-301.6,361.14,542.1,0,"	63,96" 
