Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-01T15:00:00Z,KO,31.344463124,3,Market,Filled,94.033389372,"" 
2016-02-01T15:00:00Z,MCD,96.491869674,1,Market,Filled,96.491869674,"" 
2016-02-01T15:00:00Z,GOOGL,37.7820318175,2,Market,Filled,75.564063635,"" 
2016-02-01T15:00:00Z,MSFT,48.127544003,2,Market,Filled,96.255088006,"" 
2016-03-01T15:00:00Z,GOOGL,35.592078361,-2,Market,Filled,-71.184156722,"Liquidated" 
2016-03-01T15:00:00Z,MSFT,44.768762496,-2,Market,Filled,-89.537524992,"Liquidated" 
2016-03-01T15:00:00Z,KO,31.497826061,-3,Market,Filled,-94.493478183,"Liquidated" 
2016-03-01T15:00:00Z,MCD,92.046756591,-1,Market,Filled,-92.046756591,"Liquidated" 
2016-03-01T15:00:00Z,ISRG,62.5621540294,1,Market,Filled,62.5621540294,"" 
2016-03-01T15:00:00Z,T,15.526375859756,6,Market,Filled,93.158255158536,"" 
2016-03-01T15:00:00Z,NVDA,0.767711224,124,Market,Filled,95.196191776,"" 
2016-03-01T15:00:00Z,UPS,66.580677245,1,Market,Filled,66.580677245,"" 
2016-04-01T14:00:00Z,ISRG,66.7832605395,-1,Market,Filled,-66.7832605395,"Liquidated" 
2016-04-01T14:00:00Z,UPS,72.731890513,-1,Market,Filled,-72.731890513,"Liquidated" 
2016-04-01T14:00:00Z,AVGO,12.016773615,8,Market,Filled,96.13418892,"" 
2016-04-01T14:00:00Z,MCD,98.715217752,1,Market,Filled,98.715217752,"" 
2016-04-01T14:00:00Z,NVDA,0.872243332625,-10,Market,Filled,-8.72243332625,"" 
2016-05-02T14:00:00Z,AVGO,11.3362120025,-8,Market,Filled,-90.68969602,"Liquidated" 
2016-05-02T14:00:00Z,NVDA,0.869795273875,-114,Market,Filled,-99.15666122175,"Liquidated" 
2016-05-02T14:00:00Z,XOM,57.1814074,1,Market,Filled,57.1814074,"" 
2016-05-02T14:00:00Z,AMD,3.55,27,Market,Filled,95.85,"" 
2016-05-02T14:00:00Z,T,16.514420693066,-1,Market,Filled,-16.514420693066,"" 
2016-05-02T14:00:00Z,CVX,66.805202256,1,Market,Filled,66.805202256,"" 
2016-05-25T14:30:00Z,XOM,58.490378016,-1,Market,Filled,-58.490378016,"Liquidated" 
2016-05-25T14:30:00Z,MCD,97.356391155,-1,Market,Filled,-97.356391155,"Liquidated" 
