Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2018-02-01T15:00:00Z,ABBV,79.641950456,1,Market,Filled,79.641950456,"" 
2018-02-01T15:00:00Z,PYPL,84.86195958,1,Market,Filled,84.86195958,"" 
2018-02-01T15:00:00Z,NFLX,27.03,3,Market,Filled,81.09,"" 
2018-02-01T15:00:00Z,JPM,92.997141589,1,Market,Filled,92.997141589,"" 
2018-02-01T15:00:00Z,BAC,26.5169504,3,Market,Filled,79.5508512,"" 
2018-03-01T15:00:00Z,ABBV,82.203948684,-1,Market,Filled,-82.203948684,"Liquidated" 
2018-03-01T15:00:00Z,PYPL,78.983687415,-1,Market,Filled,-78.983687415,"Liquidated" 
2018-03-01T15:00:00Z,JPM,92.86046385,-1,Market,Filled,-92.86046385,"Liquidated" 
2018-03-01T15:00:00Z,BAC,26.59981587,-3,Market,Filled,-79.79944761,"Liquidated" 
2018-03-01T15:00:00Z,CSCO,35.331433434,2,Market,Filled,70.662866868,"" 
2018-03-01T15:00:00Z,AMZN,75.445089615,1,Market,Filled,75.445089615,"" 
2018-03-01T15:00:00Z,SQ,46.03,2,Market,Filled,92.06,"" 
2018-03-28T14:30:00Z,NFLX,30.069,-3,Market,Filled,-90.207,"Liquidated" 
2018-03-28T14:30:00Z,CSCO,33.674532804,-2,Market,Filled,-67.349065608,"Liquidated" 
2018-03-28T14:30:00Z,AMZN,74.676896035,1,Market,Filled,74.676896035,"" 
2018-03-28T14:30:00Z,INTC,43.26819393,3,Market,Filled,129.80458179,"" 
2018-03-28T14:30:00Z,SQ,51.06,1,Market,Filled,51.06,"" 
2018-04-02T14:00:00Z,AMZN,72.197227018,-2,Market,Filled,-144.394454036,"Liquidated" 
2018-04-04T14:30:00Z,SQ,47.58,-3,Market,Filled,-142.74,"Liquidated" 
2018-04-04T14:30:00Z,COP,45.580352787,3,Market,Filled,136.741058361,"" 
2018-05-01T14:00:00Z,INTC,43.63165014,-3,Market,Filled,-130.89495042,"Liquidated" 
2018-05-01T14:00:00Z,NFLX,31.246,5,Market,Filled,156.23,"" 
2018-05-01T14:00:00Z,AMZN,78.122792951,2,Market,Filled,156.245585902,"" 
2018-05-02T14:30:00Z,COP,49.893136459,-3,Market,Filled,-149.679409377,"Liquidated" 
2018-05-02T14:30:00Z,CSCO,35.655231173,4,Market,Filled,142.620924692,"" 
2018-06-01T14:00:00Z,INTC,46.92691656,2,Market,Filled,93.85383312,"" 
2018-06-01T14:00:00Z,NFLX,35.16,-3,Market,Filled,-105.48,"" 
2018-06-01T14:00:00Z,AMZN,81.289845574,-1,Market,Filled,-81.289845574,"" 
2018-06-01T14:00:00Z,SQ,58.25,1,Market,Filled,58.25,"" 
2018-07-02T14:00:00Z,INTC,42.259728663,-2,Market,Filled,-84.519457326,"Liquidated" 
2018-07-02T14:00:00Z,NKE,71.895394308,1,Market,Filled,71.895394308,"" 
2018-08-01T14:00:00Z,NFLX,33.745,-2,Market,Filled,-67.49,"Liquidated" 
2018-08-01T14:00:00Z,NKE,69.361198899,-1,Market,Filled,-69.361198899,"Liquidated" 
2018-08-01T14:00:00Z,SQ,64.65,-1,Market,Filled,-64.65,"Liquidated" 
2018-08-01T14:00:00Z,AMD,18.33,5,Market,Filled,91.65,"" 
2018-08-01T14:00:00Z,MSFT,98.223439392,1,Market,Filled,98.223439392,"" 
2018-08-01T14:00:00Z,MRK,49.905853790494,1,Market,Filled,49.905853790494,"" 
2018-08-01T14:00:00Z,COP,55.250277558,1,Market,Filled,55.250277558,"" 
2018-09-04T14:00:00Z,MRK,51.966639008501,-1,Market,Filled,-51.966639008501,"Liquidated" 
2018-09-04T14:00:00Z,COP,56.214879882,-1,Market,Filled,-56.214879882,"Liquidated" 
2018-09-04T14:00:00Z,NFLX,36.768,3,Market,Filled,110.304,"" 
2018-09-04T14:00:00Z,AMD,25.17,-1,Market,Filled,-25.17,"" 
2018-09-04T14:00:00Z,SQ,88.63,1,Market,Filled,88.63,"" 
2018-10-01T14:00:00Z,NFLX,37.413,-3,Market,Filled,-112.239,"Liquidated" 
2018-10-01T14:00:00Z,MSFT,106.306995059,-1,Market,Filled,-106.306995059,"Liquidated" 
2018-10-01T14:00:00Z,AMZN,99.9150481,-1,Market,Filled,-99.9150481,"Liquidated" 
2018-10-01T14:00:00Z,AMD,30.89,-1,Market,Filled,-30.89,"" 
2018-10-01T14:00:00Z,PFE,29.621353527139,4,Market,Filled,118.48541410856,"" 
2018-10-01T14:00:00Z,COP,59.25414276,2,Market,Filled,118.50828552,"" 
2018-10-17T14:30:00Z,AMD,28.18,-3,Market,Filled,-84.54,"Liquidated" 
2018-10-17T14:30:00Z,PFE,29.513810605325,-4,Market,Filled,-118.0552424213,"Liquidated" 
2018-10-17T14:30:00Z,SQ,78.76,-1,Market,Filled,-78.76,"Liquidated" 
2018-10-17T14:30:00Z,COP,56.73586806,1,Market,Filled,56.73586806,"" 
2018-10-17T14:30:00Z,MRK,54.327399038343,3,Market,Filled,162.98219711503,"" 
2018-10-17T14:30:00Z,LLY,100.34036469,1,Market,Filled,100.34036469,"" 
2018-11-01T14:00:00Z,COP,53.73763113,-3,Market,Filled,-161.21289339,"Liquidated" 
2018-11-01T14:00:00Z,PG,73.758756408,2,Market,Filled,147.517512816,"" 
2018-11-07T15:30:00Z,LLY,95.7042657,-1,Market,Filled,-95.7042657,"Liquidated" 
2018-11-07T15:30:00Z,PG,76.112582306,-2,Market,Filled,-152.225164612,"Liquidated" 
2018-11-07T15:30:00Z,ABT,62.468209704,2,Market,Filled,124.936419408,"" 
2018-12-03T15:00:00Z,PFE,31.299365699466,5,Market,Filled,156.49682849733,"" 
2018-12-03T15:00:00Z,LLY,107.620770112,1,Market,Filled,107.620770112,"" 
2018-12-12T15:30:00Z,LLY,103.9967776,-1,Market,Filled,-103.9967776,"Liquidated" 
2018-12-12T15:30:00Z,PG,78.108759746,2,Market,Filled,156.217519492,"" 
2019-01-02T15:00:00Z,MRK,58.694977463116,-3,Market,Filled,-176.08493238935,"Liquidated" 
2019-01-02T15:00:00Z,LLY,105.104865536,1,Market,Filled,105.104865536,"" 
2019-01-02T15:30:00Z,LLY,105.104865536,-1,Market,Filled,-105.104865536,"Liquidated" 
2019-01-02T15:30:00Z,MRK,58.694977463116,2,Market,Filled,117.38995492623,"" 
2019-02-01T15:00:00Z,PFE,29.003724772247,-5,Market,Filled,-145.01862386123,"Liquidated" 
2019-02-01T15:00:00Z,AMD,24.41,4,Market,Filled,97.64,"" 
2019-02-01T15:00:00Z,PG,80.872643577,-1,Market,Filled,-80.872643577,"" 
2019-02-01T15:00:00Z,CMCSA,26.831973863447,3,Market,Filled,80.495921590341,"" 
