Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-02-03T15:00:00Z,INTC,56.395855893,1,Market,Filled,56.395855893,"" 
2020-02-03T15:00:00Z,GOOGL,71.101779139,1,Market,Filled,71.101779139,"" 
2020-02-03T15:00:00Z,AAPL,74.584234152,1,Market,Filled,74.584234152,"" 
2020-03-02T15:00:00Z,GOOGL,66.4603482125,-1,Market,Filled,-66.4603482125,"Liquidated" 
2020-03-02T15:00:00Z,AAPL,66.02932209,-1,Market,Filled,-66.02932209,"Liquidated" 
2020-03-02T15:00:00Z,INTC,49.218163536,-1,Market,Filled,-49.218163536,"Liquidated" 
2020-03-02T15:00:00Z,SQ,83.34,1,Market,Filled,83.34,"" 
2020-03-02T15:00:00Z,ABBV,67.550929016,1,Market,Filled,67.550929016,"" 
2020-03-02T15:00:00Z,NVDA,6.725509323625,14,Market,Filled,94.15713053075,"" 
2020-03-02T15:00:00Z,NFLX,36.903,2,Market,Filled,73.806,"" 
2020-03-18T14:30:00Z,ABBV,57.680654058,-1,Market,Filled,-57.680654058,"Liquidated" 
2020-03-18T14:30:00Z,SQ,44.73,-1,Market,Filled,-44.73,"Liquidated" 
2020-03-18T14:30:00Z,NFLX,31.975,-2,Market,Filled,-63.95,"Liquidated" 
2020-03-18T14:30:00Z,NVDA,5.410639503625,-14,Market,Filled,-75.74895305075,"Liquidated" 
2020-03-18T14:30:00Z,AAPL,61.0776060275,2,Market,Filled,122.155212055,"" 
2020-04-01T14:00:00Z,NVDA,6.564387965,19,Market,Filled,124.723371335,"" 
2020-04-01T14:00:00Z,NFLX,37.55,3,Market,Filled,112.65,"" 
2020-05-01T14:00:00Z,NVDA,7.2786013445,-19,Market,Filled,-138.2934255455,"Liquidated" 
2020-05-01T14:00:00Z,NFLX,41.985,-1,Market,Filled,-41.985,"" 
2020-05-01T14:00:00Z,AAPL,70.966545325,-1,Market,Filled,-70.966545325,"" 
2020-06-01T14:00:00Z,NFLX,41.973,-2,Market,Filled,-83.946,"Liquidated" 
2020-06-01T14:00:00Z,ABBV,74.325056067,1,Market,Filled,74.325056067,"" 
2020-06-01T14:00:00Z,NVDA,8.84100536925,9,Market,Filled,79.56904832325,"" 
2020-07-01T14:00:00Z,ABBV,78.752317419,-1,Market,Filled,-78.752317419,"Liquidated" 
2020-09-01T14:00:00Z,NVDA,13.328598716,-2,Market,Filled,-26.657197432,"" 
2020-09-30T14:30:00Z,AAPL,110.730129363,-1,Market,Filled,-110.730129363,"Liquidated" 
2020-09-30T14:30:00Z,SQ,164.81,1,Market,Filled,164.81,"" 
2020-09-30T14:30:00Z,NVDA,13.18430314465,5,Market,Filled,65.92151572325,"" 
2020-09-30T14:30:00Z,UPS,136.14491185,1,Market,Filled,136.14491185,"" 
2020-10-01T14:00:00Z,NVDA,13.4880981191,-12,Market,Filled,-161.8571774292,"Liquidated" 
2020-10-01T14:00:00Z,SNAP,26.11,6,Market,Filled,156.66,"" 
2020-10-01T14:00:00Z,NKE,116.671866954,1,Market,Filled,116.671866954,"" 
2020-10-07T14:30:00Z,SNAP,26.73,-6,Market,Filled,-160.38,"Liquidated" 
2020-10-07T14:30:00Z,NKE,118.632816765,-1,Market,Filled,-118.632816765,"Liquidated" 
2020-10-07T14:30:00Z,NVDA,13.6934525563,12,Market,Filled,164.3214306756,"" 
2020-10-07T14:30:00Z,SQ,175.34,-1,Market,Filled,-175.34,"" 
2020-11-02T15:00:00Z,UPS,127.032468825,-1,Market,Filled,-127.032468825,"Liquidated" 
2020-11-02T15:00:00Z,SNAP,39.39,4,Market,Filled,157.56,"" 
2020-11-02T15:00:00Z,QCOM,110.288515344,1,Market,Filled,110.288515344,"" 
2020-11-04T15:30:00Z,QCOM,112.157054555,-1,Market,Filled,-112.157054555,"Liquidated" 
2020-12-01T15:00:00Z,SNAP,44.42,-4,Market,Filled,-177.68,"Liquidated" 
2020-12-01T15:00:00Z,GM,42.298239264,2,Market,Filled,84.596478528,"" 
2020-12-01T15:00:00Z,MS,52.710996267,1,Market,Filled,52.710996267,"" 
2021-01-04T15:00:00Z,GM,40.175608644,-2,Market,Filled,-80.351217288,"Liquidated" 
2021-01-04T15:00:00Z,SNAP,50.07,2,Market,Filled,100.14,"" 
2021-01-04T15:00:00Z,AVGO,39.389310009,2,Market,Filled,78.778620018,"" 
2021-02-01T15:00:00Z,MS,57.429330768,-1,Market,Filled,-57.429330768,"Liquidated" 
2021-02-01T15:00:00Z,AVGO,40.52731337,-2,Market,Filled,-81.05462674,"Liquidated" 
2021-02-01T15:00:00Z,GM,48.897690828,2,Market,Filled,97.795381656,"" 
2021-02-01T15:00:00Z,SNAP,52.94,-1,Market,Filled,-52.94,"" 
2021-03-01T15:00:00Z,GM,49.524831693,-2,Market,Filled,-99.049663386,"Liquidated" 
2021-03-01T15:00:00Z,MS,65.869780008,1,Market,Filled,65.869780008,"" 
2021-04-01T14:00:00Z,SNAP,52.29,-1,Market,Filled,-52.29,"Liquidated" 
2021-04-01T14:00:00Z,MS,66.563867712,-1,Market,Filled,-66.563867712,"Liquidated" 
