Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-02-03T15:00:00Z,"GOOGL",2020-03-02T15:00:00Z,Buy,71.101779139,66.4603482125,1,-4.64,2,-5.85,4.57,10.42,0,"	2,4" 
2020-02-03T15:00:00Z,"AAPL",2020-03-02T15:00:00Z,Buy,74.584234152,66.02932209,1,-8.55,2,-8.55,4.45,13,0,"	3,5" 
2020-02-03T15:00:00Z,"INTC",2020-03-02T15:00:00Z,Buy,56.395855893,49.218163536,1,-7.18,2,-7.18,3.41,10.58,0,"	1,6" 
2020-03-02T15:00:00Z,"ABBV",2020-03-18T14:30:00Z,Buy,67.550929016,57.680654058,1,-9.87,2,-9.87,4.99,14.86,0,"	8,11" 
2020-03-02T15:00:00Z,"SQ",2020-03-18T14:30:00Z,Buy,83.34,44.73,1,-38.61,2,-42.13,0,42.13,0,"	7,12" 
2020-03-02T15:00:00Z,"NFLX",2020-03-18T14:30:00Z,Buy,36.903,31.975,2,-9.86,2,-14.04,2.95,16.99,0,"	10,13" 
2020-03-02T15:00:00Z,"NVDA",2020-03-18T14:30:00Z,Buy,6.725509323625,5.410639503625,14,-18.41,2,-25.68,5.03,30.72,0,"	9,14" 
2020-03-18T14:30:00Z,"AAPL",2020-05-01T14:00:00Z,Buy,61.0776060275,70.966545325,1,9.89,2,-6.88,9.89,6.88,1,"	15,20" 
2020-03-18T14:30:00Z,"AAPL",2020-09-30T14:30:00Z,Buy,61.0776060275,110.730129363,1,49.65,1,-6.88,69.15,26.53,1,"	15,26" 
2020-04-01T14:00:00Z,"NVDA",2020-05-01T14:00:00Z,Buy,6.564387965,7.2786013445,19,13.57,2,-9.71,16.49,11.92,1,"	16,18" 
2020-04-01T14:00:00Z,"NFLX",2020-05-01T14:00:00Z,Buy,37.55,41.985,1,4.44,2,-1.37,6.37,3.53,1,"	17,19" 
2020-04-01T14:00:00Z,"NFLX",2020-06-01T14:00:00Z,Buy,37.55,41.973,2,8.85,1,-2.75,15.74,8.15,1,"	17,21" 
