Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-02-01T15:00:00Z,COP,74.899949082,1,Market,Filled,74.899949082,"" 
2022-03-01T15:00:00Z,XOM,68.324678411,1,Market,Filled,68.324678411,"" 
2022-03-01T15:00:00Z,RTX,93.99973869,1,Market,Filled,93.99973869,"" 
2022-03-16T14:30:00Z,XOM,67.322594746,-1,Market,Filled,-67.322594746,"Liquidated" 
2022-03-16T14:30:00Z,RTX,89.350092414,-1,Market,Filled,-89.350092414,"Liquidated" 
2022-03-16T14:30:00Z,COP,80.73854962,-1,Market,Filled,-80.73854962,"Liquidated" 
2022-03-16T14:30:00Z,CVX,134.79849706,1,Market,Filled,134.79849706,"" 
2022-03-16T14:30:00Z,ABBV,134.73378684,1,Market,Filled,134.73378684,"" 
2022-04-01T14:00:00Z,NVDA,27.2369288576,3,Market,Filled,81.7107865728,"" 
2022-04-01T14:00:00Z,AVGO,58.7229996864,1,Market,Filled,58.7229996864,"" 
2022-04-27T14:30:00Z,NVDA,18.7542116608,-3,Market,Filled,-56.2626349824,"Liquidated" 
2022-04-27T14:30:00Z,AVGO,52.2312768936,-1,Market,Filled,-52.2312768936,"Liquidated" 
2022-05-02T14:00:00Z,XOM,74.197760065,2,Market,Filled,148.39552013,"" 
2022-05-04T14:30:00Z,XOM,76.838032678,-1,Market,Filled,-76.838032678,"" 
2022-05-04T14:30:00Z,COP,84.285471244,1,Market,Filled,84.285471244,"" 
2022-06-01T14:00:00Z,PFE,43.211839808,3,Market,Filled,129.635519424,"" 
2022-07-01T14:00:00Z,XOM,75.477170646,-1,Market,Filled,-75.477170646,"Liquidated" 
2022-07-01T14:00:00Z,CVX,124.29992793,-1,Market,Filled,-124.29992793,"Liquidated" 
2022-07-01T14:00:00Z,PFE,42.70748475,-3,Market,Filled,-128.12245425,"Liquidated" 
2022-07-01T14:00:00Z,MRK,82.157257665,1,Market,Filled,82.157257665,"" 
2022-07-06T14:30:00Z,MRK,83.317442256,-1,Market,Filled,-83.317442256,"Liquidated" 
2022-07-06T14:30:00Z,T,17.150485938,8,Market,Filled,137.203887504,"" 
2022-08-01T14:00:00Z,ABBV,126.310232368,-1,Market,Filled,-126.310232368,"Liquidated" 
2022-08-01T14:00:00Z,KO,57.799581003,1,Market,Filled,57.799581003,"" 
2022-09-01T14:00:00Z,KO,55.583795289,-1,Market,Filled,-55.583795289,"Liquidated" 
2022-10-03T14:00:00Z,MRK,78.123298911,1,Market,Filled,78.123298911,"" 
2022-10-05T14:30:00Z,XOM,84.672432086,1,Market,Filled,84.672432086,"" 
2022-11-01T14:00:00Z,COP,112.331260944,-1,Market,Filled,-112.331260944,"Liquidated" 
2022-12-01T15:00:00Z,XOM,99.752971428,-1,Market,Filled,-99.752971428,"Liquidated" 
2022-12-01T15:00:00Z,MS,83.60704656,1,Market,Filled,83.60704656,"" 
2022-12-28T15:30:00Z,MS,76.4271207,-1,Market,Filled,-76.4271207,"Liquidated" 
2022-12-28T15:30:00Z,XOM,98.731518204,1,Market,Filled,98.731518204,"" 
2023-01-04T15:30:00Z,XOM,95.398355052,-1,Market,Filled,-95.398355052,"Liquidated" 
2023-01-04T15:30:00Z,JPM,124.928695608,1,Market,Filled,124.928695608,"" 
2023-02-01T15:00:00Z,MRK,98.025072732,-1,Market,Filled,-98.025072732,"Liquidated" 
2023-02-01T15:00:00Z,MS,88.16754846,1,Market,Filled,88.16754846,"" 
2023-02-01T15:00:00Z,GE,63.256413137421,1,Market,Filled,63.256413137421,"" 
2023-02-01T15:00:00Z,NFLX,35.386,2,Market,Filled,70.772,"" 
2023-03-01T15:00:00Z,NFLX,32.213,-2,Market,Filled,-64.426,"Liquidated" 
2023-03-01T15:00:00Z,NVDA,23.1919667968,3,Market,Filled,69.5759003904,"" 
